obs_rms_mean,reference_perturbed_action_mean,rollout/return,total/episodes,rollout/episode_steps,train/param_noise_distance,reference_action_mean,rollout/episodes,param_noise_stddev,reference_perturbed_action_std,rollout/actions_mean,eval/return,reference_Q_mean,eval/return_history,total/epochs,rollout/return_history,rollout/actions_std,reference_actor_Q_mean,reference_action_std,train/loss_critic,total/steps_per_second,reference_actor_Q_std,eval/Q,ret_rms_mean,obs_rms_std,total/duration,rollout/Q_mean,train/loss_actor,eval/episodes,ret_rms_std,total/steps,reference_Q_std
0.026101505383849144,0.10997441411018372,-73.24234346881906,1.0,1000.0,0.32472044229507446,-0.2092798948287964,1.0,0.16720346283821505,0.7356073260307312,0.15016791224479675,-945.1180431654509,2.9435184001922607,-945.1180431654509,1,-73.24234346881906,0.5074450969696045,3.9813764095306396,0.7255788445472717,0.08478757739067078,62.83316654439006,0.5195250511169434,4.4252519607543945,0.0,0.3447131812572479,15.915161609649658,1.6927837133407593,-3.8782737255096436,1.0,1.0,1000,0.7933365702629089
0.028113437816500664,-0.16522184014320374,-620.1684885735506,2.0,1000.0,0.5635699033737183,-0.6292692422866821,2.0,0.13978498992545177,0.7933274507522583,0.13640804588794708,-1230.59132435561,6.18056583404541,-1087.8546837605304,2,-620.1684885735506,0.6260632276535034,7.020102500915527,0.4101749360561371,0.1315891295671463,63.604941551651706,0.7661861777305603,5.153644561767578,0.0,0.3145428001880646,31.444097757339478,1.3905534744262695,-4.218545913696289,2.0,1.0,2000,1.0373117923736572
0.032214101403951645,-0.6265110373497009,-977.0937608141958,3.0,1000.0,0.35814082622528076,-0.4758526086807251,3.0,0.11456001552955852,0.28499704599380493,0.044628892093896866,-1004.1793219905297,8.70630168914795,-1059.9628965038635,3,-977.0937608141958,0.7042115330696106,9.299549102783203,0.5098978877067566,0.16445553302764893,64.00001171875215,1.3322457075119019,7.449185848236084,0.0,0.28129303455352783,46.87499141693115,2.154608726501465,-4.366665363311768,3.0,1.0,3000,1.5146372318267822
0.024380657821893692,0.3809761703014374,-1029.4928266955112,4.0,1000.0,0.5482085943222046,0.08917586505413055,4.0,0.09388702724900437,0.5368202924728394,-0.14314889907836914,-1369.6414012808543,11.72740364074707,-1137.3825226981112,4,-1029.4928266955112,0.6995564699172974,12.48142147064209,0.7238911390304565,0.2209780514240265,64.16409004586107,1.3724724054336548,11.63236141204834,0.0,0.27029943466186523,62.34016561508179,2.7634012699127197,-5.7618536949157715,4.0,1.0,4000,1.6354374885559082
0.027970803901553154,-0.24440047144889832,-967.7201531847473,5.0,1000.0,0.5760840177536011,0.04283038154244423,5.0,0.07694459401832851,0.733126699924469,-0.015596752986311913,-1439.5771921161706,14.110105514526367,-1197.821456581723,5,-967.7201531847473,0.7044620513916016,14.89295768737793,0.7619256377220154,0.4152824282646179,64.37481849082701,1.685888409614563,10.788473129272461,0.0,0.28380176424980164,77.67012190818787,4.087866306304932,-7.649247646331787,5.0,1.0,5000,1.8701589107513428
0.023589201271533966,0.09200721234083176,-1030.396255925907,6.0,1000.0,0.39677491784095764,0.11917343735694885,6.0,0.06305951655006926,0.8054951429367065,-0.04334530606865883,-1718.9964283322909,16.593055725097656,-1284.6839518734844,6,-1030.396255925907,0.714778482913971,17.688457489013672,0.8028425574302673,0.9398917555809021,64.50143643314763,1.6564611196517944,12.104166030883789,0.0,0.3119129538536072,93.02118420600891,5.578115940093994,-9.756911277770996,6.0,1.0,6000,1.918332576751709
0.023410998284816742,-0.31954580545425415,-1131.3044122936037,7.0,1000.0,0.44956088066101074,-0.13812151551246643,7.0,0.051680078090752424,0.7075450420379639,-0.011373329907655716,-720.0270358317591,18.558618545532227,-1204.0186781532377,7,-1131.3044122936037,0.7324874401092529,19.316022872924805,0.7235487699508667,0.7057551741600037,66.42118730535479,1.4226945638656616,6.878948211669922,0.0,0.31269770860671997,105.38805890083313,6.926859378814697,-12.345663070678711,7.0,1.0,7000,1.6353739500045776
0.02200779691338539,-0.21574299037456512,-1003.4738083744455,8.0,893.75,0.33023539185523987,0.13404172658920288,8.0,0.04235412222587577,0.7656605243682861,-0.038705550134181976,-404.1231647176027,19.63980484008789,-1104.0317389737834,8,-1003.4738083744455,0.7516083121299744,20.210901260375977,0.5709574222564697,0.7371178269386292,67.44215815488172,1.4561922550201416,19.147851943969727,0.0,0.31447649002075195,118.62016606330872,6.606286525726318,-12.995845794677734,8.0,1.0,8000,1.55306875705719
0.022186223417520523,0.18972644209861755,-894.9536344339809,12.0,749.25,0.30348700284957886,0.0477391853928566,12.0,0.034711086666206405,0.47548872232437134,-0.016649501398205757,-9.150451819049627,21.259687423706055,-982.3782626232575,9,-894.9536344339809,0.745246946811676,21.83313751220703,0.5154234170913696,0.9135504961013794,69.38508239557756,1.6219772100448608,21.53900718688965,0.0,0.3290649354457855,129.71087861061096,7.530379295349121,-14.880476951599121,9.0,1.0,9000,1.6880252361297607
0.02285047061741352,-0.2540958821773529,-907.6676512534807,13.0,768.5384615384615,0.2793308198451996,-0.17865771055221558,13.0,0.02901906944733551,0.5451083183288574,0.03028057888150215,-634.5060632079451,22.780582427978516,-947.5910426817263,10,-907.6676512534807,0.7416503429412842,23.3197021484375,0.5697017908096313,1.3851126432418823,69.39066327123749,1.756295919418335,14.647226333618164,0.0,0.34426629543304443,144.11160707473755,7.764245510101318,-15.113507270812988,10.0,1.0,10000,1.795150876045227
