eval/return_history,total/steps,total/steps_per_second,eval/return,total/episodes,obs_rms_std,ret_rms_mean,reference_Q_mean,train/loss_actor,reference_action_std,total/epochs,total/duration,rollout/episode_steps,rollout/return,reference_Q_std,train/loss_critic,rollout/actions_std,ret_rms_std,rollout/return_history,rollout/episodes,reference_actor_Q_std,rollout/actions_mean,train/param_noise_distance,eval/episodes,reference_action_mean,reference_actor_Q_mean,obs_rms_mean,eval/Q,rollout/Q_mean
-214.86154388658187,1000,28.12448192410835,-214.86154388658187,1.0,0.6140608787536621,0.0,-0.8190038204193115,0.17013990879058838,0.8072203397750854,1,35.5562105178833,1000.0,-318.7865314358479,4.0519514083862305,0.09669468551874161,0.7625446319580078,1.0,-318.7865314358479,1.0,3.719622850418091,0.06936030089855194,0.0,1.0,0.4567905366420746,0.33042633533477783,0.1461431086063385,0.9983906149864197,-0.8883829116821289
-337.0207641796081,2000,28.23813491413686,-459.17998447263426,2.0,1.0070186853408813,0.0,4.770649433135986,-8.748126029968262,0.9391433596611023,2,70.82620739936829,1000.0,-323.3281019565445,4.52205753326416,0.13564492762088776,0.7326525449752808,1.0,-323.3281019565445,2.0,4.380838871002197,0.17484150826931,0.0,2.0,-0.009162883274257183,5.695926666259766,0.10799705237150192,11.962784767150879,3.3670010566711426
-396.20929516928487,3000,28.263208460245753,-514.5863571486385,3.0,1.4694608449935913,0.0,11.99836540222168,-15.873557090759277,0.7866222858428955,3,106.14506149291992,1000.0,-381.03702922237653,5.412780284881592,0.28985846042633057,0.7110879421234131,1.0,-381.03702922237653,3.0,5.464390754699707,0.16658353805541992,0.0,3.0,0.2999356687068939,12.559584617614746,0.11342743784189224,10.667160987854004,5.7394561767578125
-325.5883198790655,4000,28.264996335891453,-113.72539400840739,4.0,1.8375978469848633,0.0,12.704119682312012,-18.16677474975586,0.8121941685676575,4,141.51779651641846,1000.0,-391.2631702301336,10.61011791229248,0.418273001909256,0.7239087820053101,1.0,-391.2631702301336,4.0,10.669930458068848,0.17123235762119293,0.0,4.0,-0.015947451815009117,13.351102828979492,0.13409732282161713,32.811241149902344,6.672701358795166
-306.7904612258818,5000,28.256942682022373,-231.59902661314678,5.0,1.7534934282302856,0.0,19.109283447265625,-27.837308883666992,0.8251543641090393,5,176.94766402244568,1000.0,-363.3746348193288,10.765573501586914,0.5919907093048096,0.6947094798088074,1.0,-363.3746348193288,5.0,10.628636360168457,0.14196325838565826,0.0,5.0,-0.27214178442955017,20.05892562866211,0.12492070347070694,40.31679153442383,12.23038387298584
-276.9412118810365,6000,28.252799107044538,-127.69496515681026,6.0,1.6656274795532227,0.0,25.130016326904297,-33.95689392089844,0.8554943799972534,6,212.36833834648132,1000.0,-335.469709634405,10.143112182617188,0.5579414367675781,0.6731717586517334,1.0,-335.469709634405,6.0,10.067634582519531,0.15698732435703278,0.0,6.0,-0.2390354871749878,25.821102142333984,0.12262628972530365,42.56424331665039,17.11176109313965
-281.047299215195,7000,28.242341155362553,-305.6838232201457,7.0,1.5789928436279297,0.0,29.388751983642578,-39.451778411865234,0.834320068359375,7,247.85480642318726,1000.0,-317.2341928278128,9.786384582519531,0.7621017694473267,0.6663334369659424,1.0,-317.2341928278128,7.0,9.685689926147461,0.14138515293598175,0.0,7.0,-0.22029413282871246,30.201099395751953,0.11653156578540802,54.231563568115234,21.032657623291016
-303.78987289647455,8000,28.24543369859339,-462.98788866543157,8.0,1.4980510473251343,0.0,38.104801177978516,-46.4051628112793,0.8096258640289307,8,283.2316219806671,1000.0,-325.155421715653,8.262663841247559,0.9362790584564209,0.6687514781951904,1.0,-325.155421715653,8.0,8.07934856414795,0.2067582607269287,0.0,8.0,0.19917654991149902,39.15386199951172,0.11993426084518433,37.06018829345703,24.808042526245117
-283.5174136660122,9000,28.255033287385043,-121.33773982231348,9.0,1.6330845355987549,0.0,42.171852111816406,-49.1834831237793,0.8180053234100342,9,318.5273189544678,1000.0,-324.34054369322934,7.737654685974121,0.8705223202705383,0.6771601438522339,1.0,-324.34054369322934,9.0,7.892886161804199,0.19895726442337036,0.0,9.0,0.10232067853212357,42.40769958496094,0.12334459275007248,53.9588508605957,27.235950469970703
-272.8133669774767,10000,28.261635442447453,-176.47694678065665,10.0,1.7094345092773438,0.0,41.80988311767578,-50.78620147705078,0.8508884310722351,10,353.8365647792816,1000.0,-317.9122210711611,8.749162673950195,0.796466588973999,0.679287850856781,1.0,-317.9122210711611,10.0,8.70537281036377,0.18389959633350372,0.0,10.0,0.09829027205705643,42.31049346923828,0.11981161683797836,48.307098388671875,29.641265869140625
-266.2533356184676,11000,28.261695824370875,-200.65302202837674,11.0,1.829532504081726,0.0,40.41309356689453,-49.5549201965332,0.8013200759887695,11,389.21938967704773,1000.0,-333.20064224452295,9.928956031799316,1.1849364042282104,0.6937082409858704,1.0,-333.20064224452295,11.0,9.931221008300781,0.17669612169265747,0.0,11.0,-0.025376996025443077,40.764366149902344,0.12497474253177643,58.49913787841797,30.556062698364258
