ret_rms_std,reference_actor_Q_std,train/loss_critic,rollout/Q_mean,train/param_noise_distance,eval/return,total/steps_per_second,ret_rms_mean,rollout/return_history,rollout/episode_steps,reference_Q_std,rollout/actions_mean,total/episodes,eval/Q,reference_perturbed_action_std,reference_action_mean,rollout/actions_std,total/epochs,eval/episodes,reference_perturbed_action_mean,rollout/episodes,reference_Q_mean,obs_rms_mean,train/loss_actor,total/duration,param_noise_stddev,reference_action_std,total/steps,eval/return_history,rollout/return,obs_rms_std,reference_actor_Q_mean
1.0,228.71209716796875,353.8843994140625,210.31675720214844,0.1905774623155594,575.5385169280464,73.57717889045684,0.0,309.9257867736313,54.36381322957198,228.2013702392578,0.25674110651016235,514.0,351.7180480957031,0.7664302587509155,0.07557588070631027,0.7300037741661072,28,28.0,0.12733373045921326,514.0,377.89654541015625,2.084754705429077,-330.5764465332031,380.55278038978577,0.018730226766195082,0.7808375954627991,28000,320.26641818299686,272.3827844476478,6.459535121917725,398.3957824707031
1.0,244.09951782226562,464.7973327636719,215.44454956054688,0.20335282385349274,364.3243856488763,73.54828022014188,0.0,323.76861547453126,54.78260869565217,241.3368377685547,0.25354164838790894,529.0,396.6063232421875,0.7896597981452942,0.17271749675273895,0.7324874401092529,29,29.0,0.17202380299568176,529.0,387.7786865234375,2.083143711090088,-347.92156982421875,394.29881858825684,0.018730226766195082,0.7849919199943542,29000,321.785658440441,274.244990250446,6.42918062210083,407.50018310546875
1.0,252.7661590576172,432.1361083984375,220.24188232421875,0.2001424878835678,420.1326732181257,73.50152447568027,0.0,338.75778512450603,55.33086876155268,251.97605895996094,0.25140202045440674,541.0,345.2711181640625,0.7925270795822144,0.10380848497152328,0.7359644174575806,30,30.0,0.19513021409511566,541.0,401.27325439453125,2.0885863304138184,-358.9336853027344,408.1547996997833,0.019106704324195603,0.7902847528457642,30000,325.06389226636384,276.7369966320361,6.439713954925537,419.7823486328125
1.0,259.20880126953125,521.4425048828125,228.2832489013672,0.16199804842472076,346.2697708382133,73.47304583681114,0.0,346.91872645764107,56.00905797101449,258.2576599121094,0.24801479279994965,552.0,555.3065795898438,0.8100427985191345,0.10373315960168839,0.7386379837989807,31,31.0,0.10899919271469116,552.0,414.95928955078125,2.0843777656555176,-365.0160827636719,421.9234366416931,0.019490749081111935,0.8122551441192627,31000,325.7479528654557,279.6160270533129,6.4225897789001465,434.3298034667969
1.0,267.1566162109375,559.472412109375,236.24612426757812,0.1936119943857193,500.432111797879,73.41281633533198,0.0,360.3546541821815,56.604609929078016,265.825927734375,0.248301699757576,564.0,501.8690490722656,0.7833942174911499,0.2293069064617157,0.7394778728485107,32,32.0,0.23547780513763428,564.0,420.06060791015625,2.0817036628723145,-366.74664306640625,435.8911917209625,0.019882513137642284,0.7781825065612793,32000,331.20683283209394,281.9151384272755,6.457616806030273,442.7164611816406
1.0,276.5151672363281,547.2779541015625,244.61334228515625,0.19654718041419983,284.6420828129333,73.41695047436413,0.0,378.0372653147376,57.357142857142854,275.5345764160156,0.24780893325805664,574.0,416.9114074707031,0.7799793481826782,0.20232658088207245,0.7397667765617371,33,33.0,0.1801171451807022,574.0,425.22607421875,2.0788214206695557,-384.6372985839844,449.4874792098999,0.019882513137642284,0.7839995622634888,33000,329.7957798012103,284.9715042827492,6.451309680938721,449.4906005859375
1.0,280.41168212890625,670.2103881835938,252.41079711914062,0.21111376583576202,435.8657043205229,73.36482689513008,0.0,384.376103076279,57.85008517887564,278.64910888671875,0.2465618997812271,587.0,642.1049194335938,0.7821303606033325,0.2305138111114502,0.7406051158905029,34,34.0,0.21951159834861755,587.0,435.45159912109375,2.0726990699768066,-384.7559509277344,463.4373369216919,0.019106704324195603,0.7794538736343384,34000,332.915483463543,286.7384274290446,6.437271595001221,460.7984924316406
1.0,293.0238952636719,604.9273681640625,259.0091247558594,0.21417826414108276,415.90779911933004,73.34532406242087,0.0,383.1132956792771,58.25666666666667,289.132080078125,0.24492667615413666,600.0,577.1641235351562,0.7934315800666809,0.12274277955293655,0.7427944540977478,35,35.0,0.14129327237606049,600.0,446.820068359375,2.069693088531494,-392.2906494140625,477.1947011947632,0.018730226766195082,0.7937930226325989,35000,335.28669248227976,288.08803984363516,6.451575756072998,468.2350769042969
1.0,302.1286926269531,708.7915649414062,265.472412109375,0.23264820873737335,483.27387042765474,73.30504826933496,0.0,386.8810173462782,58.73692810457516,302.59063720703125,0.2439652979373932,612.0,590.0970458984375,0.7832333445549011,0.1965685784816742,0.7441540956497192,36,36.0,0.25742441415786743,612.0,464.7114562988281,2.0680055618286133,-420.01336669921875,491.09851026535034,0.018361167303396805,0.7829193472862244,36000,339.39744742520685,290.71791368269606,6.440017223358154,490.740966796875
1.0,304.0782165527344,868.8217163085938,272.7621765136719,0.21922533214092255,298.2052333086889,73.31000558506474,0.0,389.99544387969866,59.1392,300.8909912109375,0.24243541061878204,625.0,536.9527587890625,0.7774639129638672,0.18815329670906067,0.7453991770744324,37,37.0,0.1818903237581253,625.0,451.4928894042969,2.062723398208618,-424.9873352050781,504.7060043811798,0.017999379770019416,0.776319682598114,37000,338.28414434097664,292.4044014486646,6.429380893707275,474.51861572265625
