train/loss_critic,rollout/episode_steps,total/episodes,reference_actor_Q_mean,reference_actor_Q_std,rollout/return,rollout/return_history,eval/Q,rollout/episodes,rollout/actions_mean,train/param_noise_distance,reference_Q_mean,reference_action_mean,eval/return,total/steps,obs_rms_mean,rollout/Q_mean,rollout/actions_std,reference_action_std,ret_rms_std,eval/episodes,train/loss_actor,eval/return_history,reference_Q_std,obs_rms_std,total/steps_per_second,ret_rms_mean,total/epochs,total/duration
0.010888682678341866,1000.0,1.0,0.02665591798722744,0.9293083548545837,-208.24169912541475,-208.24169912541475,0.6474778056144714,1.0,-0.043041881173849106,0.0,-0.2235901802778244,-0.23673152923583984,-334.4541389590262,1000,0.05289103090763092,-0.4889630377292633,0.6372489333152771,0.870326042175293,1.0,1.0,0.04395249858498573,-334.4541389590262,0.864713728427887,0.4412219226360321,42.27016713263276,0.0,1,23.657346725463867
0.030012451112270355,1000.0,2.0,1.4968535900115967,1.314215898513794,-221.5417130864394,-221.5417130864394,1.2883379459381104,2.0,-0.07563093304634094,0.0,1.0244886875152588,-0.242808997631073,-496.2851103286054,2000,0.007182028144598007,0.029405899345874786,0.6594728231430054,0.8383399844169617,1.0,2.0,-1.501225233078003,-415.36962464381577,1.4417568445205688,0.9986712336540222,43.075327536188304,0.0,2,46.430291175842285
0.16446365416049957,1000.0,3.0,3.9054694175720215,2.423973798751831,-255.211557822228,-255.211557822228,1.430437445640564,3.0,-0.008019952103495598,0.0,3.3427608013153076,0.17706680297851562,-666.0864047931918,3000,0.02375486120581627,0.5239197015762329,0.6909184455871582,0.8308254480361938,1.0,3.0,-3.6043403148651123,-498.9418846936078,2.4631097316741943,1.1125855445861816,43.37179018717535,0.0,3,69.16938376426697
0.13769111037254333,1000.0,4.0,7.658608436584473,3.489593744277954,-248.05119246704083,-248.05119246704083,2.2210683822631836,4.0,0.008970350958406925,0.0,7.195137977600098,0.20086194574832916,-302.32368445090935,4000,0.060556236654520035,0.7412334680557251,0.7027674317359924,0.7491976618766785,1.0,4.0,-6.7738871574401855,-449.78733463293315,3.437006711959839,1.6755390167236328,43.32228990242622,0.0,4,92.33122277259827
0.20740824937820435,1000.0,5.0,10.399885177612305,4.091674327850342,-243.8270215976053,-243.8270215976053,6.8336358070373535,5.0,0.09530463814735413,0.0,9.972386360168457,0.13008825480937958,109.61529718742614,5000,0.10006523132324219,1.2742562294006348,0.7148736715316772,0.7135006785392761,1.0,5.0,-8.342422485351562,-337.90680826886125,4.2067790031433105,1.9123845100402832,43.345217026296694,0.0,5,115.35298109054565
0.4913405478000641,1000.0,6.0,12.719512939453125,3.398385763168335,-189.50024782451348,-189.50024782451348,9.524137496948242,6.0,0.10596200823783875,0.0,12.261969566345215,0.2410084456205368,-64.5191028073397,6000,0.12147495150566101,2.2703354358673096,0.7186686396598816,0.7278727889060974,1.0,6.0,-10.591178894042969,-292.342190691941,3.6392946243286133,2.3104207515716553,43.336310097957984,0.0,6,138.4520275592804
0.8078297972679138,1000.0,7.0,16.116695404052734,2.7935690879821777,-173.09331886485643,-173.09331886485643,14.439984321594238,7.0,0.11488904058933258,0.0,15.31888198852539,0.0910618007183075,53.225364192259846,7000,0.13309648633003235,3.482029676437378,0.7209078073501587,0.771980881690979,1.0,7.0,-14.216958045959473,-242.97539713705518,2.9807937145233154,2.4564476013183594,43.08793145806032,0.0,7,162.4584834575653
0.8572104573249817,1000.0,8.0,20.445201873779297,2.208343744277954,-132.7924851173563,-132.7924851173563,20.980722427368164,8.0,0.12371262907981873,0.0,19.659584045410156,0.05642964318394661,591.6293674209304,8000,0.14365136623382568,5.160857200622559,0.7201019525527954,0.8016480803489685,1.0,8.0,-19.138757705688477,-138.649801567307,2.34631085395813,2.5595269203186035,43.12331998539352,0.0,8,185.51447343826294
1.03506338596344,1000.0,9.0,26.191177368164062,2.194288730621338,-90.11716276715467,-90.11716276715467,27.82662582397461,9.0,0.14744450151920319,0.0,25.33954429626465,0.08662664890289307,601.3489320130855,9000,0.15593081712722778,7.102213382720947,0.7117950320243835,0.8011215329170227,1.0,9.0,-25.257116317749023,-56.42772005837451,2.2743141651153564,2.586503744125366,43.061815831494535,0.0,9,209.00186920166016
1.2139029502868652,1000.0,10.0,31.795764923095703,1.3679113388061523,-34.02769851775301,-34.02769851775301,34.0296516418457,10.0,0.14454232156276703,0.0,30.804929733276367,0.05232511833310127,582.5788262065355,10000,0.16259397566318512,9.437295913696289,0.7075938582420349,0.7592729926109314,1.0,10.0,-31.45587730407715,7.4729345681164885,1.5774331092834473,2.5965514183044434,42.95512617443595,0.0,10,232.80108547210693
