rollout/episodes,reference_action_std,reference_action_mean,eval/return,rollout/return_history,reference_actor_Q_mean,eval/return_history,total/epochs,reference_Q_mean,total/steps,reference_perturbed_action_std,ret_rms_std,train/loss_critic,rollout/Q_mean,obs_rms_std,reference_actor_Q_std,rollout/actions_mean,total/steps_per_second,param_noise_stddev,reference_perturbed_action_mean,rollout/actions_std,total/duration,total/episodes,obs_rms_mean,rollout/return,rollout/episode_steps,train/param_noise_distance,eval/Q,train/loss_actor,reference_Q_std,ret_rms_mean,eval/episodes
1.0,0.8059481978416443,-0.029379239305853844,-410.8919844765119,233.92254494991985,3.9498534202575684,-410.8919844765119,1,3.2414162158966064,1000,0.7493569254875183,1.0,0.054612837731838226,1.7008179426193237,2.6393661499023438,0.5225492715835571,0.24103963375091553,88.67194424516079,0.16720346283821505,-0.17736263573169708,0.7305976152420044,11.27752423286438,1.0,0.03905269876122475,233.92254494991985,1000.0,0.47149473428726196,2.6483678817749023,-3.837895393371582,0.8777865767478943,0.0,1.0
2.0,0.7161981463432312,0.1930316686630249,-366.9347694651036,145.4923801496717,7.811385154724121,-388.91337697080775,2,7.28605842590332,2000,0.6914272308349609,1.0,0.11249338090419769,3.0826008319854736,2.1397416591644287,1.0462121963500977,0.02380949817597866,89.30659752046301,0.1370306733903066,-0.03764063119888306,0.7565209269523621,22.39476203918457,2.0,0.012838560156524181,145.4923801496717,1000.0,0.8783264756202698,5.016436576843262,-6.977441310882568,1.175287127494812,0.0,2.0
3.0,0.6907410025596619,-0.08780332654714584,-353.026864915859,-4.583515855739013,11.946261405944824,-376.9512062858248,3,11.404083251953125,3000,0.7413031458854675,1.0,0.19130876660346985,3.4632880687713623,1.9199252128601074,1.1441199779510498,0.0874328464269638,89.55913727705337,0.11230273064362171,-0.12840048968791962,0.7278589606285095,33.497419595718384,3.0,0.037066105753183365,-4.583515855739013,1000.0,0.7156710624694824,8.600035667419434,-9.117700576782227,1.3798868656158447,0.0,3.0
4.0,0.7312658429145813,-0.1373268961906433,-255.46657157942977,-8.804125571581158,15.36831283569336,-346.580047609226,4,14.813858032226562,4000,0.7593004703521729,1.0,0.23383529484272003,6.018441677093506,1.8076449632644653,1.4177114963531494,0.016505595296621323,89.70258631463697,0.09203708190275892,-0.17284166812896729,0.7411472797393799,44.59180235862732,4.0,0.014968649484217167,-8.804125571581158,1000.0,0.39952197670936584,13.060848236083984,-12.567872047424316,1.810086727142334,0.0,4.0
5.0,0.7278668284416199,-0.027446195483207703,-38.63351067442241,-36.42198033633024,18.111892700195312,-284.99074022226534,5,17.718591690063477,5000,0.7235106229782104,1.0,0.34154969453811646,7.805319309234619,1.7154459953308105,1.402586579322815,-0.03267300873994827,89.78816110947346,0.07542848153938683,-0.1594984382390976,0.7552192807197571,55.68662881851196,5.0,0.005823486018925905,-36.42198033633024,1000.0,0.4966292679309845,17.521718978881836,-14.981263160705566,1.5858118534088135,0.0,5.0
6.0,0.7095738649368286,0.1257311850786209,-383.8745533751344,-91.20900877408154,21.695255279541016,-301.4713757477435,6,21.203323364257812,6000,0.707252025604248,1.0,0.4159359037876129,8.0540132522583,1.603412389755249,1.2818583250045776,-0.044368304312229156,89.77439514604437,0.06181699495154324,0.15124137699604034,0.7737051248550415,66.83420133590698,6.0,0.012748433277010918,-91.20900877408154,1000.0,0.4611150324344635,10.039769172668457,-17.10956573486328,1.5182533264160156,0.0,6.0
7.0,0.733251690864563,0.001268535852432251,-203.21322781724982,-107.99022744865712,24.72160530090332,-287.4344974719587,7,24.318504333496094,7000,0.7858155369758606,1.0,0.53865647315979,8.444746971130371,1.582993984222412,1.2308155298233032,-0.021280156448483467,89.83465217993343,0.05066177638540577,-0.10835423320531845,0.7637472152709961,77.92093396186829,7.0,0.024813614785671234,-107.99022744865712,1000.0,0.35331279039382935,15.1510591506958,-18.601036071777344,1.44370436668396,0.0,7.0
8.0,0.7013772130012512,-0.10624172538518906,-295.2611101910648,-125.48760673571721,27.55643081665039,-288.41282406184695,8,27.16459846496582,8000,0.7523512244224548,1.0,0.6320780515670776,10.200772285461426,1.6022616624832153,1.2663414478302002,-0.023534243926405907,89.90260675433387,0.04151957869412388,-0.02978847362101078,0.7618286609649658,88.98518395423889,8.0,0.020161066204309464,-125.48760673571721,1000.0,0.24948935210704803,17.913738250732422,-21.558744430541992,1.4546146392822266,0.0,8.0
9.0,0.6187913417816162,0.17356008291244507,133.08968065114362,-112.22740323011216,30.426830291748047,-241.57921242707022,9,30.015748977661133,9000,0.6142992973327637,1.0,0.4724929928779602,12.029305458068848,1.6138725280761719,1.5115865468978882,-0.054040972143411636,89.92389032532259,0.034711086666206405,0.026538019999861717,0.7573361396789551,100.08463788032532,9.0,0.014093637466430664,-112.22740323011216,1000.0,0.2876847982406616,30.054412841796875,-24.307231903076172,1.6129443645477295,0.0,9.0
10.0,0.6481080651283264,0.12672044336795807,473.3525827816801,-55.6592314922371,33.04986572265625,-170.08603290619516,10,32.65325927734375,10000,0.6052008271217346,1.0,1.086682677268982,14.113762855529785,1.7039480209350586,1.5022848844528198,-0.04336769878864288,89.9568434905293,0.03019736003336582,0.11657179147005081,0.7448468208312988,111.16441631317139,10.0,0.014523073099553585,-55.6592314922371,1000.0,0.2202330082654953,33.34247970581055,-27.474327087402344,1.6026655435562134,0.0,10.0
