eval/episodes,total/epochs,total/duration,ret_rms_std,reference_perturbed_action_mean,rollout/episodes,train/param_noise_distance,rollout/return_history,reference_action_std,rollout/actions_std,ret_rms_mean,reference_action_mean,rollout/actions_mean,rollout/Q_mean,total/steps_per_second,rollout/return,total/steps,obs_rms_std,reference_actor_Q_std,obs_rms_mean,rollout/episode_steps,reference_Q_std,eval/Q,reference_perturbed_action_std,param_noise_stddev,total/episodes,reference_Q_mean,train/loss_actor,eval/return,eval/return_history,train/loss_critic,reference_actor_Q_mean
1.0,1,115.29492950439453,1.0,0.24164235591888428,1.0,0.12553243339061737,-469.10728265129967,0.9365746974945068,0.6940664649009705,0.0,0.3332499563694,0.2004755288362503,0.7262542843818665,8.673408312911839,-469.10728265129967,1000,1.7731379270553589,1.231644868850708,0.0343797542154789,1000.0,1.5434564352035522,4.959049224853516,0.8547188639640808,0.16067924131698763,1.0,3.5248422622680664,-4.244593620300293,-586.8300914638805,-586.8300914638805,0.03563062474131584,4.485450744628906
2.0,2,222.05844640731812,1.0,0.4575991630554199,2.0,0.5658517628908157,-428.4437393928954,0.8746578693389893,0.7510374784469604,0.0,0.18630345165729523,0.15413978695869446,3.2988245487213135,9.006637812512807,-428.4437393928954,2000,1.3244366645812988,2.1000075340270996,0.03049982339143753,1000.0,2.422236442565918,8.18571662902832,0.6762630939483643,0.11230273064362171,2.0,7.943174839019775,-9.146366119384766,-413.30143383197566,-500.06576264792807,0.056261710822582245,8.704761505126953
3.0,3,330.1932690143585,1.0,0.3057326376438141,3.0,0.3577006757259369,-426.61965320174005,0.6760810017585754,0.7119904160499573,0.0,0.13494563102722168,0.35042494535446167,5.120597839355469,9.085587992011867,-426.61965320174005,3000,1.259940505027771,2.1351466178894043,0.07168161869049072,1000.0,2.4559683799743652,13.891654968261719,0.5699643492698669,0.07542848153938683,3.0,13.214580535888672,-12.828116416931152,-185.78290853836174,-395.3048112780726,0.11261813342571259,13.975603103637695
4.0,4,437.81091833114624,1.0,0.1608237475156784,4.0,0.36456289887428284,-370.5178955777111,0.6025168299674988,0.7029249668121338,0.0,0.2254653424024582,0.31883397698402405,7.001133918762207,9.136364198607142,-370.5178955777111,4000,1.4564435482025146,2.314602851867676,0.07728693634271622,1000.0,2.498197555541992,14.972387313842773,0.6341975927352905,0.05066177638540577,4.0,18.24070930480957,-17.016155242919922,-242.8304287037759,-357.1862156344984,0.22931809723377228,18.970504760742188
5.0,5,542.9413533210754,1.0,0.16976749897003174,5.0,0.2939196527004242,-318.64764373837676,0.62181156873703,0.6905185580253601,0.0,0.17292575538158417,0.2717282176017761,10.378541946411133,9.20909775874667,-318.64764373837676,5000,1.6000229120254517,2.4572651386260986,0.06491126865148544,1000.0,2.580645799636841,26.736513137817383,0.6072598099708557,0.03612049597631193,5.0,23.607694625854492,-23.04863739013672,137.5958507505255,-258.22980235749367,0.46353599429130554,24.52090072631836
6.0,6,655.7030375003815,1.0,0.3241872489452362,6.0,0.21400517225265503,-269.48094881594704,0.5862158536911011,0.6839411854743958,0.0,0.16900408267974854,0.23371145129203796,13.112710952758789,9.150483766054705,-269.48094881594704,6000,1.6314314603805542,2.166701078414917,0.0633879229426384,1000.0,2.350926160812378,33.00638198852539,0.5671557784080505,0.03269941380439557,6.0,29.923236846923828,-28.825292587280273,-83.49207002521126,-229.1068469687799,0.6667196750640869,30.808448791503906
7.0,7,769.7318065166473,1.0,0.07039645314216614,7.0,0.20065689831972122,-302.58443644331925,0.6210430860519409,0.7235305309295654,0.0,0.03337107226252556,0.14825238287448883,14.712377548217773,9.094076587113992,-302.58443644331925,7000,1.6747256517410278,1.8011552095413208,0.06667906790971756,1000.0,2.0398435592651367,39.212913513183594,0.6219882369041443,0.030804326970036475,7.0,34.98309326171875,-33.73408508300781,102.65678403893506,-181.71204253910633,1.0006659030914307,35.91040802001953
8.0,8,879.2157762050629,1.0,-0.016204973682761192,8.0,0.23284636437892914,-213.4781393532916,0.5561835169792175,0.6973212957382202,0.0,-0.01965785026550293,0.17216825485229492,18.14279556274414,9.099017802581068,-213.4781393532916,8000,1.661316156387329,2.374616861343384,0.06789591908454895,1000.0,2.4669511318206787,43.46589279174805,0.566218376159668,0.03142349394213421,8.0,39.69184494018555,-37.48731231689453,36.972017632577675,-154.37653501764586,0.5870213508605957,40.527366638183594
9.0,9,992.3760340213776,1.0,0.005647660698741674,9.0,0.23113692551851273,-171.10538235540673,0.6281948089599609,0.6754005551338196,0.0,-0.11884324997663498,0.1902700513601303,21.181777954101562,9.069142836440289,-171.10538235540673,9000,1.6132416725158691,1.9699188470840454,0.0668826624751091,1000.0,2.1689252853393555,52.65402603149414,0.6320307850837708,0.028447279136688076,9.0,46.310760498046875,-44.33023452758789,603.3617394997679,-70.1833934045999,1.226442813873291,47.47463607788086
10.0,10,1108.6357493400574,1.0,0.13869918882846832,10.0,0.24048951268196106,-177.9312488599023,0.5502222180366516,0.6794943809509277,0.0,-0.015430892817676067,0.18428876996040344,23.463335037231445,9.020095198944059,-177.9312488599023,10000,1.7093077898025513,1.9002059698104858,0.07026028633117676,1000.0,2.180440902709961,60.86701965332031,0.47746020555496216,0.02901906944733551,10.0,54.03864669799805,-50.21293640136719,577.2514924528213,-5.439904818857781,1.8953547477722168,55.33500289916992
11.0,11,1220.5801484584808,1.0,0.013235792517662048,11.0,0.212013877928257,-120.098562574388,0.5347524881362915,0.6626167893409729,0.0,0.017926951870322227,0.1945469081401825,27.058853149414062,9.012107901224132,-120.098562574388,11000,1.6974916458129883,2.2192325592041016,0.07132995873689651,1000.0,2.1374049186706543,65.96561431884766,0.550620973110199,0.026270585008002556,11.0,60.767417907714844,-56.51927185058594,247.06818507669496,17.515376080737923,2.967017889022827,61.74825668334961
12.0,12,1335.479751586914,1.0,-0.04171246290206909,12.0,0.16765601187944412,-116.82233385733237,0.5355287790298462,0.6474020481109619,0.0,-0.01678125001490116,0.19896294176578522,30.614992141723633,8.98553496280324,-116.82233385733237,12000,1.6485098600387573,2.2814338207244873,0.06617981940507889,1000.0,2.2788448333740234,69.3777847290039,0.5377231240272522,0.028447279136688076,12.0,67.94973754882812,-65.12853240966797,-123.42854775758148,5.770049094211306,2.570666790008545,69.06873321533203
13.0,13,1447.081336736679,1.0,-0.1270957589149475,13.0,0.17948074638843536,-129.54262642866223,0.5042392611503601,0.643415629863739,0.0,-0.307005375623703,0.2219954878091812,33.814056396484375,8.983600071379795,-129.54262642866223,13000,1.5940386056900024,1.876602053642273,0.06854984909296036,1000.0,2.0249111652374268,60.2953987121582,0.5436614155769348,0.026270585008002556,13.0,77.77139282226562,-73.70391845703125,-118.03496861383944,-3.7534138064079823,3.7522833347320557,78.83515930175781
14.0,14,1555.1380178928375,1.0,-0.05159744620323181,14.0,0.23318125307559967,-145.41879765544834,0.5634737610816956,0.6609388589859009,0.0,-0.1404784917831421,0.1955285221338272,36.59419631958008,9.002416402223613,-145.41879765544834,14000,1.558972954750061,1.7858853340148926,0.06681422144174576,1000.0,1.9473282098770142,34.11102294921875,0.5750947594642639,0.026798623766663407,14.0,84.69072723388672,-79.57591247558594,-534.9598952942137,-41.69673391267981,3.5191173553466797,85.77291870117188
15.0,15,1666.7848620414734,1.0,-0.09468477219343185,15.0,0.14280641824007034,-154.41762283781506,0.5857179760932922,0.6773809194564819,0.0,-0.19687817990779877,0.17745141685009003,37.22749710083008,8.99936179023611,-154.41762283781506,15000,1.5659915208816528,2.062440872192383,0.06720063835382462,1000.0,2.2429752349853516,76.70953369140625,0.6138801574707031,0.025245515830755405,15.0,91.02207946777344,-82.65225219726562,-408.17387081842503,-66.1285430397295,7.645822048187256,91.97161865234375
16.0,16,1783.585278749466,1.0,0.1706973761320114,16.0,0.1980213299393654,-171.13926984012187,0.5203735828399658,0.6958882808685303,0.0,0.2853222191333771,0.15449701249599457,39.428714752197266,8.970695256701244,-171.13926984012187,16000,1.5528558492660522,2.173630952835083,0.06717618554830551,1000.0,2.213996410369873,96.28804016113281,0.5482764840126038,0.026798623766663407,16.0,95.36434936523438,-84.1808090209961,-94.98705407152605,-67.93219997921679,5.332360744476318,96.05703735351562
17.0,17,1893.136973142624,1.0,-0.04581182077527046,17.0,0.21494264900684357,-174.83158439047293,0.5051747560501099,0.6915026307106018,0.0,-0.1550169736146927,0.1660611927509308,42.637481689453125,8.979804547253574,-174.83158439047293,17000,1.5844579935073853,2.456773519515991,0.06957371532917023,1000.0,2.5553715229034424,99.66494750976562,0.5215485095977783,0.02733727610437334,17.0,99.3282241821289,-89.65762329101562,-117.01211438768973,-70.8192537679505,7.0101189613342285,100.59817504882812
18.0,18,2001.7760028839111,1.0,-0.12107545137405396,18.0,0.23396088182926178,-181.2042063449402,0.5122067928314209,0.6905959248542786,0.0,0.02859288454055786,0.16755129396915436,45.4977912902832,8.992015077644965,-181.2042063449402,18000,1.5860114097595215,2.759977340698242,0.07100415229797363,1000.0,2.7374091148376465,109.08641052246094,0.5093334317207336,0.028447279136688076,18.0,101.82145690917969,-90.56924438476562,231.08026461133954,-54.04705830243438,4.618643283843994,102.69844818115234
19.0,19,2114.081818342209,1.0,0.013964205980300903,19.0,0.21611954271793365,-134.1143115653673,0.5291106104850769,0.6835622787475586,0.0,0.049525871872901917,0.1660872846841812,49.11238098144531,8.987353202299026,-134.1143115653673,19000,1.6129324436187744,2.7698917388916016,0.07154656946659088,1000.0,2.915299892425537,116.40805053710938,0.5156375765800476,0.026798623766663407,19.0,107.27163696289062,-96.20011901855469,473.3810219291466,-26.28768565866696,5.949984073638916,108.54496765136719
20.0,20,2226.9016103744507,1.0,0.24741637706756592,20.0,0.16604357957839966,-94.67088599636259,0.5363187789916992,0.6765088438987732,0.0,0.16595683991909027,0.16615529358386993,52.613983154296875,8.981088300814973,-94.67088599636259,20000,1.6332662105560303,2.6547956466674805,0.07051189243793488,1000.0,2.8108022212982178,121.38400268554688,0.5068151354789734,0.02733727610437334,20.0,112.99323272705078,-102.65876770019531,660.5916533579459,8.056281292163684,6.976229667663574,114.31169128417969
21.0,21,2340.8211739063263,1.0,0.29098084568977356,21.0,0.18041034042835236,-77.23224654549924,0.49004656076431274,0.6695945262908936,0.0,0.29026493430137634,0.17175957560539246,55.891239166259766,8.97121071617595,-77.23224654549924,21000,1.6628360748291016,2.42621111869812,0.0699487254023552,1000.0,2.385277509689331,123.38752746582031,0.4940774142742157,0.02575295069895359,21.0,117.97076416015625,-109.13339233398438,281.8708742497729,21.095071433002218,9.191912651062012,119.14291381835938
22.0,22,2454.921839952469,1.0,-0.026663294062018394,22.0,0.18132717162370682,-59.09351002650691,0.5808890461921692,0.6633143424987793,0.0,0.14584487676620483,0.1697182059288025,59.05559539794922,8.961588773199376,-59.09351002650691,22000,1.691954493522644,2.537297010421753,0.06780269742012024,1000.0,2.6427879333496094,123.25971221923828,0.5938929915428162,0.02733727610437334,22.0,120.47566986083984,-112.8051986694336,152.9310883380707,27.08761765595988,5.217897891998291,121.47904968261719
23.0,23,2563.376076936722,1.0,0.09804898500442505,23.0,0.18110984563827515,-37.331101216525994,0.535472571849823,0.6629022359848022,0.0,0.10926410555839539,0.15463559329509735,62.14118576049805,8.972542190331039,-37.331101216525994,23000,1.7165714502334595,2.9375343322753906,0.06457249075174332,1000.0,2.9883522987365723,130.16851806640625,0.5552672743797302,0.026270585008002556,23.0,124.55665588378906,-117.04556274414062,226.99067512785277,35.77905493734653,8.359289169311523,125.90210723876953
24.0,24,2678.7971720695496,1.0,0.05121782422065735,24.0,0.17320368438959122,-19.043288793177705,0.6073082089424133,0.659805953502655,0.0,0.03674225136637688,0.14715108275413513,65.18974304199219,8.959244936584131,-19.043288793177705,24000,1.7352421283721924,2.935358762741089,0.06200471520423889,1000.0,3.0741186141967773,134.20413208007812,0.6554731726646423,0.024748079434129402,24.0,130.2895050048828,-123.08831787109375,-57.10399936651454,31.908927674685646,9.442890167236328,131.47718811035156
25.0,25,2785.8024706840515,1.0,-0.28035613894462585,25.0,0.19596756249666214,-23.733151527601727,0.46850115060806274,0.6594380736351013,0.0,-0.09028971940279007,0.14307281374931335,67.81884765625,8.974074889761036,-23.733151527601727,25000,1.7567939758300781,3.0756473541259766,0.0614514984190464,1000.0,3.199547529220581,143.9427032470703,0.46009361743927,0.024748079434129402,25.0,137.21517944335938,-131.09268188476562,229.71997621270188,39.8213696162063,9.749309539794922,138.87681579589844
