obs_rms_mean,reference_actor_Q_mean,reference_actor_Q_std,rollout/Q_mean,total/steps,rollout/actions_std,eval/return,total/episodes,reference_perturbed_action_mean,eval/return_history,eval/episodes,rollout/return_history,reference_action_std,ret_rms_mean,reference_action_mean,total/epochs,rollout/episodes,rollout/actions_mean,reference_perturbed_action_std,obs_rms_std,total/duration,train/loss_critic,rollout/return,train/loss_actor,reference_Q_mean,total/steps_per_second,train/param_noise_distance,eval/Q,ret_rms_std,reference_Q_std,rollout/episode_steps,param_noise_stddev
-0.007426905445754528,0.7838424444198608,0.8682540059089661,0.12597432732582092,1000,0.7244144678115845,-337.5057775088932,1.0,-0.24609392881393433,-337.5057775088932,1.0,-422.18196706588213,0.7362265586853027,0.0,-0.09005003422498703,1,1.0,-0.002977738156914711,0.6036630868911743,1.7679941654205322,12.973226547241211,0.06333400309085846,-422.18196706588213,-0.6456102132797241,0.1339004933834076,77.08182666498277,0.7762279510498047,0.8794443607330322,1.0,1.0796689987182617,1000.0,0.16720346283821505
-0.051273562014102936,2.515550136566162,1.0544980764389038,1.2439491748809814,2000,0.675451397895813,-303.4403805632541,2.0,-0.19271445274353027,-320.4730790360736,2.0,-357.3882336894149,0.6935897469520569,0.0,0.25320079922676086,2,2.0,-0.22419315576553345,0.5790740251541138,1.306079387664795,25.657788276672363,0.04553428664803505,-357.3882336894149,-3.0361762046813965,1.60621976852417,77.94904137619558,0.5986115336418152,2.9248292446136475,1.0,1.3607076406478882,1000.0,0.1370306733903066
-0.04764903336763382,5.500226974487305,0.9627935290336609,2.4358696937561035,3000,0.6452223658561707,-375.1262018909989,3.0,-0.08994424343109131,-338.69078665438207,3.0,-258.65686069136103,0.7975383400917053,0.0,0.08970483392477036,3,3.0,-0.21843408048152924,0.8140288591384888,1.2672518491744995,38.236783027648926,0.06268484145402908,-258.65686069136103,-5.9268412590026855,4.431963920593262,78.45848323146608,0.39814358949661255,5.044914245605469,1.0,1.4192982912063599,1000.0,0.11230273064362171
-0.041365399956703186,7.443947792053223,1.2374359369277954,2.983870267868042,4000,0.7043991684913635,-416.54643673302405,4.0,0.18862934410572052,-358.15469917404255,4.0,-303.7200283280417,0.7959509491920471,0.0,0.1649348884820938,4,4.0,-0.19926796853542328,0.8597215414047241,1.1426888704299927,50.94519376754761,0.11740218102931976,-303.7200283280417,-7.330974102020264,6.707254409790039,78.51574808511228,0.4348493218421936,6.524190425872803,1.0,1.56135094165802,1000.0,0.09203708190275892
-0.021049033850431442,8.68313980102539,1.5345431566238403,3.516801118850708,5000,0.7557421922683716,-508.1777747041507,5.0,0.18174445629119873,-388.15931428006417,5.0,-335.36853737808934,0.7987365126609802,0.0,0.18672089278697968,5,5.0,-0.11295586079359055,0.8139042258262634,1.0404362678527832,63.89827036857605,0.08463603258132935,-335.36853737808934,-8.582174301147461,7.963313102722168,78.24937938318445,0.2543856203556061,7.486525058746338,1.0,1.874445915222168,1000.0,0.07542848153938683
-0.007682515308260918,9.55875301361084,2.0350303649902344,4.163491725921631,6000,0.769610583782196,-491.1899881027516,6.0,0.2561788558959961,-405.3310932505121,6.0,-320.106341332666,0.7788923382759094,0.0,0.01877390407025814,6,6.0,-0.05529309809207916,0.7870162129402161,1.0647069215774536,76.78267908096313,0.09655468165874481,-320.106341332666,-8.99039363861084,9.007999420166016,78.1426237247248,0.4656444787979126,7.271932601928711,1.0,2.19427752494812,1000.0,0.06181699495154324
0.005575206130743027,11.019048690795898,1.957141637802124,4.667802810668945,7000,0.7863879203796387,15.519746914824978,7.0,-0.16075396537780762,-345.2095446554639,7.0,-317.1840509476961,0.6740091443061829,0.0,-0.2138960212469101,7,7.0,0.009614700451493263,0.7268454432487488,1.0983551740646362,89.70055508613586,0.21377235651016235,-317.1840509476961,-9.795232772827148,10.236196517944336,78.0374212096924,0.33143115043640137,12.657654762268066,1.0,2.2809128761291504,1000.0,0.05066177638540577
0.0025248511228710413,12.036149978637695,2.09254789352417,5.446566581726074,8000,0.7788614630699158,110.23652223130807,8.0,0.01578407548367977,-288.2787862946174,8.0,-311.60798358045815,0.7017161846160889,0.0,-0.11904338002204895,8,8.0,-0.011074854992330074,0.7436299324035645,1.2003650665283203,102.60229921340942,0.16934478282928467,-311.60798358045815,-11.292718887329102,11.43127727508545,77.97096226235888,0.2610076367855072,13.984663963317871,1.0,2.201099395751953,1000.0,0.04151957869412388
0.007303451653569937,13.147893905639648,2.208301544189453,5.980576515197754,9000,0.768155038356781,-9.595502860736252,9.0,-0.26845917105674744,-257.3139770241862,9.0,-298.823079003455,0.6895563006401062,0.0,-0.1728442758321762,9,9.0,-0.024353649467229843,0.6715030074119568,1.245036005973816,115.52780604362488,0.24674920737743378,-298.823079003455,-12.071874618530273,12.424484252929688,77.90332308917453,0.24675706028938293,14.742422103881836,1.0,2.4824087619781494,1000.0,0.03540877950819716
0.00734959589317441,13.878198623657227,2.1006627082824707,6.952540397644043,10000,0.7648075819015503,-32.079669487696485,10.0,-0.14647962152957916,-234.7905462705372,10.0,-261.85497000417,0.6576364636421204,0.0,-0.2052142471075058,10,10.0,-0.026978028938174248,0.6703468561172485,1.2210369110107422,128.28468251228333,0.2213885337114334,-261.85497000417,-13.172414779663086,13.363652229309082,77.95162917476523,0.1925661563873291,15.221383094787598,1.0,2.255884885787964,1000.0,0.03269941380439557
