eval/episodes,train/loss_critic,eval/return_history,reference_action_mean,rollout/episode_steps,rollout/actions_mean,rollout/episodes,train/param_noise_distance,eval/return,rollout/Q_mean,reference_actor_Q_mean,rollout/return_history,reference_perturbed_action_mean,total/duration,obs_rms_mean,ret_rms_std,eval/Q,rollout/return,total/epochs,reference_perturbed_action_std,train/loss_actor,rollout/actions_std,total/steps_per_second,total/episodes,total/steps,reference_action_std,reference_Q_mean,reference_actor_Q_std,reference_Q_std,obs_rms_std,param_noise_stddev,ret_rms_mean
11.0,2.5546181201934814,-59.56400278180178,0.07487186044454575,1000.0,0.3308602571487427,11.0,0.17602179944515228,287.3877425921347,28.816585540771484,71.8841552734375,-105.80401423870403,0.04453607276082039,442.396377325058,0.08825872093439102,1.0,76.2681884765625,-105.80401423870403,11,0.787171483039856,-72.37162017822266,0.6735662221908569,24.864579738449283,11.0,11000,0.7586885690689087,70.63037872314453,2.516176223754883,2.5778493881225586,1.4441543817520142,0.032055106170371106,0.0
12.0,2.680718183517456,-26.185039568824717,0.3019047975540161,1000.0,0.3139498829841614,12.0,0.2521117031574249,340.983555773923,32.18889617919922,81.54753875732422,-122.82370414025813,0.2665990889072418,482.60693359375,0.0945773795247078,1.0,87.83829498291016,-122.82370414025813,12,0.6925655007362366,-80.83106994628906,0.6852166652679443,24.86495564960405,12.0,12000,0.7106698155403137,80.16151428222656,3.2044098377227783,3.2827281951904297,1.5615131855010986,0.027886755354071244,0.0
13.0,4.791923999786377,-43.550181619180634,0.3296530246734619,1000.0,0.3174597918987274,13.0,0.20054888725280762,-251.9318862234516,36.8598747253418,89.79007720947266,-74.0859940205439,0.3762083053588867,522.7489190101624,0.09556756913661957,1.0,88.25945281982422,-74.0859940205439,13,0.7029041647911072,-89.00509643554688,0.681571900844574,24.868535404369297,13.0,13000,0.7138439416885376,88.59992218017578,3.2635915279388428,3.34735107421875,1.5651963949203491,0.027886755354071244,0.0
14.0,6.3657660484313965,-54.63220051384173,0.3655484914779663,1000.0,0.320261150598526,14.0,0.18263568729162216,-198.6984461444361,40.93425369262695,98.65904998779297,-96.89024358142804,0.49261561036109924,562.975816488266,0.09119736403226852,1.0,94.41246032714844,-96.89024358142804,14,0.657953679561615,-96.75767517089844,0.6799039840698242,24.867853271796445,14.0,14000,0.716651976108551,97.34353637695312,1.9782155752182007,2.147686243057251,1.5267504453659058,0.027886755354071244,0.0
15.0,8.267544746398926,-36.71909843701677,0.27403318881988525,1000.0,0.29790303111076355,15.0,0.2171255126595497,214.06433063853274,44.23135757446289,105.61717224121094,-123.20391253677006,0.26949581503868103,603.019537448883,0.09104589372873306,1.0,105.73477172851562,-123.20391253677006,15,0.7873289585113525,-103.34642791748047,0.698276937007904,24.87481593624406,15.0,15000,0.7688308358192444,104.15692901611328,2.808274269104004,2.96366024017334,1.536502480506897,0.026798623766663407,0.0
16.0,7.927435398101807,-47.34055408088465,0.25177958607673645,1000.0,0.29726728796958923,16.0,0.1974555402994156,-206.66238873890285,48.580570220947266,112.70613098144531,-97.76788133514367,0.23408019542694092,643.1695306301117,0.09097220003604889,1.0,102.70635223388672,-97.76788133514367,16,0.7960718870162964,-110.64054870605469,0.6994284391403198,24.87680034271032,16.0,16000,0.7985001802444458,111.35337829589844,2.613297462463379,2.7042386531829834,1.5592432022094727,0.026270585008002556,0.0
17.0,7.687003135681152,-38.33107378666468,0.22588370740413666,1000.0,0.29881930351257324,17.0,0.23181111365556717,105.82061092085488,52.71274948120117,118.63232421875,-88.135530610075,0.25243961811065674,683.285481929779,0.0900338664650917,1.0,118.79258728027344,-88.135530610075,17,0.8226139545440674,-116.33807373046875,0.7009690403938293,24.879791023786282,17.0,17000,0.8164983987808228,117.2686767578125,2.255845069885254,2.364888906478882,1.5906522274017334,0.025245515830755405,0.0
18.0,5.543404579162598,-64.49886870158993,0.1890438348054886,1000.0,0.30474185943603516,18.0,0.21120460331439972,-509.3513822553192,56.615577697753906,122.91026306152344,-78.47809478782936,0.1257021427154541,724.0445477962494,0.09016141295433044,1.0,109.88017272949219,-78.47809478782936,18,0.803653359413147,-121.62091827392578,0.6980755925178528,24.86034879315922,18.0,18000,0.7891092300415039,121.51783752441406,2.8362183570861816,3.22294282913208,1.5808559656143188,0.02733727610437334,0.0
19.0,6.668005466461182,-75.42826559822473,0.24347691237926483,1000.0,0.2914736270904541,19.0,0.22719049453735352,-272.15740973765105,59.925209045410156,126.34286499023438,-81.07421669983808,0.22159135341644287,765.0912568569183,0.08980947732925415,1.0,127.78925323486328,-81.07421669983808,19,0.7914903163909912,-124.55830383300781,0.7063544988632202,24.833638902180315,19.0,19000,0.8344282507896423,124.76564025878906,2.8605427742004395,2.7519428730010986,1.6326134204864502,0.02426044449968572,0.0
20.0,10.266522407531738,-99.07645498930268,0.16574431955814362,1000.0,0.2713127136230469,20.0,0.21129605919122696,-548.3920534197839,62.77177429199219,128.20443725585938,-93.22966658918645,0.10353418439626694,806.1172773838043,0.09017927199602127,1.0,113.40550231933594,-93.22966658918645,20,0.7929207682609558,-126.8900375366211,0.7233887314796448,24.810285750118844,20.0,20000,0.7931638956069946,126.94093322753906,2.1041476726531982,2.1770153045654297,1.6292668581008911,0.022854436146078055,0.0
21.0,6.912471294403076,-107.53292484028819,0.24163387715816498,1000.0,0.26204782724380493,21.0,0.22425515949726105,-276.66232185999814,65.41300964355469,131.2650909423828,-104.12655808046094,0.16056379675865173,846.4455687999725,0.09290420264005661,1.0,115.89082336425781,-104.12655808046094,21,0.8033875823020935,-129.02264404296875,0.7357622981071472,24.809628373118233,21.0,21000,0.7847175598144531,130.13265991210938,2.1591804027557373,2.070838451385498,1.6325935125350952,0.021962663920618616,0.0
22.0,16.83796501159668,-114.55818971906069,0.22406987845897675,1000.0,0.24612970650196075,22.0,0.22451060265302658,-262.0887521732835,67.99039459228516,134.89109802246094,-102.35407460815112,0.16437985002994537,886.4860188961029,0.09353291243314743,1.0,116.30594635009766,-102.35407460815112,22,0.8387669324874878,-132.14053344726562,0.7428717017173767,24.817086260870205,22.0,22000,0.7899237871170044,133.37355041503906,2.1149895191192627,2.071422815322876,1.6982829570770264,0.020282151651708893,0.0
23.0,10.247607231140137,-88.90202613175587,0.23954446613788605,1000.0,0.21879462897777557,23.0,0.19290707260370255,475.5335727889502,70.21849060058594,139.3595733642578,-108.06431280680162,0.2182859182357788,926.6196155548096,0.0930820107460022,1.0,141.81932067871094,-108.06431280680162,23,0.7826609015464783,-135.0974578857422,0.753462016582489,24.821404181292717,23.0,23000,0.7997250556945801,137.9954376220703,1.8706555366516113,1.7584633827209473,1.7415120601654053,0.019882513137642284,0.0
24.0,9.594754219055176,-90.89664410179921,0.31024131178855896,1000.0,0.22233113646507263,24.0,0.19261793792247772,-136.77285741279542,73.11643981933594,141.87344360351562,-98.1647353976547,0.33229297399520874,966.7225284576416,0.09415119141340256,1.0,140.89857482910156,-98.1647353976547,24,0.7465388178825378,-136.45223999023438,0.7509732842445374,24.826151551770312,24.0,24000,0.7682589292526245,140.39215087890625,2.2829267978668213,2.2937142848968506,1.783578872680664,0.019882513137642284,0.0
25.0,15.782828330993652,-80.34958355684927,0.09293875843286514,1000.0,0.2310691922903061,25.0,0.2312486693263054,172.77986952194948,75.74842071533203,142.44337463378906,-106.38371404492364,0.1542532593011856,1007.0025887489319,0.09499044716358185,1.0,144.81703186035156,-106.38371404492364,25,0.862446665763855,-137.2120819091797,0.7486692667007446,24.826152662685015,25.0,25000,0.8946331739425659,140.83741760253906,3.356076717376709,3.0655324459075928,1.8144712448120117,0.019882513137642284,0.0
26.0,12.917389869689941,-63.35076725255464,0.07418987154960632,1000.0,0.2331722229719162,26.0,0.20522402226924896,361.61964035481117,78.1810531616211,144.2123260498047,-109.47275239156419,0.09218385815620422,1047.135092973709,0.09540732204914093,1.0,150.38153076171875,-109.47275239156419,26,0.8858526349067688,-139.5465087890625,0.7474624514579773,24.82965204247318,26.0,26000,0.8651890754699707,142.54515075683594,3.6467888355255127,3.395975112915039,1.8408032655715942,0.019106704324195603,0.0
27.0,10.262545585632324,-74.30538468823214,0.2257481813430786,1000.0,0.23792265355587006,27.0,0.2036360800266266,-359.12543801584707,80.92398834228516,146.86740112304688,-92.01704700777496,0.19785885512828827,1087.1862878799438,0.09520953893661499,1.0,122.73431396484375,-92.01704700777496,27,0.8086400628089905,-142.44615173339844,0.7461450099945068,24.834750310042143,27.0,27000,0.795281171798706,145.26539611816406,3.9394681453704834,3.6177940368652344,1.8296105861663818,0.018730226766195082,0.0
28.0,11.674738883972168,-53.412707685228156,0.11488097906112671,1000.0,0.2294282168149948,28.0,0.20264043658971786,510.68957139587917,82.73405456542969,151.5885009765625,-89.82919672079224,0.05374131724238396,1127.1884336471558,0.09702026844024658,1.0,159.05197143554688,-89.82919672079224,28,0.8498419523239136,-145.5739288330078,0.7530736923217773,24.840567170657156,28.0,28000,0.8619416356086731,149.77951049804688,4.051177501678467,3.634988307952881,1.8986684083938599,0.019490749081111935,0.0
29.0,18.24622917175293,-61.96958299761232,0.19079053401947021,1000.0,0.23063692450523376,29.0,0.1883770003914833,-301.562091744369,85.2984619140625,152.5643768310547,-75.44948320087683,0.21669261157512665,1167.4185965061188,0.09613101184368134,1.0,138.77769470214844,-75.44948320087683,29,0.802602231502533,-145.18067932128906,0.7521646618843079,24.841132466787805,29.0,29000,0.8266345262527466,151.17041015625,4.025921821594238,3.923954725265503,1.8861721754074097,0.019882513137642284,0.0
30.0,13.935009956359863,-57.93909479114832,0.26908189058303833,1000.0,0.20340947806835175,30.0,0.19481247663497925,58.945063196307615,86.4926986694336,156.77734375,-91.02217804001371,0.3049263060092926,1207.6027884483337,0.09308216720819473,1.0,154.61483764648438,-91.02217804001371,30,0.7502216100692749,-146.30905151367188,0.7675878405570984,24.84260576985536,30.0,30000,0.7708368897438049,154.84182739257812,3.616619348526001,3.4936563968658447,1.8664840459823608,0.020689822899908242,0.0
