obs_rms_mean,train/loss_actor,rollout/actions_std,ret_rms_std,total/episodes,reference_action_std,eval/return_history,rollout/actions_mean,eval/episodes,total/duration,total/steps,rollout/return,rollout/episode_steps,ret_rms_mean,obs_rms_std,reference_actor_Q_std,eval/return,reference_Q_std,rollout/Q_mean,train/loss_critic,rollout/return_history,rollout/episodes,train/param_noise_distance,total/epochs,total/steps_per_second,reference_actor_Q_mean,eval/Q,reference_Q_mean,reference_action_mean
0.027462154626846313,0.11949323862791061,0.530983567237854,1.0,1.0,0.3039364218711853,-436.31874908937095,0.22791211307048798,1.0,13.060948371887207,1000,-183.24295890326204,1000.0,0.0,0.24623562395572662,0.43909794092178345,-436.31874908937095,0.39419490098953247,-0.23425674438476562,0.008340996690094471,-183.24295890326204,1.0,0.0,1,76.56411858670471,-0.08508606255054474,-0.9930505752563477,-0.24169275164604187,0.7942522168159485
0.0747939795255661,0.7958568334579468,0.6320905685424805,1.0,2.0,0.607704758644104,-407.1725085834001,0.31723102927207947,2.0,25.858076333999634,2000,-289.27674479413326,1000.0,0.0,0.49764981865882874,1.0436309576034546,-378.0262680774292,1.122274398803711,-0.7981483936309814,0.01562517136335373,-289.27674479413326,2.0,0.0,2,77.34527403224844,0.5109624862670898,-1.5244498252868652,0.2418496161699295,0.6103169918060303
0.08360235393047333,0.5146530866622925,0.6851353049278259,1.0,3.0,0.7479302287101746,-424.4340931609309,0.273447185754776,3.0,38.551562547683716,3000,-317.84297642320024,1000.0,0.0,0.5046219825744629,1.10105299949646,-458.9572623159926,1.2157334089279175,-0.7725909948348999,0.013020592741668224,-317.84297642320024,3.0,0.0,3,77.81785748085711,1.4368082284927368,0.9097105264663696,1.0646780729293823,0.33459725975990295
0.07967067509889603,-0.6444048881530762,0.7161803245544434,1.0,4.0,0.8166621327400208,-381.3637031253508,0.15941622853279114,4.0,51.3043646812439,4000,-315.68856580446186,1000.0,0.0,0.6756426095962524,1.1304352283477783,-252.15253301861048,1.3215409517288208,-0.47473374009132385,0.024473082274198532,-315.68856580446186,4.0,0.0,4,77.96607608050822,1.7922372817993164,2.7042970657348633,1.4628372192382812,-0.11315593868494034
0.0736026018857956,-2.413644790649414,0.7279844284057617,1.0,5.0,0.9323527216911316,-415.3792000877982,0.09917314350605011,5.0,64.03033399581909,5000,-268.3276706041422,1000.0,0.0,0.8962969779968262,2.122040271759033,-551.4411879375878,1.970108985900879,-0.30754372477531433,0.05671659857034683,-268.3276706041422,5.0,0.0,5,78.08798873868874,3.970726490020752,-2.580171585083008,3.13137149810791,-0.04311440885066986
0.07543019205331802,-3.7534821033477783,0.738833487033844,1.0,6.0,0.7897487282752991,-434.04172007876326,0.013257751241326332,6.0,76.7117645740509,6000,-291.44346132319976,1000.0,0.0,1.0588420629501343,2.3705642223358154,-527.3543200335884,2.5820629596710205,-0.6180920600891113,0.07483382523059845,-291.44346132319976,6.0,0.0,6,78.21486095797104,7.306913375854492,2.9833617210388184,6.2218828201293945,-0.14031066000461578
0.07391689717769623,-4.116255283355713,0.7592960000038147,1.0,7.0,0.7072703838348389,-431.12169456959737,-0.03295382857322693,7.0,89.5276460647583,7000,-329.0144892123708,1000.0,0.0,1.1409542560577393,1.8255608081817627,-413.6015415146021,1.9320392608642578,-0.6180173754692078,0.14263848960399628,-329.0144892123708,7.0,0.0,7,78.1881386106887,8.506121635437012,4.263011932373047,7.8570709228515625,0.1541871875524521
0.06598254293203354,-7.073920249938965,0.7408690452575684,1.0,8.0,0.7037035226821899,-440.0365964373433,-0.006484490819275379,8.0,102.22361993789673,8000,-309.0813037129875,1000.0,0.0,1.189672827720642,1.9837620258331299,-502.4409095115652,1.965263843536377,0.9976093173027039,0.19961872696876526,-309.0813037129875,8.0,0.0,8,78.25979949506963,11.034348487854004,-2.9316530227661133,10.090174674987793,0.33964821696281433
0.07930257171392441,-7.7230072021484375,0.7519159913063049,1.0,9.0,0.7139246463775635,-428.4158728937013,0.0007528477581217885,9.0,114.92579793930054,9000,-319.4876694208136,1000.0,0.0,1.300140380859375,1.8775455951690674,-335.45008454456524,1.8621193170547485,0.5682106614112854,0.24962063133716583,-319.4876694208136,9.0,0.0,9,78.31139884496133,14.258318901062012,-2.9392499923706055,13.344151496887207,0.4927079975605011
0.08856834471225739,-7.2745842933654785,0.7658006548881531,1.0,10.0,0.7140282392501831,-438.6981877433039,-0.0030095812398940325,10.0,127.61598324775696,10000,-323.35028868165534,1000.0,0.0,1.3061052560806274,1.453654408454895,-531.239021389727,1.573317527770996,0.11340512335300446,0.2164677381515503,-323.35028868165534,10.0,0.0,10,78.36009052710696,17.537456512451172,-4.678819179534912,16.886566162109375,0.2162223905324936
0.09566595405340195,-6.747483730316162,0.7819485068321228,1.0,11.0,0.7211808562278748,-413.7070668888333,-0.009386885911226273,11.0,140.37317848205566,11000,-340.93579829841525,1000.0,0.0,1.3310303688049316,1.690958023071289,-163.79585834412794,1.8210316896438599,-0.43388569355010986,0.340396910905838,-340.93579829841525,11.0,0.0,11,78.3625484508507,19.624858856201172,22.655710220336914,18.930322647094727,-0.1009460911154747
0.09070271998643875,-8.669931411743164,0.7685662508010864,1.0,12.0,0.7016475200653076,-361.6067505932911,-0.002977808704599738,12.0,153.04601168632507,12000,-321.298868686017,1000.0,0.0,1.4164466857910156,1.2374666929244995,211.49672865767334,1.45029616355896,1.3924695253372192,0.517560601234436,-321.298868686017,12.0,0.0,12,78.40779297532143,21.766040802001953,25.638019561767578,21.148902893066406,0.08780119568109512
