total/episodes,reference_action_mean,rollout/actions_std,train/param_noise_distance,ret_rms_std,obs_rms_std,reference_actor_Q_mean,reference_actor_Q_std,param_noise_stddev,total/epochs,ret_rms_mean,reference_perturbed_action_mean,train/loss_actor,rollout/actions_mean,rollout/episode_steps,eval/return_history,eval/episodes,reference_Q_mean,rollout/episodes,reference_perturbed_action_std,total/steps_per_second,rollout/return_history,rollout/Q_mean,obs_rms_mean,eval/Q,train/loss_critic,reference_action_std,eval/return,total/duration,rollout/return,reference_Q_std,total/steps
149.0,0.016034120693802834,0.6632118225097656,0.22768859565258026,1.0,2.1908938884735107,446.9168701171875,2.4675955772399902,0.018361167303396805,149,0.0,0.08885735273361206,-457.37713623046875,-0.12459612637758255,1000.0,1387.8272726470123,149.0,445.13812255859375,149.0,0.7289799451828003,45.185553035659,1227.139865989095,337.6068420410156,0.040903449058532715,375.2696838378906,184.83021545410156,0.7344173192977905,-550.5694473393994,3297.514138698578,882.7960251851354,2.81330943107605,149000
150.0,0.1832621544599533,0.6646696329116821,0.16405583918094635,1.0,2.191145420074463,444.766357421875,2.7185959815979004,0.018361167303396805,150,0.0,0.1640274077653885,-458.4801940917969,-0.12287487834692001,1000.0,1376.47780257003,150.0,442.9372863769531,150.0,0.7141939401626587,45.18330751593345,1224.8681910482312,338.193603515625,0.041833873838186264,398.2319030761719,197.13009643554688,0.7186926007270813,-223.00492350431537,3319.810085773468,876.1343735214328,3.0706048011779785,150000
151.0,0.22917093336582184,0.6672888398170471,0.19566865265369415,1.0,2.1947617530822754,446.15789794921875,2.8240389823913574,0.019106704324195603,151,0.0,0.20029230415821075,-457.3214111328125,-0.11846935003995895,1000.0,1370.0733576266937,151.0,443.6210632324219,151.0,0.7276772856712341,45.1818426503922,1217.679875626442,338.6061096191406,0.043353136628866196,408.03662109375,96.80635833740234,0.7167465090751648,-179.22721322757093,3342.0505039691925,867.4008952966336,3.4569091796875,151000
152.0,0.2669556438922882,0.6690463423728943,0.23899656534194946,1.0,2.2024106979370117,448.56463623046875,2.6649906635284424,0.019882513137642284,152,0.0,0.18893496692180634,-458.9735412597656,-0.11550974100828171,1000.0,1356.2659396768054,152.0,446.01190185546875,152.0,0.7687230706214905,45.18133448486682,1197.6798276120537,339.0885009765625,0.04450517147779465,401.6376647949219,153.6927032470703,0.7430824041366577,-463.2283939081658,3364.2211265563965,858.4491970350084,3.1911189556121826,152000
153.0,0.19366402924060822,0.6714082360267639,0.17196246981620789,1.0,2.2001631259918213,451.056640625,2.415961980819702,0.019106704324195603,153,0.0,0.1846274584531784,-459.8965759277344,-0.11295562982559204,1000.0,1340.2737764388412,153.0,448.79791259765625,153.0,0.7726093530654907,45.18092405998303,1185.6671487667645,339.5146789550781,0.0456121526658535,388.66259765625,269.7720947265625,0.7722455263137817,-509.6533688546539,3386.384922027588,849.6157379107221,2.5899879932403564,153000
154.0,0.20563776791095734,0.6734016537666321,0.2027430385351181,1.0,2.199679374694824,451.3742980957031,2.8500752449035645,0.018730226766195082,154,0.0,0.14631642401218414,-462.0332336425781,-0.10960323363542557,1000.0,1336.2008832850136,154.0,447.4858703613281,154.0,0.7549145817756653,45.18004730981952,1171.2410319442208,339.9285888671875,0.046702414751052856,390.0657043457031,154.5857391357422,0.727397084236145,-496.5992682897334,3408.58430147171,840.9685393164444,6.338080883026123,154000
155.0,0.1528390496969223,0.6756185293197632,0.19780170917510986,1.0,2.1975040435791016,455.3739318847656,2.5805346965789795,0.018730226766195082,155,0.0,0.12359104305505753,-462.7465515136719,-0.10440859943628311,1000.0,1328.1011459885754,155.0,452.5020446777344,155.0,0.7934693694114685,45.180164618292245,1160.4842024885145,340.1030578613281,0.04827508702874184,373.8603210449219,304.4518737792969,0.780708909034729,-353.1576118798725,3430.709058046341,832.8502360163851,2.8996286392211914,155000
156.0,0.09120910614728928,0.6780303716659546,0.1909276396036148,1.0,2.194746971130371,457.4156494140625,2.365858316421509,0.018730226766195082,156,0.0,0.10812041163444519,-463.6015319824219,-0.09876743704080582,1000.0,1317.5453812597211,156.0,455.0867919921875,156.0,0.7451754808425903,45.18036280869197,1146.4066801628526,340.1639099121094,0.04999286308884621,388.7335510253906,187.38290405273438,0.7424793243408203,-328.699505040027,3452.8275184631348,824.6887082175025,2.6937925815582275,156000
157.0,0.08062049746513367,0.6800151467323303,0.24072395265102386,1.0,2.1948299407958984,458.8385009765625,2.815207004547119,0.017644720880324885,157,0.0,0.12575964629650116,-463.53948974609375,-0.09436666965484619,1000.0,1311.1095164878532,157.0,455.75323486328125,157.0,0.7575116753578186,45.1811321083061,1137.5430882572064,340.3694763183594,0.05135531723499298,383.1640625,255.0304718017578,0.764331042766571,-661.8729291722799,3474.901859998703,816.5778314653878,3.71683406829834,157000
158.0,0.13650916516780853,0.6807928681373596,0.19641385972499847,1.0,2.1990299224853516,457.11114501953125,2.764815330505371,0.017999379770019416,158,0.0,0.04766565188765526,-462.75921630859375,-0.09288400411605835,1000.0,1298.2853710370912,158.0,454.7224426269531,158.0,0.7494742274284363,45.180840648491795,1131.3505526851304,340.9769287109375,0.051794230937957764,371.31866455078125,213.19442749023438,0.704502284526825,-394.7285888133995,3497.057552099228,809.7657299752725,4.004268646240234,158000
159.0,0.1116408109664917,0.6830005049705505,0.20166411995887756,1.0,2.204177141189575,458.03924560546875,2.8492653369903564,0.017644720880324885,159,0.0,0.1502360701560974,-461.5633850097656,-0.09004412591457367,1000.0,1284.2438725314746,159.0,455.4046630859375,159.0,0.7195892333984375,45.18135893988787,1125.3263094608837,341.13006591796875,0.052920129150152206,367.2461853027344,162.34071350097656,0.7364492416381836,-541.0964821733991,3519.1504578590393,801.7810703655946,3.223759651184082,159000
160.0,0.17505712807178497,0.6848120093345642,0.17986927926540375,1.0,2.2107574939727783,456.98388671875,2.761451005935669,0.017297050171870294,160,0.0,0.19150744378566742,-461.425537109375,-0.08712293207645416,1000.0,1278.216493856751,160.0,454.9561767578125,160.0,0.7550406455993652,45.18175457219267,1116.3234785856355,341.2326354980469,0.05404781550168991,424.95318603515625,270.7650146484375,0.7549349069595337,553.8219249980282,3541.2524704933167,793.0913686459251,3.546372652053833,160000
