rollout/episode_steps,total/duration,rollout/return_history,total/epochs,reference_perturbed_action_mean,train/loss_critic,total/steps,reference_action_std,reference_perturbed_action_std,reference_actor_Q_mean,eval/return,eval/episodes,train/loss_actor,total/episodes,reference_Q_mean,param_noise_stddev,rollout/actions_std,reference_action_mean,reference_Q_std,obs_rms_std,obs_rms_mean,eval/Q,eval/return_history,rollout/return,ret_rms_mean,reference_actor_Q_std,ret_rms_std,train/param_noise_distance,rollout/actions_mean,total/steps_per_second,rollout/Q_mean,rollout/episodes
200.52830188679246,297.577999830246,308.784653948992,32,0.5216871500015259,35.73002243041992,32000,0.6185159683227539,0.5644037127494812,149.04318237304688,386.51619749215104,32.0,-171.83253479003906,159.0,141.998046875,0.026798623766663403,0.4901931583881378,0.46500059962272644,79.89190673828125,1.1767717599868774,0.09705621004104614,190.3473663330078,257.9406650188368,230.55611476363504,0.0,77.78108215332031,1.0,0.2494199126958847,0.5799879431724548,107.53483126526312,93.50582122802734,159.0
203.2962962962963,307.06599140167236,311.0540763191639,33,0.5266713500022888,32.30766677856445,33000,0.6034826636314392,0.6002225279808044,153.82211303710938,473.84032428806614,33.0,-171.41888427734375,162.0,146.9176788330078,0.026270585008002553,0.4896356463432312,0.47042691707611084,79.9407958984375,1.190891146659851,0.0925590768456459,191.13067626953125,264.4830789360862,231.5248144973204,0.0,77.87533569335938,1.0,0.27131223678588867,0.5801947116851807,107.46875565530398,93.8393783569336,162.0
202.11904761904762,316.8539628982544,301.78432805203414,34,0.4783862829208374,38.6475715637207,34000,0.6460886597633362,0.6216549277305603,152.89541625976562,413.87393060389775,34.0,-177.85462951660156,168.0,145.92318725585938,0.02788675535407124,0.49002349376678467,0.4114537239074707,80.9920654296875,1.1973456144332886,0.09285018593072891,192.1650848388672,268.8769275145512,231.3588765683229,0.0,78.19955444335938,1.0,0.24680353701114655,0.5798841714859009,107.30495427294942,96.28473663330078,168.0
203.10588235294117,325.9055874347687,305.63626668131207,35,0.5283872485160828,40.38287353515625,35000,0.6533729434013367,0.600884199142456,156.084228515625,88.79422597071309,35.0,-178.44082641601562,170.0,147.77334594726562,0.025752950698953586,0.4890996217727661,0.42372390627861023,85.80430603027344,1.1880067586898804,0.09335152059793472,193.65536499023438,263.7317074704415,234.3819906161406,0.0,82.55460357666016,1.0,0.21614456176757812,0.5815638899803162,107.3930651986916,99.43675231933594,170.0
207.48554913294797,335.389616727829,314.6845041556819,36,0.41460728645324707,33.81732940673828,36000,0.659340500831604,0.6662726998329163,161.49380493164062,277.5593362450234,36.0,-185.02024841308594,173.0,152.31582641601562,0.025752950698953586,0.48915010690689087,0.39150509238243103,84.86473083496094,1.1931360960006714,0.09337712824344635,190.27174377441406,264.11580826973545,240.21768837746885,0.0,81.93045043945312,1.0,0.21969257295131683,0.5818051695823669,107.3378488911726,102.5022201538086,173.0
204.72222222222223,345.39797019958496,300.2241101050263,37,0.4006935656070709,37.32570266723633,37000,0.6447470188140869,0.6385231614112854,162.84921264648438,417.14415091644685,37.0,-185.59536743164062,180.0,154.5242462158203,0.0252455158307554,0.4905153810977936,0.4121955931186676,89.1775131225586,1.2313740253448486,0.08743923157453537,214.10606384277344,268.2517094223493,232.7782414054832,0.0,85.67469787597656,1.0,0.17115190625190735,0.5801504254341125,107.12280671082085,103.89965057373047,180.0
205.0,354.2596986293793,300.61841848899263,38,0.4639616012573242,47.306339263916016,38000,0.6247645616531372,0.6363381147384644,165.61688232421875,114.20624507747122,38.0,-193.73330688476562,181.0,156.84442138671875,0.0247480794341294,0.4885769784450531,0.4088437855243683,88.02831268310547,1.2400789260864258,0.0855996385216713,180.60995483398438,264.1978814132736,232.86581040119998,0.0,84.63844299316406,1.0,0.1951792985200882,0.5828226208686829,107.26594119235386,107.48381805419922,181.0
210.71038251366122,363.6691701412201,302.734271337723,39,0.4738048017024994,41.6506233215332,39000,0.5614442825317383,0.6025487780570984,172.7722930908203,426.85009374071404,39.0,-197.18051147460938,183.0,163.6961669921875,0.0252455158307554,0.4872026741504669,0.5553731322288513,85.87669372558594,1.2541329860687256,0.0836763083934784,215.88992309570312,268.36845096013104,238.33121688998813,0.0,82.6194839477539,1.0,0.1974925696849823,0.5835117697715759,107.24032500433158,110.79859161376953,183.0
213.62032085561498,372.64033555984497,310.39696478745003,40,0.5757002234458923,32.870792388916016,40000,0.639022707939148,0.60935378074646,179.4810333251953,126.07434732370011,40.0,-202.9212646484375,187.0,169.72567749023438,0.0247480794341294,0.48565706610679626,0.49032557010650635,85.64534759521484,1.2540661096572876,0.08239936828613281,195.26593017578125,264.81109836922025,242.52182375056145,0.0,81.3571548461914,1.0,0.21959154307842255,0.584607720375061,107.34211029491765,113.82144927978516,187.0
212.93229166666666,381.80289697647095,316.65061060536823,41,0.3488067090511322,25.422500610351562,41000,0.6367927193641663,0.649505615234375,179.45970153808594,308.6699976739832,41.0,-208.5394744873047,192.0,171.87445068359375,0.0252455158307554,0.4870144724845886,0.40273916721343994,86.4812240600586,1.2671023607254028,0.08237693458795547,211.2571258544922,265.8808276205559,243.70804544899224,0.0,82.88470458984375,1.0,0.22136524319648743,0.5822334289550781,107.38525119815074,116.21994018554688,192.0
211.6060606060606,391.27931213378906,313.94973172768005,42,0.4701875150203705,47.98249816894531,42000,0.664527416229248,0.6435093283653259,184.5428924560547,438.52098631944335,42.0,-205.03353881835938,198.0,176.9949951171875,0.025752950698953586,0.48869723081588745,0.3971066474914551,84.5197982788086,1.2757853269577026,0.08061710745096207,226.19204711914062,269.99130758957705,242.21468411922442,0.0,81.77669525146484,1.0,0.1905166059732437,0.580486536026001,107.34020097039799,118.65521240234375,198.0
211.0886699507389,400.99931931495667,313.2946679939441,43,0.5251172184944153,65.6575698852539,43000,0.5744649171829224,0.5988926291465759,189.76434326171875,496.69220705490204,43.0,-211.17584228515625,203.0,182.93728637695312,0.025752950698953586,0.49069035053253174,0.5621741414070129,85.57817077636719,1.2747083902359009,0.08136564493179321,227.97744750976562,275.26342153063115,243.86028344839914,0.0,83.96683502197266,1.0,0.17261160910129547,0.579495906829834,107.23210222266371,121.09220123291016,203.0
