obs_rms_std,eval/episodes,param_noise_stddev,rollout/episodes,ret_rms_std,total/steps_per_second,reference_actor_Q_mean,eval/return_history,rollout/episode_steps,train/param_noise_distance,eval/Q,reference_Q_std,reference_actor_Q_std,total/epochs,rollout/actions_mean,reference_action_std,total/duration,ret_rms_mean,reference_Q_mean,rollout/Q_mean,rollout/actions_std,reference_perturbed_action_std,total/episodes,train/loss_critic,rollout/return,reference_action_mean,rollout/return_history,eval/return,obs_rms_mean,train/loss_actor,total/steps,reference_perturbed_action_mean
0.2762252390384674,1.0,0.16720346283821505,1.0,1.0,61.57121674094288,-1.1556936502456665,-980.6404511942944,1000.0,0.6089260578155518,-0.8632108569145203,1.006003499031067,0.6552628874778748,1,-0.1267058253288269,0.7257740497589111,16.241355180740356,0.0,-2.1167454719543457,-1.1676515340805054,0.6252399682998657,0.47677212953567505,1.0,0.06630250811576843,-803.1838192704582,-0.009634256362915039,-803.1838192704582,-980.6404511942944,0.028646746650338173,1.214550495147705,1000,-0.4061811566352844
0.28624227643013,2.0,0.1370306733903066,2.0,1.0,63.003833597034486,-0.567172110080719,-1149.6989713121416,1000.0,0.282499223947525,-3.452956199645996,0.9391376376152039,0.7018125653266907,2,-0.2960355281829834,0.7866793274879456,31.744100093841553,0.0,-1.460785150527954,-1.5771591663360596,0.5591045022010803,0.8200180530548096,2.0,0.06959971785545349,-740.3295314370966,0.14004558324813843,-740.3295314370966,-1318.757491429989,0.017376607283949852,1.308779239654541,2000,0.04683688282966614
0.26750388741493225,3.0,0.11230273064362171,3.0,1.0,63.513054307963166,-1.230689287185669,-1315.5768339401736,1000.0,0.39667442440986633,-1.6325573921203613,2.0863022804260254,1.5890167951583862,3,-0.18779538571834564,0.7228626012802124,47.234384059906006,0.0,-2.070784091949463,-3.8195765018463135,0.688727080821991,0.6334233283996582,3.0,0.4563792049884796,-1130.5232620394627,-0.1730157732963562,-1130.5232620394627,-1647.3325591962373,0.022226111963391304,4.929609298706055,3000,-0.3023538887500763
0.27438586950302124,4.0,0.09203708190275892,4.0,1.0,65.85663641149866,-1.4631457328796387,-1286.8327169230722,1000.0,0.49078235030174255,-1.794809341430664,1.8778599500656128,1.5390466451644897,4,-0.22543267905712128,0.8869479298591614,60.73799419403076,0.0,-2.2907450199127197,-3.8159499168395996,0.6837853789329529,0.8639251589775085,4.0,0.3186827003955841,-1130.5348996518273,0.06439763307571411,-1130.5348996518273,-1200.6003658717684,0.018887434154748917,4.292254447937012,4000,0.0751722976565361
0.2913167178630829,5.0,0.07542848153938683,5.0,1.0,65.59698223453434,-3.1181960105895996,-1505.8410085291503,1000.0,0.48816099762916565,-5.847981929779053,1.3777730464935303,1.1193705797195435,5,-0.169006809592247,0.8069495558738708,76.22301864624023,0.0,-3.785494804382324,-3.8857545852661133,0.7331557273864746,0.7574559450149536,5.0,0.2794554829597473,-1324.2318586090091,-0.2554694712162018,-1324.2318586090091,-2381.874174953463,0.019864171743392944,5.042548656463623,5000,-0.16421063244342804
0.28224438428878784,6.0,0.06181699495154324,6.0,1.0,66.6319406431341,-3.879049301147461,-1455.9409313067572,1000.0,0.5148675441741943,-7.104197025299072,1.7250306606292725,1.4368441104888916,6,-0.1730203479528427,0.8308559060096741,90.04690456390381,0.0,-4.617624759674072,-5.010127067565918,0.7556294202804565,0.8027173280715942,6.0,0.3322640657424927,-1455.290661356792,-0.007711224257946014,-1455.290661356792,-1206.440545194792,0.021949896588921547,7.258127212524414,6000,-0.11937300115823746
0.33054113388061523,7.0,0.05066177638540577,7.0,1.0,66.96587769262639,-5.869428634643555,-1509.6028073450304,987.4285714285714,0.4330630302429199,-6.353593349456787,1.6923975944519043,1.41066575050354,7,-0.16123950481414795,0.8534567952156067,104.53084826469421,0.0,-6.215017795562744,-5.30997371673584,0.7609724402427673,0.8327884078025818,7.0,0.5219393372535706,-1426.8731035071728,0.05655853450298309,-1426.8731035071728,-1831.5740635746702,0.019615331664681435,9.182403564453125,7000,0.0412842333316803
0.3265208303928375,8.0,0.04151957869412388,8.0,1.0,67.74816536205276,-7.982756614685059,-1527.9005901943583,989.0,0.2764747738838196,-10.638232231140137,2.384725332260132,2.363220691680908,8,-0.140536367893219,0.8936135172843933,118.08437848091125,0.0,-8.19176959991455,-6.214178085327148,0.7879346609115601,0.8864707350730896,8.0,0.6872407793998718,-1562.9792393278674,0.22515875101089478,-1562.9792393278674,-1655.9850701396529,0.02094150148332119,12.153244972229004,8000,0.14132124185562134
0.3262833058834076,9.0,0.034027141129503384,9.0,1.0,67.4085734226463,-8.120306968688965,-1612.4237167453641,990.2222222222222,0.23218105733394623,-9.78996753692627,2.8991804122924805,2.688965082168579,9,-0.12352993339300156,0.8652657270431519,133.5141739845276,0.0,-8.551013946533203,-6.964117050170898,0.8030489683151245,0.8717076778411865,9.0,0.8672692775726318,-1641.294554107413,-0.20460709929466248,-1641.294554107413,-2288.6087291534113,0.023319927975535393,13.689641952514648,9000,-0.20479926466941833
0.3381509482860565,10.0,0.027886755354071244,10.0,1.0,67.13397994975007,-11.095606803894043,-1654.5850388385193,991.2,0.20771609246730804,-13.749865531921387,2.368046283721924,2.0982165336608887,10,-0.13379889726638794,0.8281313180923462,148.9558641910553,0.0,-11.688180923461914,-7.543400764465332,0.8115721940994263,0.8331669569015503,10.0,1.2918645143508911,-1708.2666865261974,0.2699762284755707,-1708.2666865261974,-2034.0369376769145,0.02281111665070057,16.774089813232422,10000,0.11179040372371674
