reference_Q_mean,train/loss_actor,ret_rms_std,reference_actor_Q_mean,rollout/actions_std,total/steps_per_second,obs_rms_mean,eval/Q,rollout/Q_mean,eval/episodes,rollout/actions_mean,reference_perturbed_action_mean,total/epochs,total/episodes,rollout/episode_steps,total/duration,rollout/episodes,rollout/return,total/steps,reference_action_mean,reference_action_std,eval/return_history,param_noise_stddev,reference_Q_std,rollout/return_history,obs_rms_std,reference_perturbed_action_std,ret_rms_mean,reference_actor_Q_std,train/loss_critic,train/param_noise_distance,eval/return
19.652610778808594,-19.837547302246094,1.0,20.107778549194336,0.635787844657898,90.7852034913017,1.4478105306625366,20.106082916259766,9.401729583740234,1.0,0.2146928757429123,0.34469813108444214,1,27.0,35.7037037037037,11.015010833740234,27.0,174.21336337284362,1000,0.435046523809433,0.508693277835846,265.11043495263647,0.16720346283821505,3.235672950744629,174.21336337284362,7.4301652908325195,0.6128902435302734,0.0,2.40613055229187,2.0480010509490967,0.707868218421936,265.11043495263647
40.88560485839844,-41.216217041015625,1.0,41.83430480957031,0.6498493552207947,92.9237006709418,1.6685690879821777,38.34817123413086,19.638511657714844,2.0,0.28043752908706665,0.2339693307876587,2,52.0,38.38461538461539,21.52303433418274,52.0,189.433401157987,2000,0.1586540937423706,0.6331803202629089,169.9083876612982,0.1370306733903066,8.065877914428711,189.433401157987,7.048923492431641,0.6697946190834045,0.0,6.020201206207275,6.368897914886475,0.6105765700340271,74.70634036995997
61.287757873535156,-61.126487731933594,1.0,62.81574249267578,0.6607316136360168,92.89376686659699,1.6295788288116455,64.3354721069336,29.88652801513672,3.0,0.2501789331436157,0.2771291136741638,3,80.0,36.8375,32.294954776763916,80.0,181.49414136272605,3000,0.2309345304965973,0.6828124523162842,210.8805730788783,0.11230273064362171,14.666719436645508,181.49414136272605,6.873750686645508,0.7274662852287292,0.0,12.714394569396973,3.242361545562744,0.6696881055831909,292.8249439140385
82.2459716796875,-82.41792297363281,1.0,84.33781433105469,0.6795212030410767,92.76112954321114,1.7426681518554688,78.72989654541016,40.06162643432617,4.0,0.23655061423778534,0.1905975490808487,4,98.0,40.61224489795919,43.12151026725769,98.0,201.7408260100168,4000,0.18531204760074615,0.7807668447494507,234.21011151687986,0.09203708190275892,20.57734489440918,201.7408260100168,6.781294345855713,0.781687319278717,0.0,17.94342041015625,6.233328819274902,0.5042155385017395,304.19872683088454
98.0990219116211,-99.11457061767578,1.0,100.27855682373047,0.6944782733917236,92.9033365615752,1.8311278820037842,97.18804168701172,50.219329833984375,5.0,0.23777444660663605,0.20093409717082977,5,117.0,42.282051282051285,53.81938028335571,117.0,211.22205786602092,5000,0.1421426385641098,0.7696279883384705,230.23421602058843,0.07542848153938683,32.77470779418945,216.4445012405426,6.707719326019287,0.7305822968482971,0.0,30.569690704345703,8.661026954650879,0.5540454387664795,214.33063403542275
115.53166198730469,-117.65188598632812,1.0,118.48580932617188,0.7068291902542114,92.92976187942736,1.8548320531845093,121.68778991699219,59.805091857910156,6.0,0.23257046937942505,0.1392604112625122,6,137.0,43.66423357664234,64.56489157676697,137.0,218.83686443622776,6000,0.15177558362483978,0.7767319083213806,234.12669994647683,0.06181699495154324,41.6361198425293,234.704934267784,7.004884719848633,0.7473411560058594,0.0,39.62681579589844,10.38261604309082,0.4237750768661499,253.58911957591894
133.32711791992188,-134.27285766601562,1.0,137.4637451171875,0.7078260779380798,93.06564145292964,1.8692430257797241,123.84222412109375,68.66333770751953,7.0,0.23660951852798462,0.1951119303703308,7,159.0,43.9622641509434,75.21572828292847,159.0,220.0982239122777,7000,0.16887763142585754,0.7555717825889587,230.4298145584486,0.05066177638540577,48.42790603637695,242.40394031301796,7.121367931365967,0.7266893982887268,0.0,45.3624267578125,15.251638412475586,0.3977819085121155,208.24850223027929
150.56106567382812,-147.0992431640625,1.0,154.32229614257812,0.7150043845176697,93.03848460166358,1.8396291732788086,156.9266815185547,78.22129821777344,8.0,0.22444289922714233,0.2303602397441864,8,173.0,45.78034682080925,85.98592329025269,173.0,226.93936634807568,8000,0.24702128767967224,0.7443969249725342,234.3050801439706,0.04151957869412388,56.52927017211914,264.65954282150796,7.018303871154785,0.7415811419487,0.0,54.3683967590332,20.102951049804688,0.31659767031669617,261.4319392426244
165.98556518554688,-161.12847900390625,1.0,169.96633911132812,0.7259089350700378,92.85548349078272,1.8101757764816284,150.3957977294922,84.42292022705078,9.0,0.21174465119838715,0.12758876383304596,9,192.0,46.729166666666664,96.92480897903442,192.0,228.01394060324296,9000,0.12705159187316895,0.7761092185974121,247.22793354178435,0.034027141129503384,63.52922821044922,256.2659158085004,7.100934028625488,0.7796583771705627,0.0,61.29532241821289,26.730466842651367,0.3200385570526123,350.61076072429444
174.13742065429688,-174.69854736328125,1.0,179.5065155029297,0.7297689318656921,92.83928775177667,1.7796465158462524,162.37692260742188,91.84929656982422,10.0,0.2015187293291092,0.1669493317604065,10,206.0,48.51456310679612,107.71301937103271,206.0,235.16845792499677,10000,0.1228160560131073,0.7540670037269592,253.50435938154405,0.027886755354071244,74.67890930175781,267.43753916530784,7.198464870452881,0.7412376999855042,0.0,71.52483367919922,22.564104080200195,0.2662023603916168,309.9921919393813
