total/steps,reference_actor_Q_std,reference_actor_Q_mean,ret_rms_mean,reference_Q_mean,obs_rms_std,param_noise_stddev,reference_Q_std,eval/return_history,eval/return,obs_rms_mean,total/episodes,train/loss_actor,rollout/actions_std,reference_action_mean,eval/episodes,train/param_noise_distance,reference_perturbed_action_std,reference_perturbed_action_mean,ret_rms_std,total/steps_per_second,rollout/actions_mean,rollout/episodes,train/loss_critic,reference_action_std,eval/Q,rollout/return,rollout/episode_steps,rollout/return_history,rollout/Q_mean,total/epochs,total/duration
1000,0.7876616716384888,-2.6671900749206543,0.0,-3.4745962619781494,2.260862350463867,0.15751322548474425,1.010319709777832,-590.3603942193481,-590.3603942193481,0.010764913633465767,1.0,2.6774697303771973,0.5500163435935974,0.0011128982296213508,1.0,0.21648108959197998,0.9462445974349976,-0.048126161098480225,1.0,24.529679389506732,0.30945199728012085,1.0,0.031718093901872635,0.9948171377182007,-2.838698387145996,-999.340423877585,1000.0,-999.340423877585,-1.5842480659484863,1,40.76694130897522
2000,1.096300482749939,-11.58837890625,0.0,-12.177417755126953,1.6743534803390503,0.13433062777208762,1.2495057582855225,-588.9847932793252,-587.6091923393024,0.008861834183335304,2.0,11.646685600280762,0.7931355834007263,0.05411648377776146,2.0,0.6419775485992432,0.9030567407608032,-0.1794034242630005,1.0,24.39228105510452,0.12702339887619019,2.0,0.16673026978969574,0.9764689207077026,-11.939685821533203,-766.1255678908027,1000.0,-766.1255678908027,-4.635496139526367,2,81.99315166473389
3000,1.3205074071884155,-13.355228424072266,0.0,-14.406980514526367,1.3907520771026611,0.10370968758833489,1.6455156803131104,-591.346545557779,-596.0700501146865,0.016911087557673454,3.0,12.497361183166504,0.8229103088378906,0.18791495263576508,3.0,0.18065040558576584,0.9422385692596436,0.16689050197601318,1.0,24.51719354798427,0.08913855999708176,3.0,0.15606875717639923,0.9718952178955078,-15.898126602172852,-664.8681311243437,1000.0,-664.8681311243437,-7.406781196594238,3,122.363107919693
4000,1.640616536140442,-3.351557493209839,0.0,-4.854251861572266,1.2906997203826904,0.07394224246582377,1.6114393472671509,-587.2086313778076,-574.7948888378933,0.022626470774412155,4.0,4.1579999923706055,0.8532150983810425,0.852635383605957,4.0,0.12408892065286636,0.12757465243339539,0.9786407351493835,1.0,24.589877792211215,0.11712618172168732,4.0,0.10145164281129837,0.472306489944458,-4.840160369873047,-773.8203302450249,1000.0,-773.8203302450249,-9.958179473876953,4,162.668559551239
5000,1.4221278429031372,-2.8460841178894043,0.0,-3.4947729110717773,1.1849993467330933,0.055962119107954095,1.6084014177322388,-522.8229646475963,-265.2802977267515,0.05638188123703003,5.0,3.4085614681243896,0.8407033085823059,0.19622071087360382,5.0,0.4683723449707031,0.8914481997489929,0.18331702053546906,1.0,24.653435815931697,0.2934737503528595,5.0,0.10708799213171005,0.9211944937705994,-0.8196672797203064,-737.6016692796236,1000.0,-737.6016692796236,-9.983087539672852,5,202.8114879131317
6000,1.5061753988265991,-1.760838508605957,0.0,-2.6202499866485596,1.4413632154464722,0.037587132956139066,1.7535284757614136,-477.6452932127327,-251.75693603841464,0.052207790315151215,6.0,2.703704833984375,0.8574378490447998,0.39789989590644836,6.0,0.2752731591463089,0.789364218711853,0.40045127272605896,1.0,24.684822921317267,0.26151663064956665,6.0,0.07027226686477661,0.8277174234390259,-4.654825687408447,-640.2886003396081,1000.0,-640.2886003396081,-8.280278205871582,6,243.0643322467804
7000,1.3249562978744507,-1.5154752731323242,0.0,-2.5649824142456055,1.523072361946106,0.030804326970036475,1.6247786283493042,-478.3692977247234,-482.71332479666745,0.06805358827114105,7.0,2.047670364379883,0.854407548904419,0.07282188534736633,7.0,0.20711570233106613,0.8709381222724915,0.20209915935993195,1.0,24.707808859604835,0.27708032727241516,7.0,0.06728024780750275,0.8831849694252014,0.022193651646375656,-599.1146969913906,1000.0,-599.1146969913906,-7.765439510345459,7,283.3112413883209
8000,1.6038717031478882,0.6730777621269226,0.0,-0.4126586318016052,1.510331153869629,0.023782417899897774,1.77932608127594,-486.13502005812563,-540.4950763919413,0.0786520466208458,8.0,-0.7245786190032959,0.8765451312065125,0.26455140113830566,8.0,0.19225358963012695,0.7982712984085083,0.2735716998577118,1.0,24.70649543228513,0.24257633090019226,8.0,0.07570260018110275,0.8274058103561401,-0.627776563167572,-594.8500835893935,1000.0,-594.8500835893935,-7.168309688568115,8,323.8014886379242
9000,1.8556780815124512,3.826000690460205,0.0,2.693715810775757,1.542191743850708,0.023782417899897774,1.9631342887878418,-474.322314965284,-379.8206742225508,0.09042220562696457,9.0,-2.9144251346588135,0.8755999207496643,0.4265449345111847,9.0,0.1838236004114151,0.7409731149673462,0.46502116322517395,1.0,24.668254953368972,0.24657778441905975,9.0,0.16149303317070007,0.7699512243270874,4.343375205993652,-580.711498365543,1000.0,-580.711498365543,-6.559964656829834,9,364.8413727283478
10000,2.254103183746338,9.383050918579102,0.0,7.9740800857543945,1.6836315393447876,0.021962663920618616,2.2788243293762207,-430.82126991667735,-39.31186447921742,0.09468843787908554,10.0,-8.598701477050781,0.8573898673057556,0.45456504821777344,10.0,0.20830527693033218,0.6075550317764282,0.5306575894355774,1.0,24.66626332898045,0.2541557550430298,10.0,0.41528868675231934,0.6487089395523071,13.652449607849121,-536.4071206129336,1000.0,-536.4071206129336,-5.061919212341309,10,405.41203451156616
11000,2.1216793060302734,21.028959274291992,0.0,19.226654052734375,1.6753205060958862,0.020282151651708893,2.3680920600891113,-406.7362040095677,-165.88554493847099,0.09335475414991379,11.0,-16.667339324951172,0.8602190017700195,0.5212804675102234,11.0,0.18925757706165314,0.615688681602478,0.5557833313941956,1.0,24.68393809719379,0.19965773820877075,11.0,0.7231276631355286,0.674638032913208,26.674434661865234,-510.98876054425233,1000.0,-510.98876054425233,-4.586540699005127,11,445.63391613960266
12000,2.3015341758728027,32.52874755859375,0.0,30.957307815551758,1.614612102508545,0.02152991267583435,2.3286731243133545,-388.9892718291281,-193.7730178442926,0.09085560590028763,12.0,-28.819042205810547,0.8461214900016785,0.3541163504123688,12.0,0.22332234680652618,0.7484323382377625,0.3019746243953705,1.0,24.700812384836418,0.17214593291282654,12.0,0.4804072082042694,0.7370901107788086,36.06330871582031,-485.92331938418147,1000.0,-485.92331938418147,-1.5700023174285889,12,485.8139810562134
13000,2.5568439960479736,37.46223068237305,0.0,36.09254837036133,1.629119873046875,0.020689822899908242,2.6373915672302246,-347.74088171604785,147.23979964091572,0.09156350791454315,13.0,-36.20785903930664,0.8296535015106201,0.3025587499141693,13.0,0.19621501863002777,0.7376595139503479,0.2906160056591034,1.0,24.710640472471017,0.16516710817813873,13.0,1.4674501419067383,0.7779913544654846,41.52552032470703,-454.9660582057871,1000.0,-454.9660582057871,1.5013504028320312,13,526.0891563892365
14000,2.8555519580841064,40.98627471923828,0.0,39.562774658203125,1.629286766052246,0.020689822899908242,2.816739320755005,-317.85740840573715,70.62774462830167,0.09283452481031418,14.0,-41.567138671875,0.8165109753608704,0.38193419575691223,14.0,0.17410250008106232,0.7683771252632141,0.325838178396225,1.0,24.689990538064894,0.15257810056209564,14.0,1.6725345849990845,0.7370446920394897,45.34065246582031,-430.6778000852614,1000.0,-430.6778000852614,4.393003463745117,14,567.0314040184021
15000,3.0152618885040283,45.30415725708008,0.0,43.93608856201172,1.6827248334884644,0.020282151651708893,3.132326126098633,-282.14437621471745,217.83807445955782,0.09584905207157135,15.0,-46.14491271972656,0.8021205067634583,0.4852261245250702,15.0,0.21468086540699005,0.7105234861373901,0.42854347825050354,1.0,24.69679445275915,0.15214739739894867,15.0,1.9546986818313599,0.6306574940681458,49.50676727294922,-391.3427291348386,1000.0,-391.3427291348386,7.228312969207764,15,607.3662729263306
16000,2.5498833656311035,48.899497985839844,0.0,47.441932678222656,1.7604172229766846,0.02152991267583435,2.819565773010254,-257.2199355262094,116.64667480141163,0.09839509427547455,16.0,-50.400447845458984,0.7913779020309448,0.49575090408325195,16.0,0.19356165081262589,0.6257363557815552,0.42028316855430603,1.0,24.706192526619503,0.1604541391134262,16.0,1.804353952407837,0.5855810046195984,52.410396575927734,-358.88255608923146,1000.0,-358.88255608923146,9.957901954650879,16,647.6109170913696
17000,2.202493906021118,52.87871551513672,0.0,51.808528900146484,1.786988615989685,0.019490749081111935,2.2466537952423096,-253.706654035567,-197.49415018528882,0.10033208876848221,17.0,-53.91114807128906,0.7786335349082947,0.522885799407959,17.0,0.20707139372825623,0.5297761559486389,0.6097371578216553,1.0,24.712364154146425,0.1563560962677002,17.0,2.1884822845458984,0.5943771004676819,51.74395751953125,-331.0065043467971,1000.0,-331.0065043467971,12.538341522216797,17,687.9147577285767
18000,1.9864345788955688,55.11439895629883,0.0,53.85051727294922,1.7718702554702759,0.020689822899908242,2.0759150981903076,-240.8043480429286,-21.465146168075837,0.10254313796758652,18.0,-56.06016540527344,0.767090916633606,0.5000081658363342,18.0,0.17381614446640015,0.6330617070198059,0.508380115032196,1.0,24.72047823149668,0.17114436626434326,18.0,2.6572887897491455,0.614039957523346,58.276336669921875,-323.3722733051813,1000.0,-323.3722733051813,14.97141170501709,18,728.1412532329559
19000,1.7412229776382446,57.55793380737305,0.0,56.43747329711914,1.7887176275253296,0.019882513137642284,1.8631408214569092,-229.26956344789548,-21.64344073729924,0.10258108377456665,19.0,-58.209835052490234,0.7629514932632446,0.42422422766685486,19.0,0.25715580582618713,0.6348411440849304,0.41179537773132324,1.0,24.728428782903457,0.16086645424365997,19.0,4.022973537445068,0.6351913809776306,57.568363189697266,-302.2909924428764,1000.0,-302.2909924428764,17.31907081604004,19,768.346431016922
20000,1.7032216787338257,59.792354583740234,0.0,58.824031829833984,1.815374732017517,0.019490749081111935,1.630820631980896,-233.5300759651128,-314.47981379224166,0.10413896292448044,20.0,-60.554840087890625,0.7553741335868835,0.5309012532234192,20.0,0.204861119389534,0.6162424683570862,0.5163021683692932,1.0,24.737842201433264,0.16019243001937866,20.0,2.9974355697631836,0.6050885319709778,55.34095001220703,-279.6219399106189,1000.0,-279.6219399106189,19.531862258911133,20,808.477952003479
21000,2.452031373977661,60.529762268066406,0.0,59.471588134765625,1.7964136600494385,0.020282151651708893,2.2642202377319336,-217.12499056564883,110.97671742363056,0.10402021557092667,21.0,-62.5372314453125,0.7693575024604797,0.3755378723144531,21.0,0.19084325432777405,0.6962452530860901,0.41337236762046814,1.0,24.74536606081134,0.1386876404285431,21.0,4.0085859298706055,0.7088751792907715,61.780426025390625,-287.0842396415985,1000.0,-287.0842396415985,21.01338768005371,21,848.643739938736
22000,2.109588623046875,64.65516662597656,0.0,63.31996154785156,1.801383137702942,0.020689822899908242,1.9926656484603882,-190.30339139535573,372.95019118079966,0.10371233522891998,22.0,-64.5198745727539,0.7759158611297607,0.31806114315986633,22.0,0.19971416145563126,0.7745127081871033,0.32737186551094055,1.0,24.753211657248105,0.12352100014686584,22.0,4.373582363128662,0.7876097559928894,69.6118392944336,-283.22502359441245,1000.0,-283.22502359441245,22.72694206237793,22,888.773558139801
23000,1.9364137649536133,68.36843872070312,0.0,66.88809204101562,1.8541760444641113,0.019882513137642284,1.9662140607833862,-177.9007407107258,94.95757435113218,0.10516386479139328,23.0,-65.65129089355469,0.7711549997329712,0.3952213227748871,23.0,0.17907487601041794,0.7635897397994995,0.3511105477809906,1.0,24.753731108293614,0.12102038413286209,23.0,3.6953344345092773,0.773149311542511,72.48692321777344,-256.68649490138637,1000.0,-256.68649490138637,24.818246841430664,23,929.1528577804565
24000,2.0366220474243164,71.11865234375,0.0,69.77885437011719,1.8637555837631226,0.019106704324195603,1.995478630065918,-170.1623513907197,7.820602969420166,0.10555390268564224,24.0,-67.63911437988281,0.7694169282913208,0.3488220274448395,24.0,0.18801021575927734,0.7737509608268738,0.35687389969825745,1.0,24.7589362970068,0.1149432361125946,24.0,4.921347141265869,0.7712893486022949,74.43277740478516,-237.57526340954647,1000.0,-237.57526340954647,26.844453811645508,24,969.3469748497009
25000,2.345099449157715,72.1806640625,0.0,70.89649200439453,1.8813103437423706,0.020689822899908242,2.224689245223999,-170.93036042404884,-189.36257722394876,0.1063523069024086,25.0,-69.8348388671875,0.7715121507644653,0.350473016500473,25.0,0.20664098858833313,0.822615921497345,0.2756352722644806,1.0,24.76538135102052,0.1160510778427124,25.0,3.128725051879883,0.7564334869384766,76.81959533691406,-229.13012642856793,1000.0,-229.13012642856793,28.790802001953125,25,1009.473653793335
26000,1.9181116819381714,75.94064331054688,0.0,74.40382385253906,1.8750555515289307,0.019882513137642284,1.994105339050293,-165.08101438743702,-18.84736347214128,0.10477213561534882,26.0,-70.76872253417969,0.7733328938484192,0.29381099343299866,26.0,0.1744132861495018,0.8011969923973083,0.3776196539402008,1.0,24.767951028810995,0.10791083425283432,26.0,4.5681538581848145,0.8160284757614136,79.44599914550781,-229.97809151673283,1000.0,-229.97809151673283,30.632450103759766,26,1049.7436776161194
27000,2.286163806915283,77.24520874023438,0.0,75.94902038574219,1.8966234922409058,0.022854436146078055,2.2019758224487305,-147.15834177993767,318.8311460150456,0.10586514323949814,27.0,-73.5650863647461,0.7684009075164795,0.2875172197818756,27.0,0.19158471375703812,0.7931511998176575,0.34813880920410156,1.0,24.774027993865612,0.10938265919685364,27.0,2.299830436706543,0.8031771779060364,82.36117553710938,-209.5764334373453,1000.0,-209.5764334373453,32.50712966918945,27,1089.8510329723358
28000,2.237710475921631,78.9366226196289,0.0,77.78410339355469,1.9236981868743896,0.021962663920618616,2.1763968467712402,-129.1708941502162,356.4901918522629,0.10628562420606613,28.0,-72.98020935058594,0.7663899660110474,0.3316483199596405,28.0,0.21475134789943695,0.81201171875,0.3723669946193695,1.0,24.77451705770295,0.11168338358402252,28.0,3.7817635536193848,0.8331778049468994,83.71939849853516,-192.63867368242435,1000.0,-192.63867368242435,34.311222076416016,28,1130.1935749053955
29000,2.1427810192108154,79.74404907226562,0.0,78.41862487792969,1.9719444513320923,0.020282151651708893,2.210672616958618,-111.25430993982555,390.4100479511128,0.1091802716255188,29.0,-73.37953186035156,0.7667450904846191,0.158563494682312,29.0,0.26786576211452484,0.8293617963790894,0.17793893814086914,1.0,24.78166518237507,0.11152688413858414,29.0,4.7003583908081055,0.8539857864379883,84.71746063232422,-180.1230175924784,1000.0,-180.1230175924784,36.01507568359375,29,1170.2199907302856
30000,2.0310604572296143,80.53301239013672,0.0,79.34552001953125,2.0015697479248047,0.020282151651708893,2.128877878189087,-111.53981125894647,-119.81934951345329,0.11149746179580688,30.0,-73.796142578125,0.7637657523155212,0.07805607467889786,30.0,0.18373632431030273,0.8672055006027222,-0.03895082697272301,1.0,24.786665364237766,0.11385519802570343,30.0,3.77109432220459,0.8606757521629333,84.93240356445312,-152.6823059595289,1000.0,-152.6823059595289,37.687217712402344,30,1210.328197002411
31000,2.0768344402313232,81.32841491699219,0.0,79.96029663085938,2.0269203186035156,0.020689822899908242,2.1273534297943115,-92.60037438177777,475.5827319332835,0.11011140793561935,31.0,-75.79548645019531,0.7631655335426331,0.10576609522104263,31.0,0.200797401368618,0.8490936756134033,0.20946653187274933,1.0,24.79165790085907,0.11171223223209381,31.0,5.313993453979492,0.8770824074745178,87.59639739990234,-148.90682647426547,1000.0,-148.90682647426547,39.1567497253418,31,1250.4206101894379
32000,2.4121193885803223,83.57962036132812,0.0,82.23282623291016,2.0539071559906006,0.019882513137642284,2.4874463081359863,-72.20140374451391,560.1666860106668,0.11127939820289612,32.0,-79.66787719726562,0.7615193128585815,0.17786888778209686,32.0,0.18464766442775726,0.8207436203956604,0.21969838440418243,1.0,24.794134444061477,0.11290709674358368,32.0,3.521407127380371,0.8645308613777161,91.55970001220703,-129.23756277752065,1000.0,-129.23756277752065,40.717247009277344,32,1290.6278326511383
