reference_actor_Q_std,train/param_noise_distance,total/steps,rollout/return_history,reference_Q_std,rollout/episode_steps,ret_rms_mean,reference_action_std,eval/episodes,ret_rms_std,reference_action_mean,reference_perturbed_action_mean,rollout/return,reference_perturbed_action_std,train/loss_actor,param_noise_stddev,rollout/actions_mean,total/steps_per_second,total/episodes,eval/return_history,train/loss_critic,eval/Q,total/duration,reference_Q_mean,total/epochs,obs_rms_std,rollout/actions_std,rollout/Q_mean,obs_rms_mean,rollout/episodes,eval/return,reference_actor_Q_mean
0.5087118148803711,0.3978255093097687,1000,-267.44426609982713,0.7774559259414673,1000.0,0.0,0.9009292125701904,1.0,1.0,0.3246488869190216,0.14664065837860107,-267.44426609982713,0.6739132404327393,-4.973167419433594,0.16720346283821505,-0.10444382578134537,53.4771950064335,1.0,-548.607432860161,0.027232998982071877,4.495677471160889,18.699559688568115,4.177070617675781,1,1.553057074546814,0.7096630334854126,2.0985562801361084,-0.03971133381128311,1.0,-548.607432860161,5.209084987640381
1.0447556972503662,0.5768343210220337,2000,-312.02247011394843,1.2547649145126343,1000.0,0.0,0.8072568774223328,2.0,1.0,0.23814690113067627,0.29154327511787415,-312.02247011394843,0.7821930050849915,-8.46235466003418,0.14259466822295333,0.0044189682230353355,53.8399083283467,2.0,-527.0063300895845,0.12321318686008453,5.622462272644043,37.14716577529907,9.849624633789062,2,1.2690690755844116,0.6884300112724304,3.592895030975342,-0.02273036539554596,2.0,-505.40522731900785,10.539961814880371
1.8195714950561523,0.5795435905456543,3000,-337.854030654048,1.940955400466919,1000.0,0.0,0.6304618120193481,3.0,1.0,-0.3012445271015167,-0.13706718385219574,-337.854030654048,0.5959627032279968,-9.798172950744629,0.11686267184170265,0.0726553276181221,54.06796428024352,3.0,-405.64559341007407,0.17346251010894775,13.834803581237793,55.48572134971619,13.603378295898438,3,1.2501840591430664,0.7101202607154846,4.221978187561035,-0.011252138763666153,3.0,-162.92412005105314,14.275932312011719
2.2261369228363037,0.5268364548683167,4000,-321.79460379979724,2.368075132369995,1000.0,0.0,0.6544138193130493,4.0,1.0,-0.07677382230758667,-0.19791997969150543,-321.79460379979724,0.5043377876281738,-14.310747146606445,0.09577415649670935,0.02930573560297489,54.19403328629805,4.0,-303.4430721496485,0.3555762767791748,19.445844650268555,73.80886340141296,17.457969665527344,4,1.3505289554595947,0.6718587279319763,6.058871269226074,-0.0174864511936903,4.0,3.164491631628146,18.285062789916992
2.2834084033966064,0.471005916595459,5000,-338.0965786144757,2.492865562438965,1000.0,0.0,0.6455098986625671,5.0,1.0,0.025186756625771523,-0.04574611783027649,-338.0965786144757,0.7214673757553101,-19.526472091674805,0.07849118035809692,-0.00788827519863844,54.21949534445225,5.0,-335.8089200807223,0.4784615635871887,14.176745414733887,92.21775245666504,22.88095474243164,5,1.2359365224838257,0.7055962085723877,8.562081336975098,-0.025015881285071373,5.0,-465.27231180501747,23.978099822998047
2.1383309364318848,0.4597579538822174,6000,-355.0603211677378,2.2931230068206787,1000.0,0.0,0.6514028906822205,6.0,1.0,-0.13851645588874817,-0.3661656379699707,-355.0603211677378,0.6212325692176819,-26.336074829101562,0.06432701283272566,0.0027099549770355225,54.26534222367118,6.0,-267.9971081426795,0.5268769860267639,30.64451789855957,110.56780910491943,29.299625396728516,6,1.1933767795562744,0.7345044016838074,10.152058601379395,-0.008747340179979801,6.0,71.06195154753466,30.33281898498535
1.7815802097320557,0.3646046817302704,7000,-353.34263760495116,2.0725486278533936,1000.0,0.0,0.6068719029426575,7.0,1.0,-0.1960463523864746,-0.3295873701572418,-353.34263760495116,0.5080612897872925,-31.841445922851562,0.052718847660376544,-0.052454300224781036,54.29418281513205,7.0,-210.05067481813512,0.8270554542541504,37.30227279663086,128.92725586891174,34.700843811035156,7,1.2807246446609497,0.7217736840248108,12.599373817443848,-0.012932604178786278,7.0,137.62792512913126,35.746543884277344
1.6126724481582642,0.2326689213514328,8000,-291.7432392463504,1.7787500619888306,1000.0,0.0,0.6401387453079224,8.0,1.0,-0.13275597989559174,0.12626129388809204,-291.7432392463504,0.6344829201698303,-37.149539947509766,0.04320544008261588,-0.07137157022953033,54.296290014017174,8.0,-162.40168804427339,1.4370216131210327,39.61638259887695,147.33971691131592,39.13395690917969,8,1.376621961593628,0.6960926651954651,15.861875534057617,-0.01689908839762211,8.0,171.1412193727586,40.14563751220703
1.3871946334838867,0.2199488878250122,9000,-234.0411732395711,1.5587438344955444,1000.0,0.0,0.6893633008003235,9.0,1.0,-0.13904036581516266,-0.0578930489718914,-234.0411732395711,0.6399757266044617,-41.69410705566406,0.03540877950819716,-0.04697751626372337,54.33398456893395,9.0,-99.53939951031634,1.5400397777557373,46.26457595825195,165.64218640327454,43.61015319824219,9,1.4756579399108887,0.6848059892654419,18.795799255371094,-0.013350434601306915,9.0,403.35890876133993,44.53739929199219
1.8322447538375854,0.24939993023872375,10000,-143.92079381343652,1.845316767692566,1000.0,0.0,0.6294609308242798,10.0,1.0,-0.07065064460039139,-0.11497437208890915,-143.92079381343652,0.6633709669113159,-46.30241775512695,0.030804326970036475,-0.03842565044760704,54.32821975567386,10.0,-33.05681524372928,1.9485576152801514,49.12113571166992,184.06640315055847,47.044410705566406,10,1.5562078952789307,0.6721494793891907,21.776960372924805,-0.009534875862300396,10.0,565.2864431555543,48.03351974487305
