ret_rms_mean,eval/return,reference_action_std,eval/return_history,rollout/return_history,train/param_noise_distance,reference_Q_std,ret_rms_std,rollout/episodes,eval/episodes,reference_perturbed_action_mean,obs_rms_mean,total/steps,rollout/return,reference_action_mean,total/epochs,reference_actor_Q_std,eval/Q,total/duration,reference_actor_Q_mean,train/loss_actor,reference_perturbed_action_std,obs_rms_std,rollout/episode_steps,param_noise_stddev,rollout/Q_mean,total/episodes,reference_Q_mean,rollout/actions_std,total/steps_per_second,rollout/actions_mean,train/loss_critic
0.0,-434.7218521614802,0.7484035491943359,-434.7218521614802,-613.9026068909336,0.5448786616325378,0.8057130575180054,1.0,1.0,1.0,0.3130079209804535,0.0996486023068428,1000,-613.9026068909336,0.430115669965744,1,0.7753979563713074,-1.6303542852401733,11.5886390209198,-1.3662281036376953,1.3191957473754883,0.7231132388114929,1.9765864610671997,1000.0,0.16720346283821505,-1.2191722393035889,1.0,-1.8882434368133545,0.5572320818901062,86.2914099054083,0.5029226541519165,0.05776258558034897
0.0,-472.2839066126914,0.6377556920051575,-453.5028793870858,-444.86282539086767,0.6143615245819092,1.3610680103302002,1.0,2.0,2.0,0.7214910387992859,0.11126289516687393,2000,-444.86282539086767,0.6968442797660828,2,1.3417274951934814,-0.9336749911308289,22.970864295959473,-1.3334636688232422,1.718686819076538,0.47959280014038086,1.614298939704895,1000.0,0.1370306733903066,-1.5849884748458862,2.0,-1.9695498943328857,0.5698356032371521,87.06681534624694,0.4357408583164215,0.06449688971042633
0.0,-446.9471539194441,0.832076907157898,-451.31763756453853,-459.4370549119939,0.5827351808547974,1.609735131263733,1.0,3.0,3.0,0.7325071692466736,0.13497936725616455,3000,-459.4370549119939,0.35593411326408386,3,1.7304025888442993,-1.011687994003296,34.217591285705566,-1.587416410446167,2.7671446800231934,0.41471612453460693,1.3414098024368286,1000.0,0.11456001552955852,-1.9456062316894531,3.0,-2.1799683570861816,0.5785754919052124,87.67420169792176,0.5333604216575623,0.07850414514541626
0.0,-555.8647463850724,0.8972922563552856,-477.454414769672,-458.7495396657708,0.24156324565410614,1.9343552589416504,1.0,4.0,4.0,0.409354567527771,0.14603227376937866,4000,-458.7495396657708,0.30623897910118103,4,2.0178017616271973,-0.6462036967277527,45.48695635795593,-0.9436561465263367,3.15494441986084,0.7473434209823608,1.171086311340332,1000.0,0.09388702724900437,-2.5774028301239014,4.0,-1.6614015102386475,0.5747467279434204,87.93729720059356,0.5719180703163147,0.0690915659070015
0.0,-548.8004722949269,0.9133135080337524,-491.72362627472296,-449.5596334199421,0.298237144947052,1.9395145177841187,1.0,5.0,5.0,0.10542598366737366,0.14429622888565063,5000,-449.5596334199421,0.05542869493365288,5,1.9685156345367432,2.01314640045166,56.79170227050781,-0.6139442920684814,3.4139604568481445,0.8721121549606323,1.0607768297195435,1000.0,0.0849947009834283,-2.7337822914123535,5.0,-1.1980738639831543,0.5891869068145752,88.04103064536106,0.5637510418891907,0.07006591558456421
0.0,-336.3312897804307,0.8730615973472595,-465.82490352567424,-452.00305166483685,0.18164314329624176,1.934891939163208,1.0,6.0,6.0,0.09184679388999939,0.12181568145751953,6000,-452.00305166483685,0.11539409309625626,6,1.9066749811172485,-5.37617826461792,68.23363518714905,-2.2742056846618652,3.098797559738159,0.7906472086906433,0.997327446937561,1000.0,0.07394224246582377,-2.127593517303467,6.0,-2.7179770469665527,0.6662038564682007,87.93317230634702,0.4895913600921631,0.09995000064373016
0.0,-318.43880912904103,0.7095173597335815,-444.7697471832981,-461.78480874595044,0.36942970752716064,2.071272850036621,1.0,7.0,7.0,0.46773865818977356,0.11049412935972214,7000,-461.78480874595044,0.3551131784915924,7,2.232287645339966,-3.929781198501587,79.79404616355896,-3.392326831817627,3.8109185695648193,0.5434309840202332,0.9956413507461548,1000.0,0.06305951655006926,-2.00767183303833,7.0,-3.7848267555236816,0.6982709169387817,87.72584342510532,0.44772037863731384,0.1414092779159546
0.0,-61.367044727296786,0.8415167331695557,-396.8444093762979,-463.43681851516874,0.14702549576759338,2.7940661907196045,1.0,8.0,8.0,0.20855672657489777,0.11273258179426193,8000,-463.43681851516874,0.24030226469039917,8,2.860168933868408,1.797446846961975,91.19922423362732,-3.904193639755249,4.483818531036377,0.8180949687957764,1.1550729274749756,1000.0,0.05377849649835011,-2.3963539600372314,8.0,-4.365242004394531,0.6794446706771851,87.72004441075289,0.45404088497161865,0.166025772690773
0.0,-472.3126090200215,0.7945381999015808,-405.2297648922672,-456.74563428878145,0.22256729006767273,2.1580066680908203,1.0,9.0,9.0,0.47852542996406555,0.10374915599822998,9000,-456.74563428878145,0.4434466063976288,9,1.9720381498336792,-6.261788368225098,102.7945203781128,-5.3855156898498535,4.739571571350098,0.7473441362380981,1.1100648641586304,1000.0,0.051680078090752424,-2.01690936088562,9.0,-5.890965938568115,0.6878814697265625,87.55330504870274,0.4409917891025543,0.10992873460054398
0.0,-561.7002790830736,0.7748317122459412,-420.87681631134785,-458.16444961887146,0.300331711769104,2.1418941020965576,1.0,10.0,10.0,0.3191016614437103,0.10078661888837814,10000,-458.16444961887146,0.3516715466976166,10,2.300102472305298,-7.726008415222168,114.43131446838379,-5.524142265319824,5.309627056121826,0.7898015379905701,1.074874758720398,1000.0,0.051680078090752424,-2.543212890625,10.0,-6.098335266113281,0.7099469304084778,87.38866669894715,0.42076194286346436,0.10581881552934647
