eval/return_history,rollout/actions_std,reference_actor_Q_mean,total/duration,rollout/Q_mean,rollout/return_history,param_noise_stddev,rollout/episodes,train/param_noise_distance,train/loss_critic,obs_rms_std,eval/episodes,reference_action_mean,eval/Q,eval/return,ret_rms_std,reference_Q_std,rollout/return,train/loss_actor,total/episodes,total/steps_per_second,rollout/episode_steps,reference_perturbed_action_std,total/steps,reference_Q_mean,reference_perturbed_action_mean,obs_rms_mean,rollout/actions_mean,reference_actor_Q_std,ret_rms_mean,total/epochs,reference_action_std
-105.5213216869322,0.5199891924858093,89.93436431884766,656.5685551166534,33.63039016723633,-59.61918097049683,0.03269941380439557,61.0,0.2086295187473297,8.877464294433594,0.36638909578323364,48.0,0.16751925647258759,87.31211853027344,235.6845297966494,1.0,4.62266206741333,-59.61918097049683,-80.10486602783203,61.0,73.10736955940843,786.7377049180328,0.35307973623275757,48000,88.74240112304688,0.148633673787117,0.020733864977955818,0.005163318011909723,4.728122234344482,0.0,48,0.3457029163837433
-96.20143545580218,0.5170136094093323,92.88377380371094,669.7306215763092,34.749725341796875,-51.525574385786335,0.034027141129503384,62.0,0.19557294249534607,6.690045356750488,0.3664012551307678,49.0,0.1854911595582962,92.95441436767578,351.153103638439,1.0,5.019237995147705,-51.525574385786335,-82.67811584472656,62.0,73.1637443793018,790.1774193548387,0.37871649861335754,49000,91.74861145019531,0.2511042356491089,0.020686505362391472,0.007591560948640108,5.071283340454102,0.0,49,0.38625210523605347
-91.14313565742505,0.5182564854621887,94.34590911865234,682.3258466720581,35.666259765625,-56.05587968116431,0.034027141129503384,63.0,0.21832038462162018,10.951058387756348,0.36519935727119446,50.0,0.2022913694381714,84.20404815673828,156.71355446305435,1.0,5.2650017738342285,-56.05587968116431,-83.62503814697266,63.0,73.2787717831114,793.5079365079365,0.40887337923049927,50000,92.97895812988281,0.0386461578309536,0.020650064572691917,0.010788367129862309,5.3596367835998535,0.0,50,0.35438862442970276
-82.06521237108569,0.517014741897583,96.6266860961914,695.6958606243134,36.94548034667969,-51.16655031293552,0.034711086666206405,64.0,0.1819705367088318,9.729049682617188,0.3640982210636139,51.0,0.20314186811447144,98.78804016113281,371.8309519458815,1.0,5.444687843322754,-51.16655031293552,-86.94526672363281,64.0,73.30789628995765,796.734375,0.35040202736854553,51000,95.3428955078125,0.343852698802948,0.02075457200407982,0.010371320880949497,5.4892683029174805,0.0,51,0.3641098439693451
-80.10928490885635,0.5178361535072327,99.42155456542969,707.9557235240936,37.62617111206055,-53.38164648676371,0.03269941380439557,65.0,0.2351454347372055,4.72374153137207,0.36353832483291626,52.0,0.11455321311950684,83.95439910888672,19.643015664840526,1.0,5.610360145568848,-53.38164648676371,-88.64978790283203,65.0,73.45092111290813,799.8615384615384,0.3969651460647583,52000,97.94236755371094,0.18629008531570435,0.02137579955160618,0.015793584287166595,5.728671073913574,0.0,52,0.39869675040245056
-73.41236125835982,0.52104252576828,101.66477966308594,721.2678294181824,37.99000930786133,-66.36486152449984,0.03335667202186392,66.0,0.19799304008483887,7.870767593383789,0.3634324073791504,53.0,0.005224812775850296,100.33121490478516,274.8276685674594,1.0,5.466734409332275,-66.36486152449984,-89.09701538085938,66.0,73.48171904846076,802.8939393939394,0.42502573132514954,53000,100.20719146728516,-0.033564552664756775,0.02176959626376629,0.024724837392568588,5.477748394012451,0.0,53,0.40135490894317627
-66.27698514910674,0.5192164778709412,104.30223846435547,736.0123515129089,39.08456039428711,-59.81054089518458,0.030804326970036475,67.0,0.19933359324932098,10.678406715393066,0.3637283742427826,54.0,0.02700119838118553,96.9869613647461,311.89794864130704,1.0,5.626406192779541,-59.81054089518458,-91.33843994140625,67.0,73.3683339539077,805.8358208955224,0.4017237722873688,54000,102.87684631347656,-0.04642900824546814,0.0215636994689703,0.022079002112150192,5.737801551818848,0.0,54,0.3942873775959015
-60.76737960064162,0.5164692997932434,106.2066650390625,749.2018032073975,40.396244049072266,-50.80891694461385,0.032055106170371106,68.0,0.21475863456726074,9.379648208618164,0.36322519183158875,55.0,0.20128774642944336,95.38076782226562,236.75132001647506,1.0,5.559836387634277,-50.80891694461385,-93.79426574707031,68.0,73.41146239176182,808.6911764705883,0.37105685472488403,55000,104.92947387695312,0.16246028244495392,0.021647019311785698,0.022165676578879356,5.618226051330566,0.0,55,0.37568265199661255
-52.52125042147604,0.514500617980957,108.8816146850586,763.8917927742004,41.576438903808594,-48.157582033116924,0.03269941380439557,70.0,0.18998749554157257,11.57992172241211,0.36364272236824036,56.0,0.07214916497468948,103.00176239013672,401.01585443262996,1.0,5.57118034362793,-48.157582033116924,-96.1859359741211,70.0,73.30881222931674,788.4571428571429,0.41798049211502075,56000,107.51583862304688,0.08318687975406647,0.02180596999824047,0.024128111079335213,5.545394420623779,0.0,56,0.4266969561576843
-47.168392471515865,0.5125271081924438,111.63204956054688,778.5738282203674,42.798362731933594,-38.61771147792947,0.03269941380439557,73.0,0.19990630447864532,8.06298828125,0.363972544670105,57.0,0.10645174980163574,106.54235076904297,252.59165272625395,1.0,5.467967987060547,-38.61771147792947,-98.3084487915039,73.0,73.2107835300453,776.8767123287671,0.43260619044303894,57000,110.00271606445312,0.08971092104911804,0.021707650274038315,0.02257382869720459,5.422432899475098,0.0,57,0.39594027400016785
-39.768183205143785,0.511299729347229,113.75757598876953,792.8389337062836,43.93758773803711,-31.769837862179667,0.03335667202186392,74.0,0.19457031786441803,8.882852554321289,0.363761842250824,58.0,0.21406671404838562,114.83157348632812,382.04374497806475,1.0,5.644423961639404,-31.769837862179667,-100.4212417602539,74.0,73.15483326338105,779.8918918918919,0.39969420433044434,58000,112.4505615234375,0.11641900986433029,0.02160131186246872,0.02186020463705063,5.694075107574463,0.0,58,0.3739003837108612
-31.56879740674885,0.5097441077232361,115.60520935058594,807.5638461112976,45.16456604003906,-29.527776367682055,0.032055106170371106,75.0,0.19905060529708862,10.32208251953125,0.3636957108974457,59.0,0.19220992922782898,113.48155212402344,443.9955789001575,1.0,5.883005619049072,-29.527776367682055,-102.03131103515625,75.0,73.05923894947209,782.8266666666667,0.3812941908836365,59000,114.3742904663086,0.14892643690109253,0.02168034017086029,0.023703984916210175,5.829977989196777,0.0,59,0.40925168991088867
