rollout/return,ret_rms_std,total/duration,train/param_noise_distance,reference_Q_std,obs_rms_std,rollout/actions_mean,total/steps_per_second,obs_rms_mean,eval/episodes,rollout/Q_mean,reference_actor_Q_std,eval/Q,reference_action_mean,rollout/return_history,reference_action_std,eval/return_history,reference_Q_mean,rollout/episode_steps,reference_perturbed_action_mean,reference_perturbed_action_std,total/steps,rollout/episodes,reference_actor_Q_mean,param_noise_stddev,train/loss_actor,total/episodes,train/loss_critic,rollout/actions_std,total/epochs,eval/return,ret_rms_mean
22.361780103621793,1.0,9.751554250717163,1.0164238214492798,2.8278534412384033,1.715363621711731,0.47200438380241394,102.54775539257822,-0.35582292079925537,1.0,1.4019775390625,2.3461642265319824,1.654598355293274,0.7580010294914246,22.361780103621793,0.2758931517601013,100.99105102271537,2.2056193351745605,43.0,0.7687318921089172,0.27931585907936096,1000,21.0,2.708165168762207,0.17056425244126316,-2.4731600284576416,21.0,0.09620440751314163,0.5329174995422363,1,100.99105102271537,0.0
32.830160058395684,1.0,18.86467170715332,0.7103029489517212,4.816484451293945,1.4476056098937988,0.5864392518997192,106.01827750024493,-0.20296414196491241,2.0,2.5945889949798584,4.392861843109131,9.30384349822998,0.7739349007606506,32.830160058395684,0.3407394289970398,146.4227708759143,7.010628700256348,61.107142857142854,0.7780313491821289,0.29202648997306824,2000,28.0,7.6533403396606445,0.13978498992545177,-6.758075714111328,28.0,0.5842131972312927,0.48178747296333313,2,191.85449072911325,0.0
45.91875888986664,1.0,28.068092584609985,0.32920917868614197,6.830190658569336,1.3453305959701538,0.5977333784103394,106.88293089231614,-0.1415712833404541,3.0,4.648618698120117,6.413527965545654,7.9095234870910645,0.7114108204841614,45.91875888986664,0.37197980284690857,124.31956485931242,12.142646789550781,85.17142857142858,0.7019334435462952,0.2912765443325043,3000,35.0,13.052265167236328,0.11686267184170265,-10.86159896850586,35.0,0.8276382684707642,0.45629405975341797,3,80.11315282610867,0.0
48.66148339345375,1.0,40.137444257736206,0.3805953562259674,9.591625213623047,1.1950185298919678,0.6484794020652771,99.6575659953493,-0.07725556939840317,4.0,6.830498218536377,9.26046085357666,22.950786590576172,0.6704861521720886,48.66148339345375,0.43390411138534546,339.7788686236314,17.290420532226562,93.76315789473684,0.7958404421806335,0.2814735472202301,4000,38.0,18.136131286621094,0.09577415649670935,-15.46231460571289,38.0,0.7685520052909851,0.4235611855983734,4,986.1567799165883,0.0
63.848006693414156,1.0,52.09144043922424,0.261379599571228,12.30901050567627,1.1038179397583008,0.6785837411880493,95.9850593080367,-0.04546496272087097,5.0,9.097865104675293,11.80167293548584,24.400827407836914,0.697286069393158,63.848006693414156,0.5223439931869507,481.7399176092193,21.657608032226562,110.84615384615384,0.6672059893608093,0.5909426212310791,5000,39.0,22.881511688232422,0.07849118035809692,-19.516414642333984,39.0,1.4729483127593994,0.41707056760787964,5,1049.5841135515705,0.0
93.92468049671261,1.0,60.78401160240173,0.34819406270980835,13.453588485717773,1.086087942123413,0.6756651997566223,98.71016804956855,-0.033634670078754425,6.0,12.180899620056152,12.944284439086914,0.9487980604171753,0.4915684759616852,93.92468049671261,0.6782283186912537,393.36707173642077,26.907276153564453,136.88372093023256,0.648547887802124,0.47422662377357483,6000,43.0,28.065166473388672,0.06693894750505577,-23.636253356933594,43.0,2.1310667991638184,0.42996636033058167,6,-48.49715762757178,0.0
98.71913036169514,1.0,72.71798515319824,0.2776564657688141,15.473335266113281,1.1002280712127686,0.6751030683517456,96.2622930936932,-0.018092816695570946,7.0,14.560017585754395,15.084063529968262,19.063968658447266,0.5675418972969055,98.71913036169514,0.5506390333175659,480.04043363019133,29.745080947875977,142.52083333333334,0.681876003742218,0.4722391664981842,7000,48.0,30.901878356933594,0.055962119107954095,-27.33294105529785,48.0,1.2138768434524536,0.43626701831817627,7,1000.0806049928144,0.0
117.04944051042591,1.0,81.44474530220032,0.21795491874217987,17.60539436340332,1.0453729629516602,0.678069531917572,98.22610372610339,-0.005126329604536295,8.0,16.738601684570312,17.082090377807617,24.24349021911621,0.4803617298603058,117.04944051042591,0.6270154118537903,418.861255061105,33.642425537109375,160.0204081632653,0.7151111960411072,0.3967248201370239,8000,49.0,35.13361358642578,0.046785300513072836,-31.99273681640625,49.0,2.045138120651245,0.4433766305446625,8,-9.392994922498819,0.0
110.98428889251657,1.0,90.57186651229858,0.2632181942462921,18.624740600585938,1.062387228012085,0.674354612827301,99.36860469556412,-0.00575989717617631,9.0,19.0743408203125,17.850248336791992,59.58124923706055,0.5483129620552063,110.98428889251657,0.6401216387748718,407.5058540142926,37.939170837402344,158.28301886792454,0.6440188884735107,0.4919132590293884,9000,53.0,39.88717269897461,0.039113321278561465,-38.52391815185547,53.0,2.4342658519744873,0.4466761648654938,9,316.66264563979337,0.0
128.9431756062238,1.0,99.69157695770264,0.2200816422700882,19.49114227294922,1.0817930698394775,0.6779362559318542,100.30937723297147,0.006370080169290304,10.0,22.74658966064453,18.532373428344727,63.95903778076172,0.556427001953125,128.9431756062238,0.6162625551223755,398.06884349535505,42.51730728149414,169.91379310344828,0.5179994106292725,0.5930489301681519,10000,58.0,44.312835693359375,0.03612049597631193,-45.03477478027344,58.0,4.174686908721924,0.4446697533130646,10,313.1357488249168,0.0
