train/param_noise_distance,rollout/return_history,rollout/return,total/episodes,rollout/episodes,ret_rms_std,total/duration,eval/Q,reference_action_std,rollout/episode_steps,eval/return,obs_rms_mean,reference_actor_Q_mean,eval/return_history,rollout/Q_mean,eval/episodes,train/loss_actor,total/epochs,rollout/actions_mean,reference_action_mean,total/steps,reference_Q_std,reference_Q_mean,reference_actor_Q_std,total/steps_per_second,train/loss_critic,rollout/actions_std,ret_rms_mean,obs_rms_std
0.0,-171.27108776967225,-171.27108776967225,1.0,1.0,1.0,11.440604448318481,4.6663175453431904e-05,0.6203004717826843,1000.0,-394.98944258842823,0.03778073936700821,0.10297511518001556,-394.98944258842823,-0.1708298623561859,1.0,-0.027333607897162437,1,0.2719833254814148,0.5925610065460205,1000,0.5045514106750488,-0.15082146227359772,0.5360487103462219,87.40796909091443,0.010978263802826405,0.49333348870277405,0.0,0.2762029469013214
0.0,-244.12062446732497,-244.12062446732497,2.0,2.0,1.0,22.51869511604309,0.2297178953886032,0.8263948559761047,1000.0,-292.28710752113744,0.08203424513339996,0.902511477470398,-343.63827505478287,-0.3588563799858093,2.0,0.020753461867570877,2,0.3043932020664215,0.25644174218177795,2000,0.9954216480255127,0.5670766830444336,0.9060262441635132,88.8150929569241,0.026077935472130775,0.5834498405456543,0.0,0.43950963020324707
0.0,-279.94234481164034,-279.94234481164034,3.0,3.0,1.0,33.475295066833496,-0.25018277764320374,0.7819884419441223,1000.0,-323.1287660966201,0.0527159720659256,0.8086183071136475,-336.8017720687286,-0.1747094988822937,3.0,0.030540458858013153,3,-0.015065748244524002,0.3143124580383301,3000,1.0516873598098755,0.5707639455795288,1.0259677171707153,89.61832880070195,0.024431025609374046,0.6957517862319946,0.0,0.6028768420219421
0.0,-312.0115943428192,-312.0115943428192,4.0,4.0,1.0,44.4019889831543,-0.18162453174591064,0.8333202004432678,1000.0,-291.0720872172492,0.0422494113445282,1.3461586236953735,-325.3693508558588,-0.5264556407928467,4.0,0.7528204321861267,4,-0.21153274178504944,0.27316758036613464,4000,1.443123698234558,0.9453884363174438,1.381880283355713,90.0860545125031,0.0532509982585907,0.7151700258255005,0.0,0.7446895837783813
0.0,-331.67679757491874,-331.67679757491874,5.0,5.0,1.0,55.38663077354431,2.660663604736328,0.8586812615394592,1000.0,-300.96773886175777,0.0386391244828701,1.9168040752410889,-320.4890284570386,-0.8093845844268799,5.0,1.0577284097671509,5,-0.23942649364471436,-0.03355495259165764,5000,1.6389175653457642,1.4657082557678223,1.5716986656188965,90.27449278225954,0.09584984928369522,0.7244428396224976,0.0,0.9100849628448486
0.0,-344.17038553546837,-344.17038553546837,6.0,6.0,1.0,66.26844239234924,1.4343756437301636,0.7795756459236145,1000.0,-443.6301632769064,0.02827048860490322,2.9260811805725098,-341.01255092701655,-0.6782878041267395,6.0,1.0435434579849243,6,-0.24878472089767456,0.018258213996887207,6000,1.4729046821594238,2.5308685302734375,1.4083139896392822,90.54083336494274,0.1941741406917572,0.7271910309791565,0.0,1.061820149421692
0.0,-356.12338255442734,-356.12338255442734,7.0,7.0,1.0,77.20232796669006,-0.4279037117958069,0.7890573740005493,1000.0,-436.09667428153534,0.028233695775270462,3.172725200653076,-354.59599712051926,-0.46880677342414856,7.0,0.4663901627063751,7,-0.18834349513053894,0.2957325279712677,7000,1.5704052448272705,3.0182135105133057,1.5540236234664917,90.67084094951437,0.18599924445152283,0.7577090859413147,0.0,1.010827898979187
0.0,-333.3941106251049,-333.3941106251049,8.0,8.0,1.0,88.11641669273376,-0.5429522395133972,0.8100625872612,1000.0,-429.8913167143493,0.034209392964839935,2.8820064067840576,-364.007912069748,-0.2566647231578827,8.0,0.46078482270240784,8,-0.10670211911201477,0.10128655284643173,8000,1.9769600629806519,2.6721720695495605,1.990557312965393,90.78898462129241,0.16003546118736267,0.7714974880218506,0.0,1.0739386081695557
0.0,-323.14706245074626,-323.14706245074626,9.0,9.0,1.0,98.99591374397278,-4.461584568023682,0.8765851855278015,1000.0,-536.0697068311349,0.038536109030246735,3.382747173309326,-383.12588926545766,-0.5326282382011414,9.0,0.6243376731872559,9,-0.1286664456129074,0.0678563341498375,9000,2.0371530055999756,3.068861484527588,1.9250378608703613,90.91284336519347,0.16654415428638458,0.7760792374610901,0.0,1.176504373550415
0.0,-317.4262365933184,-317.4262365933184,10.0,10.0,1.0,109.94364356994629,-4.2267656326293945,0.8319230079650879,1000.0,-444.2262485540564,0.043905556201934814,4.143349647521973,-389.23592519431753,-0.9416022300720215,10.0,-0.07298366725444794,10,-0.15540941059589386,-0.14106585085391998,10000,1.573115587234497,3.7187092304229736,1.4202954769134521,90.9556903454631,0.17130260169506073,0.77143394947052,0.0,1.2681715488433838
0.0,-309.7352773472222,-309.7352773472222,11.0,11.0,1.0,120.89140796661377,4.232885360717773,0.787483811378479,1000.0,-267.59921474914836,0.04835595190525055,4.788529872894287,-378.1780424265749,-1.2821866273880005,11.0,-0.4518052041530609,11,-0.17693652212619781,-0.1913459748029709,11000,1.093406081199646,4.511489391326904,1.0033419132232666,90.99075099727384,0.1802307516336441,0.775320291519165,0.0,1.3827619552612305
0.0,-307.1429471632212,-307.1429471632212,12.0,12.0,1.0,131.68962168693542,3.0453436374664307,0.7670947909355164,1000.0,-537.0629522868662,0.040158383548259735,5.64891242980957,-391.41845158159913,-0.6546713709831238,12.0,-1.486298680305481,12,-0.17461712658405304,0.21246527135372162,12000,1.0458673238754272,5.322945594787598,1.1350452899932861,91.1233538853008,0.17616991698741913,0.7629396319389343,0.0,1.4518741369247437
