total/episodes,reference_action_mean,total/duration,train/param_noise_distance,obs_rms_std,reference_actor_Q_mean,ret_rms_std,rollout/return_history,eval/return,total/steps,rollout/episodes,obs_rms_mean,reference_actor_Q_std,train/loss_actor,ret_rms_mean,eval/Q,eval/episodes,reference_Q_mean,rollout/episode_steps,reference_Q_std,total/epochs,rollout/Q_mean,train/loss_critic,eval/return_history,rollout/return,total/steps_per_second,reference_action_std,rollout/actions_mean,rollout/actions_std
1.0,-0.6560930609703064,80.03688144683838,0.0,0.707281768321991,-0.27433109283447266,1.0,-254.86821116827636,-433.07844672718056,1000,1.0,0.05232745409011841,1.107951283454895,0.3908762037754059,0.0,2.3134360313415527,1.0,-0.6622292995452881,1000.0,1.2162507772445679,1,-0.8954824209213257,0.03809201344847679,-433.07844672718056,-254.86821116827636,12.494239929428211,0.626683235168457,0.08089976012706757,0.6449956893920898
2.0,-0.0762137845158577,114.80595779418945,0.0,1.28363037109375,2.2470946311950684,1.0,-170.50105297844706,161.7899264479336,2000,2.0,0.005980141460895538,1.6147702932357788,-3.7577414512634277,0.0,7.402334213256836,2.0,1.6178698539733887,1000.0,1.589744210243225,2,0.875558078289032,0.10162030905485153,-135.6442601396235,-170.50105297844706,17.420698702634958,0.7882636189460754,-0.049921367317438126,0.7055731415748596
3.0,-0.2483651041984558,149.19246673583984,0.0,1.5345220565795898,12.346348762512207,1.0,25.17678769000821,873.14318531198,3000,3.0,0.005288583226501942,2.806678056716919,-16.795976638793945,0.0,22.785024642944336,3.0,11.567289352416992,1000.0,2.7362942695617676,3,5.021262168884277,0.25926971435546875,200.61822167757768,25.17678769000821,20.108253892683464,0.8004757165908813,-0.05531187728047371,0.6843394637107849
4.0,-0.306698203086853,183.59446382522583,0.0,1.609868049621582,28.545421600341797,1.0,228.96210085265915,1459.9223123026575,4000,4.0,0.01084468699991703,1.701265573501587,-34.05415725708008,0.0,40.553443908691406,4.0,27.27230453491211,1000.0,1.8719509840011597,4,11.409834861755371,0.5879406929016113,515.4442443338476,228.96210085265915,21.787149332606408,0.7309893369674683,-0.06487603485584259,0.6743294596672058
5.0,-0.06963367760181427,217.77797865867615,0.0,1.6809908151626587,44.48722839355469,1.0,360.5244486135575,1634.1460324556888,5000,5.0,0.019781196489930153,4.166340351104736,-52.323524475097656,0.0,59.97020721435547,5.0,43.34921646118164,1000.0,4.412537574768066,5,18.54315757751465,1.6638360023498535,739.1846019582158,360.5244486135575,22.959162495655768,0.6852545142173767,-0.04432811588048935,0.6698603630065918
6.0,-0.25550082325935364,253.13174510002136,0.0,1.7679673433303833,62.140281677246094,1.0,537.6319558551622,1228.6564999725094,6000,6.0,0.023100493475794792,5.128072261810303,-74.19821166992188,0.0,75.09202575683594,6.0,60.4981803894043,1000.0,5.127563953399658,6,27.06039047241211,3.3984920978546143,820.7632516272647,537.6319558551622,23.703072080624207,0.7560576796531677,-0.053174715489149094,0.6543410420417786
7.0,0.09325603395700455,332.5336260795593,0.0,1.8578088283538818,88.03671264648438,1.0,626.474762468847,1352.2101156303784,7000,7.0,0.027340712025761604,6.066417694091797,-99.20738983154297,0.0,104.89838409423828,7.0,86.10518646240234,1000.0,6.473793983459473,7,36.26359939575195,6.683825492858887,896.6842321991381,626.474762468847,21.050502719160306,0.8315929770469666,-0.06396833807229996,0.6519204378128052
8.0,-0.24703121185302734,367.3235909938812,0.0,1.906365156173706,111.54288482666016,1.0,722.0967211034509,1588.0691458426231,8000,8.0,0.029794108122587204,3.1363089084625244,-123.85250091552734,0.0,133.99822998046875,8.0,109.3747329711914,1000.0,2.9707441329956055,8,46.42405700683594,8.876891136169434,983.1073464045737,722.0967211034509,21.77916201449,0.8418983817100525,-0.07225596904754639,0.6514416337013245
9.0,-0.31551918387413025,425.7096440792084,0.0,1.9248545169830322,137.13107299804688,1.0,775.9544189048906,2161.64677418671,9000,9.0,0.029457028955221176,3.3999886512756348,-150.1929931640625,0.0,162.42135620117188,9.0,135.04141235351562,1000.0,3.8377609252929688,9,57.07041549682617,11.877067565917969,1114.0561717137,775.9544189048906,21.14117010307956,0.849753201007843,-0.08646473288536072,0.6478875875473022
10.0,-0.36701536178588867,460.2168958187103,0.0,1.9530456066131592,162.07937622070312,1.0,818.9944838591093,412.80705951568524,10000,10.0,0.03153199702501297,3.3169355392456055,-176.55291748046875,0.0,172.3244171142578,10.0,159.94070434570312,1000.0,3.1975154876708984,10,68.14598083496094,16.661033630371094,1043.9312604938987,818.9944838591093,21.728884990652805,0.7968050837516785,-0.08911672979593277,0.6526994705200195
11.0,-0.2100050300359726,494.1166982650757,0.0,1.93867826461792,183.71340942382812,1.0,713.6200211358707,1495.0130143876904,11000,11.0,0.04260537400841713,3.6066551208496094,-198.67506408691406,0.0,213.63580322265625,11.0,181.35108947753906,1000.0,4.082078456878662,11,75.9460678100586,24.574674606323242,1084.9386926660616,713.6200211358707,22.261947508802667,0.8902164101600647,-0.07837653905153275,0.6674864292144775
12.0,-0.09480881690979004,537.1828639507294,0.0,1.9620875120162964,208.01177978515625,1.0,773.2274177924606,547.7031893767535,12000,12.0,0.04267901927232742,5.276178359985352,-222.52914428710938,0.0,202.5948028564453,12.0,205.4300537109375,1000.0,5.6412529945373535,12,88.14305114746094,22.058143615722656,1040.1690673919527,773.2274177924606,22.33876172397905,0.8740717172622681,-0.08699285238981247,0.6664477586746216
