total/steps,train/param_noise_distance,rollout/return_history,eval/return,rollout/Q_mean,rollout/actions_mean,total/epochs,reference_actor_Q_std,rollout/actions_std,reference_actor_Q_mean,total/duration,reference_Q_std,train/loss_actor,reference_action_std,eval/return_history,obs_rms_mean,ret_rms_mean,reference_action_mean,rollout/episodes,ret_rms_std,train/loss_critic,total/steps_per_second,total/episodes,obs_rms_std,reference_Q_mean,eval/episodes,rollout/episode_steps,rollout/return,eval/Q
13000,0.0,-159.99750244815476,-361.2110338714807,38.17362594604492,0.005174525547772646,13,34.02861022949219,0.7055474519729614,69.87757873535156,520.5658197402954,33.468414306640625,-75.61721801757812,0.7587673664093018,-114.17296561065282,0.09532441943883896,0.0,0.0027979090809822083,13.0,1.0,4.200364589691162,24.972826695547468,13.0,2.3583290576934814,68.8799819946289,13.0,1000.0,-159.99750244815476,51.669586181640625
14000,0.0,-172.12064636954287,547.2058896878269,37.85493469238281,-0.00641445629298687,14,42.14955139160156,0.7148030400276184,73.98377990722656,561.1504075527191,41.652679443359375,-77.16648864746094,0.7744213938713074,-66.93161880361855,0.09787271916866302,0.0,-0.09518396854400635,14.0,1.0,3.180037498474121,24.94874780730641,14.0,2.464613676071167,73.15668487548828,14.0,1000.0,-172.12064636954287,98.78971862792969
15000,0.0,-134.16722602068498,848.994314911752,42.932167053222656,-0.007032337132841349,15,49.87775421142578,0.7128803730010986,76.72758483886719,601.2979023456573,49.41156005859375,-83.95726776123047,0.8071038126945496,-5.869889889260518,0.09838996082544327,0.0,-0.04243679717183113,15.0,1.0,1.9756989479064941,24.946037465763883,15.0,2.450136184692383,75.92881774902344,15.0,1000.0,-134.16722602068498,120.65167236328125
16000,0.0,-83.76744306254754,369.86212303307667,48.09486770629883,-0.007304077036678791,16,57.27350616455078,0.7070063948631287,81.31510925292969,641.2993075847626,56.86214065551758,-91.33148193359375,0.8135789632797241,17.61336091838557,0.1002027839422226,0.0,0.042130690068006516,16.0,1.0,4.936253547668457,24.94934862826938,16.0,2.448528289794922,80.3455810546875,16.0,1000.0,-83.76744306254754,128.7921142578125
17000,0.0,-44.594470786661105,725.6563702918764,53.244468688964844,0.0015410021878778934,17,65.21328735351562,0.7015014886856079,87.1942138671875,681.1015434265137,64.60247039794922,-101.00962829589844,0.8092060685157776,59.26294970506151,0.10296300798654556,0.0,-0.09248647838830948,17.0,1.0,4.1500163078308105,24.959567577068906,17.0,2.4531338214874268,86.13226318359375,17.0,1000.0,-44.594470786661105,142.13455200195312
18000,0.0,-9.756887184614571,899.3736413287936,58.40424346923828,0.0007890473352745175,18,70.877685546875,0.6958668231964111,93.17477416992188,721.0045454502106,70.32772827148438,-109.89776611328125,0.8117994666099548,105.93576590637996,0.10243087261915207,0.0,-0.19641311466693878,18.0,1.0,3.023740291595459,24.965168546559465,18.0,2.4557666778564453,92.10860443115234,18.0,1000.0,-9.756887184614571,152.84986877441406
19000,0.0,26.96908764000018,61.34172948437714,63.56710433959961,0.011813109740614891,19,74.6281509399414,0.692725658416748,99.95407104492188,761.0279788970947,74.21479797363281,-119.63041687011719,0.7939539551734924,103.58871135785348,0.10579514503479004,0.0,-0.3022684156894684,19.0,1.0,4.737168788909912,24.966230581345233,19.0,2.4815003871917725,98.78314971923828,19.0,1000.0,26.96908764000018,81.71572875976562
20000,0.0,4.298299668454959,-417.5684473670425,60.841529846191406,-0.006235750392079353,20,82.35100555419922,0.7050746083259583,103.66976928710938,801.1123232841492,81.56035614013672,-119.88446044921875,0.8075014352798462,77.53085342160868,0.10514622181653976,0.0,-0.30706021189689636,20.0,1.0,11.78571891784668,24.965288160853987,20.0,2.44461989402771,102.14288330078125,20.0,1000.0,4.298299668454959,14.805184364318848
21000,0.0,-12.701217766369025,-316.75544595485474,58.423831939697266,-0.018683133646845818,21,89.29762268066406,0.7138012051582336,108.39056396484375,841.1942188739777,88.50411224365234,-118.65667724609375,0.7685343027114868,58.755315356062816,0.10488558560609818,0.0,-0.2420884370803833,21.0,1.0,3.4306530952453613,24.964508229871804,21.0,2.407060146331787,107.19452667236328,21.0,1000.0,-12.701217766369025,21.07213592529297
22000,0.0,13.934263903778742,-479.57170710151684,62.809391021728516,-0.012342700734734535,22,95.73594665527344,0.7131274938583374,110.76799011230469,881.2078258991241,95.1373062133789,-124.7680435180664,0.7382805347442627,34.285905244354645,0.10792998224496841,0.0,-0.34469175338745117,22.0,1.0,4.741832256317139,24.965733795603445,22.0,2.4225969314575195,109.95469665527344,22.0,1000.0,13.934263903778742,0.05959257856011391
