total/episodes,reference_action_mean,rollout/actions_std,train/param_noise_distance,ret_rms_std,obs_rms_std,reference_actor_Q_mean,reference_actor_Q_std,param_noise_stddev,total/epochs,ret_rms_mean,reference_perturbed_action_mean,train/loss_actor,rollout/actions_mean,rollout/episode_steps,eval/return_history,eval/episodes,reference_Q_mean,rollout/episodes,reference_perturbed_action_std,total/steps_per_second,rollout/return_history,rollout/Q_mean,obs_rms_mean,eval/Q,train/loss_critic,reference_action_std,eval/return,total/duration,rollout/return,reference_Q_std,total/steps
1.0,0.11704262346029282,0.6757504940032959,0.6680864989757538,1.0,2.1943717002868652,1.9351577758789062,1.5934226512908936,0.13978498992545177,1,0.0,0.2853206694126129,-1.7396661043167114,0.20473738014698029,1000.0,-404.7355719226809,1.0,1.3521630764007568,1.0,0.7576442956924438,30.629931251377297,-520.7771557305864,0.48132452368736267,0.053570810705423355,2.776216745376587,0.12880337238311768,0.8461462259292603,-404.7355719226809,32.647804260253906,-520.7771557305864,1.9030379056930542,1000
2.0,0.1404588371515274,0.6940855383872986,0.6827313303947449,1.0,2.1345486640930176,9.298192024230957,2.2230312824249268,0.09388702724900437,2,0.0,0.025876769796013832,-8.720059394836426,0.2608201503753662,1000.0,-203.04201574422652,2.0,8.513879776000977,2.0,0.7590485215187073,30.705391362819498,-524.267061599857,2.4009368419647217,0.07941799610853195,11.867151260375977,0.16771042346954346,0.6449553966522217,-1.348459565772146,65.13514113426208,-524.267061599857,2.394320487976074,2000
3.0,0.1914994716644287,0.7213971018791199,0.5327535271644592,1.0,2.1422829627990723,15.889776229858398,1.953050136566162,0.06305951655006926,3,0.0,0.1099824532866478,-15.953082084655762,0.193110853433609,1000.0,-146.497853363258,3.0,15.157917022705078,3.0,0.6381152272224426,30.725723266070087,-442.36197346232603,6.1001386642456055,0.082583487033844,16.933143615722656,0.3557858169078827,0.6757537722587585,-33.40952860132095,97.63805961608887,-442.36197346232603,2.155205726623535,3000
4.0,0.3095479905605316,0.7164823412895203,0.3616272509098053,1.0,2.001636505126953,20.813322067260742,2.8013885021209717,0.04235412222587577,4,0.0,0.23518307507038116,-21.618921279907227,0.12103975564241409,1000.0,-140.5755943354056,4.0,19.988834381103516,4.0,0.6721756458282471,30.725825304418553,-384.2498989262396,9.71745491027832,0.05848340317606926,21.550390243530273,0.47072306275367737,0.6272924542427063,-122.80881725184845,130.18364715576172,-384.2498989262396,3.1879968643188477,4000
5.0,0.39994993805885315,0.7029907703399658,0.25041137635707855,1.0,2.0824379920959473,25.738723754882812,2.774629592895508,0.028447279136688076,5,0.0,0.337245374917984,-26.50269317626953,0.1429326832294464,1000.0,-146.2589627352182,5.0,24.88825798034668,5.0,0.579828143119812,30.7526166937623,-353.0562671132742,12.397035598754883,0.06685997545719147,26.635955810546875,0.590413510799408,0.554754912853241,-168.9924363344686,162.58779048919678,-353.0562671132742,3.1906356811523438,5000
6.0,0.3186344802379608,0.6714169979095459,0.19902856647968292,1.0,1.9564557075500488,31.05011749267578,2.4779088497161865,0.022854436146078055,6,0.0,0.3670770227909088,-32.263553619384766,0.15879614651203156,1000.0,-144.18436215429142,6.0,30.054157257080078,6.0,0.5573481321334839,30.80079312731611,-318.7939086828077,15.280317306518555,0.09030663222074509,32.33266067504883,0.8160711526870728,0.5778490900993347,-133.81135924965741,194.80017852783203,-318.7939086828077,3.2588677406311035,6000
7.0,0.20582568645477295,0.6576759815216064,0.2002764269709587,1.0,1.8890818357467651,35.790122985839844,2.440491199493408,0.02240411346542305,7,0.0,0.14368540048599243,-36.663818359375,0.17305545508861542,1000.0,-142.4859748857541,7.0,34.87990188598633,7.0,0.6246373653411865,30.82135461429695,-289.5346361596158,17.939123153686523,0.09670522809028625,36.1778678894043,0.7274515628814697,0.6058419942855835,-132.29565127453017,227.11526107788086,-289.5346361596158,3.248342514038086,7000
8.0,0.06197381392121315,0.6538178324699402,0.18307054787874222,1.0,1.8842132091522217,38.6390495300293,2.5171844959259033,0.022854436146078055,8,0.0,0.12129954248666763,-39.538604736328125,0.17818205058574677,1000.0,-153.19666413842856,8.0,37.909423828125,8.0,0.648206353187561,30.83321106738983,-253.85889158594046,20.453895568847656,0.10003596544265747,39.021060943603516,1.1780145168304443,0.6427385807037354,-228.1714889071497,259.460488319397,-253.85889158594046,3.438744306564331,8000
9.0,0.26602306962013245,0.6458503007888794,0.18308761715888977,1.0,1.9010640382766724,40.38599395751953,2.42409086227417,0.023313810312614227,9,0.0,0.2530285716056824,-41.226966857910156,0.1850297451019287,1000.0,-172.8841401034125,9.0,39.65476608276367,9.0,0.6327382922172546,30.83993600414853,-246.72753802054336,22.540128707885742,0.10258131474256516,39.62200164794922,0.9106415510177612,0.6046105027198792,-330.38394782328425,291.8293993473053,-246.72753802054336,3.155890941619873,9000
10.0,0.126058891415596,0.6326282620429993,0.19773467630147934,1.0,1.829028844833374,41.45966339111328,2.4728004932403564,0.02426044449968572,10,0.0,0.10083780437707901,-42.2643928527832,0.1945391595363617,1000.0,-144.05178455411783,10.0,40.64555358886719,10.0,0.6746188402175903,30.862906764093786,-240.95402063827365,24.221607208251953,0.106846384704113,43.0850715637207,1.7462893724441528,0.6671411395072937,115.43941538953436,324.01355051994324,-240.95402063827365,3.2846286296844482,10000
