eval/episodes,rollout/episode_steps,total/steps_per_second,total/episodes,reference_actor_Q_mean,train/param_noise_distance,total/steps,obs_rms_std,train/loss_critic,reference_Q_std,param_noise_stddev,reference_actor_Q_std,ret_rms_mean,reference_action_mean,rollout/episodes,ret_rms_std,rollout/return,eval/return_history,train/loss_actor,total/epochs,reference_action_std,obs_rms_mean,rollout/actions_mean,eval/return,reference_Q_mean,rollout/Q_mean,rollout/actions_std,reference_perturbed_action_mean,total/duration,eval/Q,reference_perturbed_action_std,rollout/return_history
23.0,749.5666666666667,76.36114337080568,30.0,64.96855163574219,0.17696067690849304,23000,0.3726763427257538,2.9003372192382812,9.145362854003906,0.03834263432855745,6.044642925262451,0.0,0.08635872602462769,30.0,1.0,-185.0556131546127,-51.757131392901,-56.063106536865234,23,0.384168416261673,0.02606603316962719,0.0947863981127739,49.97995119827219,63.40952682495117,27.799837112426758,0.5582483410835266,-0.19558876752853394,301.2003092765808,64.35337829589844,0.40518975257873535,-185.0556131546127
24.0,714.7272727272727,75.99679857245813,33.0,67.52305603027344,0.17527934908866882,24000,0.3756987750530243,3.338761568069458,7.727166652679443,0.03540877950819716,4.687971115112305,0.0,0.1066756471991539,33.0,1.0,-162.81719575730364,-52.1015704069603,-58.24544906616211,24,0.40512213110923767,0.024945707991719246,0.08554434031248093,-60.02366773032387,66.04663848876953,29.261634826660156,0.5548208951950073,0.006192625500261784,315.8027765750885,60.77754211425781,0.4140169620513916,-162.81719575730364
25.0,689.1388888888889,75.50305091439182,36.0,69.4332275390625,0.1837829053401947,25000,0.37773776054382324,5.7357048988342285,9.027902603149414,0.03540877950819716,5.290241241455078,0.0,0.08986873179674149,36.0,1.0,-141.41754693104838,-47.63577216656628,-60.93284606933594,25,0.40990787744522095,0.025269513949751854,0.0887579396367073,59.54338560289034,67.88790130615234,30.776918411254883,0.550829291343689,0.20239490270614624,331.11244773864746,67.39600372314453,0.4161757826805115,-141.41754693104838
26.0,697.5405405405405,75.1334487129166,37.0,70.91876983642578,0.20185384154319763,26000,0.3795447051525116,6.161505699157715,7.753530979156494,0.034711086666206405,4.704753398895264,0.0,0.061823081225156784,37.0,1.0,-131.22866813234617,-37.24922888889076,-63.47434997558594,26,0.395522803068161,0.025227336212992668,0.09020838141441345,222.414353052997,69.56807708740234,32.24117660522461,0.5460923910140991,0.17070047557353973,346.05093264579773,67.55396270751953,0.43081820011138916,-131.22866813234617
27.0,703.6052631578947,74.72785510108238,38.0,72.86528015136719,0.2301984280347824,27000,0.3823460638523102,5.904669761657715,6.227614879608154,0.034711086666206405,3.8636021614074707,0.0,0.11836639046669006,38.0,1.0,-120.29734718544957,-18.252086856438638,-66.10559844970703,27,0.36713531613349915,0.025093939155340195,0.09026163071393967,475.67360598731665,71.71368408203125,33.628448486328125,0.541463315486908,0.06502515077590942,361.31105279922485,72.08177947998047,0.3613482117652893,-120.29734718544957
28.0,711.2051282051282,74.53952786986935,39.0,72.77626037597656,0.15030676126480103,28000,0.38171765208244324,5.852327823638916,12.712126731872559,0.034711086666206405,9.658464431762695,0.0,0.06281565129756927,39.0,1.0,-102.9778749462809,-0.25195860334087733,-68.32679748535156,28,0.34301167726516724,0.025429870933294296,0.0896589607000351,485.7515042302986,71.35026550292969,35.032222747802734,0.5358427166938782,0.19675466418266296,375.6396210193634,73.82106018066406,0.3789783716201782,-102.9778749462809
29.0,718.425,74.6001076141989,40.0,75.01815795898438,0.18955671787261963,29000,0.38199037313461304,2.5942413806915283,11.157703399658203,0.034711086666206405,7.929815292358398,0.0,0.020622923970222473,40.0,1.0,-91.54912062019329,9.672684311642916,-70.23640441894531,29,0.37291866540908813,0.025400104001164436,0.0907740443944931,287.56268593118915,73.61624908447266,36.2757453918457,0.5314717292785645,-0.05262921750545502,388.7393856048584,76.37803649902344,0.3837094008922577,-91.54912062019329
30.0,725.2926829268292,74.295455527999,41.0,76.14268493652344,0.16424278914928436,30000,0.38094261288642883,6.8416829109191895,13.171218872070312,0.036846517945435794,9.915931701660156,0.0,0.08016800880432129,41.0,1.0,-101.34192542816287,22.80690150754537,-71.91683197021484,30,0.3671073913574219,0.025235725566744804,0.08954854309558868,403.6992001887165,74.91653442382812,36.86425018310547,0.5334359407424927,0.10849965363740921,403.7932035923004,73.77621459960938,0.35254067182540894,-101.34192542816287
31.0,731.8333333333334,73.97845124546615,42.0,80.0905990600586,0.27891039848327637,31000,0.38100817799568176,5.08169412612915,7.827425956726074,0.03612049597631192,4.368522644042969,0.0,-0.04818654805421829,42.0,1.0,-85.06582227742281,32.100007842670074,-73.68362426757812,31,0.3873814344406128,0.024910299107432365,0.08930842578411102,310.8931978964113,78.57890319824219,38.18762969970703,0.528531014919281,-0.12245054543018341,419.04094338417053,79.55025482177734,0.3860889673233032,-85.06582227742281
32.0,738.0697674418604,73.9056989365008,43.0,81.93359375,0.22729472815990448,32000,0.3813103437423706,4.093981742858887,9.415290832519531,0.03612049597631192,5.482498645782471,0.0,0.014235101640224457,43.0,1.0,-78.21137772470087,42.42472266296278,-75.03865814208984,32,0.4002036452293396,0.024690384045243263,0.0837968960404396,362.49088209203654,80.30043029785156,39.52416229248047,0.5263877511024475,0.05796600878238678,432.98420095443726,82.46658325195312,0.47217872738838196,-78.21137772470087
