eval/episodes,rollout/Q_mean,obs_rms_std,train/loss_actor,eval/return,rollout/return_history,ret_rms_mean,train/loss_critic,ret_rms_std,reference_action_mean,reference_Q_mean,rollout/episode_steps,rollout/actions_std,reference_actor_Q_std,rollout/episodes,reference_Q_std,param_noise_stddev,reference_perturbed_action_mean,total/duration,total/episodes,eval/Q,eval/return_history,total/steps,total/epochs,rollout/actions_mean,reference_action_std,reference_perturbed_action_std,reference_actor_Q_mean,rollout/return,train/param_noise_distance,obs_rms_mean,total/steps_per_second
1.0,17.905784606933594,9.155990600585938,-37.38557815551758,110.86287354136059,97.12820305341775,0.0,1.1117897033691406,1.0,0.030614685267210007,37.663482666015625,20.408163265306122,0.7869506478309631,8.36618709564209,49.0,10.146612167358398,0.16720346283821505,-0.0726710706949234,20.395167589187622,49.0,38.5935173034668,110.86287354136059,1000,1,0.015706585720181465,0.7037273645401001,0.7964857816696167,39.01722717285156,97.12820305341775,0.7020220160484314,0.6663830280303955,49.03122250047821
2.0,36.70656204223633,8.528219223022461,-71.6410903930664,244.23332302068866,115.49079024159744,0.0,6.024342060089111,1.0,-0.08390021324157715,69.4565200805664,24.096385542168676,0.7919173240661621,25.41910171508789,83.0,27.588623046875,0.1370306733903066,-0.10657113790512085,40.765894412994385,83.0,73.44207763671875,177.54809828102464,2000,2,-0.0004873760335613042,0.784576416015625,0.8005048632621765,72.8523941040039,115.49079024159744,0.8147463798522949,0.8626302480697632,49.06061865681739
3.0,53.67047882080078,8.413851737976074,-105.46104431152344,366.75941577218674,135.52537037935156,0.0,8.044672012329102,1.0,0.10054442286491394,101.90290832519531,26.91891891891892,0.795121967792511,41.599098205566406,111.0,44.75469207763672,0.11230273064362171,0.06014729291200638,61.43116593360901,111.0,122.80416107177734,240.61853744474533,3000,3,-0.016911298036575317,0.7839833498001099,0.8210185766220093,108.19218444824219,130.36334833698496,0.7192631959915161,1.065205693244934,48.83514669479355
4.0,72.51831817626953,8.304930686950684,-142.0386199951172,217.0340598468261,166.14301144963105,0.0,12.899282455444336,1.0,0.0865405946969986,128.44544982910156,31.0078125,0.7955024242401123,63.65587615966797,128.0,66.44019317626953,0.09203708190275892,0.15687909722328186,81.90364122390747,128.0,159.79287719726562,234.7224180452655,4000,4,0.00017524472787044942,0.8089741468429565,0.8186427354812622,136.47052001953125,150.63017884664526,0.7508460283279419,1.270458459854126,48.83787753788424
5.0,90.166015625,8.17233657836914,-177.17185974121094,230.56068031779887,198.14783653915677,0.0,13.747392654418945,1.0,0.19736900925636292,163.67825317382812,33.7687074829932,0.7996516227722168,79.50557708740234,147.0,82.89696502685547,0.07542848153938683,0.25929000973701477,102.3861563205719,147.0,182.87496948242188,233.89007049977218,5000,5,0.03379455581307411,0.8112143278121948,0.7906068563461304,174.64434814453125,165.454864444999,0.6399062871932983,1.422871708869934,48.83472707330627
6.0,107.09881591796875,7.98593282699585,-205.96087646484375,350.9234391502153,230.0851599861067,0.0,21.14382553100586,1.0,0.17383000254631042,187.1031951904297,36.17575757575757,0.8038891553878784,100.03340148925781,165.0,104.4135513305664,0.06181699495154324,0.1858973205089569,123.02775406837463,165.0,242.43653869628906,253.39563194151268,6000,6,0.05837908014655113,0.837482213973999,0.8090115785598755,200.45376586914062,177.61858130528714,0.6467148661613464,1.5252691507339478,48.76948332053111
7.0,124.27606964111328,7.830411434173584,-235.5382080078125,321.14033244203875,248.07476554424474,0.0,38.74254608154297,1.0,0.22504276037216187,212.3125,38.31318681318681,0.8074306845664978,122.31742858886719,182.0,126.61309051513672,0.05066177638540577,0.31539100408554077,143.65703201293945,182.0,247.2490692138672,263.0734462987307,7000,7,0.08900462836027145,0.8295794725418091,0.7896270751953125,228.38662719726562,188.35279612426675,0.529232919216156,1.6164971590042114,48.72716568005872
8.0,137.7071075439453,7.771284580230713,-254.45188903808594,317.86642947430124,271.1921060593205,0.0,58.305641174316406,1.0,0.095705047249794,238.64710998535156,40.015075376884425,0.8106827139854431,146.61404418945312,199.0,150.04812622070312,0.04151957869412388,0.16478240489959717,164.4913296699524,199.0,217.18557739257812,269.922569195677,8000,8,0.10437282174825668,0.8273182511329651,0.8182505369186401,256.902587890625,196.9963196242055,0.4791578948497772,1.6786597967147827,48.634782246892854
9.0,153.23324584960938,7.654819011688232,-281.0623779296875,304.75738699565653,281.96902498594926,0.0,89.07415008544922,1.0,0.19780215620994568,257.437255859375,41.48372093023256,0.8114248514175415,166.5712890625,215.0,167.54397583007812,0.034027141129503384,0.18802687525749207,185.1685655117035,215.0,285.9283142089844,273.7931045067858,9000,9,0.11041183024644852,0.8065934181213379,0.7983725070953369,279.088623046875,204.0331570537175,0.4136974811553955,1.71477210521698,48.60436205858688
10.0,166.7041015625,7.610626697540283,-301.338134765625,308.6290275710062,284.11720146466075,0.0,124.05779266357422,1.0,0.3025076985359192,282.838623046875,42.742489270386265,0.8123988509178162,183.53146362304688,233.0,183.36810302734375,0.027886755354071244,0.3600583076477051,205.804847240448,233.0,294.1569519042969,277.2766968132079,10000,10,0.12183704227209091,0.7958557605743408,0.7740651369094849,308.58953857421875,210.20667940366687,0.36540335416793823,1.7510313987731934,48.589720475906475
11.0,180.63279724121094,7.487597465515137,-328.1180725097656,395.83474124763677,294.53487746752324,0.0,156.23587036132812,1.0,0.12996143102645874,316.18621826171875,44.31983805668016,0.8117617964744568,200.237060546875,247.0,199.9750213623047,0.022854436146078055,0.16886749863624573,226.55162930488586,247.0,307.5396423339844,288.0547008527014,11000,11,0.1373058706521988,0.8510535359382629,0.8369274735450745,343.15716552734375,217.71397902901694,0.27940642833709717,1.7894381284713745,48.55405380994438
12.0,198.60287475585938,7.406131744384766,-350.4794006347656,437.73675879274225,304.4052537610568,0.0,187.3652801513672,1.0,0.11221795529127121,330.57086181640625,45.75478927203065,0.8124760389328003,229.01856994628906,261.0,227.4093780517578,0.018730226766195082,0.09363700449466705,247.28333520889282,261.0,323.3938293457031,300.5282056810382,12000,12,0.13995182514190674,0.8435084819793701,0.8503034710884094,359.901123046875,224.9995088806193,0.24392636120319366,1.8137140274047852,48.527329954778345
13.0,210.72442626953125,7.342788219451904,-356.0694580078125,381.0615976021284,313.06927504171165,0.0,309.4983215332031,1.0,0.191786989569664,333.92718505859375,46.90974729241877,0.8139023780822754,259.20819091796875,277.0,253.45703125,0.015350253774398782,0.19589905440807343,267.8780851364136,277.0,297.1159973144531,306.7230819826605,13000,13,0.14539684355258942,0.8305219411849976,0.8191999793052673,367.54278564453125,231.246808960738,0.21940802037715912,1.8398265838623047,48.52953907513529
14.0,221.14918518066406,7.317544460296631,-384.14691162109375,303.0320780052517,318.5927525953946,0.0,355.87542724609375,1.0,0.25375866889953613,369.06494140625,47.794520547945204,0.8146103620529175,279.7677307128906,292.0,274.491943359375,0.014751292160020392,0.2740534543991089,288.4941213130951,292.0,467.0553283691406,306.459438841417,14000,14,0.1578962355852127,0.816935122013092,0.8087021112442017,409.4733581542969,235.96253751663826,0.2052454650402069,1.8735734224319458,48.52785192390859
15.0,230.39447021484375,7.25201940536499,-393.5489501953125,444.1109631029656,323.08338343193077,0.0,450.3995056152344,1.0,0.1884756088256836,399.8040466308594,48.6948051948052,0.8181472420692444,290.21600341796875,308.0,284.9459228515625,0.015350253774398782,0.16674812138080597,309.2055194377899,308.0,398.5912780761719,315.63620712552023,15000,15,0.16051629185676575,0.8305176496505737,0.8198578953742981,442.34454345703125,240.52346165651028,0.2168494015932083,1.8929002285003662,48.511423816992696
