train/loss_critic,eval/episodes,total/episodes,reference_action_mean,eval/Q,param_noise_stddev,total/steps_per_second,total/duration,eval/return_history,obs_rms_mean,reference_Q_std,reference_action_std,rollout/actions_mean,reference_perturbed_action_mean,ret_rms_mean,reference_actor_Q_std,rollout/episodes,ret_rms_std,train/loss_actor,train/param_noise_distance,rollout/episode_steps,rollout/Q_mean,rollout/return_history,reference_perturbed_action_std,rollout/actions_std,reference_Q_mean,total/epochs,eval/return,total/steps,rollout/return,reference_actor_Q_mean,obs_rms_std
0.1823120266199112,1.0,1.0,-0.10917466133832932,1.400260090827942,0.16720346283821505,50.310723568824834,19.87647819519043,-448.5192166812625,0.053570810705423355,2.0139150619506836,0.8397771120071411,0.20473738014698029,0.0403384268283844,0.0,1.6989954710006714,1.0,1.0,-0.4521600604057312,0.5773572325706482,1000.0,-0.06124160811305046,-520.7771557305864,0.8819247484207153,0.6757504940032959,-0.4277667999267578,1,-448.5192166812625,1000,-520.7771557305864,0.3401969075202942,2.1943717002868652
0.08627728372812271,2.0,2.0,0.14720766246318817,3.092189311981201,0.1370306733903066,50.58423023684162,39.53801393508911,-466.53934777815687,0.01254853792488575,2.0579607486724854,0.8235464096069336,0.015221034176647663,-0.04993120953440666,0.0,1.9092119932174683,2.0,1.0,-2.705857276916504,0.745807945728302,1000.0,0.2884227931499481,-486.86070654605135,0.8010807037353516,0.8040618896484375,1.7008509635925293,2,-484.55947887505124,2000,-486.86070654605135,2.4331793785095215,1.7001136541366577
0.10710237175226212,3.0,3.0,0.24643917381763458,2.621436834335327,0.11230273064362171,50.72588163885968,59.141406774520874,-476.1755158242354,0.025570275261998177,2.808994770050049,0.8363290429115295,0.007666038349270821,0.3517308235168457,0.0,2.5841903686523438,3.0,1.0,-4.556634902954102,0.6673592925071716,1000.0,1.338174819946289,-452.78739479022533,0.6756623387336731,0.8031679391860962,3.4154930114746094,3,-495.4478519163923,3000,-452.78739479022533,3.953960418701172,1.6467022895812988
0.13378530740737915,4.0,4.0,0.11185989528894424,3.0570061206817627,0.09203708190275892,50.8561011361174,78.65329647064209,-564.5091912102505,0.047724489122629166,3.2639832496643066,0.7804879546165466,0.08785536885261536,0.10898971557617188,0.0,3.193223714828491,4.0,1.0,-5.316401958465576,0.6266756057739258,1000.0,1.6836979389190674,-414.7274346932358,0.707318127155304,0.7783671617507935,4.9849653244018555,4,-829.5102173682957,4000,-414.7274346932358,5.852565765380859,1.5059515237808228
0.24643121659755707,5.0,5.0,0.046780724078416824,6.894040584564209,0.07542848153938683,50.877987922926316,98.27432656288147,-533.3035616354643,0.05716792121529579,3.5460212230682373,0.7283156514167786,0.1398072987794876,-0.06384962797164917,0.0,3.4600296020507812,5.0,1.0,-8.021065711975098,0.5406090021133423,1000.0,2.0837204456329346,-453.81372194921926,0.642533540725708,0.7612744569778442,8.005751609802246,5,-408.4810433363199,5000,-453.81372194921926,8.903018951416016,1.4348132610321045
0.2638965845108032,6.0,6.0,0.13493706285953522,11.64797306060791,0.06181699495154324,50.91945753317285,117.83314847946167,-496.2350494830623,0.06267988681793213,3.2750699520111084,0.7205292582511902,0.09097608923912048,0.16220490634441376,0.0,3.153656244277954,6.0,1.0,-12.068800926208496,0.38607192039489746,1000.0,3.3127734661102295,-428.1968990445966,0.6778403520584106,0.7636827230453491,11.362068176269531,6,-310.8924887210519,6000,-428.1968990445966,12.309576034545898,1.420976161956787
0.2398035228252411,7.0,7.0,0.13674896955490112,14.018016815185547,0.05066177638540577,50.92479492721319,137.4575982093811,-464.66706829603635,0.06669861823320389,2.9867043495178223,0.6801880598068237,0.08361994475126266,0.1579209268093109,0.0,2.856964349746704,7.0,1.0,-15.010961532592773,0.3120240867137909,1000.0,4.886629581451416,-388.7872776685382,0.6865943670272827,0.7550015449523926,14.295822143554688,7,-275.2591811738806,7000,-388.7872776685382,15.090423583984375,1.4959309101104736
0.45495057106018066,8.0,8.0,0.053824782371520996,19.98166847229004,0.04151957869412388,50.95846855362623,156.9905891418457,-357.8898077164671,0.07232767343521118,2.869224786758423,0.6464442014694214,0.09026066958904266,-0.07277800887823105,0.0,2.728126287460327,8.0,1.0,-17.375391006469727,0.40039917826652527,1000.0,6.450096607208252,-326.6459293703289,0.6679213643074036,0.747420072555542,17.206298828125,8,389.5510163405176,8000,-326.6459293703289,17.979602813720703,1.596813678741455
0.3764273524284363,9.0,9.0,-0.022157713770866394,16.1756591796875,0.034027141129503384,50.97190528675646,176.56785535812378,-348.6099561573968,0.08316227048635483,2.6836681365966797,0.6006899476051331,0.0958847850561142,-0.07498157024383545,0.0,2.4820539951324463,9.0,1.0,-20.569067001342773,0.3232204020023346,1000.0,7.624479293823242,-320.52113898090175,0.6538966298103333,0.7456254363059998,20.22185516357422,9,-274.3711436848347,9000,-320.52113898090175,21.043651580810547,1.5909532308578491
0.6584884524345398,10.0,10.0,0.1506890058517456,22.314130783081055,0.027886755354071244,50.99409999202658,196.1011176109314,-320.8764988319084,0.07097310572862625,2.813483238220215,0.6655352711677551,0.07409335672855377,0.11817757040262222,0.0,2.634406805038452,10.0,1.0,-23.92153549194336,0.22715331614017487,1000.0,9.266865730285645,-321.4318130168073,0.6611714363098145,0.7471531629562378,23.17380714416504,10,-71.27538290251248,10000,-321.4318130168073,24.28459930419922,1.5200062990188599
