reference_actor_Q_mean,eval/return_history,rollout/return_history,rollout/Q_mean,rollout/episode_steps,reference_actor_Q_std,total/steps,param_noise_stddev,obs_rms_mean,rollout/episodes,total/epochs,rollout/actions_std,reference_perturbed_action_std,total/steps_per_second,total/episodes,reference_Q_std,reference_action_std,eval/episodes,eval/return,ret_rms_std,train/param_noise_distance,rollout/actions_mean,obs_rms_std,ret_rms_mean,reference_Q_mean,train/loss_actor,total/duration,reference_perturbed_action_mean,rollout/return,reference_action_mean,eval/Q,train/loss_critic
-3.799222469329834,-2032.2681356024004,-488.4367652472816,-3.4235057830810547,355.0,2.049379825592041,1000,0.16720346283821505,0.03671569749712944,1.0,1,0.7883230447769165,0.6229947209358215,71.40710682796376,1.0,2.342642068862915,0.639513373374939,1.0,-2032.2681356024004,1.0,0.6341536045074463,0.3432190716266632,0.3303123712539673,0.0,-5.6735520362854,3.6454436779022217,14.004208326339722,0.6172889471054077,-488.4367652472816,-0.626930832862854,-3.3917031288146973,0.24255043268203735
-3.439732551574707,-2231.2714594450217,-1360.0453142334309,-4.756688117980957,677.5,1.825900673866272,2000,0.1370306733903066,0.036441583186388016,2.0,2,0.8572375774383545,0.6882535219192505,71.45814148664448,2.0,2.477747917175293,0.929314374923706,2.0,-2430.274783287643,1.0,0.6843587756156921,0.15604449808597565,0.30099523067474365,0.0,-5.568325996398926,5.042208194732666,27.988413333892822,-0.48742902278900146,-1360.0453142334309,0.1257013976573944,-2.1477434635162354,0.19240514934062958
-6.503415584564209,-2314.2440622933104,-1613.287070819515,-6.111200332641602,785.0,1.9053688049316406,3000,0.11686267184170265,0.03893793374300003,3.0,3,0.8900617957115173,0.9256121516227722,71.5273108451214,3.0,2.103938102722168,0.9496719837188721,3.0,-2480.1892679898883,1.0,0.37148380279541016,0.05560710281133652,0.2814476788043976,0.0,-7.636412620544434,9.520779609680176,41.94202136993408,-0.030039876699447632,-1613.287070819515,-0.05025210976600647,-11.571073532104492,0.24087463319301605
-11.113359451293945,-2262.1904702182233,-1857.3809244594386,-8.1162691116333,838.75,2.4610579013824463,4000,0.10166619702807067,0.036357104778289795,4.0,4,0.9032285809516907,0.9295090436935425,71.42574062424272,4.0,2.564188241958618,0.8221695423126221,4.0,-2106.0296939929613,1.0,0.35893189907073975,0.019141819328069687,0.268093079328537,0.0,-12.098697662353516,15.58575439453125,56.002219438552856,-0.13728947937488556,-1857.3809244594386,-0.3185642659664154,-8.889287948608398,0.43332985043525696
-17.130050659179688,-1945.6291350895913,-1984.675919663267,-8.7650785446167,871.0,2.7838308811187744,5000,0.0833199695945773,0.03491922840476036,5.0,5,0.8990901112556458,0.8628993034362793,75.12702712024522,5.0,2.883418560028076,0.8688722252845764,5.0,-679.383794575064,1.0,0.46356555819511414,-0.020143335685133934,0.26605767011642456,0.0,-17.9289608001709,19.548845291137695,66.55394458770752,-0.20224018394947052,-1984.675919663267,-0.08102685213088989,-16.412370681762695,0.457346647977829
-21.489852905273438,-1953.3742255328004,-1969.8085238182512,-10.016829490661621,892.5,3.5455875396728516,6000,0.0682844203499074,0.03332047909498215,6.0,6,0.8965809941291809,0.8646647334098816,75.35697148879618,6.0,3.653430223464966,0.9073560237884521,6.0,-1992.0996777488447,1.0,0.2570086717605591,-0.04152994230389595,0.2732003331184387,0.0,-22.73023223876953,22.527978897094727,79.62103414535522,0.011882200837135315,-1969.8085238182512,-0.011036217212677002,-18.644832611083984,0.6444108486175537
-25.221282958984375,-2040.091244556988,-2028.9709896143795,-12.014554977416992,907.8571428571429,3.808415651321411,7000,0.06181699495154324,0.03079276904463768,7.0,7,0.8961276412010193,0.9050942063331604,74.86578517824765,7.0,4.0163068771362305,0.9690686464309692,7.0,-2560.393358702112,1.0,0.21665064990520477,-0.046221647411584854,0.2841723561286926,0.0,-26.477458953857422,26.097761154174805,93.50065565109253,-0.11344492435455322,-2028.9709896143795,-0.14406590163707733,-21.948131561279297,0.9783974289894104
-28.447555541992188,-1872.5931549272912,-2047.6766367337573,-13.798952102661133,919.375,4.066978454589844,8000,0.055962119107954095,0.030603356659412384,8.0,8,0.8953597545623779,0.950596034526825,76.90687898101113,8.0,4.11444616317749,0.9362490177154541,8.0,-700.1065275194161,1.0,0.24808214604854584,-0.04038219526410103,0.28641238808631897,0.0,-30.012805938720703,27.907224655151367,104.0219042301178,-0.1317063868045807,-2047.6766367337573,-0.12280145287513733,-25.923583984375,1.0356383323669434
-30.825607299804688,-1872.5978968552477,-1785.3522538776122,-15.12903118133545,800.3636363636364,3.4403178691864014,9000,0.046785300513072836,0.028210319578647614,11.0,9,0.8924327492713928,0.8788709044456482,77.04170880011313,11.0,3.7250874042510986,0.8960779905319214,9.0,-1872.6358322788997,1.0,0.23017436265945435,-0.05109754949808121,0.3154453635215759,0.0,-32.19815444946289,31.06243133544922,116.81983876228333,-0.2979625463485718,-1785.3522538776122,-0.2941405177116394,-28.303491592407227,3.45271372795105
-32.93169403076172,-1955.0144631926062,-1825.4016526403257,-16.546199798583984,817.0,4.424058437347412,10000,0.04966353924655011,0.02639070898294449,12.0,10,0.8935117721557617,0.9405699372291565,76.42962573760154,12.0,4.425218105316162,0.9563254714012146,10.0,-2696.763560228833,1.0,0.1470242589712143,-0.0729224905371666,0.3135932683944702,0.0,-34.45688247680664,33.514610290527344,130.8393166065216,-0.21769164502620697,-1825.4016526403257,-0.1829649806022644,-36.19260787963867,2.608635187149048
