reference_Q_std,reference_perturbed_action_mean,rollout/actions_std,rollout/episodes,total/duration,reference_action_mean,ret_rms_std,train/loss_actor,reference_Q_mean,total/episodes,rollout/Q_mean,ret_rms_mean,rollout/return_history,eval/return,eval/return_history,reference_actor_Q_std,reference_perturbed_action_std,reference_actor_Q_mean,obs_rms_mean,rollout/actions_mean,total/steps_per_second,eval/Q,obs_rms_std,rollout/episode_steps,train/loss_critic,rollout/return,train/param_noise_distance,total/steps,eval/episodes,total/epochs,param_noise_stddev,reference_action_std
3.1170222759246826,-0.04784069210290909,0.533463716506958,40.0,12.543601036071777,0.022510951384902,1.0,-19.008769989013672,19.220699310302734,40.0,9.165799140930176,0.0,121.24283735081895,280.5232901741805,280.5232901741805,2.751220464706421,0.5448846220970154,19.44921875,0.7951278686523438,0.02551092952489853,79.72192332363637,20.524206161499023,6.710011005401611,24.825,2.467888832092285,121.24283735081895,0.4912547469139099,1000,1.0,1,0.16720346283821505,0.3430868089199066
9.367560386657715,-0.028792668133974075,0.5377766489982605,80.0,24.20944881439209,-0.05866730958223343,1.0,-38.027427673339844,37.516197204589844,80.0,18.723953247070312,0.0,120.4681734049818,113.12462194498025,196.82395605958038,8.390481948852539,0.5397364497184753,38.165924072265625,0.8102701306343079,0.02921883389353752,82.61237235649229,38.644432067871094,7.164309024810791,24.8875,3.1014368534088135,120.4681734049818,0.5959110260009766,2000,2.0,2,0.1370306733903066,0.48871544003486633
19.266340255737305,0.1257966011762619,0.5579613447189331,132.0,35.70210886001587,0.0365484245121479,1.0,-52.8436164855957,52.482826232910156,132.0,26.964895248413086,0.0,103.3791428212883,137.51991123530507,177.05594111815526,18.223350524902344,0.6450244784355164,53.745880126953125,0.6983012557029724,0.041874367743730545,84.02864972942292,55.09010696411133,7.716170310974121,22.515151515151516,3.4695236682891846,108.03675910913144,0.5568920969963074,3000,3.0,3,0.11230273064362171,0.6167044043540955
28.050235748291016,0.2437751442193985,0.5677424669265747,160.0,47.586082220077515,0.12378126382827759,1.0,-71.31768035888672,66.84963989257812,160.0,36.785560607910156,0.0,115.59446145100604,256.4113062011378,196.8947823889009,26.74840545654297,0.6478021144866943,69.4039306640625,0.8833579421043396,0.07151692360639572,84.05819124803513,72.63079833984375,7.599379539489746,24.6,6.225355625152588,119.7459976643468,0.5225515365600586,4000,4.0,4,0.09203708190275892,0.698099672794342
38.27754211425781,0.1239205002784729,0.5812862515449524,178.0,59.440359592437744,0.07364888489246368,1.0,-88.79364013671875,81.06629180908203,178.0,46.574859619140625,0.0,150.95503109850958,198.70387348223943,197.2566006075686,37.155765533447266,0.6765187382698059,84.20525360107422,1.0828524827957153,0.08491545915603638,84.11792987598483,104.07618713378906,7.45867919921875,28.03932584269663,8.586230278015137,138.06041924157685,0.5216709971427917,5000,5.0,5,0.07542848153938683,0.716201663017273
47.01617431640625,0.1054624617099762,0.5959610342979431,192.0,71.52257943153381,0.18506470322608948,1.0,-109.51455688476562,97.6395492553711,192.0,56.842472076416016,0.0,187.02349807363004,363.32303608266426,224.93433985341787,44.3648796081543,0.7027616500854492,102.27900695800781,1.252037525177002,0.10734625905752182,83.88959189794882,108.2568359375,7.244958877563477,31.036458333333332,10.783658027648926,153.04234796977775,0.42843592166900635,6000,6.0,6,0.06181699495154324,0.7264059782028198
56.180179595947266,0.2380572259426117,0.6063432097434998,206.0,83.51455521583557,0.2402980476617813,1.0,-127.93496704101562,112.32879638671875,206.0,66.21417236328125,0.0,227.28361059055115,327.05069089073623,239.5223900016062,53.48358917236328,0.7330591082572937,117.99068450927734,1.3892852067947388,0.1328185647726059,83.81772472964926,136.85601806640625,7.1835527420043945,33.84466019417476,12.695967674255371,167.6572195852159,0.35856354236602783,7000,7.0,7,0.05066177638540577,0.7293434739112854
65.67340087890625,0.2522228956222534,0.6158367395401001,224.0,95.4216570854187,0.25922125577926636,1.0,-146.1594696044922,127.64712524414062,224.0,75.3616714477539,0.0,260.9711827765682,259.8766998647724,242.066678734502,62.61391830444336,0.7444623112678528,133.48773193359375,1.5037847757339478,0.16178786754608154,83.8384098993233,146.35443115234375,7.096372604370117,35.642857142857146,16.635425567626953,176.99218518196693,0.3374025523662567,8000,8.0,8,0.04151957869412388,0.7412904500961304
75.62894439697266,0.2797193229198456,0.6273044347763062,244.0,107.32554626464844,0.282577782869339,1.0,-161.7166748046875,140.69049072265625,244.0,84.08712768554688,0.0,289.172869747884,269.385997396355,245.102158585819,72.72308349609375,0.7462378740310669,147.59555053710938,1.6051878929138184,0.17926055192947388,83.85701553111477,161.66696166992188,6.97877836227417,36.72540983606557,14.095118522644043,183.47532177403357,0.2988533675670624,9000,9.0,9,0.034027141129503384,0.7554336786270142
83.14926147460938,0.23376187682151794,0.6411717534065247,264.0,119.33681750297546,0.22859875857830048,1.0,-175.63648986816406,151.81045532226562,264.0,91.9281997680664,0.0,295.2386521238791,250.09173321712746,245.60111604894988,80.41736602783203,0.7767791748046875,159.55746459960938,1.6752310991287231,0.18629372119903564,83.79643608101638,162.12014770507812,6.917819499969482,37.746212121212125,29.608301162719727,189.49447001031888,0.2704494297504425,10000,10.0,10,0.027886755354071244,0.7801421880722046
