eval/Q,rollout/Q_mean,train/param_noise_distance,total/duration,train/loss_critic,total/episodes,train/loss_actor,reference_perturbed_action_mean,total/epochs,reference_actor_Q_std,rollout/return,rollout/actions_std,total/steps_per_second,reference_action_std,eval/return,rollout/episodes,ret_rms_mean,ret_rms_std,reference_perturbed_action_std,obs_rms_std,reference_action_mean,reference_Q_std,reference_Q_mean,reference_actor_Q_mean,rollout/actions_mean,total/steps,rollout/return_history,obs_rms_mean,eval/return_history,eval/episodes,rollout/episode_steps,param_noise_stddev
3.348611354827881,2.413710832595825,0.41832268238067627,21.01561212539673,0.07617341727018356,1.0,-4.693627834320068,0.5380063056945801,1,1.017218828201294,-271.50851301482976,0.6364894509315491,47.58367227341098,0.892941415309906,-510.8909183171394,1.0,0.0,1.0,0.6923587918281555,1.749123215675354,0.280422180891037,1.2589704990386963,4.2342119216918945,4.7145490646362305,0.31149357557296753,1000,-271.50851301482976,0.07081860303878784,-510.8909183171394,1.0,1000.0,0.17748984505303073
2.8146116733551025,2.1079227924346924,0.48374301195144653,41.42886805534363,0.07334095239639282,2.0,-4.712033271789551,-0.387923002243042,2,1.9905816316604614,-334.62263737327675,0.6244580149650574,48.27551641836455,0.629010796546936,-272.94565782243865,2.0,0.0,1.0,0.6607852578163147,1.2885088920593262,-0.21104128658771515,2.074479341506958,5.92739200592041,6.528021335601807,0.4474816620349884,2000,-334.62263737327675,0.11198671907186508,-391.918288069789,2.0,1000.0,0.14838458355742482
10.560297012329102,2.4200830459594727,0.534156858921051,61.563490867614746,0.2040470689535141,3.0,-8.126788139343262,-0.18394185602664948,3,2.629714012145996,-305.89046119995413,0.7614831924438477,48.730180139575864,0.6373147368431091,-329.1398246448893,3.0,0.0,1.0,0.6830256581306458,1.8120768070220947,0.23110860586166382,2.9952290058135986,10.241445541381836,11.191547393798828,0.1327008455991745,3000,-305.89046119995413,0.10197300463914871,-370.99213359482246,3.0,1000.0,0.12160776493778987
12.637767791748047,6.295768737792969,0.5924841165542603,83.01375365257263,0.2284412831068039,4.0,-14.908817291259766,-0.027369439601898193,4,3.0516324043273926,-127.80760960288882,0.755696713924408,48.184786544416646,0.726326048374176,-429.97591625120793,4.0,0.0,1.0,0.6333075761795044,1.9137458801269531,0.1509592980146408,3.297029733657837,15.345603942871094,16.425880432128906,0.07578708231449127,4000,-127.80760960288882,0.07945093512535095,-385.73807925891884,4.0,1000.0,0.09966297130484332
10.3173828125,7.032236576080322,0.6165103316307068,103.88520550727844,0.3977104127407074,5.0,-17.818552017211914,-0.21736085414886475,5,3.9502158164978027,-142.35419955792736,0.7580376863479614,48.13004869735458,0.7419348955154419,-557.2718228511386,5.0,0.0,1.0,0.7217498421669006,1.9468296766281128,-0.13550132513046265,4.117809295654297,19.473876953125,20.105831146240234,0.016150757670402527,5000,-142.35419955792736,0.08563565462827682,-420.04482797736284,5.0,1000.0,0.08167823703026889
21.650745391845703,7.649937629699707,0.2749336063861847,125.28024339675903,0.685408353805542,6.0,-19.70439338684082,0.051706284284591675,6,4.523584365844727,-190.72453211573566,0.7849230170249939,47.892627259656315,0.7620396614074707,-363.46651599071487,6.0,0.0,1.0,0.7218923568725586,1.8438106775283813,-0.12171538919210434,4.656527996063232,24.864681243896484,25.7066650390625,-0.029192034155130386,6000,-190.72453211573566,0.08803349733352661,-410.6151093129215,6.0,1000.0,0.06693894750505577
34.65822982788086,10.405425071716309,0.27588292956352234,145.74595618247986,0.603175163269043,7.0,-23.240013122558594,-0.09267929196357727,7,6.187898635864258,-234.9000264192695,0.7639778256416321,48.02877680692366,0.717494547367096,-159.4015156888733,7.0,0.0,1.0,0.6923194527626038,1.8919047117233276,0.09930171817541122,6.398773193359375,26.861309051513672,27.702861785888672,-0.008603066205978394,7000,-234.9000264192695,0.0758766457438469,-374.7274530809146,7.0,1000.0,0.054859444277966955
44.40977478027344,13.126572608947754,0.2609911561012268,165.97516298294067,1.0286825895309448,8.0,-28.511154174804688,-0.23033474385738373,8,7.505827903747559,-248.9473853608157,0.7597694396972656,48.19998279394525,0.7322436571121216,32.9944870658751,8.0,0.0,1.0,0.6792982816696167,1.87473726272583,-0.15652546286582947,7.496079444885254,31.309860229492188,32.49610137939453,0.010984507389366627,8000,-248.9473853608157,0.06795743107795715,-323.7622105625659,8.0,1000.0,0.04495975420378481
47.644718170166016,16.65865707397461,0.30906179547309875,187.19927883148193,1.4429823160171509,9.0,-35.82758331298828,0.13423167169094086,9,8.673240661621094,-239.8074864557857,0.7594761848449707,48.07710828897937,0.7514582276344299,-260.1783611743735,9.0,0.0,1.0,0.7751387357711792,1.8010798692703247,0.12270218133926392,8.919150352478027,36.23363494873047,37.64569854736328,-0.020302535966038704,9000,-239.8074864557857,0.05469077453017235,-316.6973384083223,9.0,1000.0,0.0368465179454358
55.96937561035156,19.780471801757812,0.25583016872406006,207.7449061870575,2.397125005722046,10.0,-42.081817626953125,0.1627696305513382,10,7.29821252822876,-231.58619585755727,0.7571121454238892,48.13595762004296,0.7366241812705994,185.44430368129883,10.0,0.0,1.0,0.7547194957733154,1.7525250911712646,0.24609975516796112,8.042106628417969,41.98920440673828,43.633331298828125,0.0020950580947101116,10000,-231.58619585755727,0.05143725872039795,-266.4831741993602,10.0,1000.0,0.03269941380439557
