reference_actor_Q_std,eval/return_history,rollout/Q_mean,obs_rms_mean,total/epochs,rollout/episodes,total/episodes,reference_perturbed_action_std,reference_actor_Q_mean,reference_action_std,total/steps,train/loss_critic,eval/return,total/steps_per_second,rollout/actions_mean,obs_rms_std,rollout/episode_steps,ret_rms_mean,reference_Q_std,eval/Q,param_noise_stddev,total/duration,train/loss_actor,rollout/return,rollout/return_history,train/param_noise_distance,rollout/actions_std,reference_Q_mean,ret_rms_std,eval/episodes,reference_action_mean,reference_perturbed_action_mean
0.1331145018339157,-611.3305619916139,-0.7660953402519226,0.0010095912730321288,1,1.0,1.0,0.7389689683914185,-0.3625853955745697,0.4290693402290344,1000,0.01883292756974697,-611.3305619916139,63.04375430482178,-0.6135927438735962,0.12634584307670593,1000.0,0.0,0.22162820398807526,-0.1488717496395111,0.16720346283821505,15.86199951171875,0.4033128619194031,-644.3473880533097,-644.3473880533097,0.653932511806488,0.18336594104766846,-1.1890480518341064,1.0,1.0,0.5474919080734253,0.027170032262802124
0.1268463283777237,-1169.398555874282,-1.980266809463501,0.01602122001349926,2,2.0,2.0,0.6499248743057251,-0.06337080895900726,0.783551812171936,2000,0.04093683138489723,-1727.46654975695,64.00812798524618,-0.31007450819015503,0.18295565247535706,1000.0,0.0,0.20609590411186218,0.031843047589063644,0.1370306733903066,31.246031761169434,2.129610538482666,-923.7947187150411,-923.7947187150411,0.24179023504257202,0.620316743850708,-0.7812711596488953,1.0,2.0,0.1766783893108368,-0.12066192179918289
0.18423274159431458,-1226.155956530785,-1.7178795337677002,0.017056306824088097,3,3.0,3.0,0.6707280874252319,-0.16274240612983704,0.723724901676178,3000,0.03392472490668297,-1339.6707578437906,64.7160719736833,-0.206777423620224,0.2222675234079361,1000.0,0.0,0.230923593044281,-1.740317940711975,0.11230273064362171,46.35633635520935,1.142255425453186,-789.7470550131806,-789.7470550131806,0.5728020071983337,0.6354036331176758,-0.790014386177063,1.0,3.0,0.06011565774679184,-0.09771217405796051
0.24759429693222046,-1368.930880628735,-2.079159736633301,0.02038062922656536,4,4.0,4.0,0.7249597311019897,-0.25472763180732727,0.7503120303153992,4000,0.13008488714694977,-1797.255652922585,64.812286514459,-0.12217409908771515,0.2817133665084839,1000.0,0.0,0.15987832844257355,-2.048116683959961,0.09203708190275892,61.71669316291809,2.236370801925659,-871.0974323441084,-871.0974323441084,0.42716896533966064,0.664298415184021,-0.7393667101860046,1.0,4.0,-0.09686650335788727,0.055122748017311096
0.43252694606781006,-1521.2688310675678,-2.412569522857666,0.024783136323094368,5,5.0,5.0,0.7566003799438477,-1.2327367067337036,0.813849151134491,5000,0.1507420390844345,-2130.620632822899,64.98583580342954,-0.10413703322410583,0.2869883179664612,1000.0,0.0,0.21890322864055634,-4.478600978851318,0.07542848153938683,76.93984293937683,4.49118185043335,-1036.675753693323,-1036.675753693323,0.4999127686023712,0.6984908580780029,-1.6421911716461182,1.0,5.0,-0.03183846175670624,-0.19607216119766235
0.21706214547157288,-1671.0726474571586,-2.8996050357818604,0.021998686715960503,6,6.0,6.0,0.7881051301956177,-0.640194296836853,0.8055770993232727,6000,0.17939315736293793,-2420.0917294051133,65.04872491420163,-0.09012898057699203,0.3051559031009674,1000.0,0.0,0.14118899405002594,-3.946096181869507,0.06305951655006926,92.23854899406433,5.051980495452881,-1120.6806963328968,-1120.6806963328968,0.4071560204029083,0.7176010012626648,-1.2913591861724854,1.0,6.0,0.04747578501701355,0.043393462896347046
0.26784607768058777,-1626.2991292119466,-3.5067365169525146,0.019011076539754868,7,7.0,7.0,0.7639089822769165,-0.8773311972618103,0.7091181874275208,7000,0.4240403473377228,-1357.6580197406756,66.27613055135372,-0.159805566072464,0.31591346859931946,1000.0,0.0,0.2535935342311859,-8.53194808959961,0.052718847660376544,105.61871886253357,7.5859575271606445,-1235.5368818052957,-1235.5368818052957,0.36273282766342163,0.725347638130188,-1.4630181789398193,1.0,7.0,0.04215090721845627,-0.04849745333194733
0.1252738982439041,-1759.52856637228,-4.508744239807129,0.019153287634253502,8,8.0,8.0,0.7559330463409424,-0.11644618213176727,0.7066161632537842,8000,0.5706451535224915,-2692.1346264946133,66.07371264839074,-0.11692610383033752,0.3265799880027771,1000.0,0.0,0.1859140843153,-13.109955787658691,0.04320544008261588,121.07689547538757,10.01194953918457,-1332.3613194607476,-1332.3613194607476,0.3603817820549011,0.7507325410842896,-0.800082802772522,1.0,8.0,0.19832369685173035,0.21572953462600708
0.35153627395629883,-1811.568077625301,-6.123610973358154,0.02225428633391857,9,9.0,9.0,0.7390662431716919,-0.2798134386539459,0.6768831610679626,9000,0.6508036851882935,-2227.884167649468,66.37445420502779,-0.1016041561961174,0.32233861088752747,893.4444444444445,0.0,0.19212225079536438,-10.611339569091797,0.03540877950819716,135.5943353176117,12.141844749450684,-1196.3725613467523,-1196.3725613467523,0.3747212290763855,0.7770935297012329,-0.5941341519355774,1.0,9.0,-0.2883313298225403,0.3546295464038849
0.21502745151519775,-1894.4348068342574,-7.1241455078125,0.023176630958914757,10,10.0,10.0,0.7045759558677673,0.22393228113651276,0.6204390525817871,10000,0.6323285698890686,-2640.2353697148633,66.25917604512807,-0.11392588168382645,0.31405165791511536,904.1,0.0,0.16771814227104187,-10.786559104919434,0.02901906944733551,150.92249250411987,14.793560981750488,-1343.794351784425,-1343.794351784425,0.21706029772758484,0.797590970993042,-0.45979759097099304,1.0,10.0,-0.03720542788505554,-0.31786784529685974
