eval/episodes,rollout/Q_mean,rollout/return_history,ret_rms_std,reference_perturbed_action_mean,train/loss_actor,eval/Q,ret_rms_mean,rollout/actions_mean,reference_perturbed_action_std,param_noise_stddev,total/steps,eval/return,rollout/actions_std,train/param_noise_distance,reference_action_std,reference_Q_mean,total/episodes,rollout/episodes,total/steps_per_second,total/duration,rollout/return,reference_actor_Q_std,total/epochs,rollout/episode_steps,obs_rms_mean,obs_rms_std,reference_actor_Q_mean,reference_Q_std,eval/return_history,reference_action_mean,train/loss_critic
11.0,-9.373030662536621,-545.5167798249682,1.0,0.31317734718322754,10.769076347351074,-18.969837188720703,0.0,0.2776624858379364,0.906592607498169,0.037587132956139066,11000,-550.3200906736771,0.8631536960601807,0.26799267530441284,0.9113640785217285,-12.004341125488281,11.0,11.0,33.71613253641629,326.25331473350525,-545.5167798249682,1.60122549533844,11,1000.0,0.04936855286359787,1.3179510831832886,-10.863525390625,1.7894638776779175,-628.2417527318565,0.3181348443031311,0.2006491869688034
12.0,-9.25503158569336,-501.1118661558351,1.0,0.07191792130470276,10.328502655029297,-17.740474700927734,0.0,0.2633098363876343,0.9545696377754211,0.03612049597631192,12000,-574.7615612454762,0.8725273609161377,0.27258846163749695,0.9568798542022705,-11.980018615722656,12.0,12.0,33.58197465950069,357.3345558643341,-501.1118661558351,1.9139294624328613,12,1000.0,0.04910097271203995,1.3979315757751465,-10.92361068725586,1.9652990102767944,-623.7850701079916,0.13319247961044312,0.17984217405319214
13.0,-10.003071784973145,-504.29595134087924,1.0,-0.28378060460090637,8.2501859664917,-14.732375144958496,0.0,0.2831263840198517,0.8250346183776855,0.03540877950819716,13000,-222.50622667787917,0.8702538013458252,0.2934224605560303,0.9066225290298462,-10.131094932556152,13.0,13.0,33.47735737882776,388.32216811180115,-504.29595134087924,2.3099770545959473,13,1000.0,0.05761510133743286,1.3852628469467163,-8.845344543457031,2.3401780128479004,-592.9174667672137,-0.12414606660604477,0.26593029499053955
14.0,-9.83423900604248,-538.2006089872137,1.0,-0.20926277339458466,5.488224506378174,-12.615562438964844,0.0,0.24973885715007782,0.9183987975120544,0.03335667202186392,14000,-695.4404057211725,0.8761853575706482,0.1524619460105896,0.9258136749267578,-8.57754135131836,14.0,14.0,33.29501905307097,420.4833154678345,-538.2006089872137,2.2549996376037598,14,1000.0,0.048985034227371216,1.5052200555801392,-7.41011905670166,2.513927698135376,-600.2405338353536,-0.19815309345722198,0.317816823720932
15.0,-9.103375434875488,-515.2660928068686,1.0,-0.0935027003288269,1.5092288255691528,-10.261457443237305,0.0,0.22715863585472107,0.9342275261878967,0.03335667202186392,15000,-454.3200221088503,0.8784405589103699,0.1930082142353058,0.9230731129646301,-4.922951698303223,15.0,15.0,33.27362431406531,450.8075182437897,-515.2660928068686,3.357020139694214,15,1000.0,0.046865180134773254,1.5289525985717773,-3.5682506561279297,3.6149709224700928,-590.5124997202533,-0.15994469821453094,0.49535760283470154
16.0,-9.287053108215332,-521.1296648618296,1.0,-0.15181830525398254,-0.903603196144104,4.197024822235107,0.0,0.20880922675132751,0.8799343705177307,0.03269941380439557,16000,-285.93629805560954,0.885219931602478,0.21138419210910797,0.8691985011100769,0.27536097168922424,16.0,16.0,33.11834944551118,483.1158638000488,-521.1296648618296,3.060837745666504,16,1000.0,0.053826071321964264,1.696487545967102,1.6337926387786865,3.2686848640441895,-571.4764871162131,-0.10598185658454895,0.39805763959884644
17.0,-8.437760353088379,-509.80992669689874,1.0,0.01869332417845726,-2.8425285816192627,9.317419052124023,0.0,0.19060751795768738,0.8448324799537659,0.030804326970036475,17000,-39.55034430796821,0.8826094269752502,0.187498077750206,0.8297193050384521,1.995798110961914,17.0,17.0,33.149950099267976,512.8212847709656,-509.80992669689874,3.0689525604248047,17,1000.0,0.05106773227453232,1.6655606031417847,3.006254196166992,3.075066089630127,-540.1867140098458,0.05616164207458496,0.3704608976840973
18.0,-7.771476745605469,-502.0227292245145,1.0,-0.07571675628423691,-4.331391334533691,10.40399169921875,0.0,0.18346107006072998,0.7926484942436218,0.030804326970036475,18000,42.453483771662256,0.8823011517524719,0.16449019312858582,0.7894982099533081,3.720958709716797,18.0,18.0,33.01180201557591,545.2595405578613,-502.0227292245145,2.8375964164733887,18,1000.0,0.05072163790464401,1.6683282852172852,4.467140197753906,2.877819776535034,-507.81781413309534,0.10700652748346329,0.3202259838581085
19.0,-6.718935966491699,-467.5401946126633,1.0,0.12234741449356079,-6.223880767822266,14.306469917297363,0.0,0.18481047451496124,0.7987659573554993,0.032055106170371106,19000,108.34676196016494,0.8820819854736328,0.31458616256713867,0.7515963912010193,5.80057430267334,19.0,19.0,33.01683624658098,575.4639801979065,-467.5401946126633,2.353607416152954,19,1000.0,0.05105668306350708,1.6739578247070312,6.77716064453125,2.5036261081695557,-475.3880996018711,0.11484193801879883,0.35876232385635376
20.0,-5.8634443283081055,-457.1674162473934,1.0,0.12191437929868698,-8.978494644165039,16.295894622802734,0.0,0.18751028180122375,0.7075824737548828,0.03335667202186392,20000,-17.89619798272458,0.8789010643959045,0.31915032863616943,0.7062284350395203,8.751337051391602,20.0,20.0,32.881612947231055,608.242668390274,-457.1674162473934,2.1842644214630127,20,1000.0,0.0517355352640152,1.6414756774902344,9.867914199829102,2.34326171875,-452.51350452091384,0.042696475982666016,0.34641024470329285
21.0,-4.747836112976074,-429.68590904202523,1.0,0.1828993558883667,-13.32620620727539,20.027324676513672,0.0,0.18643422424793243,0.6911727786064148,0.02901906944733551,21000,387.36424845143443,0.8758336901664734,0.2386101484298706,0.6799248456954956,11.958663940429688,21.0,21.0,32.8264784418115,639.7274699211121,-429.68590904202523,2.3113110065460205,21,1000.0,0.051128946244716644,1.6216869354248047,13.211451530456543,2.4592955112457275,-412.5193258079448,-0.06943026185035706,0.6273485422134399
22.0,-3.678203821182251,-414.53381112396806,1.0,0.17904530465602875,-16.472810745239258,22.740570068359375,0.0,0.18977756798267365,0.6827455163002014,0.02733727610437334,22000,382.02297377859577,0.8666837215423584,0.14615266025066376,0.6168196201324463,14.525564193725586,22.0,22.0,32.820404920954964,670.3147037029266,-414.53381112396806,2.110341787338257,22,1000.0,0.050937019288539886,1.6184895038604736,15.82271957397461,2.334636926651001,-376.4037667358294,0.181667760014534,0.5100917816162109
23.0,-2.4840593338012695,-384.72480628157183,1.0,0.04717376455664635,-19.97063636779785,26.4291934967041,0.0,0.1887628585100174,0.5934204459190369,0.028447279136688076,23000,357.0521394602709,0.8652034997940063,0.19707638025283813,0.5840334892272949,17.44182586669922,23.0,23.0,32.74725655956255,702.348911523819,-384.72480628157183,2.03285813331604,23,1000.0,0.051525015383958817,1.6302839517593384,18.991931915283203,2.1646409034729004,-344.514379509912,0.19216789305210114,0.5687508583068848
24.0,-1.3475592136383057,-371.7944743688368,1.0,0.07017352432012558,-22.770273208618164,28.068355560302734,0.0,0.18346910178661346,0.6403267979621887,0.027886755354071244,24000,215.3932032249561,0.8603838682174683,0.1808324009180069,0.6161598563194275,20.817642211914062,24.0,24.0,32.75603884238927,732.6893253326416,-371.7944743688368,1.6807684898376465,24,1000.0,0.050497326999902725,1.6190693378448486,22.134403228759766,1.8575031757354736,-321.1848968959591,0.13439221680164337,0.8043522834777832
