eval/episodes,rollout/Q_mean,obs_rms_std,train/loss_actor,eval/return,rollout/return_history,ret_rms_mean,train/loss_critic,ret_rms_std,reference_action_mean,reference_Q_mean,rollout/episode_steps,rollout/actions_std,reference_actor_Q_std,rollout/episodes,reference_Q_std,param_noise_stddev,reference_perturbed_action_mean,total/duration,total/episodes,eval/Q,eval/return_history,total/steps,total/epochs,rollout/actions_mean,reference_action_std,reference_perturbed_action_std,reference_actor_Q_mean,rollout/return,train/param_noise_distance,obs_rms_mean,total/steps_per_second
1.0,-0.44499507546424866,0.42013153433799744,-0.7073971033096313,-2794.6489741879077,-1.6627783037558088,0.0,0.11837539076805115,1.0,0.4859822392463684,-0.8754862546920776,24.0,0.7230084538459778,0.5606813430786133,1.0,1.0545364618301392,0.16720346283821505,-0.10759884864091873,13.78767728805542,1.0,1.3667858839035034,-2794.6489741879077,1000,1,-0.16274453699588776,0.8493856191635132,0.7427918910980225,0.9111543893814087,-1.6627783037558088,0.4235785901546478,-0.0011662936303764582,72.52853247923947
2.0,-3.747220754623413,0.365558922290802,4.323544979095459,-1570.8281720720122,-631.7185182399204,0.0,0.2585611641407013,1.0,-0.4320535659790039,-0.6359916925430298,512.0,0.8347678780555725,1.4320110082626343,2.0,1.590944528579712,0.14259466822295333,0.4234292507171631,27.56781506538391,2.0,-2.975277900695801,-2182.73857312996,2000,2,0.134808748960495,0.6371871829032898,0.8213046789169312,0.8542550802230835,-631.7185182399204,0.7650731205940247,0.026952436193823814,72.54836827860692
3.0,-3.2351598739624023,0.34646785259246826,4.4481000900268555,-1492.4890180234322,-1268.1402232896714,0.0,0.3156351149082184,1.0,-0.15152248740196228,-1.2471883296966553,674.6666666666666,0.8412455916404724,1.8138248920440674,3.0,2.0058250427246094,0.11686267184170265,-0.24417918920516968,41.22360348701477,3.0,-7.035118103027344,-1952.655388094451,3000,3,-0.011450541205704212,0.6583816409111023,0.7329427599906921,-0.20034033060073853,-1268.1402232896714,0.7294448614120483,0.019871467724442482,72.77384183420513
4.0,-4.540492057800293,0.3473889231681824,7.874016284942627,-2064.4616261401698,-1133.2784667855535,0.0,0.6853002905845642,1.0,0.07972162961959839,-1.4542101621627808,620.8,0.8386964797973633,2.3562705516815186,5.0,2.415926456451416,0.09577415649670935,-0.43788713216781616,54.919981241226196,5.0,-5.304643154144287,-1980.6069476058806,4000,4,-0.11928141862154007,0.8162224888801575,0.7424131631851196,0.048944421112537384,-1133.2784667855535,0.5306417942047119,0.020240701735019684,72.83323682196313
5.0,-6.026697635650635,0.33424192667007446,9.2113037109375,-746.757707061185,-1292.6955516580783,0.0,0.7293215394020081,1.0,-0.03797665983438492,-0.5497950315475464,684.0,0.8283029794692993,2.4616661071777344,6.0,2.5511693954467773,0.07849118035809692,-0.21460416913032532,66.82316493988037,6.0,1.303248643875122,-1733.8370994969414,5000,5,-0.21923193335533142,0.7585368752479553,0.7862183451652527,0.8456178903579712,-1292.6955516580783,0.5172492265701294,0.01966317556798458,74.82435177229951
6.0,-5.199545383453369,0.3344649374485016,8.164148330688477,-1088.2999048422964,-1423.824279463417,0.0,0.7685143351554871,1.0,0.03907785937190056,-0.6156535148620605,729.1428571428571,0.8242315649986267,1.8447909355163574,7.0,2.0590250492095947,0.06432701283272566,0.035931020975112915,78.94800066947937,7.0,-1.6509919166564941,-1626.2475670545007,6000,6,-0.1746172457933426,0.7939959168434143,0.7524700164794922,0.5519199371337891,-1423.824279463417,0.3057086169719696,0.019561776891350746,75.9993913603888
7.0,-4.506625652313232,0.34297725558280945,8.083972930908203,-655.0813352807311,-1392.8191770806109,0.0,0.6505258679389954,1.0,0.43330517411231995,-2.241685390472412,763.0,0.8247957825660706,1.4890066385269165,8.0,1.6872977018356323,0.052718847660376544,0.07740468531847,90.7290210723877,8.0,-2.883021593093872,-1487.509533943962,7000,7,-0.14739848673343658,0.6502001881599426,0.799879789352417,-1.2514268159866333,-1392.8191770806109,0.45574650168418884,0.01860939711332321,77.15282185636154
8.0,-4.406838417053223,0.3476931154727936,8.541215896606445,-37.90647325465697,-1419.9587406837773,0.0,0.7567341327667236,1.0,0.27293509244918823,-3.6583824157714844,789.3333333333334,0.8252385258674622,2.1587836742401123,9.0,2.1517810821533203,0.04320544008261588,0.3827502429485321,100.85945916175842,9.0,-2.351888656616211,-1306.309151357799,8000,8,-0.07409237325191498,0.6310080885887146,0.6694657206535339,-2.766918182373047,-1419.9587406837773,0.3211423456668854,0.018914123997092247,79.31829167524683
9.0,-4.173994541168213,0.3576444983482361,8.700322151184082,-333.0137965574111,-1402.2679994135863,0.0,0.9410857558250427,1.0,0.3513488173484802,-4.224055290222168,810.4,0.8109077215194702,2.4790992736816406,10.0,2.5605015754699707,0.03540877950819716,0.24464131891727448,111.9164628982544,10.0,-5.042250633239746,-1198.1652230466448,9000,9,-0.05120490491390228,0.645214319229126,0.6578675508499146,-3.1133334636688232,-1402.2679994135863,0.25722378492355347,0.01786322146654129,80.41712333405398
10.0,-4.467590808868408,0.37158122658729553,9.028825759887695,-690.9847403264273,-1144.70091136577,0.0,1.2867918014526367,1.0,0.12223844230175018,-3.853140354156494,713.6923076923077,0.8053751587867737,3.0114691257476807,13.0,3.053006172180176,0.029602352743226954,0.30096548795700073,124.72757768630981,13.0,-3.1798973083496094,-1147.447174774623,10000,10,-0.021132642403244972,0.7219361662864685,0.6177416443824768,-2.735928535461426,-1144.70091136577,0.19951416552066803,0.01840703934431076,80.17473108593535
