ret_rms_mean,eval/return_history,param_noise_stddev,train/param_noise_distance,reference_actor_Q_std,total/epochs,ret_rms_std,reference_Q_std,reference_action_mean,rollout/return,reference_Q_mean,total/episodes,eval/episodes,rollout/episodes,total/duration,train/loss_actor,eval/return,reference_actor_Q_mean,reference_perturbed_action_std,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,total/steps_per_second,rollout/return_history,obs_rms_mean,rollout/Q_mean,train/loss_critic,reference_perturbed_action_mean,reference_action_std,obs_rms_std,eval/Q,total/steps
0.0,249.33806453566262,0.16720346283821505,0.499650776386261,2.2509870529174805,1,1.0,2.7871289253234863,0.1379755288362503,153.86910496448004,19.857044219970703,32.0,1.0,32.0,14.0636887550354,-19.677574157714844,249.33806453566262,20.146469116210938,0.6133320331573486,0.10370756685733795,0.5429055094718933,30.9375,71.10510033450203,153.86910496448004,1.2076783180236816,9.320326805114746,2.1976876258850098,0.14122062921524048,0.54386967420578,6.226106643676758,20.753986358642578,1000
0.0,263.3389508344837,0.1370306733903066,0.5695197582244873,6.401782512664795,2,1.0,8.937265396118164,0.22471299767494202,175.70387137264035,39.670745849609375,56.0,2.0,56.0,27.539441108703613,-41.11100769042969,277.33983713330474,41.03845977783203,0.5236862301826477,0.12726829946041107,0.5689789652824402,35.714285714285715,72.62311504818145,175.70387137264035,1.3670730590820312,19.567020416259766,5.856098651885986,0.17948177456855774,0.603471577167511,6.028886318206787,39.04621124267578,2000
0.0,381.7125630304333,0.11230273064362171,0.5227541923522949,12.854659080505371,3,1.0,16.211057662963867,0.2854195833206177,182.25336444815989,58.65623474121094,80.0,3.0,80.0,41.401890993118286,-60.91216278076172,618.4597874223324,60.67182159423828,0.5987545251846313,0.1847965568304062,0.5843939185142517,36.9625,72.46045840028545,182.25336444815989,1.48424232006073,29.82256317138672,6.161369800567627,0.34575939178466797,0.6258990168571472,6.053808212280273,60.05475997924805,3000
0.0,353.5866775201871,0.09203708190275892,0.5132535696029663,23.79241943359375,4,1.0,26.09295082092285,0.23769356310367584,195.8167407716295,75.29887390136719,100.0,4.0,100.0,54.76576519012451,-81.39152526855469,269.2090209894487,77.34595489501953,0.5999714136123657,0.20746676623821259,0.5952298045158386,39.72,73.03832944018262,195.8167407716295,1.5739411115646362,40.45749282836914,9.347528457641602,0.3995623290538788,0.6889448165893555,6.079460144042969,86.79358673095703,4000
0.0,342.4791931532257,0.07542848153938683,0.46150028705596924,33.61296844482422,5,1.0,36.933197021484375,0.36128756403923035,204.46248935496297,89.02244567871094,120.0,5.0,120.0,68.20439267158508,-100.08560180664062,298.0492556853801,92.71183776855469,0.658179759979248,0.2312791347503662,0.6073105335235596,41.375,73.30906125175528,215.66824676281755,1.6450517177581787,50.34585189819336,10.955382347106934,0.3764951825141907,0.7001125812530518,6.091757297515869,103.89441680908203,5000
0.0,325.7621638458365,0.06181699495154324,0.3902747333049774,41.15854263305664,6,1.0,44.51626205444336,0.32639479637145996,215.37464451423375,105.33650207519531,137.0,6.0,137.0,81.60560941696167,-121.56552124023438,242.1770173088902,109.61937713623047,0.7196345925331116,0.24851417541503906,0.627631425857544,43.613138686131386,73.52435749046565,235.86141220802065,1.7135350704193115,60.78638458251953,11.490604400634766,0.2804170548915863,0.7188917994499207,6.120702266693115,123.05037689208984,6000
0.0,317.31980084261335,0.05066177638540577,0.37921276688575745,52.407379150390625,7,1.0,54.78117370605469,0.2877187728881836,219.75101026422738,117.13864135742188,155.0,7.0,155.0,95.29102730751038,-134.49600219726562,266.66562282327476,120.85746002197266,0.7078444957733154,0.27150049805641174,0.635922908782959,45.064516129032256,73.45917236688553,242.95846826981813,1.7636120319366455,70.0736083984375,15.502230644226074,0.312908411026001,0.7456881999969482,6.138926982879639,118.19986724853516,7000
0.0,304.54230304702196,0.04151957869412388,0.3711848556995392,65.99473571777344,8,1.0,67.46537780761719,0.25890979170799255,214.92311060136353,126.67485046386719,179.0,8.0,179.0,108.88083457946777,-147.8358154296875,215.099818477882,130.88592529296875,0.7370364665985107,0.2723880410194397,0.6503779888153076,44.44692737430167,73.47482255163207,240.16615098585152,1.765965223312378,77.48175048828125,35.783321380615234,0.2053631842136383,0.7391468286514282,6.265417098999023,144.25071716308594,8000
0.0,318.2611963868489,0.034027141129503384,0.35242119431495667,77.03141021728516,9,1.0,78.32766723632812,0.26717475056648254,221.15255233524329,138.8399658203125,194.0,9.0,194.0,122.9401626586914,-166.54745483398438,428.01234310546425,143.84390258789062,0.7439877390861511,0.2710796892642975,0.6601625084877014,46.08762886597938,73.20634530951415,246.7536349040901,1.778557300567627,84.60777282714844,32.658565521240234,0.25031211972236633,0.7582309246063232,6.3155012130737305,185.7279815673828,9000
0.0,325.90589663248386,0.027886755354071244,0.304321825504303,87.2096176147461,10,1.0,88.42515563964844,0.2719404101371765,229.2589948025314,151.72683715820312,209.0,10.0,209.0,136.80582690238953,-185.15249633789062,394.70819884319803,157.20053100585938,0.7525171041488647,0.26139840483665466,0.6702870726585388,47.569377990430624,73.09630171772555,263.7626986593578,1.7840571403503418,94.98461151123047,33.06428146362305,0.23740555346012115,0.7423854470252991,6.342584609985352,186.3140106201172,10000
