reference_Q_mean,train/loss_actor,ret_rms_std,reference_actor_Q_mean,rollout/actions_std,total/steps_per_second,obs_rms_mean,eval/Q,rollout/Q_mean,eval/episodes,rollout/actions_mean,reference_perturbed_action_mean,total/epochs,total/episodes,rollout/episode_steps,total/duration,rollout/episodes,rollout/return,total/steps,reference_action_mean,reference_action_std,eval/return_history,param_noise_stddev,reference_Q_std,rollout/return_history,obs_rms_std,reference_perturbed_action_std,ret_rms_mean,reference_actor_Q_std,train/loss_critic,train/param_noise_distance,eval/return
-6.005089282989502,5.859727382659912,1.0,-5.770599365234375,0.6567854285240173,64.43873520324861,0.001837872201576829,-6.208102226257324,-3.0060224533081055,1.0,-0.34875908493995667,-0.3873211145401001,1,1.0,387.0,15.518616199493408,1.0,-626.1484670789088,1000,-0.4681112766265869,0.3584006726741791,-389.71730644861134,0.16720346283821505,1.3164172172546387,-626.1484670789088,0.38823679089546204,0.5957059264183044,0.0,1.2453632354736328,0.1478341966867447,0.7453698515892029,-389.71730644861134
-6.825084686279297,5.251682758331299,1.0,-5.4470367431640625,0.5756599307060242,65.95376817130288,0.008627312257885933,-5.6302032470703125,-4.3928914070129395,2.0,-0.36669257283210754,-0.345843642950058,2,2.0,693.5,30.32427191734314,2.0,-839.8394752422171,2000,-0.9184403419494629,0.04155543074011803,-1388.3825949934715,0.15136711368692907,1.7984588146209717,-839.8394752422171,0.35399913787841797,0.41569095849990845,0.0,1.53889799118042,0.1888321489095688,0.2004101723432541,-2387.0478835383315
-5.840133190155029,4.069173812866211,1.0,-4.3190693855285645,0.5654175281524658,66.59176703127312,0.01738854870200157,-4.339263916015625,-4.477929592132568,3.0,-0.3731611371040344,-0.3871806561946869,3,3.0,795.6666666666666,45.05061411857605,3.0,-647.5390747913597,3000,-0.9604392647743225,0.019850650802254677,-1826.7542206220576,0.15136711368692907,1.9428311586380005,-647.5390747913597,0.3173466622829437,0.6256219744682312,0.0,1.4648321866989136,0.1695128083229065,0.060185931622982025,-2703.49747187923
-6.451207637786865,6.665798187255859,1.0,-5.796186447143555,0.5609614849090576,66.9339772977011,0.01686803624033928,-12.808821678161621,-5.287103652954102,4.0,-0.4612683653831482,-0.9383770227432251,4,4.0,846.75,59.76038122177124,4.0,-764.159021976986,4000,-0.9746831059455872,0.012307688593864441,-2072.9110532846344,0.16067924131698763,2.1208624839782715,-764.159021976986,0.29319217801094055,0.06696134060621262,0.0,2.021312952041626,0.15595529973506927,0.1954830288887024,-2811.381551272364
-11.349786758422852,14.206756591796875,1.0,-11.334922790527344,0.5338971018791199,67.05524705360952,0.013603264465928078,-17.145986557006836,-8.118814468383789,5.0,-0.5490929484367371,-0.8698736429214478,5,5.0,877.4,74.56538033485413,5.0,-1101.142142434013,5000,-0.5104681253433228,0.525195300579071,-1866.2100268808197,0.16720346283821505,3.5462021827697754,-1101.142142434013,0.27458781003952026,0.1362130492925644,0.0,3.8494644165039062,0.3266527056694031,0.5596868991851807,-1039.4059212655604
-14.200970649719238,11.872686386108398,1.0,-13.607385635375977,0.5763604044914246,67.22067887724441,0.014712494798004627,-12.839615821838379,-9.323711395263672,6.0,-0.520355224609375,-0.05874013900756836,6,6.0,897.8333333333334,89.25824761390686,6.0,-1283.6174931967792,6000,0.23484987020492554,0.7876901030540466,-1837.6804328975552,0.1370306733903066,2.589602470397949,-1283.6174931967792,0.26487818360328674,0.7635449171066284,0.0,2.4274518489837646,0.4721226096153259,0.48169565200805664,-1695.0324629812324
-17.421274185180664,13.578524589538574,1.0,-16.65609359741211,0.5889533162117004,67.3073537708838,0.017936887219548225,-16.256927490234375,-9.67834186553955,7.0,-0.4797726571559906,-0.35933831334114075,7,7.0,912.4285714285714,104.00052309036255,7.0,-1305.3373102632054,7000,0.022207200527191162,0.9370000958442688,-1949.634637994612,0.11230273064362171,2.6228296756744385,-1305.3373102632054,0.2561483681201935,0.4329942464828491,0.0,2.449601888656616,0.19709567725658417,0.8056302666664124,-2621.3598685769516
-21.74614715576172,16.032381057739258,1.0,-21.01120948791504,0.5960114002227783,67.3489448040112,0.018771160393953323,-18.355459213256836,-9.935293197631836,8.0,-0.44215819239616394,-0.10609248280525208,8,8.0,923.375,118.7843406200409,8.0,-1172.772547672837,8000,-0.020447447896003723,0.9581793546676636,-2042.8557405173415,0.09203708190275892,2.406057357788086,-1172.772547672837,0.26729878783226013,0.647768497467041,0.0,2.140674352645874,0.6510031819343567,0.9352636933326721,-2695.4034581764495
-22.92900848388672,16.709022521972656,1.0,-21.339839935302734,0.6020150780677795,67.38020594604373,0.01836402341723442,-13.673446655273438,-10.102461814880371,9.0,-0.42804858088493347,-0.512397289276123,9,9.0,931.8888888888889,133.5703842639923,9.0,-1103.0291243115034,9000,-0.24017876386642456,0.8964205980300903,-2099.402620605377,0.07542848153938683,3.165658473968506,-1103.0291243115034,0.27286162972450256,0.6022518277168274,0.0,3.238327980041504,0.678687334060669,0.4213997423648834,-2551.7776613096567
-23.599674224853516,19.33468246459961,1.0,-22.664020538330078,0.6115016937255859,67.46075267014078,0.018081067129969597,-12.930065155029297,-10.882889747619629,10.0,-0.4311130940914154,-0.5047153234481812,10,10.0,938.7,148.23433780670166,10.0,-1126.3048149923056,10000,-0.2102370262145996,0.9247657060623169,-2157.8210497205982,0.06181699495154324,3.302265167236328,-1126.3048149923056,0.2714388966560364,0.7062235474586487,0.0,3.280468463897705,0.9673340320587158,0.7303743958473206,-2683.586911757591
-26.220439910888672,23.521806716918945,1.0,-25.429122924804688,0.6364336609840393,68.71727226911361,0.01701705902814865,-25.16224479675293,-12.383039474487305,11.0,-0.41584324836730957,-0.13721372187137604,11,11.0,944.2727272727273,160.0762026309967,11.0,-1203.4598302163295,11000,0.1929808408021927,0.949027419090271,-2072.7079861629873,0.05066177638540577,2.6848456859588623,-1203.4598302163295,0.2768586277961731,0.8590942025184631,0.0,2.6060657501220703,1.2872356176376343,0.794966459274292,-1221.5773505868785
-33.27147674560547,29.329395294189453,1.0,-34.20930480957031,0.6738869547843933,69.79348384968502,0.016577690839767456,-33.77790069580078,-14.053494453430176,12.0,-0.38482609391212463,0.12250453978776932,12,13.0,882.2307692307693,171.9358217716217,13.0,-1197.7745191372285,12000,0.2576635777950287,0.8916684985160828,-1990.8502168301293,0.04151957869412388,2.67592191696167,-1197.7745191372285,0.28178784251213074,0.9497169256210327,0.0,2.2688205242156982,0.9235101342201233,0.5603184103965759,-1090.4147541686905
-42.80029296875,35.986507415771484,1.0,-42.970603942871094,0.721774160861969,69.66909965910524,0.018262557685375214,-42.84437942504883,-15.938179969787598,13.0,-0.3266140818595886,0.5311068296432495,13,14.0,890.6428571428571,186.59635424613953,14.0,-1310.7032903002175,13000,0.5517157316207886,0.8021978139877319,-2052.5358302976874,0.034027141129503384,2.7063660621643066,-1310.7032903002175,0.2809387743473053,0.7870668768882751,0.0,3.0585649013519287,2.4077796936035156,0.46328186988830566,-2792.763191908385
-41.684906005859375,35.68975067138672,1.0,-39.21877670288086,0.749638557434082,70.92188855832076,0.019334735348820686,-32.7485466003418,-17.437042236328125,14.0,-0.28241071105003357,-0.04249332845211029,14,15.0,897.9333333333333,197.4002707004547,15.0,-1403.7483593286042,14000,-0.16795220971107483,0.8817769885063171,-1941.997221711121,0.027886755354071244,3.837949514389038,-1403.7483593286042,0.28557389974594116,0.8571643233299255,0.0,4.0549845695495605,1.4244064092636108,0.28066524863243103,-504.9953100857562
-41.26533508300781,37.61836242675781,1.0,-40.353187561035156,0.7586773633956909,70.67865737229663,0.020107349380850792,-25.6234130859375,-18.345693588256836,15.0,-0.27616387605667114,-0.3278709650039673,15,18.0,810.9444444444445,212.22814011573792,18.0,-1294.7123761993876,15000,-0.4566844701766968,0.8031214475631714,-1974.264579586663,0.025245515830755405,3.3909425735473633,-1294.7123761993876,0.28801897168159485,0.8554338216781616,0.0,3.4518980979919434,2.280134677886963,0.15002918243408203,-2426.0075898442515
-44.98210144042969,41.9041633605957,1.0,-44.08821105957031,0.7645815014839172,70.48756481519287,0.019986731931567192,-57.401424407958984,-19.385040283203125,16.0,-0.2839720547199249,-0.5109699964523315,16,19.0,820.8947368421053,226.99039244651794,19.0,-1350.4672899582476,16000,-0.9311026334762573,0.13325151801109314,-2010.7745695904057,0.023782417899897774,3.205319404602051,-1350.4672899582476,0.28727731108665466,0.8081430792808533,0.0,3.189953565597534,1.7602592706680298,0.20566816627979279,-2558.4244196465506
-47.7613525390625,45.2736701965332,1.0,-47.54962921142578,0.7656745314598083,70.33543963687715,0.019003456458449364,-67.61267852783203,-20.451711654663086,17.0,-0.30857738852500916,-0.9830585718154907,17,20.0,829.85,241.69892287254333,20.0,-1416.4356402711787,17000,-0.9859017133712769,0.06139087304472923,-2065.6406134566896,0.02901906944733551,2.9178013801574707,-1416.4356402711787,0.2839432954788208,0.03973502665758133,0.0,3.1753501892089844,4.220828056335449,0.02432422712445259,-2943.4973153172277
-53.96027755737305,52.354469299316406,1.0,-54.119781494140625,0.7599611282348633,70.16408368335796,0.018078092485666275,-76.25702667236328,-23.01883316040039,18.0,-0.3457818925380707,-0.9552029371261597,18,21.0,837.952380952381,256.54151034355164,21.0,-1486.6198116908981,18000,-0.9103145599365234,0.21220941841602325,-2087.047330453226,0.03269941380439556,4.435355186462402,-1486.6198116908981,0.2805078625679016,0.1543835997581482,0.0,5.076163291931152,3.646099328994751,0.28315532207489014,-2450.9615193943546
-57.594825744628906,54.704715728759766,1.0,-57.47954559326172,0.7600208520889282,70.26206712030387,0.017923464998602867,-60.790260314941406,-24.999217987060547,19.0,-0.3629101812839508,-0.190261572599411,19,22.0,845.3181818181819,270.41618299484253,22.0,-1548.2126095228884,19000,-0.22713333368301392,0.9602984189987183,-2101.10361235878,0.030804326970036468,5.229974746704102,-1548.2126095228884,0.2787196636199951,0.9235361814498901,0.0,5.444441318511963,3.4826722145080566,0.2209775745868683,-2354.1166866587478
-66.19364166259766,62.087562561035156,1.0,-66.71224975585938,0.769297182559967,70.13107680214051,0.018954679369926453,-56.683143615722656,-27.104557037353516,20.0,-0.35545551776885986,-0.18422923982143402,20,23.0,852.0434782608696,285.180278301239,23.0,-1594.0270148629731,20000,-0.0019644200801849365,0.9909040331840515,-2143.158404777595,0.02788675535407124,4.974353313446045,-1594.0270148629731,0.2756187915802002,0.9187119007110596,0.0,4.902353763580322,8.286233901977539,0.2488350123167038,-2942.1994607350757
