rollout/episode_steps,train/param_noise_distance,total/episodes,total/steps,obs_rms_mean,rollout/return_history,ret_rms_std,eval/Q,total/duration,obs_rms_std,total/steps_per_second,rollout/actions_mean,ret_rms_mean,eval/return_history,rollout/episodes,eval/return,reference_actor_Q_std,reference_action_std,reference_Q_std,total/epochs,eval/episodes,train/loss_actor,reference_actor_Q_mean,train/loss_critic,rollout/Q_mean,rollout/actions_std,reference_action_mean,reference_perturbed_action_std,reference_perturbed_action_mean,param_noise_stddev,rollout/return,reference_Q_mean
25.81578947368421,0.7983637452125549,38.0,1000,0.8230211734771729,120.65198390965122,1.0,19.197284698486328,11.172776937484741,8.616647720336914,89.50326365551909,-0.025550460442900658,0.0,327.38640564664206,38.0,327.38640564664206,2.3778786659240723,0.6875377893447876,3.0439913272857666,1,1.0,-18.939638137817383,19.38813591003418,2.097064256668091,9.074847221374512,0.7684985995292664,-0.03517327457666397,0.7898963093757629,-0.08846030384302139,0.16720346283821505,120.65198390965122,19.061912536621094
27.73611111111111,0.6860193610191345,72.0,2000,0.8937251567840576,130.88217638111428,1.0,40.026832580566406,22.065190076828003,8.42204475402832,90.64050629232156,-0.05263567343354225,0.0,289.3050949541119,72.0,251.22378426158176,8.205650329589844,0.7099438309669495,8.906489372253418,2,2.0,-37.98994445800781,38.96419906616211,3.1490204334259033,18.865081787109375,0.7704149484634399,-0.07718145102262497,0.7583720088005066,-0.15631043910980225,0.1370306733903066,130.88217638111428,38.31926727294922
31.347368421052632,0.6338179111480713,95.0,3000,1.0844054222106934,148.79218992451183,1.0,56.93820571899414,32.8482141494751,8.098076820373535,91.32916591290363,-0.02691604010760784,0.0,232.86568245903564,95.0,119.98685746888313,15.854569435119629,0.7640712261199951,17.0141658782959,3,3.0,-56.31169891357422,57.085426330566406,4.145402908325195,28.809276580810547,0.7736780047416687,0.06917933374643326,0.7935835719108582,-0.02799210324883461,0.11230273064362171,148.79218992451183,55.76625442504883
34.62608695652174,0.6181657910346985,115.0,4000,1.2818307876586914,174.3262486412659,1.0,73.16329956054688,43.68825578689575,7.842782974243164,91.55778659398428,0.009460275992751122,0.0,233.2501746045238,115.0,234.40365104098834,22.155197143554688,0.7552005052566528,24.50167465209961,4,4.0,-76.61156463623047,76.72407531738281,7.091640472412109,37.48251724243164,0.775957465171814,0.04722553864121437,0.8065267205238342,0.06284472346305847,0.09203708190275892,166.33446782754834,74.30241394042969
37.278195488721806,0.5926042199134827,133.0,5000,1.4092228412628174,199.37987647060592,1.0,97.05921936035156,54.62114214897156,7.5415754318237305,91.5396456991543,0.0238964781165123,0.0,238.20658435087657,133.0,258.0322233362877,29.230560302734375,0.7460423111915588,31.52744483947754,5,5.0,-94.55872344970703,96.44502258300781,5.754908561706543,47.09077072143555,0.7760053873062134,0.13680660724639893,0.7706229090690613,0.18823398649692535,0.07542848153938683,181.1350609747265,93.58930206298828
39.01324503311258,0.5385934114456177,151.0,6000,1.5285495519638062,221.59199630554343,1.0,126.63742065429688,65.64835023880005,7.418957710266113,91.3960515104282,0.06574476510286331,0.0,253.4820963068179,151.0,329.8596560865245,34.26002502441406,0.7381142377853394,38.16726303100586,6,6.0,-113.54610443115234,118.07928466796875,9.636865615844727,56.349884033203125,0.7715039253234863,0.17811761796474457,0.7059095501899719,0.25242477655410767,0.06181699495154324,190.89241126137892,114.17399597167969
42.03012048192771,0.4682929515838623,166.0,7000,1.6053528785705566,257.9093426656598,1.0,128.67808532714844,76.62926292419434,7.410491943359375,91.34891466886175,0.0862090140581131,0.0,252.8041906460412,166.0,248.73675668138102,44.502105712890625,0.7650772929191589,48.525062561035156,7,7.0,-130.9436798095703,135.18637084960938,10.434682846069336,65.30474090576172,0.76889568567276,0.1072748526930809,0.75460284948349,0.12038928270339966,0.05066177638540577,207.271329412856,130.41864013671875
44.272222222222226,0.37974146008491516,180.0,8000,1.6573781967163086,286.7365663355076,1.0,152.42689514160156,87.47127914428711,7.2169189453125,91.45859164587846,0.0920138955116272,0.0,240.16379782871996,180.0,151.68104810747127,53.66554260253906,0.7676283121109009,57.583900451660156,8,8.0,-149.05418395996094,152.2384033203125,14.849095344543457,75.2320785522461,0.7707895636558533,0.0774264931678772,0.7712240815162659,0.14196261763572693,0.04151957869412388,218.89040933253256,146.91981506347656
45.14070351758794,0.33334270119667053,199.0,9000,1.6854230165481567,292.6866912091722,1.0,127.75694274902344,98.3391478061676,7.322474479675293,91.52001212924424,0.09809093922376633,0.0,238.37492806573195,199.0,224.06396996182758,67.36112976074219,0.7467846274375916,69.43326568603516,9,9.0,-165.03541564941406,166.61021423339844,27.315126419067383,84.50975036621094,0.7734593749046326,0.09679406136274338,0.741002082824707,0.03885762020945549,0.034027141129503384,222.60607863874253,161.63760375976562
45.031531531531535,0.2851177155971527,222.0,10000,1.7280007600784302,286.5440472865403,1.0,188.44277954101562,109.15910148620605,7.454798221588135,91.60940190831137,0.10420262068510056,0.0,234.1835034448424,222.0,196.4606818568364,77.93296813964844,0.7716941833496094,81.27510833740234,10,10.0,-175.45721435546875,181.5908203125,36.329647064208984,92.02006530761719,0.7752881646156311,0.15605609118938446,0.7862266898155212,0.14973260462284088,0.027886755354071244,222.2985720957348,174.9720458984375
