reference_Q_std,train/loss_actor,train/param_noise_distance,rollout/Q_mean,rollout/return_history,reference_perturbed_action_std,reference_action_std,reference_action_mean,train/loss_critic,obs_rms_mean,total/epochs,ret_rms_std,rollout/episodes,param_noise_stddev,obs_rms_std,rollout/episode_steps,total/episodes,rollout/actions_std,rollout/return,ret_rms_mean,eval/return_history,eval/return,eval/episodes,reference_perturbed_action_mean,eval/Q,reference_Q_mean,reference_actor_Q_std,total/steps,reference_actor_Q_mean,total/duration,total/steps_per_second,rollout/actions_mean
0.4390164017677307,0.6290068626403809,0.6665715575218201,-0.4222825765609741,-222.30709784421563,0.7908979058265686,0.778571367263794,-0.22603839635849,0.017817247658967972,0.1700202077627182,1,1.0,1.0,0.16720346283821505,1.1627541780471802,1000.0,1.0,0.3443850576877594,-222.30709784421563,0.0,-343.6319436512302,-343.6319436512302,1.0,0.10723006725311279,-0.405865341424942,-0.709039568901062,0.4052845239639282,1000,-0.6167646646499634,13.299270153045654,75.1920961445385,0.6397411823272705
0.41231194138526917,0.6040143370628357,0.7394079566001892,-0.7939773797988892,-316.6500941755331,0.5813891887664795,0.6281500458717346,-0.4753971993923187,0.017409520223736763,0.08020947873592377,2,1.0,2.0,0.13978498992545177,0.9596893191337585,1000.0,2.0,0.6701712608337402,-316.6500941755331,0.0,-344.2754037780179,-344.9188639048057,2.0,-0.012393136508762836,0.05106155946850777,-0.5045942664146423,0.29807937145233154,2000,-0.10096896439790726,26.40649962425232,75.73892899319209,0.40054458379745483
0.2864488959312439,-0.5552063584327698,0.8054683804512024,-0.32090941071510315,-268.79770716230183,0.8177810311317444,0.9137474298477173,-0.25255635380744934,0.010909582488238811,0.04096135497093201,3,1.0,3.0,0.11456001552955852,1.2064919471740723,1000.0,3.0,0.649407684803009,-268.79770716230183,0.0,-386.4547402373584,-470.8134131560394,3.0,-0.2023303061723709,-0.03617111220955849,0.17738434672355652,0.1979202777147293,3000,0.516482949256897,39.404879331588745,76.13270363690883,0.26740744709968567
0.3239454925060272,-1.1619993448257446,0.35018181800842285,-0.1824919730424881,-317.8552985566922,0.7734459042549133,0.9497735500335693,0.029153943061828613,0.010293044149875641,0.017540186643600464,4,1.0,4.0,0.09388702724900437,1.0821555852890015,1000.0,4.0,0.735959529876709,-317.8552985566922,0.0,-407.48788226501654,-470.58730834799087,4.0,0.0143585205078125,1.1266816854476929,0.7758820056915283,0.23697516322135925,4000,1.1994881629943848,52.40843200683594,76.32359616250791,0.14970092475414276
0.41749462485313416,-1.3051687479019165,0.3450911045074463,-0.03029833920300007,-333.2069186128891,0.602835476398468,0.9049282073974609,-0.006497482303529978,0.017981605604290962,0.021558096632361412,5,1.0,5.0,0.07694459401832851,1.0174379348754883,1000.0,5.0,0.7406337857246399,-333.2069186128891,0.0,-461.8003982431792,-679.0504621558297,5.0,-0.07126247137784958,1.3158479928970337,1.2277227640151978,0.3607544004917145,5000,1.5325195789337158,65.3317449092865,76.53247294929179,0.15160252153873444
0.2870080769062042,-1.4668464660644531,0.22953984141349792,-0.05313149839639664,-399.0347222839908,0.7991006374359131,0.8267650008201599,-0.09837321192026138,0.05451644957065582,0.022057659924030304,6,1.0,6.0,0.06305951655006926,1.1507571935653687,1000.0,6.0,0.7247297167778015,-399.0347222839908,0.0,-444.39322955453395,-357.3573861113078,6.0,0.17884011566638947,1.658871054649353,1.7785332202911377,0.21764793992042542,6000,2.041409969329834,78.22755575180054,76.69931576331912,0.17625169456005096
0.25405222177505493,-1.9981518983840942,0.29623356461524963,0.147782564163208,-396.6386044707374,0.8640240430831909,0.8790060877799988,-0.26377925276756287,0.06459300220012665,0.04012269899249077,7,1.0,7.0,0.052718847660376544,1.1395184993743896,1000.0,7.0,0.7154300212860107,-396.6386044707374,0.0,-446.18259450389127,-456.91878420003496,7.0,-0.20489627122879028,1.3225698471069336,2.0725479125976562,0.20097477734088898,7000,2.370798110961914,91.23895835876465,76.72161241116977,0.20470605790615082
0.27726128697395325,-1.7266446352005005,0.2123214453458786,0.2638185918331146,-395.6555992021981,0.8654552102088928,0.892784833908081,-0.07324603199958801,0.09581615775823593,0.04721439629793167,8,1.0,8.0,0.04407386942827646,1.1242574453353882,1000.0,8.0,0.7344067096710205,-395.6555992021981,0.0,-440.16862606505083,-398.0708469931677,8.0,-0.1015271320939064,1.8787715435028076,2.551288366317749,0.20982609689235687,8000,2.8560168743133545,104.2565131187439,76.73381509401075,0.20131348073482513
0.38011330366134644,-2.2736501693725586,0.14743661880493164,0.37120577692985535,-390.4109370795333,0.8508460521697998,0.8990240693092346,0.11184316873550415,0.08076082170009613,0.05318069830536842,9,1.0,9.0,0.03834263432855746,1.167647361755371,1000.0,9.0,0.7530974745750427,-390.4109370795333,0.0,-450.93098062933234,-537.0298171435841,9.0,0.16052252054214478,0.5966508984565735,3.442680835723877,0.3812187910079956,9000,3.6608219146728516,117.34759306907654,76.69522454288568,0.14998693764209747
0.46865779161453247,-2.683828353881836,0.15882745385169983,0.269791841506958,-397.61943011080353,0.8238232731819153,0.83452308177948,0.2395964115858078,0.09460223466157913,0.06209643557667732,10,1.0,10.0,0.0368465179454358,1.1446775197982788,1000.0,10.0,0.7707101106643677,-397.61943011080353,0.0,-451.1193469155711,-452.81464349171966,10.0,0.23393167555332184,2.842766761779785,4.052135467529297,0.5197714567184448,10000,4.4285430908203125,130.34015226364136,76.72232866333331,0.1313074827194214
