rollout/actions_std,train/loss_critic,total/duration,obs_rms_mean,rollout/actions_mean,eval/episodes,rollout/return_history,total/steps,ret_rms_std,rollout/return,reference_action_std,reference_actor_Q_mean,obs_rms_std,total/episodes,total/steps_per_second,eval/return,rollout/episode_steps,total/epochs,rollout/episodes,eval/return_history,reference_Q_std,reference_action_mean,train/param_noise_distance,train/loss_actor,reference_actor_Q_std,ret_rms_mean,eval/Q,rollout/Q_mean,reference_Q_mean
0.6434950828552246,0.04043255001306534,20.579386711120605,0.10982843488454819,0.3544882833957672,1.0,-327.2076378500898,1000,1.0,-327.2076378500898,0.8917315006256104,-0.6570136547088623,0.4124435484409332,1.0,48.59231297984328,182.78222631293607,1000.0,1,1.0,182.78222631293607,2.0864782333374023,-0.01890319585800171,0.0,1.0028283596038818,1.9665049314498901,0.0,-0.3769401013851166,-0.9831617474555969,-1.222139835357666
0.7856173515319824,0.03697242587804794,40.59436821937561,0.11775925755500793,0.10141874849796295,2.0,-365.238646018758,2000,1.0,-365.238646018758,0.8306995630264282,5.005033493041992,0.5809992551803589,2.0,49.26791788436811,-586.4642270850326,1000.0,2,2.0,-201.84100038604825,1.5996010303497314,0.26564690470695496,0.0,-1.893620252609253,1.5134235620498657,0.0,4.699594497680664,-1.2090423107147217,4.3048200607299805
0.7895259261131287,0.10158608108758926,60.396119832992554,0.09614064544439316,0.03411589562892914,3.0,-333.4507463060598,3000,1.0,-333.4507463060598,0.7591220140457153,6.748459815979004,1.0086957216262817,3.0,49.67206516404704,-556.4287220451788,1000.0,3,3.0,-320.0369076057584,1.4281225204467773,-0.015138168819248676,0.0,-3.458622932434082,1.2382762432098389,0.0,5.7974772453308105,0.8037567734718323,6.217439651489258
0.7613853812217712,0.14654110372066498,80.11645793914795,0.09375199675559998,0.029126808047294617,4.0,-279.31035383992776,4000,1.0,-279.31035383992776,0.6127378940582275,9.62548828125,1.189746379852295,4.0,49.92731959066612,190.96263887496883,1000.0,4,4.0,-192.2870209855766,1.2968060970306396,-0.2294864058494568,0.0,-6.344125270843506,1.1070034503936768,0.0,10.853779792785645,2.645916223526001,8.88176155090332
0.7263904213905334,0.2060634195804596,100.03148531913757,0.08943508565425873,-0.015963001176714897,5.0,-213.17560009642102,5000,1.0,-213.17560009642102,0.6035749912261963,12.727291107177734,1.417595386505127,5.0,49.9842622954977,-143.18380041527274,1000.0,5,5.0,-182.46637687151582,1.1441125869750977,0.001986866118386388,0.0,-10.033672332763672,1.0214018821716309,0.0,10.698177337646484,4.508260726928711,12.03207778930664
0.7086937427520752,0.24518606066703796,119.8289725780487,0.08349387347698212,-0.05841900035738945,6.0,-205.28274541885852,6000,1.0,-205.28274541885852,0.6217127442359924,15.954426765441895,1.4566965103149414,6.0,50.071363134587465,278.8256939203171,1000.0,6,6.0,-105.584365072877,1.4899691343307495,0.0047543845139443874,0.0,-13.637042045593262,1.4040162563323975,0.0,17.157894134521484,6.037294864654541,15.2979736328125
0.6969039440155029,0.3213162124156952,139.5701549053192,0.08829011023044586,-0.03606772422790527,7.0,-182.2422724406481,7000,1.0,-182.2422724406481,0.6652485728263855,18.765995025634766,1.5728578567504883,7.0,50.15398890076907,-354.30808972101215,1000.0,7,7.0,-141.1163257368963,1.5848990678787231,-0.07100403308868408,0.0,-15.895135879516602,1.42566978931427,0.0,6.9810662269592285,7.50789737701416,18.144256591796875
0.6870259642601013,0.3032025992870331,159.63578009605408,0.08912453800439835,-0.04546621814370155,8.0,-146.72820607262662,8000,1.0,-146.72820607262662,0.6914297938346863,21.318105697631836,1.6054208278656006,8.0,50.11407840514413,388.55929642719406,1000.0,8,8.0,-74.90687296638502,1.6818081140518188,-0.039582449942827225,0.0,-19.058757781982422,1.6114017963409424,0.0,22.734949111938477,9.154155731201172,20.70233726501465
0.6820593476295471,0.34818047285079956,179.69980812072754,0.09388558566570282,-0.04023914039134979,9.0,-126.17698676050652,9000,1.0,-126.17698676050652,0.6851949691772461,23.987491607666016,1.6733952760696411,9.0,50.083525932056304,1006.0095781156303,1000.0,9,9.0,45.194954931616685,1.4215216636657715,0.16034092009067535,0.0,-22.435998916625977,1.3582639694213867,0.0,26.287261962890625,10.363273620605469,23.42331886291504
0.6952199339866638,0.5653578042984009,199.63972282409668,0.10289064049720764,-0.026077494025230408,10.0,-127.25820531017277,10000,1.0,-127.25820531017277,0.7193155288696289,27.779510498046875,1.7023581266403198,10.0,50.09023183633168,1172.80057222103,1000.0,10,10.0,157.95551666055803,1.3399207592010498,0.19609636068344116,0.0,-24.45618438720703,1.1860053539276123,0.0,32.03137969970703,10.811871528625488,26.878068923950195
0.6889331340789795,0.6368095278739929,219.63946986198425,0.10547448694705963,-0.02093147672712803,11.0,-48.442278018592,11000,1.0,-48.442278018592,0.6517488360404968,32.372657775878906,1.7897393703460693,11.0,50.08207316705014,978.3790308698062,1000.0,11,11.0,232.5394724977624,1.226241111755371,0.2460385113954544,0.0,-28.472206115722656,1.1686913967132568,0.0,38.641475677490234,12.925281524658203,31.49844741821289
0.683330774307251,1.3250720500946045,239.69629621505737,0.10674592107534409,-0.027528319507837296,12.0,9.032252075535846,12000,1.0,9.032252075535846,0.7090907692909241,38.85837936401367,1.8481916189193726,12.0,50.063351789272154,1026.0624233115109,1000.0,12,12.0,298.6663850655748,1.2402050495147705,0.31553927063941956,0.0,-35.418739318847656,1.2291561365127563,0.0,47.07423782348633,15.264321327209473,37.807125091552734
