obs_rms_mean,reference_Q_std,ret_rms_std,reference_perturbed_action_std,train/loss_actor,eval/return,rollout/episode_steps,eval/return_history,reference_action_std,ret_rms_mean,eval/Q,total/steps_per_second,total/steps,rollout/episodes,rollout/return_history,reference_actor_Q_mean,reference_actor_Q_std,train/loss_critic,obs_rms_std,reference_action_mean,total/duration,rollout/return,rollout/actions_mean,total/episodes,reference_Q_mean,reference_perturbed_action_mean,rollout/actions_std,rollout/Q_mean,param_noise_stddev,total/epochs,eval/episodes,train/param_noise_distance
0.12191446870565414,1.1238865852355957,1.0,0.4175245761871338,-0.5390505790710449,-360.191185642856,1000.0,-360.191185642856,0.4302550256252289,0.0,1.4935435056686401,88.92573058037473,1000,1.0,-324.6890478413295,0.5946322679519653,0.9869420528411865,0.08662515878677368,2.513580083847046,-0.7429947853088379,11.245339155197144,-324.6890478413295,0.006840447895228863,1.0,-0.006366007030010223,-0.7847492694854736,0.6929548382759094,-0.14264294505119324,0.16720346283821505,1,1.0,0.5534587502479553
0.010606765747070312,1.2198230028152466,1.0,0.8104954361915588,-2.191070318222046,-474.2815176436773,1000.0,-417.23635164326663,0.9321125745773315,0.0,3.2058165073394775,89.83870836808333,2000,2.0,-204.89648651146933,0.3461797833442688,1.1691534519195557,0.07979224622249603,2.1616079807281494,0.027017951011657715,22.262118816375732,-204.89648651146933,-0.33692896366119385,2.0,0.03162490949034691,0.001923978328704834,0.7000747919082642,1.5717946290969849,0.1370306733903066,2,2.0,0.7103298902511597
0.0031412262469530106,1.7973923683166504,1.0,0.4809168875217438,-2.950298547744751,-307.0815592859275,1000.0,-380.51808752415354,0.7789879441261292,0.0,3.3690671920776367,90.24859642117595,3000,3.0,-271.32731855819776,1.5409722328186035,1.7019184827804565,0.10044301301240921,1.805538535118103,-0.3664577305316925,33.24151420593262,-271.32731855819776,-0.20256662368774414,3.0,0.9254664778709412,-0.5646724104881287,0.7652661800384521,1.8057485818862915,0.11230273064362171,3,3.0,0.5440996885299683
-0.03572516888380051,1.737291693687439,1.0,0.8149983882904053,-4.361117362976074,-412.58306029393833,1000.0,-388.53433071659975,0.832339346408844,0.0,3.172963857650757,90.4348822034119,4000,4.0,-310.05203454970376,2.3410472869873047,1.6305785179138184,0.11537473648786545,1.645298957824707,-0.22522254288196564,44.23072052001953,-310.05203454970376,-0.35111722350120544,4.0,1.9051841497421265,-0.11924578994512558,0.7229581475257874,2.555668592453003,0.09203708190275892,4,4.0,0.5097084641456604
-0.007504475302994251,2.4332239627838135,1.0,0.8137190341949463,-4.8381547927856445,-617.1377453919724,1000.0,-434.2550136516743,0.8537704944610596,0.0,0.7444666028022766,90.58626794434873,5000,5.0,-336.00050422351677,2.7395782470703125,2.531919240951538,0.17497436702251434,1.9701026678085327,0.13978230953216553,55.196003913879395,-336.00050422351677,-0.3573089838027954,5.0,2.4861831665039062,0.024779250845313072,0.7228440642356873,2.4098973274230957,0.07542848153938683,5,5.0,0.450044184923172
0.00995803065598011,3.216259002685547,1.0,0.7349637150764465,-6.3745341300964355,-271.86090181491295,1000.0,-407.18932834554744,0.8000070452690125,0.0,4.514922142028809,90.68734424647803,6000,6.0,-331.8339517502279,4.0756425857543945,3.2029647827148438,0.23085685074329376,2.1384034156799316,0.17569154500961304,66.16138172149658,-331.8339517502279,-0.3545937240123749,6.0,3.435077667236328,0.08229973167181015,0.7221002578735352,2.4106154441833496,0.06181699495154324,6,6.0,0.38548025488853455
0.029564306139945984,3.8687517642974854,1.0,0.7484407424926758,-7.268510341644287,-449.6795268130196,1000.0,-413.25935669804346,0.8150939345359802,0.0,3.532259464263916,90.79263277278456,7000,7.0,-338.65902932462916,4.783835411071777,3.94987416267395,0.3087209463119507,2.2162070274353027,-0.061933428049087524,77.09876656532288,-338.65902932462916,-0.3135485351085663,7.0,4.304637432098389,-0.12890128791332245,0.7289736270904541,2.5221610069274902,0.05066177638540577,7,7.0,0.41502878069877625
0.04149550944566727,4.914421081542969,1.0,0.7935391068458557,-7.480507850646973,-303.7008821102419,1000.0,-399.56454737456824,0.819930374622345,0.0,12.571584701538086,90.71266598776056,8000,8.0,-347.69017246435965,4.769072532653809,4.9702887535095215,0.34241050481796265,2.440261125564575,0.05836987495422363,88.19055104255676,-347.69017246435965,-0.301473468542099,8.0,4.328730583190918,-0.15640097856521606,0.7318942546844482,2.5518314838409424,0.04151957869412388,8,8.0,0.3065323531627655
0.03884851187467575,5.143836498260498,1.0,0.8072908520698547,-8.379709243774414,-77.14776265286794,1000.0,-363.7404601832682,0.8206795454025269,0.0,5.9970808029174805,90.74561243193536,9000,9.0,-357.4332815573348,5.881080150604248,5.165250778198242,0.29497379064559937,2.327821731567383,0.09386139363050461,99.17834877967834,-357.4332815573348,-0.33691850304603577,9.0,5.35928201675415,-0.02831765078008175,0.7274409532546997,2.8812921047210693,0.034027141129503384,9,9.0,0.2618991732597351
0.041424334049224854,5.225675106048584,1.0,0.8103711605072021,-9.136643409729004,67.86911206467508,1000.0,-320.5795029584739,0.8287644982337952,0.0,17.293479919433594,90.82082684160714,10000,10.0,-335.65968128356457,6.987834453582764,5.206618309020996,0.27928629517555237,2.3143906593322754,0.1515769213438034,110.10690331459045,-335.65968128356457,-0.35643091797828674,10.0,6.37713623046875,0.23049421608448029,0.7283122539520264,3.1405701637268066,0.02901906944733551,10,10.0,0.23276282846927643
