reference_perturbed_action_std,rollout/return,obs_rms_mean,eval/episodes,ret_rms_std,train/loss_actor,rollout/episodes,rollout/actions_std,reference_action_mean,obs_rms_std,eval/return,eval/Q,total/episodes,reference_perturbed_action_mean,param_noise_stddev,train/param_noise_distance,total/duration,reference_action_std,rollout/Q_mean,total/steps,reference_Q_mean,total/epochs,rollout/episode_steps,reference_Q_std,train/loss_critic,total/steps_per_second,reference_actor_Q_mean,eval/return_history,reference_actor_Q_std,rollout/actions_mean,rollout/return_history,ret_rms_mean
0.5466177463531494,121.23382655859893,0.886356770992279,1.0,1.0,-19.15857696533203,40.0,0.5455991625785828,0.011398321948945522,7.4265875816345215,286.0811812962387,20.080236434936523,40.0,0.15241171419620514,0.16720346283821505,0.45643186569213867,12.134807825088501,0.46035125851631165,9.325482368469238,1000,19.379758834838867,1,24.95,3.2727222442626953,1.7338838577270508,82.40756791652832,19.64966583251953,286.0811812962387,2.7165539264678955,0.02936164103448391,121.23382655859893,0.0
0.5555594563484192,153.03852589897315,1.092500925064087,2.0,1.0,-39.726539611816406,64.0,0.5737333297729492,-0.17336806654930115,7.003243923187256,242.08806948164911,41.64854431152344,64.0,-0.32509636878967285,0.1370306733903066,0.5478014349937439,23.758992433547974,0.5463086366653442,19.336498260498047,2000,38.573944091796875,2,31.078125,9.579273223876953,3.2876830101013184,84.178653854697,39.55247497558594,264.0846253889439,8.171863555908203,-0.00447074044495821,153.03852589897315,0.0
0.5716367363929749,158.6600921113307,1.1577414274215698,3.0,1.0,-59.673545837402344,93.0,0.5750271081924438,0.057160839438438416,6.887603282928467,72.65065381501547,55.8685302734375,93.0,0.0638643279671669,0.11230273064362171,0.5199375152587891,35.045336961746216,0.5851897597312927,28.966461181640625,3000,57.699607849121094,3,32.12903225806452,16.310543060302734,4.282925605773926,85.60340005503882,59.210670471191406,200.27330153096776,14.421136856079102,-0.007674105931073427,158.6600921113307,0.0
0.6391761898994446,164.9811661865748,1.2296581268310547,4.0,1.0,-76.54427337646484,118.0,0.578039824962616,-0.0288823414593935,6.9415411949157715,97.5909188850671,84.50530242919922,118.0,0.0862496942281723,0.09203708190275892,0.4792691171169281,46.45841670036316,0.6505460739135742,38.38068389892578,4000,74.32718658447266,4,33.45762711864407,25.586322784423828,8.409570693969727,86.09850020930077,76.58777618408203,174.6027058694926,23.6828670501709,0.002679496305063367,175.79580771755272,0.0
0.6548751592636108,177.11396497821735,1.3286068439483643,5.0,1.0,-98.0805892944336,139.0,0.5913873314857483,-0.07797414809465408,6.974393844604492,305.6416298144031,102.77798461914062,139.0,-0.09911265224218369,0.07542848153938683,0.465766578912735,58.14945840835571,0.6953290700912476,48.508148193359375,5000,92.57447814941406,5,35.74820143884892,32.22210693359375,13.983471870422363,85.98532362739137,96.13981628417969,200.8104906584747,28.761680603027344,0.0022807028144598007,199.79672881177444,0.0
0.6812360882759094,183.04311736907002,1.363111138343811,6.0,1.0,-115.70361328125,162.0,0.6032447218894958,-0.00905375275760889,6.911739349365234,342.56735814063893,126.90484619140625,162.0,0.024874333292245865,0.06181699495154324,0.3940802216529846,69.83924579620361,0.7365887761116028,58.227264404296875,6000,107.19674682617188,6,36.79012345679013,41.61789321899414,9.880267143249512,85.91158068213494,111.50831604003906,224.43663523883538,38.70795822143555,-0.0028380693402141333,203.61907412723133,0.0
0.7348543405532837,190.26726353096848,1.4142793416976929,7.0,1.0,-129.6591339111328,183.0,0.6187747120857239,0.047568779438734055,7.081840515136719,199.68420407312556,120.6799545288086,183.0,0.0222246665507555,0.05066177638540577,0.3536788821220398,81.40106272697449,0.7652345299720764,67.6546401977539,7000,120.93060302734375,7,38.19672131147541,53.15475845336914,10.68200969696045,85.99396329110034,126.08338165283203,220.90057364373396,50.60003662109375,-0.00034647752181626856,216.06535565555845,0.0
0.7262674570083618,193.1440017903191,1.4553697109222412,8.0,1.0,-145.30006408691406,205.0,0.6370405554771423,0.024736423045396805,7.185067653656006,250.22836824251317,162.2580108642578,205.0,0.07066112011671066,0.04151957869412388,0.3260273039340973,93.03515768051147,0.7617747187614441,76.57657623291016,8000,133.2051239013672,8,38.795121951219514,66.33346557617188,19.033174514770508,85.98899813200187,138.941650390625,224.56654796858138,64.52961730957031,-0.003432357916608453,227.10518014537413,0.0
0.7095201015472412,200.0037145333287,1.4933676719665527,9.0,1.0,-158.76876831054688,224.0,0.6480369567871094,0.12333380430936813,7.18253231048584,207.18160628487976,152.3345947265625,224.0,0.11836670339107513,0.034027141129503384,0.27695462107658386,104.56286311149597,0.7173165082931519,85.32179260253906,9000,147.14195251464844,9,40.169642857142854,75.81208801269531,23.898889541625977,86.07262399082597,154.30670166015625,222.6348877815034,72.46141815185547,0.00923940259963274,240.03314389488486,0.0
0.7174329161643982,202.97654418441653,1.5226914882659912,10.0,1.0,-176.6411895751953,245.0,0.6534490585327148,0.09088796377182007,7.206948757171631,254.69151905598034,182.33975219726562,245.0,-0.017548905685544014,0.027886755354071244,0.22831225395202637,116.10645294189453,0.7279888391494751,93.95317077636719,10000,163.1134796142578,10,40.70612244897959,85.28462219238281,39.89518737792969,86.12785720880217,171.0476531982422,225.84055090895112,80.57918548583984,0.015739498659968376,237.3109143896749,0.0
