obs_rms_mean,eval/return,reference_perturbed_action_std,total/duration,eval/Q,reference_actor_Q_std,total/steps_per_second,rollout/episode_steps,train/loss_critic,rollout/actions_std,ret_rms_std,reference_actor_Q_mean,rollout/Q_mean,total/episodes,reference_Q_std,obs_rms_std,total/epochs,reference_Q_mean,reference_action_std,total/steps,ret_rms_mean,eval/episodes,param_noise_stddev,train/param_noise_distance,rollout/return_history,train/loss_actor,rollout/actions_mean,eval/return_history,rollout/episodes,reference_action_mean,reference_perturbed_action_mean,rollout/return
0.10795337706804276,-428.5088620597776,0.7247726917266846,10.714999675750732,2.2546000480651855,1.1895818710327148,93.32711435009318,1000.0,0.15193305909633636,0.7496744394302368,1.0,0.592754065990448,0.017708655446767807,1.0,1.2061327695846558,2.082831859588623,1,0.16809439659118652,0.8414524793624878,1000,0.0,1.0,0.16720346283821505,0.8546779155731201,-271.9411576275548,-0.6644872426986694,-0.19949759542942047,-428.5088620597776,1.0,0.2395317107439041,0.4152543544769287,-271.9411576275548
0.06361165642738342,-379.6217654738583,0.5840250253677368,21.24707341194153,1.9333957433700562,1.6238446235656738,94.1306108951427,1000.0,0.10303518921136856,0.8266915678977966,1.0,1.8338329792022705,1.7523458003997803,2.0,1.6808362007141113,1.6799936294555664,2,1.312324047088623,0.552614688873291,2000,0.0,2.0,0.1370306733903066,0.7300705909729004,-360.1354710542927,-3.694838047027588,0.035515084862709045,-404.06531376681795,2.0,0.6362016201019287,0.605128824710846,-360.1354710542927
0.08953714370727539,-855.8169367037601,0.6491495966911316,31.699007034301758,2.6558682918548584,2.2086360454559326,94.64018846879573,1000.0,0.2611909508705139,0.7982084155082703,1.0,2.5477700233459473,1.5157959461212158,3.0,2.408856153488159,1.6869454383850098,3,1.8641330003738403,0.7852294445037842,3000,0.0,3.0,0.11230273064362171,0.5892521739006042,-519.0018071478138,-4.271482467651367,0.2454177588224411,-554.6491880791319,3.0,-0.004511773586273193,-0.04257417097687721,-519.0018071478138
0.057770464569330215,-317.1511495503225,0.7374513745307922,42.136420249938965,5.256246089935303,2.450730323791504,94.92975379193001,1000.0,0.22882257401943207,0.7950819134712219,1.0,3.449306011199951,2.448794364929199,4.0,2.5746185779571533,1.890437126159668,4,2.942328453063965,0.7877251505851746,4000,0.0,4.0,0.09203708190275892,0.7191555500030518,-515.7619971371797,-5.640108108520508,0.15547463297843933,-495.2746784469296,4.0,-0.05258018895983696,-0.15720824897289276,-515.7619971371797
0.04944843798875809,-351.888726170246,0.7657144665718079,52.502036809921265,6.070129871368408,2.6498863697052,95.23440048815695,1000.0,0.3591916263103485,0.7793117761611938,1.0,4.1751813888549805,3.6668004989624023,5.0,2.7985050678253174,2.0946786403656006,5,3.536667585372925,0.7837862372398376,5000,0.0,5.0,0.07542848153938683,0.585699737071991,-396.0250047712467,-7.141801357269287,0.13169631361961365,-466.59748799159286,5.0,-0.06207118555903435,0.15198801457881927,-396.0250047712467
0.05410882830619812,842.3743114849582,0.793557345867157,63.3018479347229,14.549449920654297,2.927445888519287,94.7839628029062,1000.0,0.4121488332748413,0.7866127490997314,1.0,6.370274543762207,4.139013767242432,6.0,3.0484981536865234,1.9281127452850342,6,5.630971431732178,0.7857539057731628,6000,0.0,6.0,0.06181699495154324,0.5386470556259155,-401.1532566760147,-9.117171287536621,0.14283423125743866,-248.43552141216773,6.0,-0.0847332701086998,-0.10586109012365341,-401.1532566760147
0.045408450067043304,-78.27322302857586,0.7019957900047302,74.47409582138062,10.929780960083008,3.0889155864715576,93.99241337268286,1000.0,0.4073600471019745,0.7748836874961853,1.0,8.228310585021973,5.494777202606201,7.0,3.221212863922119,1.9664220809936523,7,7.4902496337890625,0.7981228828430176,7000,0.0,7.0,0.05066177638540577,0.4571312963962555,-353.9153047214946,-11.876967430114746,0.13007883727550507,-224.12662164308315,7.0,0.027304446324706078,0.04452671483159065,-353.9153047214946
0.04437591880559921,-15.331153221865293,0.7290458083152771,85.84842562675476,11.208431243896484,3.1130192279815674,93.18749810021899,1000.0,0.345389187335968,0.7623814940452576,1.0,9.987052917480469,7.0963826179504395,8.0,3.207789421081543,2.0087831020355225,8,9.182374954223633,0.8056686520576477,8000,0.0,8.0,0.04151957869412388,0.3244837522506714,-239.41055559948228,-15.153099060058594,0.12603861093521118,-198.02718809043097,8.0,0.008916397579014301,0.07400321215391159,-239.41055559948228
0.06006921827793121,393.624744283664,0.7278092503547668,97.2547504901886,22.87933349609375,4.125949859619141,92.5404667086977,1000.0,0.3499126136302948,0.7646670341491699,1.0,11.278162956237793,7.499192714691162,9.0,4.038209438323975,2.365485906600952,9,10.693159103393555,0.7564252614974976,9000,0.0,9.0,0.034027141129503384,0.3164806663990021,-229.6095371452209,-17.748437881469727,0.1127624586224556,-132.28808449330933,9.0,-0.21904616057872772,-0.1656075268983841,-229.6095371452209
0.05815493315458298,432.3134259028935,0.7889885306358337,108.64194750785828,25.904550552368164,5.098395824432373,92.0454780993012,1000.0,0.7029746174812317,0.7514774203300476,1.0,12.18323040008545,8.813467025756836,10.0,5.013897895812988,2.312169075012207,10,11.577840805053711,0.7977994680404663,10000,0.0,10.0,0.028447279136688076,0.27959227561950684,-211.7375404820908,-20.773073196411133,0.12647975981235504,-75.82793345368904,10.0,-0.19977253675460815,-0.21781796216964722,-211.7375404820908
