eval/episodes,rollout/Q_mean,rollout/return_history,ret_rms_std,train/loss_actor,eval/Q,ret_rms_mean,rollout/actions_mean,total/steps,eval/return,rollout/actions_std,train/param_noise_distance,reference_action_std,reference_Q_mean,total/episodes,rollout/episodes,total/steps_per_second,total/duration,reference_actor_Q_std,rollout/return,total/epochs,rollout/episode_steps,obs_rms_mean,obs_rms_std,reference_actor_Q_mean,reference_Q_std,eval/return_history,reference_action_mean,train/loss_critic
1.0,-0.5012311935424805,-288.47018090997085,1.0,0.3183240294456482,2.129619836807251,0.0,0.010092549957334995,1000,-320.94907405792617,0.6801453828811646,0.0,0.7539945840835571,-0.6299669742584229,1.0,1.0,50.49071698423014,19.805620908737183,0.727950394153595,-288.47018090997085,1,1000.0,0.06276208162307739,0.6954683065414429,-0.29394423961639404,0.815132200717926,-320.94907405792617,-0.3910306990146637,0.024937044829130173
2.0,-0.8679180145263672,-343.16690577786824,1.0,-1.0862587690353394,-1.1891109943389893,0.0,-0.14895236492156982,2000,-476.13438650485233,0.7469769716262817,0.0,0.8867416381835938,1.4796216487884521,2.0,2.0,50.50648802682305,39.598872900009155,1.5789005756378174,-343.16690577786824,2,1000.0,0.048013925552368164,0.7200272679328918,1.9812755584716797,1.6814669370651245,-398.5417302813893,-0.15063075721263885,0.037599582225084305
3.0,-0.7474623322486877,-354.8894915730836,1.0,-1.0428916215896606,-1.0794745683670044,0.0,-0.17745088040828705,3000,-359.83290373133036,0.7575973272323608,0.0,0.760369598865509,2.257704973220825,3.0,3.0,50.5191206171571,59.38345646858215,1.328371286392212,-354.8894915730836,3,1000.0,0.06549280881881714,0.8728299736976624,2.670621871948242,1.387637972831726,-385.6387880980363,-0.4539663791656494,0.0555487759411335
4.0,-0.631653904914856,-357.6154046551412,1.0,-2.3643829822540283,8.283313751220703,0.0,-0.13466735184192657,4000,-601.3091650536255,0.7613298296928406,0.0,0.6725779175758362,5.701225757598877,4.0,4.0,50.52668261173514,79.16609191894531,1.1670207977294922,-357.6154046551412,4,1000.0,0.08992832899093628,1.0465153455734253,6.276773929595947,1.3310438394546509,-439.5563823369336,-0.4978196620941162,0.06469855457544327
5.0,1.1433829069137573,-316.49315915105194,1.0,-4.150567531585693,10.30225658416748,0.0,-0.11608024686574936,5000,-137.37975570227042,0.7446408271789551,0.0,0.7201277613639832,7.606584072113037,5.0,5.0,50.51786197184299,98.97489333152771,1.1492606401443481,-316.49315915105194,5,1000.0,0.06941836327314377,1.2474851608276367,8.010943412780762,1.1165494918823242,-379.121057010001,-0.2891824245452881,0.22939877212047577
6.0,2.5858638286590576,-292.77043738163303,1.0,-7.871938705444336,13.42540168762207,0.0,-0.0885145515203476,6000,-76.3468727177712,0.7242730855941772,0.0,0.7024011015892029,10.517520904541016,6.0,6.0,50.506681227099854,118.7961642742157,1.0739307403564453,-292.77043738163303,6,1000.0,0.05653849616646767,1.2801686525344849,11.12547779083252,1.1900452375411987,-328.658692961296,-0.08665098994970322,0.27567219734191895
7.0,3.0343739986419678,-296.7083265724213,1.0,-10.596299171447754,12.328044891357422,0.0,-0.05347321555018425,7000,-288.47171598945044,0.7273906469345093,0.0,0.6483379006385803,14.209328651428223,7.0,7.0,50.505640277078925,138.59838151931763,1.871048927307129,-296.7083265724213,7,1000.0,0.0733267292380333,1.2424402236938477,14.804483413696289,1.9475610256195068,-322.91769625103234,-0.09491962194442749,0.3521057367324829
8.0,2.944312572479248,-306.15645119700616,1.0,-10.830299377441406,6.104040622711182,0.0,-0.05289102718234062,8000,-332.5683728208199,0.7376629710197449,0.0,0.6437588930130005,16.797435760498047,8.0,8.0,50.48759777761012,158.4547562599182,2.0195529460906982,-306.15645119700616,8,1000.0,0.08438415825366974,1.243782639503479,17.451358795166016,2.1185245513916016,-324.1240308222558,-0.019166717305779457,0.32479095458984375
9.0,2.7054691314697266,-310.46248711423374,1.0,-10.636258125305176,18.085708618164062,0.0,-0.06062900274991989,9000,-124.6051981501957,0.745174765586853,0.0,0.6268264055252075,19.03862762451172,9.0,9.0,50.509308093372745,178.18497896194458,2.7843563556671143,-310.46248711423374,9,1000.0,0.09187156707048416,1.2450871467590332,19.694421768188477,2.8645100593566895,-301.9552716364713,-0.06027496978640556,0.33439570665359497
10.0,3.4223735332489014,-307.33564482070364,1.0,-10.664019584655762,30.247081756591797,0.0,-0.05926859378814697,10000,-259.4014607808121,0.7415564656257629,0.0,0.5978376865386963,20.60131072998047,10.0,10.0,50.55056116830333,197.82174062728882,3.3351213932037354,-307.33564482070364,10,1000.0,0.09570019692182541,1.4758647680282593,21.000438690185547,3.3138675689697266,-297.6998905509054,-0.1275564283132553,0.5975815057754517
11.0,6.039111614227295,-286.69691151818756,1.0,-12.122025489807129,34.29343032836914,0.0,-0.05864429846405983,11000,228.77589105256908,0.7268562316894531,0.0,0.6816271543502808,20.97716522216797,11.0,11.0,50.56567439937859,217.5388765335083,4.016348838806152,-286.69691151818756,11,1000.0,0.08451944589614868,1.438533067703247,21.579286575317383,4.015554428100586,-249.83845585968047,-0.006868243217468262,0.38499680161476135
12.0,8.45667552947998,-258.9390214844181,1.0,-14.784385681152344,35.28251647949219,0.0,-0.051845379173755646,12000,-99.91732181886232,0.7121083736419678,0.0,0.7385253310203552,22.727067947387695,12.0,12.0,50.574886907081876,237.27190971374512,4.396088600158691,-258.9390214844181,12,1000.0,0.0771329253911972,1.418190360069275,23.416778564453125,4.4145307540893555,-237.3450280229456,-0.05812716484069824,0.5826013088226318
13.0,10.576536178588867,-243.7009744807724,1.0,-16.445354461669922,40.31044387817383,0.0,-0.037461962550878525,13000,314.23380391247565,0.7058207988739014,0.0,0.7588884830474854,23.668127059936523,13.0,13.0,50.54975835532913,257.1723470687866,5.1696085929870605,-243.7009744807724,13,1000.0,0.07220907509326935,1.3894647359848022,24.285381317138672,5.259430408477783,-194.91588710483626,-0.09413903206586838,0.5159687995910645
14.0,12.742447853088379,-218.8748111306799,1.0,-20.195714950561523,43.04359817504883,0.0,-0.03750970587134361,14000,452.6620841324487,0.6964765787124634,0.0,0.7482784390449524,25.203105926513672,14.0,14.0,50.58423812400784,276.76605439186096,5.338624477386475,-218.8748111306799,14,1000.0,0.0662192702293396,1.3845007419586182,25.901466369628906,5.356866836547852,-148.66031773074448,-0.133501335978508,0.6603761315345764
15.0,14.8116455078125,-166.73116325910237,1.0,-22.494400024414062,46.68309783935547,0.0,-0.027115918695926666,15000,828.1097139720766,0.6895790100097656,0.0,0.7423903942108154,27.3565731048584,15.0,15.0,50.60157819218374,296.4334421157837,5.3652873039245605,-166.73116325910237,15,1000.0,0.06496530026197433,1.4167473316192627,27.955541610717773,5.38115119934082,-83.54231561722307,-0.14693927764892578,0.8045011162757874
16.0,16.397554397583008,-142.59667614711609,1.0,-28.250513076782227,52.72872543334961,0.0,-0.013595329597592354,16000,838.5136803881727,0.6849338412284851,0.0,0.7589359283447266,31.655675888061523,16.0,16.0,50.62904198000974,316.0241508483887,5.733555316925049,-142.59667614711609,16,1000.0,0.06570617854595184,1.4230071306228638,32.739723205566406,5.7237043380737305,-25.913815866885855,-0.2695338726043701,1.635240077972412
17.0,18.710647583007812,-90.8999063881903,1.0,-33.93787384033203,57.6741828918457,0.0,0.002028136048465967,17000,502.0141596387044,0.6799469590187073,0.0,0.794579267501831,36.63842010498047,17.0,17.0,50.652154741194536,335.6224446296692,6.566465377807617,-90.8999063881903,17,1000.0,0.06663031876087189,1.48683762550354,37.56139373779297,6.353734493255615,5.140770927560632,-0.25125637650489807,1.3295494318008423
18.0,21.079877853393555,-39.486727659233615,1.0,-41.548851013183594,67.12500762939453,0.0,0.00834247749298811,18000,979.1595009468498,0.6739421486854553,0.0,0.8645806312561035,41.414154052734375,18.0,18.0,50.6649651043468,355.275089263916,7.407544136047363,-39.486727659233615,18,1000.0,0.0667661502957344,1.54086434841156,42.577430725097656,7.294102191925049,59.25292259529892,-0.021466931328177452,2.0382940769195557
19.0,23.695589065551758,2.2174775742674853,1.0,-51.066246032714844,76.17317199707031,0.0,0.01920394040644169,19000,854.3734714188953,0.6687601804733276,0.0,0.8661198019981384,47.21187973022461,19.0,19.0,50.677280109078836,374.9214630126953,7.7482805252075195,2.2174775742674853,19,1000.0,0.06681499630212784,1.5535913705825806,48.49891662597656,7.670783042907715,101.10137253338294,0.06401622295379639,2.329885959625244
20.0,26.459659576416016,42.396128578117086,1.0,-60.88872528076172,86.41047668457031,0.0,0.021835261955857277,20000,1334.9031755933725,0.6614840030670166,0.0,0.8493952751159668,55.43336868286133,20.0,20.0,50.68692178887631,394.5791003704071,7.963852882385254,42.396128578117086,20,1000.0,0.06627984344959259,1.5560321807861328,56.79344940185547,7.700272083282471,162.79146268638243,0.14504320919513702,3.7608742713928223
21.0,29.477693557739258,85.29440225987456,1.0,-71.14224243164062,96.46266174316406,0.0,0.031232699751853943,21000,1296.0373767188878,0.6597852110862732,0.0,0.8672008514404297,65.44717407226562,21.0,21.0,50.69719423817986,414.22410678863525,7.733151912689209,85.29440225987456,21,1000.0,0.06626011431217194,1.581072211265564,66.92971801757812,7.673978805541992,216.75555383078742,0.10134106129407883,9.129037857055664
22.0,32.6472282409668,126.83844425718786,1.0,-83.74545288085938,107.50953674316406,0.0,0.029984332621097565,22000,1617.7635899343236,0.6541388034820557,0.0,0.8798539638519287,78.62420654296875,22.0,22.0,50.70446421674238,433.88684487342834,7.092435836791992,126.83844425718786,22,1000.0,0.0661262720823288,1.6031945943832397,80.46431732177734,7.208977222442627,280.437737290039,-0.07192768901586533,4.413249969482422
23.0,36.094642639160156,184.95397638655334,1.0,-94.70364379882812,85.64247131347656,0.0,0.03198573738336563,23000,237.75252418749187,0.6496225595474243,0.0,0.8507357835769653,89.50738525390625,23.0,23.0,50.717464866744145,453.492698431015,6.310516834259033,184.95397638655334,23,1000.0,0.06706429272890091,1.6273736953735352,91.41661071777344,6.337878704071045,278.5818584594935,0.09209910780191422,5.43839168548584
24.0,39.688804626464844,237.49517957116805,1.0,-105.5626449584961,130.96597290039062,0.0,0.03459708392620087,24000,1901.1406573607942,0.647057056427002,0.0,0.8492620587348938,100.39678192138672,24.0,24.0,50.725319749957414,473.1364951133728,6.93649959564209,237.49517957116805,24,1000.0,0.06774922460317612,1.6607885360717773,102.46485900878906,6.156800746917725,346.18847508038107,-0.000904639542568475,9.178051948547363
25.0,43.377140045166016,264.97955290818544,1.0,-116.52721405029297,143.98965454101562,0.0,0.03963847458362579,25000,1645.6648581082602,0.647162675857544,0.0,0.8590882420539856,111.63093566894531,25.0,25.0,50.74176688572838,492.6907660961151,9.674812316894531,264.97955290818544,25,1000.0,0.06719262897968292,1.675349235534668,113.64958190917969,9.590723991394043,398.16753040149626,-0.0049333772622048855,8.917335510253906
