eval/return_history,total/steps,total/steps_per_second,train/loss_actor,rollout/episodes,ret_rms_std,reference_action_std,train/loss_critic,obs_rms_mean,eval/episodes,reference_action_mean,reference_actor_Q_std,train/param_noise_distance,rollout/return,eval/return,obs_rms_std,rollout/return_history,rollout/actions_mean,total/epochs,rollout/episode_steps,reference_Q_mean,eval/Q,reference_perturbed_action_std,param_noise_stddev,total/episodes,rollout/actions_std,reference_Q_std,reference_actor_Q_mean,rollout/Q_mean,ret_rms_mean,reference_perturbed_action_mean,total/duration
-628.6059786884997,1000,63.778394990842365,2.8336222171783447,1.0,1.0,0.6164450645446777,0.10452961921691895,0.040875356644392014,1.0,-0.24399837851524353,1.346036672592163,0.3032919466495514,-848.907332345321,-628.6059786884997,0.31202128529548645,-848.907332345321,0.47113460302352905,1,1000.0,-3.271282911300659,-1.4651222229003906,0.612561047077179,0.16720346283821505,1.0,0.494498610496521,1.209533452987671,-2.8484089374542236,-1.8947384357452393,0.0,0.37217551469802856,15.679290771484375
-1568.176114648253,2000,64.97597310307418,-2.9030447006225586,2.0,1.0,0.10523529350757599,0.3144305944442749,0.020894289016723633,2.0,-0.8941817283630371,1.2370805740356445,0.2522847354412079,-434.68948745813316,-2507.746250608006,0.3791244328022003,-434.68948745813316,0.14544418454170227,2,510.0,0.22689637541770935,4.933192253112793,0.3967342674732208,0.14259466822295333,2.0,0.5323999524116516,1.2431981563568115,2.1102840900421143,-0.2632142901420593,0.0,-0.16192343831062317,30.780608654022217
-1122.546067429707,3000,65.31505549602083,2.374553680419922,3.0,1.0,0.47898784279823303,0.26420044898986816,0.014345334842801094,3.0,-0.24199965596199036,1.1728554964065552,0.36895889043807983,-174.00660087743177,-231.28597299261483,0.34343767166137695,-174.00660087743177,-0.18567073345184326,3,673.3333333333334,-3.8469362258911133,-0.5833908915519714,0.08901592344045639,0.12654552784140155,3.0,0.6448559761047363,1.0044827461242676,-3.3850173950195312,-1.0783592462539673,0.0,-0.8874307870864868,45.931217193603516
-1139.6100790562618,4000,65.57032965345098,1.8651537895202637,5.0,1.0,0.6387935280799866,0.28968384861946106,0.011918684467673302,4.0,-0.16942958533763885,1.7840487957000732,0.4132300615310669,-540.1388852374984,-1190.8021139359269,0.31782859563827515,-540.1388852374984,-0.30362391471862793,4,627.6,-3.9610400199890137,-4.671350002288818,0.17183014750480652,0.10579425230886043,5.0,0.6333244442939758,1.4821208715438843,-3.18945574760437,-1.9570307731628418,0.0,-0.7117854356765747,61.00320100784302
-1028.0154865786376,5000,65.60920880547292,1.0107924938201904,6.0,1.0,0.6109375357627869,0.3759363889694214,0.013768048956990242,5.0,0.039564210921525955,2.2805838584899902,0.8122643232345581,-698.7341288442498,-581.6371166681403,0.3226949870586395,-698.7341288442498,-0.28870299458503723,5,689.6666666666666,-3.0263190269470215,-0.2459203153848648,0.488206148147583,0.08670309447319521,6.0,0.626552402973175,2.2167065143585205,-2.042116641998291,-2.2493419647216797,0.0,-0.22968220710754395,76.20881414413452
-894.229238313927,6000,65.6910786743458,-1.4973751306533813,7.0,1.0,0.5918262004852295,0.33413955569267273,0.012015839107334614,6.0,0.00977998971939087,1.6518172025680542,0.4104887843132019,-676.4103229607344,-225.29799699037417,0.3120848536491394,-676.4103229607344,-0.32824620604515076,6,734.0,-1.6029479503631592,5.367446422576904,0.5009756684303284,0.07105704163663924,7.0,0.5972539782524109,1.7056766748428345,-0.9008255004882812,-2.320845365524292,0.0,-0.45646658539772034,91.33660340309143
-828.4304361065434,7000,65.80716739359623,-3.311535596847534,8.0,1.0,0.5877900123596191,0.2943895757198334,0.012585820630192757,7.0,0.006954304873943329,1.5985581874847412,0.3957424759864807,-670.8007067172359,-433.6376228622418,0.3032653331756592,-670.8007067172359,-0.3378196060657501,7,767.25,-1.2431066036224365,9.179926872253418,0.4729328453540802,0.05823440555183466,8.0,0.5788889527320862,1.6735751628875732,-0.03829435259103775,-1.2250174283981323,0.0,-0.3799082040786743,106.37139201164246
-830.6711131893605,8000,65.88947489808274,-4.485225677490234,9.0,1.0,0.6632117629051208,0.23567630350589752,0.015469888225197792,8.0,0.1345893293619156,1.3749359846115112,0.4858962893486023,-639.3403306394462,-846.3558527690802,0.29621192812919617,-639.3403306394462,-0.2964019775390625,8,793.1111111111111,-0.002636972814798355,6.91453742980957,0.6051524877548218,0.0477256850533856,9.0,0.5953852534294128,1.4308602809906006,1.1842464208602905,0.020823486149311066,0.0,-0.10629072785377502,121.4154462814331
-813.2921661569867,9000,66.96809955487802,-6.28495979309082,10.0,1.0,0.7004726529121399,0.2951093018054962,0.01668224297463894,9.0,0.21585014462471008,1.3819085359573364,0.40026718378067017,-634.1764576906146,-674.2605898979962,0.2987050712108612,-634.1764576906146,-0.27300816774368286,9,813.8,1.889893889427185,6.079590320587158,0.5203630924224854,0.039113321278561465,10.0,0.5960680246353149,1.2848992347717285,3.3731162548065186,0.8211868405342102,0.0,-0.1517094075679779,134.39234590530396
-782.4165024041021,10000,66.95392586658899,-6.12766170501709,11.0,1.0,0.6531182527542114,0.2979866862297058,0.0199142936617136,10.0,-0.043506234884262085,1.0868797302246094,0.3227234482765198,-595.0694262144575,-504.53552862813996,0.2982938885688782,-595.0694262144575,-0.23391728103160858,10,830.7272727272727,2.9263203144073486,6.77514123916626,0.6558513641357422,0.032055106170371106,11.0,0.6089798212051392,1.115268349647522,3.92834734916687,1.2913743257522583,0.0,0.1549653708934784,149.35643982887268
