eval/return_history,train/param_noise_distance,rollout/actions_mean,total/epochs,obs_rms_std,obs_rms_mean,reference_actor_Q_std,ret_rms_std,eval/episodes,ret_rms_mean,rollout/return_history,total/duration,eval/Q,total/steps_per_second,rollout/episodes,rollout/return,eval/return,train/loss_actor,reference_Q_std,reference_Q_mean,reference_action_std,rollout/episode_steps,total/episodes,train/loss_critic,total/steps,rollout/Q_mean,reference_action_mean,rollout/actions_std,reference_actor_Q_mean
-415.9224702393799,0.0,0.2848491668701172,1,0.23851706087589264,0.049161527305841446,0.6445837020874023,1.0,1.0,0.0,-186.45670663307507,13.286985397338867,-1.0491595268249512,75.26161654398153,1.0,-186.45670663307507,-415.9224702393799,0.04183978959918022,0.5836409330368042,-0.1371454894542694,0.6097975969314575,1000.0,1.0,0.011197052896022797,1000,-0.2713592052459717,0.5799689888954163,0.5072351098060608,0.0005123727023601532
-185.36893507762952,0.0,0.3622485399246216,2,0.35378333926200867,0.08819878101348877,1.5906896591186523,1.0,2.0,0.0,-274.4609175879694,26.28337526321411,0.43632763624191284,76.09372768797984,2.0,-274.4609175879694,45.184600084120845,0.8372236490249634,1.6435445547103882,-0.18591858446598053,0.7683663964271545,1000.0,2.0,0.02711978368461132,2000,-0.6590976715087891,-0.19959282875061035,0.5885308980941772,0.0644165426492691
-245.21224938878063,0.0,0.005167968571186066,3,0.4940100312232971,0.06619101017713547,0.8560808897018433,1.0,3.0,0.0,-305.5777795720487,39.320688009262085,0.5989232659339905,76.29571484846203,3.0,-305.5777795720487,-364.89887801108296,0.6429843306541443,0.918780505657196,0.38364386558532715,0.8224292993545532,1000.0,3.0,0.023627884685993195,3000,-0.9807841777801514,0.22404147684574127,0.7330797910690308,0.7291079759597778
-274.1021927415667,0.0,-0.04518989473581314,4,1.1554590463638306,0.06637928634881973,0.831242561340332,1.0,4.0,0.0,-353.8902004488991,52.14389967918396,-2.615269184112549,76.71079502319645,4.0,-353.8902004488991,-360.77202279992474,0.9163264632225037,1.0022342205047607,0.9401064515113831,0.8256062269210815,1000.0,4.0,0.05907250940799713,4000,-0.9813805222511292,-0.05807296559214592,0.7494561076164246,1.300468921661377
-296.841493463166,0.0,-0.11265730112791061,5,1.4763998985290527,0.07129494845867157,0.6108056306838989,1.0,5.0,0.0,-361.8529442447625,65.14489960670471,4.176695346832275,76.75197951314979,5.0,-361.8529442447625,-387.7986963495633,0.5277306437492371,0.971021294593811,2.751870632171631,0.893791913986206,1000.0,5.0,0.14412902295589447,5000,-1.4966641664505005,-0.02800752781331539,0.7553405165672302,3.47149658203125
-327.91276819095265,0.0,-0.08251660317182541,6,1.5875009298324585,0.08628684282302856,0.8909898400306702,1.0,6.0,0.0,-392.23852390374196,78.05147647857666,-3.924699306488037,76.87234464612418,6.0,-392.23852390374196,-483.2691418298858,0.2406899780035019,1.0041875839233398,5.091121196746826,0.8716738224029541,1000.0,6.0,0.16650983691215515,6000,-1.7793610095977783,0.19222386181354523,0.7604543566703796,5.629195690155029
-361.1930660690654,0.0,-0.1112685278058052,7,1.4971314668655396,0.08844894915819168,1.0770775079727173,1.0,7.0,0.0,-411.78302798751196,90.97820997238159,-6.432247638702393,76.94150063103024,7.0,-411.78302798751196,-560.8748533377418,0.700938880443573,1.2245116233825684,6.6496453285217285,0.8455982208251953,1000.0,7.0,0.1734117865562439,7000,-2.261916399002075,-0.024512270465493202,0.7870867848396301,7.214845657348633
-383.0276235393391,0.0,-0.11033427715301514,8,1.461776614189148,0.09463965147733688,1.304821252822876,1.0,8.0,0.0,-412.57947500567457,103.92011880874634,-4.88887882232666,76.98220606082185,8.0,-412.57947500567457,-535.8695258312551,0.6818833351135254,1.4170928001403809,7.868956565856934,0.7676546573638916,1000.0,8.0,0.1557288020849228,8000,-2.5706229209899902,0.05513541027903557,0.798725962638855,8.27597427368164
-400.9744731931165,0.0,-0.10159077495336533,9,1.3998222351074219,0.1023876741528511,1.2899819612503052,1.0,9.0,0.0,-401.65283053707145,116.90679812431335,-4.462910175323486,76.98440248470247,9.0,-401.65283053707145,-544.5492704233355,0.15442639589309692,1.3273906707763672,9.07491683959961,0.7897325158119202,1000.0,9.0,0.19947780668735504,9000,-2.6739227771759033,0.22343598306179047,0.7947843670845032,9.515556335449219
-415.26882885229395,0.0,-0.08902716636657715,10,1.3535072803497314,0.10984164476394653,1.483330249786377,1.0,10.0,0.0,-404.5630207349174,129.9916067123413,-4.3360114097595215,76.92804368615137,10.0,-404.5630207349174,-543.9180297848915,1.1516313552856445,1.5562015771865845,10.641830444335938,0.7544199824333191,1000.0,10.0,0.17528989911079407,10000,-2.891771078109741,0.2607249617576599,0.8042080402374268,11.27223014831543
