eval/episodes,rollout/return_history,reference_action_std,obs_rms_std,reference_perturbed_action_std,eval/return,ret_rms_mean,param_noise_stddev,reference_actor_Q_mean,total/episodes,rollout/Q_mean,train/loss_actor,obs_rms_mean,reference_actor_Q_std,rollout/episodes,rollout/episode_steps,eval/return_history,rollout/actions_mean,total/epochs,eval/Q,train/param_noise_distance,rollout/actions_std,train/loss_critic,total/steps,reference_Q_mean,ret_rms_std,total/duration,reference_action_mean,reference_perturbed_action_mean,rollout/return,total/steps_per_second,reference_Q_std
1.0,-18.72764390252928,0.6985037922859192,0.330505907535553,0.6980753540992737,-927.6460426974015,0.0,0.16720346283821505,3.0077996253967285,1.0,1.2189913988113403,-2.9591879844665527,0.030602313578128815,1.1419241428375244,1.0,1000.0,-927.6460426974015,0.24127784371376038,1,2.0586938858032227,0.3031167984008789,0.46360814571380615,0.1558881402015686,1000,2.284241199493408,1.0,16.159470558166504,-0.08304983377456665,-0.12403032183647156,-18.72764390252928,61.88321556702429,1.5158894062042236
2.0,-625.990287046401,0.6981216073036194,0.2919119894504547,0.559463620185852,-928.3574879614647,0.0,0.1370306733903066,5.789975166320801,2.0,-0.5565072298049927,-1.3966379165649414,0.036154016852378845,2.381087064743042,2.0,1000.0,-928.001765329433,0.026068832725286484,2,4.517959117889404,0.39330121874809265,0.643945038318634,0.3054739832878113,2000,5.091897964477539,1.0,31.88060235977173,0.047334328293800354,-0.2512965500354767,-625.990287046401,62.73407187951013,2.5836057662963867
3.0,-525.523893882746,0.5333349704742432,0.33582645654678345,0.6692250967025757,-1084.6783651166688,0.0,0.11230273064362171,7.1382036209106445,3.0,1.1775833368301392,-5.11248779296875,0.028168950229883194,2.3388946056365967,3.0,885.0,-980.2272985918449,-0.00874515250325203,3,6.943945407867432,0.36542654037475586,0.658954918384552,0.35563603043556213,3000,6.820224285125732,1.0,47.386521339416504,0.4522101879119873,0.43675318360328674,-525.523893882746,63.30914182351206,2.4840171337127686
4.0,-826.5728324384827,0.7415986061096191,0.34498363733291626,0.5921595096588135,-626.000849097124,0.0,0.09203708190275892,10.141952514648438,4.0,2.3756277561187744,-7.277769565582275,0.03166476637125015,2.235764980316162,4.0,913.75,-891.6706862181647,0.1130327433347702,4,9.20289421081543,0.4970894753932953,0.6744847893714905,0.6873326897621155,4000,9.333492279052734,1.0,61.11683177947998,0.06746526062488556,0.3235032558441162,-826.5728324384827,65.44841876674312,2.577587842941284
5.0,-789.7128465111817,0.763882577419281,0.361818790435791,0.7140228152275085,-479.27711728737177,0.0,0.07542848153938683,12.38095760345459,5.0,3.7325260639190674,-9.637869834899902,0.027445493265986443,2.036055088043213,5.0,931.0,-809.1919724320062,0.1259838044643402,5,10.487776756286621,0.41579490900039673,0.6727419495582581,0.6764494180679321,5000,12.334419250488281,1.0,73.3566324710846,-0.06313762068748474,-0.2822357416152954,-789.7128465111817,68.16016264065664,2.2294905185699463
6.0,-731.9484624979153,0.7720145583152771,0.3808159828186035,0.7249240875244141,-1430.834639184623,0.0,0.06181699495154324,12.627359390258789,7.0,4.294399261474609,-9.424532890319824,0.022544849663972855,2.829409599304199,7.0,810.0,-912.7990835574423,0.06053832918405533,6,9.857016563415527,0.2657831907272339,0.6874257922172546,0.9256677031517029,6000,12.546714782714844,1.0,88.7692358493805,0.18649718165397644,0.07022123038768768,-731.9484624979153,67.59098400013852,2.9511709213256836
7.0,-783.8960076233494,0.7856959700584412,0.38051027059555054,0.7451833486557007,-1055.9491157180023,0.0,0.05066177638540577,12.644268035888672,8.0,4.8438920974731445,-9.812030792236328,0.02182110585272312,3.3016562461853027,8.0,833.75,-933.2490881518079,0.057910140603780746,7,8.74409008026123,0.24007712304592133,0.6944771409034729,0.8046354055404663,7000,12.756174087524414,1.0,103.35329389572144,0.06555739045143127,0.12646740674972534,-783.8960076233494,67.72885252271367,3.3433940410614014
8.0,-820.739884679464,0.5726525187492371,0.38636383414268494,0.5831289887428284,-928.9797768888617,0.0,0.04151957869412388,13.701394081115723,9.0,5.233185291290283,-9.90884780883789,0.020651426166296005,3.4934170246124268,9.0,852.2222222222222,-932.7154242439397,0.042990174144506454,8,8.67685604095459,0.20876185595989227,0.6967182159423828,1.2081782817840576,8000,13.493837356567383,1.0,117.5708487033844,-0.1899082511663437,-0.2411462366580963,-820.739884679464,68.04407800255771,3.8309240341186523
9.0,-735.1622978228166,0.529816210269928,0.39191192388534546,0.5670596957206726,-148.6971442360429,0.0,0.0368465179454358,14.55526351928711,11.0,5.981326103210449,-10.902515411376953,0.018987758085131645,2.8865201473236084,11.0,786.9090909090909,-845.60228202084,0.022548511624336243,9,12.513300895690918,0.19904200732707977,0.6906706690788269,1.1781797409057617,9000,14.048914909362793,1.0,129.40053844451904,0.2890312969684601,0.17252185940742493,-735.1622978228166,69.55148802459414,3.132134199142456
10.0,-638.5875205503538,0.5417976379394531,0.39699283242225647,0.5434544086456299,-240.560579035394,0.0,0.034711086666206405,16.156177520751953,14.0,6.326888084411621,-10.713576316833496,0.019290009513497353,3.5013744831085205,14.0,706.4285714285714,-785.0981117222954,0.023945584893226624,10,12.336430549621582,0.20411799848079681,0.6901528239250183,1.2377296686172485,10000,15.749876022338867,1.0,142.54053735733032,0.2148408144712448,0.27093663811683655,-638.5875205503538,70.15548127850339,3.6259703636169434
11.0,-565.974826843666,0.508905291557312,0.3996252417564392,0.5837407112121582,-29.835658808732905,0.0,0.03612049597631192,17.38115882873535,16.0,7.178093910217285,-11.502681732177734,0.020088404417037964,4.041967391967773,16.0,668.6875,-716.4378887301533,0.03668690100312233,11,16.73552703857422,0.2277480661869049,0.6797878742218018,1.4989612102508545,11000,16.95991325378418,1.0,154.95634841918945,0.14237965643405914,0.2969670295715332,-565.974826843666,70.98773372125865,4.181214809417725
12.0,-498.25393762476375,0.45530804991722107,0.40312066674232483,0.4658077657222748,-434.8404617642076,0.0,0.03540877950819716,18.170703887939453,19.0,8.036711692810059,-12.745007514953613,0.021022489294409752,4.464653491973877,19.0,620.6315789473684,-692.9714364829912,0.048760101199150085,12,15.873974800109863,0.1893034279346466,0.6695566177368164,1.5714828968048096,12000,17.791397094726562,1.0,168.59663200378418,0.07947784662246704,0.08211836963891983,-498.25393762476375,71.1757990499517,4.591604232788086
13.0,-425.9145285418994,0.4332403540611267,0.4070684313774109,0.47635766863822937,-215.33825103955223,0.0,0.03540877950819716,19.22810935974121,22.0,8.857234001159668,-14.060137748718262,0.020636754110455513,5.258346080780029,22.0,581.0454545454545,-656.2304222181114,0.043325040489435196,13,15.24028491973877,0.1639489382505417,0.657386302947998,1.8961806297302246,13000,18.928524017333984,1.0,182.00680422782898,0.17677035927772522,0.04272810369729996,-425.9145285418994,71.42590110931847,5.256875038146973
14.0,-451.62683498998746,0.42253634333610535,0.40991440415382385,0.4473808705806732,-229.33461560763936,0.0,0.034711086666206405,20.810226440429688,23.0,8.674304962158203,-13.967123031616211,0.01949463039636612,6.293432712554932,23.0,599.2608695652174,-625.7378646030776,0.01871226727962494,14,16.67918586730957,0.27446290850639343,0.6628220677375793,2.338622808456421,14000,20.41487693786621,1.0,195.6597774028778,0.20693573355674744,0.1797347366809845,-451.62683498998746,71.55277485148608,6.244840621948242
15.0,-411.88947828248325,0.3932282030582428,0.41319704055786133,0.44448596239089966,-2.4797200913490896,0.0,0.034027141129503384,22.771343231201172,25.0,8.76797103881836,-14.565382957458496,0.018979370594024658,6.265040397644043,25.0,580.0,-584.187321635629,0.010354994796216488,15,19.589460372924805,0.2134172022342682,0.6607877612113953,2.2040817737579346,15000,22.117183685302734,1.0,207.33616876602173,0.10460611432790756,0.2184058427810669,-411.88947828248325,72.3462774935687,6.357134819030762
16.0,-384.13769733478796,0.4251401722431183,0.41801223158836365,0.4112771153450012,-345.8344826346811,0.0,0.034027141129503384,25.20206069946289,30.0,8.59349250793457,-15.50216293334961,0.01855912245810032,6.420558452606201,30.0,532.3666666666667,-569.2902691980698,-0.0021666307002305984,16,11.318519592285156,0.25148239731788635,0.6599335670471191,2.4022645950317383,16000,24.798053741455078,1.0,220.07846069335938,0.20698919892311096,0.17207936942577362,-384.13769733478796,72.70134455499117,6.4587602615356445
17.0,-371.7918021389974,0.4460618495941162,0.41587260365486145,0.42641985416412354,-191.61240721359678,0.0,0.034027141129503384,26.90528678894043,31.0,7.494871139526367,-15.840681076049805,0.019063327461481094,6.837395668029785,31.0,517.4193548387096,-547.0739243754538,0.01171419769525528,17,18.13033103942871,0.1993950754404068,0.6637877225875854,2.1275904178619385,17000,26.398515701293945,1.0,233.8016014099121,0.13074442744255066,0.29850560426712036,-371.7918021389974,72.7112213837868,6.872013092041016
18.0,-360.9181233738204,0.4530731737613678,0.417861670255661,0.47501012682914734,-200.7861648412108,0.0,0.032055106170371106,28.600109100341797,35.0,8.579821586608887,-17.03646469116211,0.01971236616373062,7.609762668609619,35.0,510.45714285714286,-527.8357155124403,0.020549777895212173,18,18.740577697753906,0.23664990067481995,0.6574395895004272,2.7160587310791016,18000,28.06522560119629,1.0,247.80455875396729,0.13838693499565125,0.07458528131246567,-360.9181233738204,72.6378888689909,7.5720415115356445
19.0,-350.63197321352254,0.4733041524887085,0.4205475449562073,0.45767906308174133,-271.38073119305307,0.0,0.03142349394213421,30.54939842224121,36.0,9.273303985595703,-18.664257049560547,0.01920980215072632,7.993716716766357,36.0,502.27777777777777,-514.3380847587883,0.008726979605853558,19,12.969712257385254,0.17183108627796173,0.6537448167800903,2.7048680782318115,19000,30.007980346679688,1.0,260.33387422561646,0.04862202703952789,-0.05556850880384445,-350.63197321352254,72.98320303693475,8.001420021057129
