eval/return_history,reference_perturbed_action_mean,eval/return,rollout/actions_std,reference_actor_Q_std,obs_rms_std,total/episodes,rollout/actions_mean,ret_rms_mean,eval/episodes,total/epochs,ret_rms_std,rollout/return_history,rollout/return,train/loss_actor,rollout/episodes,rollout/episode_steps,param_noise_stddev,total/steps_per_second,train/loss_critic,reference_action_mean,reference_Q_std,rollout/Q_mean,reference_Q_mean,total/steps,train/param_noise_distance,eval/Q,reference_action_std,total/duration,obs_rms_mean,reference_perturbed_action_std,reference_actor_Q_mean
-1781.713330696374,-0.33643874526023865,-1781.713330696374,0.33784136176109314,0.7488256096839905,0.31974026560783386,1.0,0.4001266360282898,0.0,1.0,1,1.0,-54.12348343585227,-54.12348343585227,-4.053569793701172,1.0,1000.0,0.17399259391533256,59.416471114610175,0.08784062415361404,-0.8359107971191406,1.0569229125976562,1.2862039804458618,2.7784767150878906,1000,0.12611010670661926,4.606180667877197,0.0067327022552490234,16.830349922180176,0.03675388544797897,0.6672910451889038,4.1212005615234375
-1569.2170599636297,-0.5134029388427734,-1356.7207892308852,0.6489261388778687,1.3538624048233032,0.27732980251312256,2.0,0.04861921817064285,0.0,2.0,2,1.0,-673.8039712826841,-673.8039712826841,-2.3197519779205322,2.0,1000.0,0.15136711368692907,60.32164003370691,0.13735893368721008,-0.34322410821914673,1.5449692010879517,-0.029398558661341667,7.288146018981934,2000,0.46705687046051025,9.332513809204102,0.6756923198699951,33.15559720993042,0.03226663917303085,0.4952382445335388,8.2145414352417
-1735.8236973700848,0.25823432207107544,-2069.0369721829948,0.6532831192016602,1.6245204210281372,0.27319398522377014,3.0,-0.13992609083652496,0.0,3.0,3,1.0,-769.5452775890484,-769.5452775890484,-6.727898597717285,3.0,1000.0,0.12405208101303944,60.70605402509933,0.2152625471353531,0.22740919888019562,1.8070963621139526,2.663628578186035,10.312250137329102,3000,0.5747727751731873,4.037509441375732,0.8485674858093262,49.41846489906311,0.023378480225801468,0.7293209433555603,11.251314163208008
-1442.803198333363,-0.1561741977930069,-563.7417012231977,0.6974679827690125,1.8496994972229004,0.27265313267707825,4.0,-0.027617622166872025,0.0,4.0,4,1.0,-941.712891206016,-941.712891206016,-10.186800956726074,4.0,1000.0,0.10166619702807067,62.924506634074916,0.3935527801513672,-0.006311327219009399,1.990366816520691,4.728754997253418,11.770970344543457,4000,0.7432733774185181,12.624460220336914,0.7214696407318115,63.56823778152466,0.027688395231962204,0.6352619528770447,12.498515129089355
-1278.4969237297223,-0.03680426999926567,-621.2718253151595,0.6879215240478516,1.9435973167419434,0.32228443026542664,5.0,-0.0627395361661911,0.0,5.0,5,1.0,-898.1624278471929,-898.1624278471929,-13.074226379394531,5.0,1000.0,0.0833199695945773,64.18388267133166,0.5761237144470215,0.21327801048755646,2.0928452014923096,6.08560848236084,14.544112205505371,5000,0.3988640606403351,15.045051574707031,0.6940142512321472,77.90117692947388,0.023339932784438133,0.6493487358093262,15.223945617675781
-1207.568337986942,0.34161990880966187,-852.9254092730395,0.6917582154273987,2.65492582321167,0.35272881388664246,6.0,-0.01060844212770462,0.0,6.0,6,1.0,-761.2592818270699,-761.2592818270699,-14.180200576782227,6.0,853.0,0.0682844203499074,63.71857241608925,0.8691215515136719,0.1255509853363037,2.6645097732543945,7.648855686187744,15.91667366027832,6000,0.3960963487625122,19.23738670349121,0.6955947279930115,94.1640682220459,0.02354116179049015,0.6394633054733276,16.498619079589844
-1065.189514991027,0.1304357945919037,-210.91657701553703,0.6799785494804382,2.6665077209472656,0.3653198182582855,8.0,0.005755274090915918,0.0,7.0,7,1.0,-723.7593402217929,-723.7593402217929,-16.27377700805664,8.0,856.375,0.055962119107954095,65.55210943089264,1.0375640392303467,0.31085270643234253,2.676189661026001,9.066747665405273,17.839702606201172,7000,0.35321709513664246,13.563668251037598,0.5625619292259216,106.78527450561523,0.021920401602983475,0.6127033829689026,18.48908233642578
-969.7915548521484,0.419723242521286,-302.0058338799985,0.6769867539405823,2.779536008834839,0.3708570897579193,9.0,0.01984584890305996,0.0,8.0,8,1.0,-721.2325473152446,-721.2325473152446,-18.841157913208008,9.0,872.3333333333334,0.045863445263280886,66.52243256870356,1.0319693088531494,0.22434912621974945,2.732182741165161,10.213061332702637,20.260114669799805,8000,0.3377189338207245,17.78418731689453,0.5959263443946838,120.2601842880249,0.02052229829132557,0.5648123025894165,20.85387420654297
-877.0056344481181,0.0223860926926136,-134.71827121587643,0.6703200340270996,3.004605293273926,0.3785907030105591,10.0,0.05365161970257759,0.0,9.0,9,1.0,-708.5257680273575,-708.5257680273575,-20.60610580444336,10.0,885.1,0.037587132956139066,67.21993188183018,1.5939222574234009,0.27891093492507935,3.0693464279174805,11.400066375732422,21.918928146362305,9000,0.260003000497818,20.927616119384766,0.5150243043899536,133.88885927200317,0.022347278892993927,0.5545014142990112,22.422258377075195
-794.5120388154762,0.26681262254714966,-52.069678121698395,0.6580216288566589,3.6407389640808105,0.3881574869155884,11.0,0.04548613354563713,0.0,10.0,10,1.0,-648.6184468648057,-648.6184468648057,-22.84638214111328,11.0,895.5454545454545,0.03142349394213421,67.04290000797327,1.5597195625305176,0.3000665605068207,3.802395820617676,12.442338943481445,24.294937133789062,10000,0.18157872557640076,25.424806594848633,0.4691576063632965,149.15822553634644,0.020867858082056046,0.5192881226539612,24.943927764892578
-720.1705647874915,0.07287974655628204,23.24417549235607,0.6520277857780457,3.4707107543945312,0.38575324416160583,12.0,0.05187787488102913,0.0,11.0,11,1.0,-630.4347605894552,-630.4347605894552,-25.038515090942383,12.0,904.25,0.028447279136688076,68.05534316537714,1.6168290376663208,0.18348942697048187,3.505556106567383,13.572251319885254,26.025110244750977,11000,0.21944743394851685,22.492759704589844,0.42050299048423767,161.63315749168396,0.019755858927965164,0.4718656539916992,26.70618438720703
-657.884871703218,0.23628365993499756,27.25775222379074,0.6442094445228577,3.7598283290863037,0.3840188682079315,13.0,0.037825774401426315,0.0,12.0,12,1.0,-599.2381428814915,-599.2381428814915,-27.506498336791992,13.0,911.6153846153846,0.027886755354071244,67.97233809001631,1.392737865447998,0.25164902210235596,3.738212823867798,14.44014835357666,28.947908401489258,12000,0.20809973776340485,26.7974796295166,0.4073629081249237,176.54240441322327,0.019562100991606712,0.4615653157234192,29.598831176757812
-606.1233005887614,0.14064180850982666,15.015552784717773,0.632920503616333,4.49439811706543,0.38286373019218445,14.0,0.046658147126436234,0.0,13.0,13,1.0,-553.5098918568035,-553.5098918568035,-29.781553268432617,14.0,917.9285714285714,0.029602352743226954,67.97311119678767,2.165008306503296,0.2586175799369812,4.41694974899292,15.408167839050293,31.59678077697754,13000,0.23265188932418823,31.94971466064453,0.44580236077308655,191.25209617614746,0.01891287788748741,0.4722018837928772,32.238914489746094
