eval/return_history,total/steps_per_second,rollout/actions_mean,ret_rms_mean,rollout/episode_steps,total/duration,param_noise_stddev,total/epochs,ret_rms_std,reference_actor_Q_std,rollout/actions_std,rollout/return_history,train/loss_critic,train/loss_actor,reference_action_std,train/param_noise_distance,rollout/episodes,eval/return,reference_perturbed_action_std,reference_Q_std,total/steps,reference_perturbed_action_mean,obs_rms_mean,obs_rms_std,reference_Q_mean,reference_action_mean,total/episodes,eval/episodes,reference_actor_Q_mean,eval/Q,rollout/Q_mean,rollout/return
91.15092235277345,84.85268272941948,0.014015370048582554,0.0,32.86666666666667,11.785131216049194,0.16720346283821505,1,1.0,2.0090107917785645,0.5284157991409302,163.17253973160192,1.77866530418396,-19.672245025634766,0.421073317527771,0.5461797714233398,30.0,91.15092235277345,0.5820538401603699,2.6807656288146973,1000,-0.04827079176902771,1.2111916542053223,6.840907096862793,20.02214813232422,-0.14134478569030762,30.0,1.0,20.29650115966797,20.772083282470703,9.347867012023926,163.17253973160192
83.46170190061908,86.49083718784064,-0.04165678843855858,0.0,29.87878787878788,23.123836755752563,0.1370306733903066,2,1.0,6.447829246520996,0.5611004829406738,147.46189183490276,3.8645856380462646,-39.489139556884766,0.48428240418434143,0.5513083338737488,66.0,75.7724814484647,0.5484643578529358,7.555541038513184,2000,-0.2133556604385376,1.1258330345153809,7.183074951171875,40.92377471923828,-0.1111883670091629,66.0,2.0,41.52714538574219,35.439727783203125,18.679500579833984,147.46189183490276
144.11442496624943,86.50414823049725,-0.02599545381963253,0.0,29.15686274509804,34.68041777610779,0.11230273064362171,3,1.0,13.0661039352417,0.5732919573783875,142.48146786853437,3.0403902530670166,-57.4904899597168,0.708052396774292,0.4174332022666931,102.0,265.41987109751017,0.6852781176567078,14.9070463180542,3000,-0.01528373546898365,1.1442880630493164,7.091113567352295,59.722190856933594,0.039958540350198746,102.0,3.0,60.96955108642578,63.385311126708984,28.820405960083008,145.1185536050209
176.88076041606814,86.21686278887564,-0.016771698370575905,0.0,32.459016393442624,46.394636392593384,0.09203708190275892,4,1.0,22.0508975982666,0.607862651348114,163.05207417049957,3.5490152835845947,-76.09842681884766,0.7838426828384399,0.3777436912059784,122.0,275.17976676552433,0.7216203808784485,23.53680419921875,4000,-0.02806580252945423,1.3414145708084106,6.72705078125,77.3891830444336,0.0008717354503460228,122.0,4.0,79.27066040039062,82.132568359375,39.431636810302734,163.737033505943
191.26111816411543,86.23800708302797,-0.012648283503949642,0.0,34.6993006993007,57.97907638549805,0.07542848153938683,5,1.0,30.918516159057617,0.6342623233795166,181.45118640772867,5.4850640296936035,-93.3194808959961,0.7695062160491943,0.4026793837547302,143.0,248.78254915630458,0.6877970099449158,32.697021484375,5000,0.1561094969511032,1.474103569984436,6.435365200042725,94.14776611328125,0.03802914917469025,143.0,5.0,96.45105743408203,94.14311981201172,48.78383255004883,175.55408484529806
204.55449169182882,86.19726307972294,-0.006731401197612286,0.0,36.69938650306749,69.60777854919434,0.06181699495154324,6,1.0,36.3270378112793,0.6538175940513611,209.3835838101423,7.081058502197266,-110.68272399902344,0.7812954783439636,0.39044293761253357,163.0,271.0213593303956,0.7486087083816528,38.79918670654297,6000,0.07048152387142181,1.5636309385299683,6.334039688110352,112.82704162597656,0.0869462788105011,163.0,6.0,115.74844360351562,118.26434326171875,57.989532470703125,186.81971811768838
217.15492566321248,86.07908941573609,0.0070810941979289055,0.0,38.114754098360656,81.32056283950806,0.05066177638540577,7,1.0,42.64884948730469,0.6687777638435364,240.16605213781247,7.560998916625977,-126.49493408203125,0.751826822757721,0.32977530360221863,183.0,292.75752949151456,0.7308587431907654,45.54941940307617,7000,0.13347935676574707,1.6283657550811768,6.322670936584473,130.1722412109375,0.1451674848794937,183.0,7.0,134.38311767578125,134.8400115966797,66.92765808105469,194.84871989475755
227.83281399676343,86.00746817884479,0.026541955769062042,0.0,39.36945812807882,93.01517844200134,0.04151957869412388,8,1.0,48.7013053894043,0.6815182566642761,259.86110319016296,11.732255935668945,-143.93148803710938,0.7759628295898438,0.2875390350818634,203.0,302.57803233161997,0.758030116558075,51.96208953857422,8000,0.1546357274055481,1.6924529075622559,6.296219825744629,149.93911743164062,0.1874200850725174,203.0,8.0,154.66006469726562,157.86444091796875,75.61619567871094,202.19149794106764
238.47798989034052,85.94632631801812,0.04634292796254158,0.0,40.74090909090909,104.71651768684387,0.034027141129503384,9,1.0,56.127906799316406,0.6905002593994141,266.8917861645648,9.705159187316895,-158.55059814453125,0.7480347752571106,0.29703858494758606,220.0,323.6393970389571,0.7149257063865662,59.952510833740234,9000,0.27719926834106445,1.7395172119140625,6.215808391571045,167.40692138671875,0.23873698711395264,220.0,9.0,172.49134826660156,163.17649841308594,84.75130462646484,209.57223730122686
239.95451948076885,85.99974844948915,0.06552668660879135,0.0,42.266949152542374,116.2794098854065,0.027886755354071244,10,1.0,65.75883483886719,0.6953756809234619,280.7050538641954,13.511125564575195,-169.83224487304688,0.7076547145843506,0.2375524342060089,236.0,253.24328579462363,0.7208446264266968,69.83917999267578,10000,0.2084117829799652,1.7848296165466309,6.12653112411499,181.22634887695312,0.23453786969184875,236.0,10.0,186.96778869628906,178.2093048095703,93.07980346679688,218.12328778884216
240.44852393797638,86.03358432058764,0.08106689155101776,0.0,43.44268774703557,127.8570466041565,0.02426044449968572,11,1.0,72.19009399414062,0.6972187757492065,292.6620715930436,15.043487548828125,-183.36932373046875,0.7264947891235352,0.19650140404701233,253.0,245.38856851005198,0.7279262542724609,77.11915588378906,11000,0.10719520598649979,1.8257781267166138,6.0818772315979,193.9122314453125,0.1226046085357666,253.0,11.0,200.5083770751953,170.2373504638672,101.5226821899414,224.64422113796456
