total/epochs,total/steps_per_second,train/loss_critic,rollout/episodes,reference_Q_std,total/episodes,eval/return_history,rollout/return_history,total/duration,eval/Q,rollout/Q_mean,eval/episodes,reference_action_std,reference_perturbed_action_mean,eval/return,obs_rms_std,train/param_noise_distance,rollout/actions_mean,reference_actor_Q_mean,param_noise_stddev,reference_actor_Q_std,train/loss_actor,rollout/actions_std,reference_perturbed_action_std,rollout/episode_steps,total/steps,ret_rms_mean,obs_rms_mean,reference_Q_mean,rollout/return,reference_action_mean,ret_rms_std
11,58.718349778168864,0.6352991461753845,11.0,1.683797001838684,11.0,-619.5624000794309,-485.1380904620524,187.33496499061584,8.878235816955566,4.867153644561768,11.0,0.49160894751548767,-0.06135711073875427,-485.3553399408223,0.35916781425476074,0.204901784658432,-0.011515776626765728,14.159415245056152,0.034027141129503384,1.5844682455062866,-10.353755950927734,0.607241153717041,0.47687622904777527,1000.0,11000,0.0,0.016476120799779892,13.461963653564453,-485.1380904620524,-0.08122345805168152,1.0
12,59.67636038014999,0.7542257905006409,12.0,1.7908154726028442,12.0,-602.8684122427654,-503.63604351972043,201.08464932441711,9.220130920410156,5.184946537017822,12.0,0.4557914733886719,0.017438434064388275,-419.2345460394463,0.3618481755256653,0.20970650017261505,-0.021272065117955208,15.974647521972656,0.032055106170371106,1.684708595275879,-11.206612586975098,0.6113715767860413,0.4630545675754547,1000.0,12000,0.0,0.016772791743278503,15.050212860107422,-503.63604351972043,0.013805417343974113,1.0
13,60.43797447706281,1.0412302017211914,13.0,2.0897011756896973,13.0,-592.7766453242449,-460.3279876265556,215.09655332565308,8.165946960449219,5.37052059173584,13.0,0.43004006147384644,-0.0932883620262146,-471.67544230199866,0.3596952259540558,0.1953486055135727,-0.04725101962685585,19.146732330322266,0.034711086666206405,2.0243916511535645,-11.882863998413086,0.6217678189277649,0.4591245651245117,942.7692307692307,13000,0.0,0.01653747446835041,18.39931869506836,-460.3279876265556,-0.09161323308944702,1.0
14,60.81408393692291,1.320934772491455,14.0,1.5150361061096191,14.0,-581.6238475770841,-549.8959044289508,230.20983123779297,12.601065635681152,5.646230697631836,14.0,0.455306738615036,-0.02881867252290249,-436.6374768639944,0.36135169863700867,0.23522958159446716,-0.0591556578874588,21.9569091796875,0.03269941380439557,1.418543815612793,-13.388786315917969,0.6241031289100647,0.4368744194507599,946.8571428571429,14000,0.0,0.01568055897951126,21.038328170776367,-549.8959044289508,-0.17326778173446655,1.0
15,61.45093556605019,1.1738232374191284,15.0,1.6148920059204102,15.0,-552.8011064888843,-553.2735764148605,244.09717869758606,14.69140338897705,5.95206356048584,15.0,0.44887775182724,-0.2303149402141571,-149.28273125408666,0.3694700598716736,0.19262966513633728,-0.06456757336854935,24.440868377685547,0.034027141129503384,1.5672686100006104,-14.0914306640625,0.6216275095939636,0.4261498749256134,950.4,15000,0.0,0.01475619338452816,23.512088775634766,-553.2735764148605,-0.08940915018320084,1.0
16,62.020286083841356,1.1092560291290283,17.0,1.717673659324646,17.0,-519.918017437734,-512.8343586577834,257.98010635375977,16.519731521606445,6.246125221252441,16.0,0.3859711289405823,-0.1686687171459198,-26.67168167047833,0.36992910504341125,0.20502284169197083,-0.07252702116966248,26.37723159790039,0.030804326970036475,1.7374706268310547,-14.834738731384277,0.6247762441635132,0.43329858779907227,898.2352941176471,16000,0.0,0.013366538099944592,25.49831199645996,-512.8343586577834,-0.14373356103897095,1.0
17,62.25882391779177,1.517275094985962,18.0,1.631459355354309,18.0,-484.69018557376575,-540.3927820602805,273.0536642074585,23.70062255859375,6.736642837524414,17.0,0.41065648198127747,-0.10110408812761307,78.95512424972637,0.37546542286872864,0.19562998414039612,-0.0743500366806984,28.663921356201172,0.030804326970036475,1.6533961296081543,-16.45485496520996,0.6227031946182251,0.45236438512802124,903.8888888888889,17000,0.0,0.012640431523323059,27.706499099731445,-540.3927820602805,0.00402824766933918,1.0
18,62.29934164521738,1.4295289516448975,19.0,1.7408782243728638,19.0,-480.35333106594953,-530.0149935424039,288.92761182785034,22.602123260498047,7.3475494384765625,18.0,0.4045414626598358,0.14369797706604004,-406.6268044330728,0.37378397583961487,0.17298299074172974,-0.07185468077659607,31.30762481689453,0.03335667202186392,1.7408522367477417,-18.3975887298584,0.6242064833641052,0.3830184042453766,908.9473684210526,18000,0.0,0.012735268101096153,30.491958618164062,-530.0149935424039,0.0073212068527936935,1.0
19,62.197268090722595,1.5732171535491943,20.0,3.1047308444976807,20.0,-470.79403401270037,-541.37340882991,305.4796550273895,18.862512588500977,7.686404705047607,19.0,0.3938979506492615,0.09479633718729019,-298.7266870542154,0.3749779760837555,0.2307247817516327,-0.07118646800518036,33.402061462402344,0.03269941380439557,2.9990737438201904,-19.837936401367188,0.6239756941795349,0.3676670491695404,913.5,19000,0.0,0.012501626275479794,32.3574104309082,-541.37340882991,-0.036088038235902786,1.0
20,62.06580984860643,1.5219379663467407,23.0,1.8814915418624878,23.0,-451.50084625233103,-466.85773816319585,322.238605260849,32.229698181152344,8.686923027038574,20.0,0.3859885632991791,-0.11570189148187637,-84.93027880531291,0.3770303428173065,0.23137040436267853,-0.0700543075799942,36.497901916503906,0.034711086666206405,1.8811079263687134,-22.537330627441406,0.6171895265579224,0.41234683990478516,860.7391304347826,20000,0.0,0.012547869235277176,35.5064697265625,-466.85773816319585,0.1732306182384491,1.0
21,62.17020870287143,1.6835331916809082,24.0,1.9136372804641724,24.0,-427.59298962269867,-467.9170684237338,337.78236293792725,32.884056091308594,9.02603530883789,21.0,0.38083186745643616,0.09119466692209244,50.56414296994736,0.3770947754383087,0.17951452732086182,-0.06706450879573822,39.7092170715332,0.03612049597631192,1.9194037914276123,-23.24838638305664,0.617085337638855,0.45919156074523926,866.5416666666666,21000,0.0,0.012824495323002338,38.56270980834961,-467.9170684237338,0.0866093635559082,1.0
22,62.30593084426396,1.9741259813308716,25.0,1.9083279371261597,25.0,-412.9933045203517,-449.08859815088476,353.09640192985535,25.507057189941406,10.141623497009277,22.0,0.35036593675613403,0.11098125576972961,-106.39991737106543,0.3777690827846527,0.2198866605758667,-0.0602947436273098,42.542449951171875,0.03540877950819716,1.9453092813491821,-25.53496742248535,0.6117896437644958,0.37081798911094666,871.88,22000,0.0,0.01334385946393013,41.71518325805664,-449.08859815088476,0.027651052922010422,1.0
23,62.48629490944778,2.485605239868164,26.0,1.9937361478805542,26.0,-401.0630716469318,-413.46468653458055,368.0807132720947,28.610637664794922,11.411646842956543,23.0,0.3564304709434509,0.08417700231075287,-138.5979484316944,0.3772630989551544,0.1874561905860901,-0.053347017616033554,44.696502685546875,0.034027141129503384,2.117609739303589,-28.025293350219727,0.6048847436904907,0.3559817373752594,876.8076923076923,23000,0.0,0.014311550185084343,43.59733200073242,-413.46468653458055,0.0563524104654789,1.0
24,62.49516347289939,1.9341012239456177,27.0,1.9773129224777222,27.0,-400.77628729981734,-391.2100444480447,384.0297179222107,33.239498138427734,12.078898429870605,24.0,0.37757033109664917,0.1420561969280243,-394.1802473161843,0.37822043895721436,0.19025994837284088,-0.04638806730508804,48.289649963378906,0.03335667202186392,2.099109649658203,-29.798412322998047,0.5999590158462524,0.43991023302078247,881.3703703703703,24000,0.0,0.014901421032845974,47.263370513916016,-391.2100444480447,0.06950058788061142,1.0
25,62.05246193206036,2.2492682933807373,28.0,1.9028335809707642,28.0,-355.3411041778326,-406.30571829163256,402.8849012851715,55.06071090698242,12.505745887756348,25.0,0.32346317172050476,-0.24354231357574463,735.103290749802,0.3773989975452423,0.22010496258735657,-0.03556989133358002,51.726043701171875,0.03335667202186392,1.91548490524292,-30.863195419311523,0.6032667756080627,0.34188923239707947,885.6071428571429,25000,0.0,0.015535252168774605,50.735992431640625,-406.30571829163256,-0.04662007838487625,1.0
