rollout/Q_mean,param_noise_stddev,eval/return_history,reference_action_mean,total/epochs,obs_rms_mean,eval/Q,total/steps_per_second,total/episodes,reference_actor_Q_std,rollout/actions_std,reference_perturbed_action_mean,eval/return,total/duration,rollout/actions_mean,rollout/return,rollout/return_history,rollout/episode_steps,train/loss_critic,total/steps,train/param_noise_distance,rollout/episodes,train/loss_actor,ret_rms_std,reference_Q_std,obs_rms_std,ret_rms_mean,eval/episodes,reference_perturbed_action_std,reference_actor_Q_mean,reference_Q_mean,reference_action_std
1.26165771484375,0.16720346283821505,-67.76663644437897,-0.2028007209300995,1,0.021325038745999336,0.6710188984870911,61.859994931800685,1.0,1.1819353103637695,0.38113903999328613,-0.22134068608283997,-67.76663644437897,16.165536403656006,0.2188229113817215,224.8039377125274,224.8039377125274,1000.0,0.136881023645401,1000,0.7199947834014893,1.0,-2.9578046798706055,1.0,1.3573729991912842,0.33122408390045166,0.0,1.0,0.5870761275291443,3.0863490104675293,2.4704394340515137,0.5397992134094238
2.1665449142456055,0.1370306733903066,-478.03928688806184,0.42864787578582764,2,0.011862266808748245,5.86404275894165,63.150370905128334,2.0,1.3405470848083496,0.5485473871231079,-0.37545207142829895,-888.3119373317447,31.67043948173523,-0.12056285887956619,72.74510133056927,72.74510133056927,581.5,0.20874379575252533,2000,0.35277751088142395,2.0,-5.22490119934082,1.0,1.5129544734954834,0.3368033766746521,0.0,2.0,0.45610344409942627,6.176772117614746,5.731655597686768,0.5928875803947449
4.205356597900391,0.11230273064362171,-644.5438844095671,0.37513601779937744,3,0.013353267684578896,9.467007637023926,63.636857744643315,3.0,1.4983757734298706,0.5728745460510254,0.15445049107074738,-977.5530794525775,47.14249110221863,-0.06264444440603256,-238.94279994803438,-238.94279994803438,721.0,0.2542220950126648,3000,0.6062394976615906,3.0,-8.321694374084473,1.0,1.4979219436645508,0.32939842343330383,0.0,3.0,0.5723190307617188,10.047072410583496,9.328023910522461,0.5965256690979004
5.089896202087402,0.09203708190275892,-737.2767793588516,0.40397799015045166,4,0.010721110738813877,14.017279624938965,64.38883518189827,4.0,1.7576704025268555,0.6240763068199158,0.1307569146156311,-1015.4754642067052,62.12257122993469,-0.015026330947875977,-230.32182146434675,-230.32182146434675,790.75,0.3478816747665405,4000,0.6154413819313049,4.0,-11.844159126281738,1.0,1.7678570747375488,0.3365374803543091,0.0,4.0,0.7054031491279602,14.539918899536133,14.121664047241211,0.6447314620018005
6.666646957397461,0.07542848153938683,-774.1757044635157,0.3445110023021698,5,0.012488237582147121,16.392234802246094,64.38445208346265,5.0,2.2355146408081055,0.6357004642486572,0.28036731481552124,-921.771404882172,77.65850043296814,0.02843485400080681,-462.48886721575565,-462.48886721575565,832.6,0.574581503868103,5000,0.46918559074401855,5.0,-14.294859886169434,1.0,2.3023033142089844,0.3806004524230957,0.0,5.0,0.6037954688072205,17.489959716796875,16.976730346679688,0.5930819511413574
8.308676719665527,0.06181699495154324,-761.7466088081828,0.0008607655763626099,6,0.01653231494128704,17.42559814453125,65.06352965772373,6.0,2.4426441192626953,0.6306371688842773,0.3213328719139099,-699.6011305315192,92.21756076812744,0.07331778109073639,-502.65812711085255,-502.65812711085255,860.5,0.8216637969017029,6000,0.45844951272010803,6.0,-16.729372024536133,1.0,2.3981707096099854,0.3877606689929962,0.0,6.0,0.5380684733390808,20.39862823486328,20.160564422607422,0.6451776623725891
9.081134796142578,0.05066177638540577,-769.9425829174967,0.27890631556510925,7,0.01572035253047943,15.477349281311035,65.68727735988966,7.0,2.8735480308532715,0.6380645632743835,0.05581129342317581,-819.1184275733797,106.56553721427917,0.057510193437337875,-505.32379262299736,-505.32379262299736,880.4285714285714,1.3164769411087036,7000,0.37031441926956177,7.0,-18.11989974975586,1.0,2.758173942565918,0.3946685194969177,0.0,7.0,0.65179842710495,24.13970184326172,23.753337860107422,0.5689355731010437
9.584604263305664,0.04151957869412388,-742.5522977855227,-0.0692320317029953,8,0.014393188059329987,20.072254180908203,66.97560558449517,8.0,2.6631815433502197,0.6467476487159729,0.2066185176372528,-550.8203018617045,119.4464750289917,0.05382510647177696,-557.2721673554572,-557.2721673554572,895.375,1.7941086292266846,8000,0.2845119833946228,8.0,-20.25303840637207,1.0,2.8568925857543945,0.3983549475669861,0.0,8.0,0.6436994075775146,28.102306365966797,27.25209617614746,0.6471705436706543
10.720248222351074,0.034027141129503384,-678.5621695861454,0.2978017330169678,9,0.016013357788324356,30.165712356567383,68.49390736817298,9.0,2.9321064949035645,0.6588346362113953,0.0701138824224472,-166.64114399112742,131.39854836463928,0.06279800087213516,-607.1418227982954,-607.1418227982954,907.0,2.010942220687866,9000,0.26920872926712036,9.0,-22.3276424407959,1.0,2.9605743885040283,0.39994511008262634,0.0,9.0,0.7266627550125122,31.470897674560547,30.729328155517578,0.54825758934021
11.27147388458252,0.027886755354071244,-642.5400342847454,0.3558862507343292,10,0.015305297449231148,30.910171508789062,68.86603995888106,10.0,2.752579927444458,0.6737077236175537,0.08875290304422379,-318.3408165721461,145.2094531059265,0.04561462625861168,-672.7074034748154,-672.7074034748154,916.3,1.6383826732635498,10000,0.2515319287776947,10.0,-23.50649642944336,1.0,2.751237154006958,0.39847010374069214,0.0,10.0,0.5470061898231506,35.87145233154297,35.189605712890625,0.5450111031532288
