train/loss_actor,total/episodes,rollout/return,eval/episodes,rollout/Q_mean,reference_Q_std,total/steps_per_second,reference_Q_mean,ret_rms_mean,eval/Q,reference_action_mean,train/loss_critic,reference_perturbed_action_mean,rollout/episodes,total/duration,rollout/return_history,train/param_noise_distance,reference_perturbed_action_std,reference_action_std,reference_actor_Q_std,reference_actor_Q_mean,rollout/actions_mean,rollout/episode_steps,total/steps,total/epochs,ret_rms_std,rollout/actions_std,eval/return,obs_rms_mean,param_noise_stddev,obs_rms_std,eval/return_history
-61.80770492553711,19.0,-197.81125001285477,19.0,40.28995895385742,2.021059513092041,23.738130288245287,64.0992431640625,0.0,62.68756866455078,0.1099933311343193,2.1468656063079834,0.028559723868966103,19.0,800.4000217914581,-197.81125001285477,0.2225470095872879,0.5680129528045654,0.5348273515701294,1.88715660572052,64.73605346679688,0.04086025059223175,1000.0,19000,19,1.0,0.7082726359367371,122.59588327562169,0.05624190345406532,0.020689822899908242,1.6615315675735474,-142.4527383288832
-65.01789093017578,20.0,-199.74688652119042,20.0,41.51162338256836,1.9103071689605713,23.74283941909887,65.57266235351562,0.0,66.66543579101562,0.1944318264722824,2.6375696659088135,-0.041204601526260376,20.0,842.3592329025269,-199.74688652119042,0.20370019227266312,0.5318251252174377,0.5348551273345947,1.6945878267288208,66.40066528320312,0.05214301869273186,1000.0,20000,20,1.0,0.7038394808769226,344.70202125829377,0.055440448224544525,0.02152991267583435,1.6247313022613525,-118.09500034952437
-68.61292266845703,21.0,-181.44453897611714,21.0,42.84257507324219,1.745073914527893,23.744436822735704,68.84039306640625,0.0,67.74217224121094,0.37771329283714294,3.0148062705993652,0.4526808261871338,21.0,884.4176914691925,-181.44453897611714,0.22297758609056473,0.4737137258052826,0.5041780471801758,1.6202590465545654,69.56629180908203,0.05553165450692177,1000.0,21000,21,1.0,0.694788932800293,-838.7225944996474,0.0543290376663208,0.020282151651708893,1.6204272508621216,-152.4106000709588
-72.42526245117188,22.0,-200.4888681142492,22.0,44.011051177978516,1.9576653242111206,23.762350447114876,72.54899597167969,0.0,72.78330993652344,0.41536346077919006,2.313119888305664,0.2581489086151123,22.0,925.8343381881714,-200.4888681142492,0.19806339591741562,0.593936562538147,0.4983941614627838,1.7044001817703247,73.55341339111328,0.0684860348701477,1000.0,22000,22,1.0,0.6949074864387512,37.210700791727334,0.05421153083443642,0.020689822899908242,1.6971275806427002,-143.7914500317458
-76.84235382080078,23.0,-188.55303276954174,23.0,45.33768081665039,2.07387638092041,23.775780501964373,77.287353515625,0.0,75.63249969482422,0.19725127518177032,5.026091575622559,0.1764775961637497,23.0,967.3709764480591,-188.55303276954174,0.19876528531312943,0.5785290002822876,0.5449062585830688,1.9367505311965942,78.04053497314453,0.06987785547971725,1000.0,23000,23,1.0,0.692979097366333,107.54520858217697,0.05634426698088646,0.020282151651708893,1.7492868900299072,-132.8637692224448
-79.959228515625,24.0,-159.23083009380278,24.0,46.79023361206055,2.098886251449585,23.792102955678494,79.75418090820312,0.0,79.40325164794922,0.18862612545490265,5.418247699737549,0.2393609881401062,24.0,1008.7380692958832,-159.23083009380278,0.20870254188776016,0.5500084161758423,0.5508590936660767,2.010491132736206,80.67583465576172,0.06650928407907486,1000.0,24000,24,1.0,0.6893247365951538,169.81611779346284,0.05844840779900551,0.0211056883401964,1.7941076755523682,-120.25210726344865
-83.95072937011719,25.0,-157.1689818294575,25.0,48.11198425292969,2.34537410736084,23.80304762519669,83.1978759765625,0.0,82.3136978149414,0.365901380777359,3.7177231311798096,0.3660406172275543,25.0,1050.285677433014,-157.1689818294575,0.25398942828178406,0.47854286432266235,0.4949980676174164,2.1745431423187256,84.21450805664062,0.053706467151641846,1000.0,25000,25,1.0,0.6910825967788696,-341.6762205693897,0.06005667895078659,0.019882513137642284,1.853841781616211,-129.1090717956863
-88.95597839355469,26.0,-167.43179214309887,26.0,49.408721923828125,1.9895013570785522,23.814334771258306,88.6042709350586,0.0,84.16159057617188,0.40197765827178955,4.736691474914551,0.3496605455875397,26.0,1091.7793946266174,-167.43179214309887,0.17699620872735977,0.5721266269683838,0.5571654438972473,1.9334779977798462,89.58468627929688,0.03044086880981922,1000.0,26000,26,1.0,0.6967372894287109,-544.3159651522903,0.05996812880039215,0.019490749081111935,1.8729766607284546,-145.07856769401724
-95.38772583007812,27.0,-179.95454699470585,27.0,50.672119140625,2.1613991260528564,23.82457515388155,95.8728256225586,0.0,88.45587158203125,0.3466942310333252,5.67050838470459,0.31565868854522705,27.0,1133.2835874557495,-179.95454699470585,0.2107596918940544,0.6140226125717163,0.579552948474884,2.1499369144439697,96.75413513183594,0.005571058485656977,1000.0,27000,27,1.0,0.7077168226242065,-428.1954043142583,0.05992545932531357,0.018361167303396805,1.8519961833953857,-155.56437645772988
-101.58706665039062,28.0,-190.09235862383088,28.0,52.0242919921875,2.1827073097229004,23.83588728830352,102.63880920410156,0.0,89.06591796875,0.2783409357070923,6.29740047454834,0.39070844650268555,28.0,1174.699295282364,-190.09235862383088,0.20390046387910843,0.5720314383506775,0.6077806353569031,2.0986993312835693,103.78992462158203,-0.004438493400812149,1000.0,28000,28,1.0,0.7163448929786682,-446.7345475980325,0.06178243085741997,0.019106704324195603,1.8508747816085815,-165.96331114131212
