reference_Q_mean,total/steps,total/episodes,ret_rms_mean,reference_actor_Q_std,obs_rms_mean,reference_action_std,rollout/actions_std,total/epochs,train/loss_actor,rollout/actions_mean,reference_actor_Q_mean,eval/Q,train/loss_critic,eval/return_history,total/steps_per_second,eval/return,total/duration,rollout/return_history,rollout/return,eval/episodes,obs_rms_std,reference_Q_std,rollout/episodes,ret_rms_std,rollout/episode_steps,train/param_noise_distance,reference_action_mean,rollout/Q_mean
378.3199462890625,156000,156.0,0.0,1.1777886152267456,0.05829257890582085,0.6513495445251465,0.6885383129119873,156,-380.48651123046875,-0.010272699408233166,381.106689453125,393.8747863769531,150.04168701171875,1749.0892871992091,93.26806454719481,1337.5120300310568,1672.59823346138,1195.7670188577185,1137.7023006631523,156.0,2.1406147480010986,1.234861135482788,156.0,1.0,1000.0,0.0,0.2164091020822525,265.4278869628906
376.3710632324219,157000,157.0,0.0,1.9345685243606567,0.0585191585123539,0.6522518396377563,0.6884922385215759,157,-382.2674865722656,-0.0100775808095932,379.9603576660156,399.9755859375,118.16423034667969,1757.4619866370642,93.27025959863299,2181.141769865964,1683.2804012298584,1202.2835358411069,1141.3047359380125,157.0,2.1423778533935547,2.429535388946533,157.0,1.0,1000.0,0.0,0.19425885379314423,266.2598876953125
379.73828125,158000,158.0,0.0,1.3303239345550537,0.05822547897696495,0.6685214042663574,0.6883533596992493,158,-383.0996398925781,-0.010920010507106781,382.60601806640625,399.42926025390625,186.6382598876953,1764.0587642236924,93.26295572085287,2101.087277419584,1694.134598016739,1202.5372748669051,1139.4648286876575,158.0,2.140718460083008,1.339453935623169,158.0,1.0,1000.0,0.0,0.2063884288072586,267.0484313964844
379.5093994140625,159000,159.0,0.0,2.37758207321167,0.05835158750414848,0.6309401988983154,0.6882727742195129,159,-383.3118896484375,-0.010919895954430103,382.13104248046875,402.0792236328125,134.2292022705078,1770.4414416931797,93.25571180651622,2107.7605087355723,1704.9893987178802,1206.0974206808933,1141.7257442271518,159.0,2.1406054496765137,3.016263008117676,159.0,1.0,1000.0,0.0,0.1953507661819458,267.8663024902344
380.9628601074219,160000,160.0,0.0,1.6959940195083618,0.05847577378153801,0.6759202480316162,0.6884622573852539,160,-383.5039367675781,-0.010355537757277489,384.1479187011719,401.7821350097656,333.5147399902344,1775.389991960742,93.25151719041892,2398.972083555624,1715.7897782325745,1207.1418508878314,1143.8085950308218,160.0,2.1428134441375732,1.8359653949737549,160.0,1.0,1000.0,0.0,0.23034512996673584,268.6637878417969
381.5949401855469,161000,161.0,0.0,2.449657678604126,0.05823388695716858,0.6302216649055481,0.688449501991272,161,-385.2650451660156,-0.012279410846531391,384.594970703125,402.4951171875,63.51015090942383,1780.9219216478969,93.24868038105785,2076.8585727571235,1726.5659883022308,1210.0899161260347,1143.7439852822633,161.0,2.1431915760040283,2.199779748916626,161.0,1.0,1000.0,0.0,0.35414016246795654,269.4451599121094
381.96234130859375,162000,162.0,0.0,1.8579901456832886,0.05828084051609039,0.6057097315788269,0.6879904270172119,162,-385.1105041503906,-0.01220651250332594,384.6671142578125,402.27459716796875,190.46356201171875,1791.8849515484396,93.24551622011528,2524.218053442486,1737.3489532470703,1212.1628846016276,1147.425253487368,162.0,2.1447019577026367,2.182964324951172,162.0,1.0,1000.0,0.0,0.3902004659175873,270.2478942871094
382.4658203125,163000,163.0,0.0,1.4582250118255615,0.05822315812110901,0.6128277778625488,0.6879385113716125,163,-384.9604187011719,-0.012918210588395596,385.47576904296875,403.00390625,59.00510787963867,1803.0873249141407,93.24414995554883,2297.4861129366045,1748.09894323349,1215.3830687923871,1148.7140242694807,163.0,2.144388437271118,1.3225518465042114,163.0,1.0,1000.0,0.0,0.35048922896385193,271.0286560058594
384.8851318359375,164000,164.0,0.0,3.1030590534210205,0.05818105489015579,0.6746610403060913,0.6876602172851562,164,-385.3224182128906,-0.013195166364312172,387.1424560546875,402.8885803222656,101.08983612060547,1813.6497587694691,93.2428230292454,2036.53109607679,1758.8485062122345,1219.822514782749,1150.5356595697613,164.0,2.1450865268707275,2.03269362449646,164.0,1.0,1000.0,0.0,0.2187625616788864,271.8044738769531
386.542724609375,165000,165.0,0.0,1.7072430849075317,0.05795460194349289,0.6308989524841309,0.6876312494277954,165,-385.9397277832031,-0.01354894693940878,389.09552001953125,402.96148681640625,255.62522888183594,1823.7192718218303,93.23880793092582,2176.888963004508,1769.6493945121765,1221.7214562418499,1148.7886022588118,165.0,2.1445446014404297,1.356734037399292,165.0,1.0,1000.0,0.0,0.27214178442955017,272.5579528808594
384.23980712890625,166000,166.0,0.0,3.016143798828125,0.05789285898208618,0.6159374117851257,0.6875035762786865,166,-387.2144470214844,-0.013791167177259922,386.8743896484375,400.48388671875,102.71517944335938,1830.8374803275467,93.18089440205674,1693.2335008893413,1781.4810757637024,1223.2950325811928,1150.6359472481568,166.0,2.144059419631958,3.0517585277557373,166.0,1.0,1000.0,0.0,0.23145954310894012,273.3241271972656
385.9257507324219,167000,167.0,0.0,2.0263402462005615,0.05767868086695671,0.5931344032287598,0.6875792145729065,167,-385.418212890625,-0.014553102664649487,388.32421875,395.2493896484375,11.287535667419434,1828.538958552352,93.17810086554489,1060.602831956699,1792.2666211128235,1223.4598234205664,1148.2018299494575,167.0,2.144895315170288,2.337829113006592,167.0,1.0,1000.0,0.0,0.31248077750205994,274.0408020019531
386.0193786621094,168000,168.0,0.0,2.3540735244750977,0.05775115638971329,0.616485059261322,0.6873792409896851,168,-386.7397155761719,-0.014231945388019085,388.62579345703125,401.3558349609375,83.08248138427734,1828.6346892035403,93.17017942025882,1774.7618297237354,1803.152049779892,1226.9880635417744,1148.2066719365175,168.0,2.146981716156006,1.8854665756225586,168.0,1.0,1000.0,0.0,0.246714249253273,274.7665100097656
386.71722412109375,169000,169.0,0.0,1.9048889875411987,0.05780618637800217,0.6730026006698608,0.6873129606246948,169,-387.0496520996094,-0.014324964955449104,389.3572692871094,385.40447998046875,158.74066162109375,1826.18073643745,93.16476643420768,1096.8826089130885,1813.9904866218567,1225.451695187303,1148.450678389246,169.0,2.1467323303222656,1.4229940176010132,169.0,1.0,1000.0,0.0,0.21249701082706451,275.3916931152344
