ret_rms_std,rollout/return_history,train/loss_critic,train/loss_actor,eval/episodes,reference_perturbed_action_std,eval/return_history,reference_perturbed_action_mean,reference_action_std,train/param_noise_distance,reference_actor_Q_std,reference_actor_Q_mean,rollout/episodes,total/duration,eval/Q,total/episodes,obs_rms_mean,total/steps,total/steps_per_second,rollout/Q_mean,reference_action_mean,reference_Q_mean,total/epochs,rollout/actions_std,rollout/episode_steps,ret_rms_mean,reference_Q_std,param_noise_stddev,rollout/actions_mean,obs_rms_std,eval/return,rollout/return
1.0,16.772877124885397,0.18168111145496368,-3.4156548976898193,1.0,0.39162924885749817,74.27814707982262,0.4769464433193207,0.005547723267227411,1.0390090942382812,3.263803482055664,3.8314895629882812,16.0,12.39147686958313,3.026501417160034,16.0,-0.19367392361164093,1000,80.70063080653934,1.2690033912658691,0.9517866969108582,3.2194650173187256,1,0.5028343200683594,42.5,0.0,3.726198434829712,0.17056425244126316,0.39235058426856995,1.663936972618103,74.27814707982262,16.772877124885397
1.0,40.35584230502706,0.2545851767063141,-7.210080146789551,2.0,0.41486290097236633,370.0418294698042,0.6091264486312866,0.5074427723884583,0.6520900130271912,5.892206192016602,8.85452651977539,21.0,26.031496047973633,12.085310935974121,21.0,-0.04680032283067703,2000,76.83000609393272,3.2156267166137695,0.46934524178504944,8.236320495605469,2,0.45655396580696106,87.0952380952381,0.0,6.238011360168457,0.13978498992545177,0.5871109366416931,1.2480074167251587,665.8055118597858,40.35584230502706
1.0,60.81007111367,0.6705833673477173,-12.334888458251953,3.0,0.48712557554244995,285.55692099140236,0.6252159476280212,0.6997273564338684,0.6892588138580322,7.7856764793396,13.413745880126953,26.0,38.30140256881714,9.412007331848145,26.0,0.004527428653091192,3000,78.32611337430322,6.495018005371094,0.3516928255558014,12.483447074890137,3,0.42316681146621704,101.1923076923077,0.0,8.2550687789917,0.11456001552955852,0.605013906955719,1.1190218925476074,116.58710403459864,60.81007111367
1.0,100.92378620493972,1.0411056280136108,-18.202363967895508,4.0,0.5305684804916382,248.40971248099717,0.5634162425994873,0.7221715450286865,0.7257804274559021,9.952558517456055,18.656444549560547,29.0,50.769370317459106,15.039407730102539,29.0,0.03006482496857643,4000,78.78766222602603,9.718504905700684,0.3812060058116913,17.4952392578125,4,0.41477200388908386,137.0,0.0,10.259232521057129,0.09388702724900437,0.60568767786026,1.0518096685409546,136.96808694978165,100.92378620493972
1.0,130.80911789878775,1.6334151029586792,-25.14496421813965,5.0,0.5828155279159546,216.8243771948606,0.48142489790916443,0.738471269607544,0.5848092436790466,13.776471138000488,25.19971466064453,30.0,63.40807747840881,18.877155303955078,30.0,0.05664603412151337,5000,78.85430687758287,12.914661407470703,0.46549439430236816,23.69546127319336,5,0.41077131032943726,165.76666666666668,0.0,14.012263298034668,0.07694459401832851,0.6227800846099854,0.9480864405632019,90.48303605031431,130.80911789878775
1.0,123.71914286177147,1.7894320487976074,-32.204017639160156,6.0,0.5959388017654419,224.17409172666933,0.5215283632278442,0.7289002537727356,0.5206825733184814,15.887578964233398,31.402585983276367,37.0,75.00262832641602,51.89329528808594,37.0,0.046841248869895935,6000,79.997196550068,15.410540580749512,0.36186137795448303,30.01474380493164,6,0.43279242515563965,162.16216216216216,0.0,16.378032684326172,0.06305951655006926,0.6042061448097229,1.044063925743103,260.92266438571295,123.71914286177147
1.0,136.28084583203542,1.8743982315063477,-37.80295944213867,7.0,0.6959105134010315,210.98589018498964,0.37325942516326904,0.7032197117805481,0.44018906354904175,17.994844436645508,35.96657180786133,42.0,86.73110747337341,34.769012451171875,42.0,0.06345628201961517,7000,80.70921960899682,19.453203201293945,0.34878554940223694,34.41565704345703,7,0.4428538978099823,165.92857142857142,0.0,18.485876083374023,0.051680078090752424,0.6082362532615662,1.0457438230514526,131.85668093491148,136.28084583203542
1.0,130.46814080915206,2.845952033996582,-42.24040603637695,8.0,0.6452512145042419,242.75470494357194,0.5158540606498718,0.6995641589164734,0.29194191098213196,20.964996337890625,41.25105285644531,48.0,98.99329924583435,62.98130798339844,48.0,0.059715207666158676,8000,80.81355062359577,22.100229263305664,0.4617881774902344,39.804969787597656,8,0.4542944133281708,163.625,0.0,21.14776611328125,0.04235412222587577,0.6032881140708923,1.1060926914215088,465.1364082536481,130.46814080915206
1.0,160.47407514551867,3.656656503677368,-47.581111907958984,9.0,0.5715144872665405,210.7765269352348,0.5455033779144287,0.7126591801643372,0.302927166223526,22.49418067932129,43.563724517822266,49.0,110.67760133743286,28.201692581176758,49.0,0.07007766515016556,9000,81.31726646804427,27.224214553833008,0.44572147727012634,41.417945861816406,9,0.45405295491218567,180.69387755102042,0.0,23.079158782958984,0.034711086666206405,0.605128824710846,1.0976104736328125,-45.048897131462056,160.47407514551867
1.0,171.71154632189265,3.3205301761627197,-53.69510269165039,10.0,0.6757919192314148,223.16035037393763,0.46197763085365295,0.7389793992042542,0.2004627287387848,23.711299896240234,46.721946716308594,55.0,122.55887961387634,62.63172912597656,55.0,0.07241171598434448,10000,81.59343518401242,30.957427978515625,0.3904392719268799,44.92047119140625,10,0.4681461453437805,181.61818181818182,0.0,24.147520065307617,0.028447279136688076,0.5972932577133179,1.1494965553283691,334.6147613222628,171.71154632189265
