total/steps,reference_actor_Q_std,total/steps_per_second,total/epochs,rollout/Q_mean,train/param_noise_distance,reference_action_mean,reference_Q_mean,eval/return_history,eval/episodes,total/duration,rollout/episodes,rollout/return_history,reference_perturbed_action_mean,reference_action_std,rollout/return,total/episodes,eval/Q,rollout/actions_std,reference_Q_std,reference_actor_Q_mean,rollout/actions_mean,eval/return,ret_rms_mean,reference_perturbed_action_std,obs_rms_mean,param_noise_stddev,train/loss_critic,obs_rms_std,rollout/episode_steps,train/loss_actor,ret_rms_std
1000,2.9291739463806152,87.22938882439591,1,1.5399998426437378,0.20397038757801056,0.9593653678894043,2.755354881286621,76.86340306534761,1.0,11.46402621269226,17.0,19.643830764873915,0.783738911151886,0.005374261178076267,19.643830764873915,17.0,2.3267781734466553,0.5085268616676331,3.189662218093872,3.2613468170166016,0.553092360496521,76.86340306534761,0.0,0.2496643215417862,-0.18195493519306183,0.16720346283821505,0.08776158094406128,1.4955973625183105,47.294117647058826,-2.9201500415802,1.0
2000,6.0765767097473145,88.37736464483156,2,2.940234422683716,0.3230415880680084,0.7572066187858582,7.269120216369629,67.3008310044473,2.0,22.630228996276855,22.0,53.862573002274665,0.5234675407409668,0.5503036379814148,53.862573002274665,22.0,4.446795463562012,0.42055031657218933,6.184431076049805,7.903130531311035,0.6924178600311279,57.73825894354699,0.0,0.6616058349609375,-0.03056599386036396,0.15751322548474425,0.12986081838607788,1.1417646408081055,90.5,-7.446960926055908,1.0
3000,9.123804092407227,81.86064783263978,3,5.410621643066406,0.4448969066143036,0.6928994059562683,10.959041595458984,379.89018498154695,3.0,36.647645473480225,27.0,63.085253706961105,0.8445875644683838,0.5867530703544617,63.085253706961105,27.0,15.351733207702637,0.41078975796699524,9.276409149169922,11.521122932434082,0.7221482992172241,1005.0688929357462,0.0,0.42286670207977295,-0.004491308704018593,0.12908909295101373,1.1195322275161743,1.0460913181304932,104.92592592592592,-11.037376403808594,1.0
4000,13.073708534240723,84.24825016899774,4,7.891081809997559,0.8179470300674438,0.23356761038303375,15.264598846435547,285.02516096887285,4.0,47.47873091697693,30.0,89.60453150126587,0.6933968663215637,0.8148558735847473,89.60453150126587,30.0,0.6465685367584229,0.43117132782936096,13.214083671569824,16.08485984802246,0.7404559850692749,0.430088930850712,0.0,0.4968298673629761,0.027361705899238586,0.10579425230886043,2.142592668533325,0.9528194665908813,132.26666666666668,-16.551902770996094,1.0
5000,13.494917869567871,85.69750763983674,5,10.71796703338623,0.5794525146484375,0.6340733170509338,19.375347137451172,237.14229399498873,5.0,58.3447539806366,36.0,99.09186778853618,0.687950611114502,0.706943154335022,99.09186778853618,36.0,18.99083709716797,0.42002907395362854,13.862272262573242,20.535778045654297,0.7542688846588135,45.61082609945231,0.0,0.5749139189720154,0.03981058672070503,0.08670309447319521,1.0332759618759155,1.032356858253479,138.27777777777777,-21.097881317138672,1.0
6000,16.74187469482422,87.10219499343354,6,13.836583137512207,0.2777392566204071,0.3160746097564697,25.29073143005371,197.90855775745788,6.0,68.88460159301758,38.0,111.81847570539936,0.595169723033905,0.8468012809753418,111.81847570539936,38.0,18.407190322875977,0.4219968318939209,16.99138832092285,27.58349609375,0.7542540431022644,1.739876569803712,0.0,0.6267046928405762,0.05542440712451935,0.07105704163663924,1.9897242784500122,0.9834582209587097,147.3684210526316,-29.355308532714844,1.0
7000,19.852615356445312,88.04219085739511,7,15.959341049194336,0.24268530309200287,0.31658485531806946,34.31684112548828,173.83876426557507,7.0,79.50733542442322,45.0,115.26943686873537,0.338558554649353,0.835777997970581,115.26943686873537,45.0,25.205541610717773,0.46661779284477234,20.261478424072266,35.84037399291992,0.7195683717727661,29.42000331427817,0.0,0.7665461301803589,0.029175536707043648,0.05823440555183466,1.8351689577102661,1.0319470167160034,154.4,-38.48585510253906,1.0
8000,22.5448055267334,88.32065105753365,8,17.987722396850586,0.2918038070201874,0.663835346698761,40.09438705444336,193.20506479762054,8.0,90.57904243469238,48.0,108.40615677232461,0.4725290834903717,0.5751129984855652,108.40615677232461,48.0,60.70390701293945,0.48610055446624756,23.209461212158203,42.05350112915039,0.7043607831001282,328.7691685219386,0.0,0.7089301347732544,0.02149799093604088,0.0477256850533856,4.559206008911133,1.0743619203567505,150.29166666666666,-43.469539642333984,1.0
9000,25.415355682373047,86.9008026719252,9,21.996490478515625,0.30878376960754395,0.6102713942527771,44.663856506347656,234.18001587879382,9.0,103.56636214256287,49.0,124.56377583625964,0.749394416809082,0.6076200604438782,124.56377583625964,49.0,45.833900451660156,0.4740935266017914,26.086162567138672,47.12626266479492,0.7138866186141968,561.9796245281798,0.0,0.4982767701148987,0.03055095672607422,0.039899499036260555,3.552529811859131,1.0365368127822876,167.6326530612245,-49.32963943481445,1.0
10000,27.400720596313477,84.9932401937215,10,24.29762840270996,0.1874048113822937,0.5724413394927979,50.67792510986328,317.72773442997044,10.0,117.65641570091248,52.0,143.9994157740546,0.6404100656509399,0.6498533487319946,143.9994157740546,52.0,69.90133666992188,0.4697485864162445,28.010915756225586,52.74180603027344,0.7168707251548767,1069.6572013905602,0.0,0.5609996914863586,0.03215129300951958,0.03540877950819716,5.282370567321777,1.072401523590088,186.09615384615384,-54.910011291503906,1.0
