total/epochs,total/episodes,train/loss_actor,eval/episodes,obs_rms_mean,reference_actor_Q_std,rollout/episode_steps,reference_actor_Q_mean,total/duration,total/steps_per_second,rollout/return,rollout/Q_mean,rollout/return_history,rollout/actions_mean,obs_rms_std,total/steps,eval/return_history,train/param_noise_distance,train/loss_critic,rollout/actions_std,reference_action_mean,ret_rms_std,ret_rms_mean,reference_perturbed_action_std,param_noise_stddev,reference_action_std,eval/Q,reference_Q_std,rollout/episodes,reference_Q_mean,eval/return,reference_perturbed_action_mean
46,254.0,-237.87091064453125,46.0,-0.0058020344004035,116.8558578491211,179.56692913385828,152.36016845703125,518.608184337616,88.69894727703299,184.4487531324684,126.52643585205078,221.249430959022,0.5592813491821289,1.5446157455444336,46000,239.57448934089655,0.2019393891096115,81.24516296386719,0.5018255114555359,0.3906906545162201,1.0,0.0,0.6645619869232178,0.020689822899908242,0.6416898965835571,232.10545349121094,117.43821716308594,254.0,143.30072021484375,161.1547696035797,0.4257631003856659
47,257.0,-238.40560913085938,47.0,-0.007218643091619015,121.69891357421875,181.05836575875486,148.61265563964844,530.411036491394,88.61052422834075,185.5759025201693,129.2875518798828,221.0332039490129,0.5578119158744812,1.5484228134155273,47000,242.26030908194758,0.1999688744544983,96.9463119506836,0.5026057958602905,0.5433835387229919,1.0,0.0,0.6282262206077576,0.02152991267583435,0.5597863793373108,241.9818572998047,121.97018432617188,257.0,140.83480834960938,365.8080171702949,0.4579133987426758
48,261.0,-246.0666046142578,48.0,-0.006157685071229935,120.0097885131836,183.8582375478927,157.52737426757812,541.5991206169128,88.62643636740992,189.31297743767064,132.2854766845703,231.88777367432053,0.5573498010635376,1.5433977842330933,48000,240.6350821159034,0.2123299241065979,80.47852325439453,0.50188809633255,0.5110853314399719,1.0,0.0,0.5760090947151184,0.02152991267583435,0.6028460264205933,234.66302490234375,121.39952087402344,261.0,146.66998291015625,164.24941471182794,0.5106670260429382
49,264.0,-251.21998596191406,49.0,-0.006875519175082445,124.50148010253906,184.9810606060606,154.70126342773438,553.7211997509003,88.49218708267514,190.96462124494494,134.90203857421875,235.14957369750732,0.5570881962776184,1.5464764833450317,49000,241.19583688741528,0.21563684940338135,114.37761688232422,0.5020709037780762,0.48683246970176697,1.0,0.0,0.5265572667121887,0.02152991267583435,0.5799669623374939,251.17466735839844,124.48064422607422,264.0,147.5038299560547,268.11206591998575,0.6122037768363953
50,267.0,-253.95729064941406,50.0,-0.007839329540729523,123.64186096191406,185.9250936329588,167.41317749023438,564.9879524707794,88.49746225798673,192.10932027469406,137.3837432861328,242.74156352344082,0.5559479594230652,1.5510021448135376,50000,242.35258425442555,0.1945355385541916,155.82711791992188,0.5037988424301147,0.5643021464347839,1.0,0.0,0.6287848949432373,0.0211056883401964,0.5339284539222717,265.9327392578125,123.65861511230469,267.0,157.3009796142578,299.0332052379284,0.46168291568756104
51,269.0,-258.1307067871094,51.0,-0.007023695856332779,125.96973419189453,189.21561338289962,166.2605743408203,576.4394981861115,88.47415931851003,195.42128338791255,140.5803985595703,254.96856333087362,0.555688738822937,1.5426737070083618,51000,244.95761204172945,0.1919134110212326,111.64572143554688,0.5031033754348755,0.5358961224555969,1.0,0.0,0.5675338506698608,0.019882513137642284,0.5741506814956665,297.7560729980469,126.83023834228516,269.0,155.96722412109375,375.20900140692436,0.5317577719688416
52,275.0,-260.4693908691406,52.0,-0.009834411554038525,126.99140930175781,188.99272727272728,168.8118133544922,587.9931938648224,88.43639780625526,195.7511650054646,142.82159423828125,258.69538766000596,0.5538014769554138,1.545957088470459,52000,247.5019718792816,0.19100958108901978,90.7917251586914,0.5051117539405823,0.4590575397014618,1.0,0.0,0.5800749659538269,0.020282151651708893,0.5986315011978149,275.1682434082031,127.17976379394531,275.0,159.87234497070312,377.26432359444124,0.48766422271728516
53,279.0,-262.6667175292969,53.0,-0.008528465405106544,127.8289566040039,189.26164874551972,169.1344757080078,599.5257360935211,88.40321075346202,197.76431083183547,145.32591247558594,269.1539835740728,0.5503937005996704,1.5431678295135498,53000,250.78363955106633,0.19106659293174744,95.5613784790039,0.506534218788147,0.4633244574069977,1.0,0.0,0.5502995848655701,0.019106704324195603,0.5870055556297302,273.85992431640625,128.4510955810547,279.0,160.56590270996094,421.4303584838728,0.4925805628299713
54,284.0,-266.9833984375,54.0,-0.007555263116955757,127.89747619628906,189.46830985915494,169.5533447265625,611.0011196136475,88.37954345181177,201.34784002346456,147.76348876953125,275.84721556397125,0.5467228293418884,1.5454754829406738,54000,249.33185898717082,0.2144356071949005,106.1004867553711,0.5084736943244934,0.46607184410095215,1.0,0.0,0.6170939803123474,0.019490749081111935,0.6024349331855774,247.79119873046875,129.10284423828125,284.0,160.32321166992188,172.38748910070973,0.4274073839187622
55,288.0,-270.3932800292969,55.0,-0.009312822483479977,127.951171875,190.15277777777777,176.8943328857422,622.7101609706879,88.32359490371148,203.0582284010792,149.9374542236328,280.5038594450076,0.5437653660774231,1.5491522550582886,55000,252.40093568628032,0.16345183551311493,124.10574340820312,0.5112735629081726,0.568333625793457,1.0,0.0,0.609929621219635,0.018730226766195082,0.5427330136299133,298.4158630371094,129.12484741210938,288.0,166.8876953125,418.13107743819256,0.3539249897003174
