rollout/actions_mean,total/duration,obs_rms_mean,train/param_noise_distance,total/steps,ret_rms_mean,reference_Q_std,obs_rms_std,rollout/episode_steps,rollout/return_history,rollout/Q_mean,total/steps_per_second,reference_actor_Q_std,eval/return_history,rollout/return,param_noise_stddev,total/episodes,reference_perturbed_action_mean,train/loss_actor,rollout/episodes,eval/return,reference_actor_Q_mean,reference_action_std,reference_Q_mean,eval/episodes,reference_perturbed_action_std,ret_rms_std,train/loss_critic,rollout/actions_std,reference_action_mean,total/epochs,eval/Q
0.21375565230846405,16.802064180374146,0.028348911553621292,0.6916271448135376,1000,0.0,1.7415204048156738,0.3498661518096924,577.0,-214.34463919559056,0.4960399866104126,59.51649685805046,1.7299591302871704,-9.38975756813538,-214.34463919559056,0.16720346283821505,1.0,0.28774434328079224,-0.6626779437065125,1.0,-9.38975756813538,0.5845915079116821,0.27225783467292786,0.10161137580871582,1.0,0.6207602620124817,1.0,0.13505835831165314,0.5748789310455322,-0.4168258607387543,1,-0.7939044237136841
0.1626199632883072,33.17460489273071,0.029960211366415024,0.44909438490867615,2000,0.0,2.8713858127593994,0.3241889774799347,788.5,-533.1736149307742,0.2558062672615051,60.28707821741817,2.396517038345337,-399.1273061058928,-533.1736149307742,0.1370306733903066,2.0,-0.05926366150379181,-1.1702362298965454,2.0,-788.8648546436502,1.6314504146575928,0.714402437210083,0.6873350143432617,2.0,0.5523292422294617,1.0,0.22255177795886993,0.5969533324241638,0.09255694597959518,2,6.232837677001953
0.08877816796302795,47.915799617767334,0.0298280268907547,0.5857793688774109,3000,0.0,2.5816147327423096,0.321466326713562,859.0,-418.1467891670557,1.0022352933883667,62.609828572861595,2.389639139175415,-369.892020590399,-418.1467891670557,0.11230273064362171,3.0,0.015299767255783081,-2.850152015686035,3.0,-311.42144955941137,2.5441105365753174,0.6664490103721619,1.7970874309539795,3.0,0.5990726947784424,1.0,0.2556670308113098,0.5966283082962036,0.17060540616512299,3,4.523210525512695
0.10052479803562164,63.355170249938965,0.029811598360538483,0.469722718000412,4000,0.0,2.990070104598999,0.32959577441215515,894.25,-420.96326319505096,1.80135178565979,63.13612581609081,2.7855892181396484,-555.8464483048491,-420.96326319505096,0.09203708190275892,4.0,0.3493857979774475,-5.024866580963135,4.0,-1113.7097314481994,4.914315223693848,0.7817932367324829,3.668962001800537,4.0,0.5692257285118103,1.0,0.4433079659938812,0.5985335111618042,-0.09543852508068085,4,5.971357822418213
0.08645493537187576,75.92599844932556,0.027039503678679466,0.41019514203071594,5000,0.0,3.5815813541412354,0.3508852422237396,762.3333333333334,-421.6143957374855,2.690183639526367,65.85359563413702,3.4140594005584717,-522.8994462612445,-421.6143957374855,0.07542848153938683,6.0,0.006383836269378662,-6.490832328796387,6.0,-391.1114380868263,6.271310806274414,0.7379411458969116,5.6407012939453125,5.0,0.7062654495239258,1.0,0.6352662444114685,0.6136741638183594,0.3071855902671814,5,8.872612953186035
0.07198560982942581,89.80978202819824,0.02335687167942524,0.3832477629184723,6000,0.0,4.1854681968688965,0.36201000213623047,796.2857142857143,-486.7395746068482,3.3565480709075928,66.80786730020273,3.994192123413086,-529.0064154464429,-486.7395746068482,0.06181699495154324,7.0,0.15388402342796326,-7.6992902755737305,7.0,-559.541261372435,7.139872074127197,0.6533953547477722,6.504317283630371,6.0,0.5895024538040161,1.0,0.8397353291511536,0.6200674176216125,0.24744020402431488,6,5.995490550994873
0.076419398188591,104.16839122772217,0.022351479157805443,0.3806855380535126,7000,0.0,3.9818215370178223,0.36629098653793335,821.75,-473.91959779284963,4.03554105758667,67.19888746959069,3.673246383666992,-497.9671298296166,-473.91959779284963,0.05066177638540577,8.0,0.17781619727611542,-8.96414566040039,8.0,-311.73141612865913,8.608896255493164,0.6419721245765686,7.856328964233398,7.0,0.6351087689399719,1.0,0.9304643273353577,0.616582989692688,0.07615656405687332,7,8.399970054626465
0.07473324984312057,118.52896928787231,0.021716410294175148,0.2946867346763611,8000,0.0,3.2657086849212646,0.37768450379371643,804.0,-462.0582724146308,4.553220748901367,67.49404848506134,3.064300537109375,-462.9202804548207,-462.0582724146308,0.04151957869412388,9.0,-0.0036749616265296936,-10.561603546142578,9.0,-217.59233483124922,10.192031860351562,0.5987098217010498,9.297294616699219,8.0,0.5678673386573792,1.0,0.9277886748313904,0.6069221496582031,0.08425714820623398,8,10.258111000061035
0.08542956411838531,134.93809580802917,0.022424090653657913,0.30788132548332214,9000,0.0,3.6212940216064453,0.37903648614883423,760.7272727272727,-378.63424033893847,5.368043422698975,66.69725066228833,3.4596023559570312,-482.07727869480317,-378.63424033893847,0.034027141129503384,11.0,0.2651292383670807,-12.453640937805176,11.0,-635.3332646146629,11.832880020141602,0.5348449945449829,10.912303924560547,9.0,0.5649939775466919,1.0,1.0369657278060913,0.6010879278182983,0.2305399477481842,9,11.777233123779297
0.09579402208328247,149.34080386161804,0.023038960993289948,0.18898069858551025,10000,0.0,3.7407586574554443,0.3764939606189728,780.6666666666666,-389.4604454415869,6.1515045166015625,66.96093593594277,3.554438829421997,-426.9807432542855,-389.4604454415869,0.032055106170371106,12.0,0.1986241638660431,-14.623507499694824,12.0,68.88807571037356,13.691991806030273,0.5231361389160156,12.713574409484863,10.0,0.5109878182411194,1.0,1.1439409255981445,0.5997501015663147,0.15102219581604004,10,14.1770601272583
