eval/return_history,total/steps,total/steps_per_second,train/loss_actor,rollout/episodes,ret_rms_std,reference_action_std,train/loss_critic,obs_rms_mean,eval/episodes,reference_action_mean,reference_actor_Q_std,train/param_noise_distance,rollout/return,eval/return,obs_rms_std,rollout/return_history,rollout/actions_mean,total/epochs,rollout/episode_steps,reference_Q_mean,eval/Q,reference_perturbed_action_std,param_noise_stddev,total/episodes,rollout/actions_std,reference_Q_std,reference_actor_Q_mean,rollout/Q_mean,ret_rms_mean,reference_perturbed_action_mean,total/duration
-1005.6120660581579,1000,60.47996297983223,-0.3947335481643677,2.0,1.0,0.694007933139801,0.11737972497940063,0.03457268327474594,1.0,-0.03176003694534302,1.088114857673645,0.9636157751083374,-67.80139115861667,-1005.6120660581579,0.2704246938228607,-67.80139115861667,0.1155436635017395,1,459.0,0.17810972034931183,-1.0320109128952026,0.6199379563331604,0.16720346283821505,2.0,0.5227230787277222,1.0904513597488403,0.32853880524635315,0.1940680891275406,0.0,0.2438575178384781,16.534401655197144
-1551.7078764586158,2000,61.18748302203236,-2.4236228466033936,3.0,1.0,0.8260579109191895,0.15847201645374298,0.03053455799818039,2.0,-0.25045546889305115,1.9896489381790161,0.43288472294807434,-168.7908190397322,-2097.803686859074,0.2859938442707062,-168.7908190397322,0.08970494568347931,2,639.3333333333334,4.041406631469727,4.391273021697998,0.6201245188713074,0.1370306733903066,3.0,0.5665330290794373,1.9638696908950806,4.482324123382568,0.04636106267571449,0.0,-0.31246277689933777,32.686423778533936
-1663.4359952931766,3000,61.62009133627602,-5.243069648742676,4.0,1.0,0.827363133430481,0.3077319860458374,0.02741795778274536,3.0,0.0478607714176178,2.1351637840270996,0.5173631906509399,-565.0901317879889,-1886.8922329622978,0.2841988503932953,-565.0901317879889,-0.03248710185289383,3,729.5,5.838855266571045,10.934345245361328,0.7089268565177917,0.11230273064362171,4.0,0.6654645204544067,2.503040075302124,6.823395729064941,1.6836464405059814,0.0,-0.3075650632381439,48.68541955947876
-1750.9254927440768,4000,61.79171190708049,-8.675756454467773,5.0,1.0,0.7895077466964722,0.1894555538892746,0.02957197278738022,4.0,0.3327999413013458,1.7904189825057983,0.6198770999908447,-485.9570135059156,-2013.393985096777,0.27565041184425354,-485.9570135059156,-0.03929783031344414,4,617.4,8.342623710632324,10.274343490600586,0.609570324420929,0.09203708190275892,5.0,0.6599346399307251,1.9511096477508545,9.105447769165039,3.7080776691436768,0.0,-0.010906293988227844,64.73360061645508
-1704.5844160737634,5000,62.6449869067278,-9.930768013000488,6.0,1.0,0.8242356181144714,0.5571749210357666,0.03001336194574833,5.0,-0.17868192493915558,1.6239285469055176,0.6024711728096008,-508.7285006619152,-1519.2201093925091,0.3009834289550781,-508.7285006619152,0.03959234058856964,5,681.1666666666666,9.627649307250977,11.767606735229492,0.7832053899765015,0.07542848153938683,6.0,0.6953454613685608,1.858183741569519,10.492298126220703,4.703311920166016,0.0,0.32984626293182373,79.81484627723694
-1552.6860770972037,6000,64.52891023731705,-9.373462677001953,9.0,1.0,0.7430862784385681,0.45993345975875854,0.026460209861397743,6.0,0.2460165172815323,1.4185845851898193,0.5252663493156433,-583.9228433584899,-793.1943822144057,0.3393819034099579,-583.9228433584899,0.026410400867462158,6,593.1111111111111,10.131241798400879,9.047314643859863,0.7830298542976379,0.06181699495154324,9.0,0.7151246666908264,1.505853533744812,10.48711109161377,5.775075435638428,0.0,-0.24653670191764832,92.98157954216003
-1407.86398978724,7000,66.0762793351098,-8.322237968444824,12.0,1.0,0.6805825233459473,0.7354975938796997,0.025352871045470238,7.0,0.09902207553386688,1.3838413953781128,0.4298296570777893,-613.892717046751,-538.9314659274569,0.36605116724967957,-613.892717046751,0.029916340485215187,7,558.3333333333334,9.480770111083984,8.471299171447754,0.7494716644287109,0.05066177638540577,12.0,0.7264922857284546,1.512246012687683,9.499283790588379,6.226109504699707,0.0,-0.03384767472743988,105.93816828727722
-1329.600791570064,8000,66.62340033475515,-7.954090118408203,14.0,1.0,0.6324096918106079,0.7995675802230835,0.02271260879933834,8.0,-0.01959521323442459,1.4595011472702026,0.3941401541233063,-641.4908219297647,-781.7584040498351,0.3691464066505432,-641.4908219297647,0.020235728472471237,8,554.5714285714286,8.77782154083252,6.955031871795654,0.6625299453735352,0.04151957869412388,14.0,0.7313594222068787,1.6442718505859375,9.044960975646973,6.509497165679932,0.0,-0.271303653717041,120.0779299736023
-1260.6604223222162,9000,66.65214078077275,-7.647445201873779,16.0,1.0,0.6279175877571106,0.8694308996200562,0.02235560677945614,9.0,0.038897085934877396,1.5757116079330444,0.2793745994567871,-587.7653730988394,-709.1374683394342,0.36678069829940796,-587.7653730988394,-0.023984750732779503,9,513.625,9.865653991699219,4.816878795623779,0.5233101844787598,0.034027141129503384,16.0,0.7416644096374512,1.5950376987457275,10.535686492919922,6.197983741760254,0.0,-0.37429600954055786,135.0294213294983
-1204.7535503336248,10000,67.13939255035021,-8.005234718322754,17.0,1.0,0.6979021430015564,1.0132991075515747,0.02213355153799057,10.0,-0.02188529074192047,1.430917501449585,0.24733364582061768,-667.4015409084493,-701.5917024363032,0.36465585231781006,-667.4015409084493,-0.04214395582675934,10,542.2352941176471,11.926258087158203,4.776556968688965,0.6237844824790955,0.027886755354071244,17.0,0.7428491711616516,1.4870609045028687,12.581564903259277,5.668148040771484,0.0,-0.2474910318851471,148.9438557624817
-1096.0675711739104,11000,68.99869623840074,-7.138043403625488,18.0,1.0,0.7098462581634521,1.1012628078460693,0.02141604572534561,11.0,0.046391744166612625,1.4478861093521118,0.23433446884155273,-690.2467115452455,-9.207779576767951,0.363473504781723,-690.2467115452455,-0.02500879392027855,11,567.6666666666666,13.940354347229004,13.454948425292969,0.6899111270904541,0.023313810312614227,18.0,0.744452714920044,1.5749362707138062,14.340118408203125,5.058806896209717,0.0,0.05260781571269035,159.4233021736145
-1041.1372007368604,12000,70.13200731616888,-6.722387313842773,20.0,1.0,0.7586963772773743,0.9577028155326843,0.02105880156159401,12.0,0.10494810342788696,1.762374997138977,0.2286148965358734,-690.4052320497201,-436.90312592931025,0.37930774688720703,-690.4052320497201,-0.013457908295094967,12,562.75,14.279603958129883,-4.657229423522949,0.743152379989624,0.020689822899908242,20.0,0.7464356422424316,1.9796414375305176,14.731953620910645,5.2674174308776855,0.0,0.05924820154905319,171.1058967113495
-985.3212921610489,13000,71.0258491944876,-4.9442925453186035,21.0,1.0,0.7090256810188293,1.1012816429138184,0.021406149491667747,13.0,0.0782046765089035,1.965379238128662,0.1911149024963379,-724.0180372380161,-315.53038925130966,0.3773704767227173,-724.0180372380161,0.008635438047349453,13,583.5714285714286,14.688464164733887,7.2941975593566895,0.7225328683853149,0.019490749081111935,21.0,0.7546479105949402,2.062199115753174,15.121182441711426,4.488371849060059,0.0,0.017407789826393127,183.03195452690125
