rollout/episodes,reference_Q_std,reference_action_std,reference_actor_Q_std,rollout/Q_mean,reference_Q_mean,total/episodes,total/steps,total/epochs,reference_actor_Q_mean,rollout/actions_std,eval/episodes,obs_rms_std,rollout/episode_steps,reference_perturbed_action_std,train/param_noise_distance,reference_action_mean,total/duration,ret_rms_mean,ret_rms_std,obs_rms_mean,eval/Q,total/steps_per_second,param_noise_stddev,eval/return,rollout/return,reference_perturbed_action_mean,rollout/actions_mean,train/loss_critic,train/loss_actor,eval/return_history,rollout/return_history
1.0,0.5517538785934448,0.7215191125869751,0.23919770121574402,-0.11758623272180557,-0.01208475511521101,1.0,1000,1,0.9495362043380737,0.5787537097930908,1.0,0.2722910940647125,1000.0,0.6200427412986755,0.856741726398468,0.1871817260980606,18.73066782951355,0.0,1.0,0.029447900131344795,0.974692165851593,53.38837937344228,0.16720346283821505,-1204.7033490753486,-517.0155389034015,0.2984555959701538,-0.16665218770503998,0.039806198328733444,-0.8893936276435852,-1204.7033490753486,-517.0155389034015
2.0,0.670866847038269,0.5755518078804016,0.4929482936859131,-1.966378092765808,0.4849418103694916,2.0,2000,2,1.1069400310516357,0.6707171201705933,2.0,0.251831978559494,1000.0,0.5510665774345398,0.7755603194236755,-0.011902786791324615,36.864341259002686,0.0,1.0,0.02791600115597248,0.12400206178426743,54.25296998930037,0.1370306733903066,-525.2502230268678,-856.3915426954991,0.0004379004240036011,0.07452557235956192,0.05139405280351639,1.289069414138794,-864.9767860511082,-856.3915426954991
3.0,0.7790935635566711,0.6202716827392578,0.5671142339706421,-0.84659343957901,1.4414124488830566,3.0,3000,3,2.265990734100342,0.6152268648147583,3.0,0.27027323842048645,1000.0,0.566220223903656,0.5161345601081848,0.08030982315540314,54.73622536659241,0.0,1.0,0.03002787008881569,2.330510139465332,54.80830985161453,0.11230273064362171,-829.8657359283297,-547.1985912054714,-0.11823046952486038,0.038329705595970154,0.06304990500211716,-1.0972694158554077,-853.2731026768488,-547.1985912054714
4.0,0.7568775415420532,0.6042691469192505,0.5582172274589539,0.23578937351703644,2.7037734985351562,4.0,4000,4,3.587258815765381,0.6061766147613525,4.0,0.28159698843955994,1000.0,0.4449011981487274,0.5579932928085327,0.3271164000034332,72.7748191356659,0.0,1.0,0.026631798595190048,2.9613711833953857,54.96406652063608,0.09203708190275892,-1131.2312793017063,-481.1375835439643,0.44441089034080505,-0.000178331378265284,0.055326830595731735,-3.097524404525757,-922.7626468330632,-481.1375835439643
5.0,0.8264020085334778,0.6738430857658386,0.547850489616394,0.2594883441925049,4.261363983154297,5.0,5000,5,5.171582221984863,0.6157636046409607,5.0,0.26557230949401855,1000.0,0.6705135107040405,0.24546515941619873,-0.17051246762275696,90.77235913276672,0.0,1.0,0.03136090934276581,4.792581558227539,55.08284733116643,0.07542848153938683,-918.7285992582217,-551.7123378326407,-0.3661500811576843,0.07944938540458679,0.09267778694629669,-3.27479887008667,-921.955837318095,-551.7123378326407
6.0,0.6953001618385315,0.5914013981819153,0.5120309591293335,0.9527648091316223,5.92125129699707,6.0,6000,6,6.760844707489014,0.669326901435852,6.0,0.2543032765388489,1000.0,0.5645870566368103,0.24129559099674225,-0.12077401578426361,108.80358648300171,0.0,1.0,0.032795604318380356,6.790215015411377,55.145241015905064,0.06181699495154324,-320.4477816954749,-800.0350170369753,-0.35205209255218506,-0.002387674991041422,0.09022893756628036,-4.615030288696289,-821.7044947143249,-800.0350170369753
7.0,0.8126615881919861,0.5740933418273926,0.7231661081314087,1.8230193853378296,6.928278923034668,7.0,7000,7,7.6857500076293945,0.663346529006958,7.0,0.2691842317581177,1000.0,0.5639827847480774,0.19093021750450134,-0.0993342474102974,126.80912351608276,0.0,1.0,0.028356065973639488,6.418950080871582,55.2010754897475,0.051680078090752424,-180.485370036578,-811.1980439503235,-0.06584766507148743,-0.037911348044872284,0.1649588793516159,-5.708186626434326,-730.101762617504,-811.1980439503235
8.0,0.7838017344474792,0.44402584433555603,0.7463117837905884,2.593850612640381,8.363269805908203,8.0,8000,8,9.053895950317383,0.6565965414047241,8.0,0.28428569436073303,1000.0,0.44600987434387207,0.19949565827846527,-0.08815018832683563,144.68593335151672,0.0,1.0,0.028141064569354057,8.897181510925293,55.29217536692994,0.04320544008261588,-217.2893864463121,-745.9059262340944,-0.24274316430091858,-0.04748621955513954,0.17861133813858032,-6.736004829406738,-666.0002155961049,-745.9059262340944
9.0,0.7520542740821838,0.3467300236225128,0.6814729571342468,3.0730953216552734,9.638535499572754,9.0,9000,9,10.37844181060791,0.6512117981910706,9.0,0.2830217480659485,1000.0,0.35709044337272644,0.16062508523464203,-0.09327137470245361,162.65981769561768,0.0,1.0,0.02898789942264557,10.391965866088867,55.33019849340748,0.039113321278561465,460.64338577738215,-731.3851076080695,-0.016051869839429855,-0.07750494033098221,0.1544128656387329,-7.709161758422852,-540.817593221273,-731.3851076080695
10.0,0.7986041307449341,0.3162938356399536,0.6978304982185364,3.964911699295044,11.095949172973633,10.0,10000,10,11.844561576843262,0.6361886262893677,10.0,0.2763996720314026,1000.0,0.35503441095352173,0.18781165778636932,-0.1391000747680664,180.69296765327454,0.0,1.0,0.030951224267482758,12.079392433166504,55.342496887807236,0.03540877950819716,380.8011403255526,-645.7223361145391,-0.09615331888198853,-0.06365404278039932,0.2572579085826874,-9.157275199890137,-448.6557198665905,-645.7223361145391
11.0,0.7935106754302979,0.31648093461990356,0.6473707556724548,4.7508225440979,12.517084121704102,11.0,11000,11,13.465907096862793,0.6170827150344849,11.0,0.2885991632938385,1000.0,0.34790945053100586,0.17188934981822968,-0.059305835515260696,196.6894817352295,0.0,1.0,0.029918409883975983,11.869331359863281,55.92571551338714,0.034711086666206405,70.56341188906126,-552.1240504774253,-0.23817625641822815,-0.06400139629840851,0.25234606862068176,-10.86927604675293,-401.4539806160767,-552.1240504774253
12.0,0.8701465129852295,0.3289211690425873,0.7057772874832153,5.395065784454346,14.572582244873047,12.0,12000,12,15.63117790222168,0.6100302338600159,12.0,0.29313233494758606,923.3333333333334,0.34872376918792725,0.18277095258235931,-0.10437577962875366,214.76018142700195,0.0,1.0,0.03016272373497486,14.757028579711914,55.87627985907089,0.034711086666206405,555.5857848860538,-507.4405244070836,-0.05064377933740616,-0.06206176429986954,0.38863667845726013,-12.413509368896484,-321.70066682423254,-507.4405244070836
13.0,0.7726515531539917,0.28374183177948,0.7536305785179138,5.954805850982666,17.124116897583008,13.0,13000,13,18.01683807373047,0.5976552963256836,13.0,0.29912707209587097,929.2307692307693,0.3787574768066406,0.2499665468931198,-0.06130427122116089,233.20247316360474,0.0,1.0,0.029944442212581635,17.960803985595703,55.74554945169798,0.034711086666206405,605.433039053353,-466.3078720761006,-0.04414430260658264,-0.05625507980585098,0.6452702879905701,-15.317395210266113,-250.38268944903365,-466.3078720761006
14.0,0.867538332939148,0.3369436264038086,0.6758854985237122,6.784999847412109,19.265304565429688,14.0,14000,14,20.298036575317383,0.5856919288635254,14.0,0.3001026511192322,934.2857142857143,0.35982853174209595,0.18019938468933105,0.08977454900741577,251.54513788223267,0.0,1.0,0.02961638942360878,21.031723022460938,55.65601513059044,0.03269941380439557,486.1180796264022,-409.179896519424,-0.02434661239385605,-0.05706766992807388,0.749925971031189,-18.76715850830078,-197.7754916579311,-409.179896519424
15.0,0.726132869720459,0.33577337861061096,0.6606487035751343,7.801771640777588,21.69304656982422,15.0,15000,15,22.819841384887695,0.5766249299049377,15.0,0.2999926805496216,938.6666666666666,0.3615141212940216,0.16257616877555847,0.12090249359607697,269.5408720970154,0.0,1.0,0.029079053550958633,22.599260330200195,55.650187236172016,0.03335667202186392,457.9348281446026,-362.3870712344422,0.1748661994934082,-0.05502970889210701,0.37327781319618225,-21.544174194335938,-154.0614703377622,-362.3870712344422
16.0,0.8845401406288147,0.3054112195968628,0.7480267286300659,8.786423683166504,24.513797760009766,16.0,16000,16,25.72769546508789,0.5645419955253601,16.0,0.30596235394477844,942.5,0.3293287754058838,0.16902101039886475,0.15164878964424133,283.4564805030823,0.0,1.0,0.027756981551647186,25.710050582885742,56.4460546874885,0.032055106170371106,154.61580546065414,-324.58332021083584,-0.04233910143375397,-0.05904299020767212,1.3569108247756958,-24.08840560913086,-134.76914060036106,-324.58332021083584
18.0,0.977922260761261,0.28003814816474915,0.852300226688385,9.907669067382812,27.36843490600586,18.0,17000,17,28.60916519165039,0.5536770224571228,17.0,0.31250283122062683,896.7222222222222,0.3201788365840912,0.22260476648807526,0.11578375101089478,296.6528887748718,0.0,1.0,0.02593364007771015,28.422393798828125,57.306032212284315,0.032055106170371106,74.06518104385891,-258.3953815199853,-0.057998254895210266,-0.06768930703401566,1.504512906074524,-26.827760696411133,-122.48476873893635,-258.3953815199853
20.0,1.0664448738098145,0.31324705481529236,0.9270467162132263,11.067341804504395,30.869897842407227,20.0,18000,18,32.3759765625,0.5444739460945129,18.0,0.31569746136665344,885.5,0.3226383328437805,0.17645394802093506,0.1387508511543274,311.54828906059265,0.0,1.0,0.025666696950793266,31.864280700683594,57.77595522759941,0.034711086666206405,312.4773100307337,-186.78899391711894,-0.037376806139945984,-0.06655558198690414,1.761130928993225,-30.54556655883789,-98.32020880728801,-186.78899391711894
21.0,0.9984695315361023,0.33373191952705383,0.9222152829170227,12.23674488067627,34.49646759033203,21.0,19000,19,35.83211135864258,0.534758985042572,19.0,0.3205205202102661,890.952380952381,0.41660431027412415,0.16450703144073486,0.0723622590303421,329.3797881603241,0.0,1.0,0.0242217555642128,35.19063186645508,57.68417092657743,0.032055106170371106,638.5394191068017,-144.73470255522872,0.07340293377637863,-0.07211810350418091,0.5882747173309326,-33.837764739990234,-59.538123127599086,-144.73470255522872
22.0,1.1504415273666382,0.29762914776802063,0.7955917716026306,13.529884338378906,37.56455993652344,22.0,20000,20,39.12284851074219,0.5274432897567749,20.0,0.322517454624176,895.9090909090909,0.3292092978954315,0.2487134337425232,0.09558741003274918,346.560706615448,0.0,1.0,0.022600652649998665,39.81665802001953,57.70994696808624,0.032055106170371106,776.4367939479796,-122.4388378762554,0.10036016255617142,-0.0772327333688736,2.3372671604156494,-37.347660064697266,-17.73937727382015,-122.4388378762554
24.0,0.8299357295036316,0.332795113325119,0.712242066860199,14.853118896484375,41.1068115234375,24.0,21000,21,42.73012924194336,0.5198817253112793,21.0,0.3252619802951813,866.6666666666666,0.27737170457839966,0.1404445320367813,0.10969756543636322,363.13329100608826,0.0,1.0,0.02159188687801361,43.558555603027344,57.8300049048599,0.030804326970036475,278.3582509647686,-84.52026632419503,-0.05150742828845978,-0.07781703770160675,2.573732376098633,-41.181617736816406,-3.639490214839733,-84.52026632419503
25.0,0.6636340618133545,0.32747936248779297,0.5805075764656067,16.1959171295166,44.440696716308594,25.0,22000,22,45.954368591308594,0.5127266049385071,22.0,0.3240978419780731,872.0,0.3159026503562927,0.15818776190280914,0.086138054728508,380.27698373794556,0.0,1.0,0.021215368062257767,47.236328125,57.852567840815006,0.032055106170371106,171.18070169268117,-58.470840924793954,0.057882096618413925,-0.0790567621588707,3.4106454849243164,-44.404624938964844,4.306882144593035,-58.470840924793954
26.0,0.6785266399383545,0.342837393283844,0.6445955634117126,17.568470001220703,48.2786865234375,26.0,23000,23,49.474853515625,0.5079056620597839,23.0,0.3246999979019165,876.9230769230769,0.3061084747314453,0.17542873322963715,0.015228070318698883,398.2637791633606,0.0,1.0,0.021347742527723312,49.78042984008789,57.75066979055059,0.03335667202186392,610.1106771256366,-34.08787624549994,0.28476208448410034,-0.07327257096767426,3.5590243339538574,-48.33647537231445,30.64617757855145,-34.08787624549994
27.0,0.6816922426223755,0.3004840314388275,0.6435015797615051,18.998994827270508,51.47166442871094,27.0,24000,24,52.72513961791992,0.5020962953567505,24.0,0.3263394236564636,881.4814814814815,0.2887691259384155,0.21811096370220184,0.1494356393814087,416.2367868423462,0.0,1.0,0.020908351987600327,52.825626373291016,57.659487961332545,0.034027141129503384,663.2088176950118,-10.507255694929169,0.1304742991924286,-0.06782464683055878,1.655959963798523,-51.734127044677734,57.00295425007061,-10.507255694929169
28.0,0.7966130375862122,0.2857467532157898,0.6718065738677979,20.423490524291992,54.54634094238281,28.0,25000,25,56.083824157714844,0.4961738586425781,25.0,0.3260577321052551,885.7142857142857,0.3520070016384125,0.22714447975158691,0.010314717888832092,434.0032067298889,0.0,1.0,0.020912393927574158,57.00888442993164,57.603261018205515,0.03335667202186392,724.0112011777121,11.03898564838043,0.19775956869125366,-0.06376567482948303,3.024057626724243,-55.1141471862793,83.68328412717626,11.03898564838043
