rollout/episodes,reference_action_std,reference_action_mean,eval/return,rollout/return_history,reference_actor_Q_mean,eval/return_history,total/epochs,reference_Q_mean,total/steps,reference_perturbed_action_std,ret_rms_std,train/loss_critic,rollout/Q_mean,obs_rms_std,reference_actor_Q_std,rollout/actions_mean,total/steps_per_second,param_noise_stddev,reference_perturbed_action_mean,rollout/actions_std,total/duration,total/episodes,obs_rms_mean,rollout/return,rollout/episode_steps,train/param_noise_distance,eval/Q,train/loss_actor,reference_Q_std,ret_rms_mean,eval/episodes
23.0,0.02804005891084671,0.9345641136169434,60.21004266129339,0.19657060420922481,1.2749879360198975,60.21004266129339,1,0.5783960819244385,1000,0.18834003806114197,1.0,0.10734126716852188,0.3131003975868225,1.7308034896850586,2.5685296058654785,0.4269122779369354,86.7892785722332,0.17399259391533256,0.905422031879425,0.629301905632019,11.522160530090332,23.0,-0.407937228679657,0.19657060420922481,39.08695652173913,0.4545782506465912,1.2737510204315186,-1.3795983791351318,2.8277225494384766,0.0,1.0
29.0,0.24630211293697357,0.9168562889099121,64.90626411012205,27.27920953521682,5.679642677307129,62.558153385707726,2,4.546487808227539,2000,0.3004845082759857,1.0,0.3978281021118164,1.7958879470825195,1.4350461959838867,5.417693614959717,0.6071010231971741,87.83839401169027,0.1454608210542347,0.8812163472175598,0.5299928784370422,22.769086599349976,29.0,-0.1664162278175354,27.27920953521682,66.34482758620689,0.3695170283317566,2.6165974140167236,-6.030574798583984,5.4582061767578125,0.0,2.0
37.0,0.19275425374507904,0.928571879863739,90.13818940865079,30.089402035515327,8.973642349243164,71.75149872668875,3,8.129294395446777,3000,0.32470452785491943,1.0,0.7396847009658813,3.0994341373443604,1.3000879287719727,8.319262504577637,0.6686877012252808,88.12008994320742,0.11921161154572088,0.7817767262458801,0.4862077832221985,34.04445004463196,37.0,-0.10966132581233978,30.089402035515327,76.56756756756756,0.2165990173816681,6.353232383728027,-9.128210067749023,8.500511169433594,0.0,3.0
38.0,0.4249570667743683,0.7802925109863281,288.18750782801686,56.19331248720897,12.597628593444824,125.86050100202078,4,10.99162483215332,4000,0.3578876256942749,1.0,0.640529453754425,7.234490394592285,1.142247200012207,11.142496109008789,0.6851868629455566,88.00932340208703,0.09966297130484332,0.7804551720619202,0.46062538027763367,45.44973015785217,38.0,-0.04188068211078644,56.19331248720897,100.86842105263158,0.34749990701675415,20.36697769165039,-13.49142074584961,11.21454906463623,0.0,4.0
43.0,0.4255875051021576,0.8120061755180359,267.6165851549138,72.28370076905848,16.758365631103516,154.2117178325994,5,15.058517456054688,5000,0.17424936592578888,1.0,1.3433314561843872,9.569441795349121,1.1036275625228882,13.129898071289062,0.693191647529602,88.52687067095351,0.08167823703026889,0.8677763342857361,0.4500772953033447,56.48002648353577,43.0,-0.015292169526219368,72.28370076905848,115.74418604651163,0.34222573041915894,37.14010238647461,-17.626798629760742,13.364409446716309,0.0,5.0
48.0,0.5416737198829651,0.729231059551239,758.2485771193944,85.7497560962379,20.865554809570312,254.8845277137319,6,19.318195343017578,6000,0.2382645457983017,1.0,0.7826831340789795,12.512511253356934,1.0591726303100586,15.501825332641602,0.7006340622901917,86.33081945463768,0.06693894750505577,0.8781909346580505,0.43649494647979736,69.50009322166443,48.0,0.011756621301174164,85.7497560962379,121.875,0.392279714345932,13.788183212280273,-21.488967895507812,15.588297843933105,0.0,6.0
53.0,0.6743419170379639,0.6041602492332458,6.899812662898644,90.57267538290951,27.264446258544922,219.45813984932715,7,25.518470764160156,7000,0.6099933981895447,1.0,1.8796254396438599,12.971949577331543,1.0217158794403076,18.48015594482422,0.72508305311203,86.82208386724788,0.054859444277966955,0.6195295453071594,0.4253363311290741,80.6246485710144,53.0,0.021685989573597908,90.57267538290951,129.58490566037736,0.3311300575733185,25.0710506439209,-25.061660766601562,18.50079917907715,0.0,7.0
57.0,0.790783166885376,0.42689207196235657,6.750357252396628,98.53061223907413,28.861032485961914,192.86966702471082,8,27.358036041259766,8000,0.5710793137550354,1.0,2.074556350708008,17.102659225463867,1.0497452020645142,20.193025588989258,0.7129195928573608,87.26363151085418,0.04495975420378481,0.583469808101654,0.43731653690338135,91.67622137069702,57.0,0.01619170978665352,98.53061223907413,136.68421052631578,0.32400190830230713,44.76154327392578,-31.74346160888672,20.27044105529785,0.0,8.0
58.0,0.7574449181556702,0.3776210844516754,29.483003956804044,113.75844938607115,33.641937255859375,174.71559335049895,9,30.90886688232422,9000,0.7319926619529724,1.0,2.964223861694336,22.40240478515625,1.0186461210250854,23.1466121673584,0.7031665444374084,87.54982966836431,0.0368465179454358,0.4518077075481415,0.45134401321411133,102.79860091209412,58.0,0.02251232974231243,113.75844938607115,151.56896551724137,0.25486627221107483,54.33782958984375,-40.832679748535156,22.69127082824707,0.0,9.0
67.0,0.7775207161903381,0.37410393357276917,152.33303454507697,111.50982908860665,41.950714111328125,172.47733746995675,10,38.6805305480957,10000,0.7245804071426392,1.0,3.8801498413085938,25.669931411743164,1.119126319885254,26.51614761352539,0.6789401173591614,87.64755090025366,0.03019736003336582,0.5064035058021545,0.4755346179008484,114.09331917762756,67.0,0.0009286967106163502,111.50982908860665,148.34328358208955,0.25885891914367676,57.61948776245117,-51.4632568359375,26.378353118896484,0.0,10.0
77.0,0.7567414045333862,0.40019917488098145,107.01471748380577,105.26154473304426,51.179710388183594,166.52619019848848,11,47.88658905029297,11000,0.7365513443946838,1.0,8.84619426727295,28.408159255981445,1.2077906131744385,30.389360427856445,0.6611109972000122,87.95507612217068,0.026270585008002556,0.39524874091148376,0.4969823360443115,125.06384491920471,77.0,-0.015346392057836056,105.26154473304426,142.6103896103896,0.20629972219467163,69.83562469482422,-58.92726516723633,30.214677810668945,0.0,11.0
84.0,0.6588848829269409,0.43369460105895996,121.79206496225088,104.10960280346423,54.72875213623047,162.798346428802,12,51.78711700439453,12000,0.5887753963470459,1.0,10.475436210632324,31.50556182861328,1.2765711545944214,32.63583755493164,0.6520485877990723,88.12797634592994,0.023313810312614227,0.5598891377449036,0.5021836161613464,136.1656138896942,84.0,-0.019468745216727257,104.10960280346423,141.0952380952381,0.25769752264022827,75.7685317993164,-64.5849609375,32.685302734375,0.0,12.0
90.0,0.5188848972320557,0.5388346314430237,226.86470352357097,107.64573707996892,57.89878845214844,167.72652774378423,13,54.26652145385742,13000,0.6427216529846191,1.0,7.175319194793701,33.43198013305664,1.2878512144088745,35.91603469848633,0.6517500281333923,88.29534137897744,0.02152991267583435,0.4147148132324219,0.4993171989917755,147.2331359386444,90.0,-0.018572285771369934,107.64573707996892,141.67777777777778,0.1765337884426117,91.16447448730469,-68.77041625976562,35.92210388183594,0.0,13.0
