total/duration,eval/episodes,rollout/Q_mean,obs_rms_mean,rollout/episode_steps,eval/return,rollout/actions_mean,eval/return_history,ret_rms_mean,rollout/episodes,train/loss_actor,total/epochs,total/steps_per_second,eval/Q,reference_actor_Q_std,reference_perturbed_action_std,train/loss_critic,reference_action_mean,reference_Q_mean,param_noise_stddev,rollout/return_history,rollout/return,reference_Q_std,ret_rms_std,train/param_noise_distance,total/steps,reference_action_std,reference_actor_Q_mean,rollout/actions_std,total/episodes,reference_perturbed_action_mean,obs_rms_std
10.945576190948486,1.0,9.021117210388184,1.080956220626831,25.945945945945947,220.96668805354312,0.001272839494049549,220.96668805354312,0.0,37.0,-18.88231658935547,1,91.36111087755766,17.7338809967041,2.17677903175354,0.7556565403938293,1.4133297204971313,0.006572604179382324,19.361391067504883,0.16720346283821505,122.18545659748172,122.18545659748172,2.9366183280944824,1.0,0.766188383102417,1000,0.6477304697036743,19.730342864990234,0.7635360956192017,37.0,0.07447052001953125,8.31897258758545
21.790160655975342,2.0,18.742992401123047,1.219494104385376,29.71641791044776,236.0498467355031,0.002188162412494421,228.5082673945231,0.0,67.0,-39.39653015136719,2,91.78454585884643,41.09959411621094,6.323208808898926,0.7644525170326233,3.2097039222717285,0.170830637216568,39.01405715942383,0.1370306733903066,141.04529124398027,141.04529124398027,8.757471084594727,1.0,0.7902710437774658,2000,0.6989962458610535,40.34955978393555,0.7639610171318054,67.0,0.20306096971035004,7.892972946166992
32.57728886604309,3.0,28.93152618408203,1.4498696327209473,34.84705882352941,83.16044515706852,0.05217669904232025,180.05899331537157,0.0,85.0,-60.354331970214844,3,92.08869443789251,60.299964904785156,10.5449857711792,0.7526752352714539,6.043445587158203,0.1190270259976387,59.72537612915039,0.11230273064362171,167.6552096967237,167.6552096967237,13.917795181274414,1.0,0.7389336228370667,3000,0.733329176902771,61.460166931152344,0.7654294371604919,85.0,0.03593448922038078,7.481410026550293
43.42852067947388,4.0,39.064144134521484,1.5443496704101562,37.49523809523809,199.5137381143009,0.06727179884910583,184.92267951510388,0.0,105.0,-79.81169891357422,4,92.10537078898398,84.26105499267578,20.075054168701172,0.7247920632362366,5.967773914337158,0.07368773221969604,77.70350646972656,0.09203708190275892,186.08034837959218,181.68627740396485,23.182437896728516,1.0,0.5999577641487122,4000,0.760797917842865,79.94169616699219,0.7681388258934021,105.0,0.02915685996413231,7.195198059082031
54.24575233459473,5.0,49.24960708618164,1.5848864316940308,39.32283464566929,244.20281483739146,0.0722617357969284,196.7787065795614,0.0,127.0,-98.86260986328125,5,92.1731155862557,105.14252471923828,28.007854461669922,0.684363603591919,12.303326606750488,0.11879533529281616,96.54740905761719,0.07542848153938683,213.989693771819,191.04682663745044,31.36689567565918,1.0,0.5204482674598694,5000,0.753699779510498,99.38320922851562,0.7678565979003906,127.0,0.195720836520195,7.012929916381836
65.10595536231995,6.0,59.111717224121094,1.6645984649658203,41.08904109589041,293.9588970907017,0.08970865607261658,212.97540499808477,0.0,146.0,-118.11434936523438,6,92.15746803206422,121.64533233642578,37.21647262573242,0.6899005770683289,13.175789833068848,0.2096909135580063,114.983154296875,0.06181699495154324,234.6950086873943,201.75090166750073,40.36023712158203,1.0,0.47875091433525085,6000,0.7555348873138428,118.5487060546875,0.7676085829734802,146.0,0.38104599714279175,6.905096054077148
76.53187441825867,7.0,68.44644927978516,1.7073827981948853,43.117283950617285,569.0692596672691,0.10412521660327911,263.8459556651111,0.0,162.0,-136.6829071044922,7,91.46515818682167,121.67147827148438,44.39108657836914,0.7740228772163391,15.169783592224121,0.1762383133172989,133.77597045898438,0.05066177638540577,258.27128139035335,212.15307148765964,48.23707962036133,1.0,0.3999401032924652,7000,0.7596107721328735,138.52023315429688,0.7715150117874146,162.0,0.13377949595451355,6.780962944030762
87.39313435554504,8.0,78.71276092529297,1.732995867729187,44.842696629213485,252.70534539420424,0.11332811415195465,262.45337938124777,0.0,178.0,-151.0839080810547,8,91.54037166642033,144.09559631347656,54.58983612060547,0.7593351006507874,22.822351455688477,0.08899667859077454,151.95822143554688,0.04151957869412388,266.3741220812699,220.67781911648282,57.525787353515625,1.0,0.4062022864818573,8000,0.7734040021896362,156.62269592285156,0.7703534960746765,178.0,0.11749705672264099,6.795304775238037
98.49702143669128,9.0,87.12141418457031,1.752162218093872,46.583333333333336,467.0683937969896,0.11690377444028854,285.1883809829969,0.0,192.0,-168.8835906982422,9,91.37332143373216,190.365966796875,67.25470733642578,0.7810530066490173,31.35068130493164,0.11579645425081253,165.32437133789062,0.034027141129503384,280.01505650409615,228.70902823974703,69.22460174560547,1.0,0.3157314658164978,9000,0.7922758460044861,170.70468139648438,0.7734290361404419,192.0,0.17020590603351593,6.9983320236206055
109.4820966720581,10.0,95.82967376708984,1.773538589477539,47.95673076923077,356.3975431321949,0.12995502352714539,292.3092971979167,0.0,208.0,-184.0170440673828,10,91.33913492681756,185.57130432128906,77.80219268798828,0.7833977341651917,28.841571807861328,0.13204719126224518,179.17286682128906,0.027886755354071244,289.3935579648006,234.45784919144432,80.28617858886719,1.0,0.29619354009628296,10000,0.7938470840454102,185.47439575195312,0.7753947973251343,208.0,0.1768798977136612,6.969581127166748
