ret_rms_std,eval/return,eval/return_history,reference_action_mean,reference_perturbed_action_std,total/steps,rollout/return_history,train/loss_critic,total/epochs,rollout/return,obs_rms_std,total/episodes,train/loss_actor,obs_rms_mean,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,reference_Q_std,total/steps_per_second,reference_action_std,reference_actor_Q_mean,eval/Q,reference_actor_Q_std,rollout/episode_steps,reference_Q_mean,rollout/episodes,total/duration,ret_rms_mean,train/param_noise_distance,param_noise_stddev,eval/episodes,reference_perturbed_action_mean
1.0,83.30044557663777,83.30044557663777,0.007152507547289133,0.43033188581466675,1000,94.67981659681834,1.5728254318237305,1,94.67981659681834,7.088278293609619,49.0,-18.7359676361084,0.47886791825294495,9.023192405700684,0.0027662375941872597,0.5428977608680725,4.27706241607666,85.15706278722945,0.44360607862472534,18.798616409301758,19.781497955322266,3.431824207305908,19.816326530612244,18.328533172607422,49.0,11.743007183074951,0.0,0.5399906635284424,0.16720346283821505,1.0,-0.05541640892624855
1.0,73.58455169152543,78.4424986340816,0.10741237550973892,0.4150409400463104,2000,103.6340220486222,2.7542967796325684,2,103.6340220486222,6.5860395431518555,91.0,-37.70320129394531,0.5779224038124084,18.379837036132812,0.030565274879336357,0.5508796572685242,10.968612670898438,86.76680472738896,0.499880850315094,38.24669647216797,38.93657684326172,8.722915649414062,21.318681318681318,36.99000549316406,91.0,23.05028986930847,0.0,0.5786439180374146,0.1370306733903066,2.0,0.3002685606479645
1.0,72.62018007472304,76.50172578096208,-0.018518462777137756,0.5543218851089478,3000,104.51375400011811,4.346246719360352,3,102.54671551118305,6.846640586853027,142.0,-55.35009765625,0.5040544867515564,27.542707443237305,0.029972335323691368,0.5509599447250366,19.517024993896484,87.63526869594493,0.6176320314407349,55.45242691040039,57.748626708984375,17.61428451538086,21.077464788732396,53.61314392089844,142.0,34.23279285430908,0.0,0.5077396631240845,0.11230273064362171,3.0,-0.10335809737443924
1.0,127.2819031998522,89.1967701356846,-0.007531153969466686,0.616133987903595,4000,118.48637875466525,5.541028022766113,4,111.43939398970942,6.88225793838501,175.0,-71.7770004272461,0.6185181736946106,36.858314514160156,0.02382393553853035,0.5630784630775452,29.2323055267334,87.80762609541638,0.6897637844085693,70.1927261352539,66.16675567626953,27.753751754760742,22.731428571428573,67.6407699584961,175.0,45.55412983894348,0.0,0.4857383668422699,0.09203708190275892,4.0,-0.10187260806560516
1.0,251.33805389315643,121.62502688717896,0.073476143181324,0.6692918539047241,5000,137.19574511170416,7.304408550262451,5,122.30305006105267,7.050560474395752,200.0,-86.60269165039062,0.7731386423110962,46.16688537597656,0.03475241735577583,0.5812035799026489,40.65794372558594,87.63581825566749,0.7151691913604736,83.7735595703125,96.34412384033203,39.41728210449219,24.94,80.45099639892578,200.0,57.05429697036743,0.0,0.42450395226478577,0.07542848153938683,5.0,-0.0038213462103158236
1.0,310.37419655982046,153.08322183261922,0.08205168694257736,0.6621891856193542,6000,160.84121552304973,15.237064361572266,6,130.79520485740238,7.026350498199463,223.0,-102.2273941040039,0.9021137356758118,54.9218864440918,0.05057467520236969,0.5992465019226074,49.68503952026367,87.32882414878812,0.7041779160499573,94.57420349121094,119.51775360107422,49.03974533081055,26.60089686098655,90.50975036621094,223.0,68.70583748817444,0.0,0.43233972787857056,0.06181699495154324,6.0,0.06881904602050781
1.0,290.6250360101742,172.73205242941276,0.16415348649024963,0.7110118865966797,7000,194.43907688795787,20.861339569091797,7,140.01811539003282,7.015443325042725,244.0,-118.12689208984375,1.0101624727249146,64.7099380493164,0.06761009991168976,0.6110929846763611,57.34867858886719,87.13836641176086,0.7108281850814819,106.08718872070312,136.4257354736328,56.500091552734375,28.56967213114754,99.37870025634766,244.0,80.33200860023499,0.0,0.36625996232032776,0.05066177638540577,7.0,0.15932975709438324
1.0,301.6309740616256,188.84441763343938,0.11411713063716888,0.6832399368286133,8000,220.3389120025334,24.205114364624023,8,150.5213717844787,6.972237586975098,260.0,-139.02098083496094,1.1086097955703735,74.38335418701172,0.07978074997663498,0.6192473769187927,65.78054809570312,86.97911111841991,0.7083726525306702,123.60526275634766,155.31484985351562,65.80413055419922,30.638461538461538,115.3331298828125,260.0,91.97610664367676,0.0,0.335518479347229,0.04151957869412388,8.0,0.05192319676280022
1.0,203.41726116976469,190.46362247080887,0.07509592920541763,0.692093551158905,9000,242.14851121052868,25.968900680541992,9,158.9729127261463,6.86890172958374,276.0,-156.91983032226562,1.1683040857315063,84.86530303955078,0.08483532816171646,0.6250324249267578,77.07972717285156,86.96131561399994,0.712161660194397,138.28753662109375,148.39816284179688,76.76475524902344,32.4963768115942,128.4804229736328,276.0,103.49429440498352,0.0,0.28346753120422363,0.034027141129503384,9.0,0.09741218388080597
1.0,462.22497220370667,217.63975744409862,0.03486590087413788,0.741579532623291,10000,259.5657245209663,31.642423629760742,10,166.97016651282766,6.820737361907959,291.0,-175.05203247070312,1.2341396808624268,94.29052734375,0.09325568377971649,0.6347386837005615,86.70367431640625,86.55748674824365,0.74462890625,155.00601196289062,189.5584259033203,85.79412078857422,34.16151202749141,144.7853240966797,291.0,115.53015661239624,0.0,0.24182140827178955,0.027886755354071244,10.0,0.06722450256347656
1.0,244.29608163459352,220.06305964323454,0.11306620389223099,0.7379058003425598,11000,275.98483190768076,40.26848220825195,11,174.61891678666703,6.804224014282227,307.0,-186.34397888183594,1.2842941284179688,102.23416900634766,0.09867086261510849,0.6441848874092102,94.7959213256836,86.49101108231655,0.740404486656189,170.44137573242188,195.3306121826172,93.4997329711914,35.70358306188925,158.9623565673828,307.0,127.18084645271301,0.0,0.21935933828353882,0.023313810312614227,11.0,0.08299604803323746
1.0,327.05330491732013,228.978913416075,0.11132818460464478,0.7313329577445984,12000,295.4447047620191,59.551307678222656,12,181.77028222725278,6.770241737365723,323.0,-199.29457092285156,1.3283398151397705,110.83419799804688,0.10003918409347534,0.650246798992157,101.48810577392578,86.36009018313118,0.7314134240150452,182.1071014404297,224.83233642578125,99.99504089355469,37.083591331269346,170.0471649169922,323.0,138.95307397842407,0.0,0.18191003799438477,0.02152991267583435,12.0,0.15240830183029175
1.0,214.54394826512763,227.86853148138673,0.08562792837619781,0.756084680557251,13000,301.6959001892799,71.50498962402344,13,186.02458651600298,6.782182216644287,341.0,-213.39413452148438,1.376408338546753,118.4901351928711,0.10218308120965958,0.6551046371459961,108.81783294677734,86.37237663040162,0.7542995810508728,197.57083129882812,204.1599578857422,106.43840789794922,37.935483870967744,182.7910614013672,341.0,150.51108360290527,0.0,0.1918649822473526,0.023782417899897774,13.0,0.06582725793123245
1.0,210.8567697114866,226.6534056406796,0.1255853921175003,0.7348430156707764,14000,296.3755316692159,78.97350311279297,14,191.0364161969057,6.740790843963623,360.0,-227.4639434814453,1.414465069770813,125.60830688476562,0.10095003992319107,0.663284957408905,117.83222198486328,86.34193092399794,0.7381598949432373,204.7682647705078,217.39825439453125,116.87397003173828,38.82222222222222,190.63722229003906,360.0,162.14601469039917,0.0,0.20416595041751862,0.022854436146078055,14.0,0.17641671001911163
1.0,229.9630127706876,226.8740461160135,0.030110040679574013,0.7410915493965149,15000,286.7107479110696,106.07775115966797,15,194.21904022732105,6.709701061248779,380.0,-239.40357971191406,1.4466749429702759,132.20265197753906,0.09770889580249786,0.6690384745597839,125.21806335449219,86.34407192383722,0.755315363407135,211.55059814453125,228.2014923095703,126.30838012695312,39.35263157894737,193.2799835205078,380.0,173.72356510162354,0.0,0.19681936502456665,0.02240411346542305,15.0,0.12049419432878494
1.0,194.28981167884882,224.83753146369068,0.07507606595754623,0.7484068870544434,16000,269.11634024534027,106.43965148925781,16,196.29839674054273,6.733414173126221,403.0,-247.22337341308594,1.4698891639709473,138.09034729003906,0.09871574491262436,0.67412269115448,134.34188842773438,86.3744755194118,0.7609453797340393,215.27243041992188,192.6055450439453,134.7837677001953,39.68982630272953,197.21734619140625,403.0,185.2399091720581,0.0,0.20309308171272278,0.021962663920618616,16.0,0.09865988045930862
