reference_actor_Q_mean,obs_rms_mean,rollout/return_history,obs_rms_std,eval/return,rollout/episode_steps,rollout/Q_mean,train/loss_critic,eval/episodes,total/steps_per_second,train/loss_actor,total/epochs,total/duration,train/param_noise_distance,reference_action_mean,reference_perturbed_action_mean,rollout/return,total/episodes,param_noise_stddev,reference_perturbed_action_std,ret_rms_mean,rollout/actions_mean,eval/return_history,reference_Q_mean,reference_actor_Q_std,rollout/episodes,rollout/actions_std,reference_Q_std,eval/Q,total/steps,ret_rms_std,reference_action_std
19.431888580322266,0.6872348189353943,110.2308215840394,7.247331142425537,96.7548812616292,23.095238095238095,9.120723724365234,1.5307351350784302,1.0,89.40422689770591,-18.958332061767578,1,11.185153484344482,0.5847671031951904,-0.1600131094455719,-0.15032175183296204,110.2308215840394,42.0,0.16720346283821505,0.6577622294425964,0.0,-0.06627529859542847,96.7548812616292,19.172882080078125,2.497163772583008,42.0,0.6744912266731262,3.097978353500366,20.12188720703125,1000,1.0,0.568023681640625
37.43937683105469,0.6599489450454712,110.59117718769085,6.649170398712158,150.28161009279825,23.154761904761905,18.48505401611328,2.516037940979004,2.0,90.5553639255932,-37.10979080200195,2,22.085936307907104,0.6072654128074646,-0.1566145122051239,-0.19066880643367767,110.59117718769085,84.0,0.1370306733903066,0.6565134525299072,0.0,-0.10426542162895203,123.51824567721371,36.68265151977539,9.85910415649414,84.0,0.6849217414855957,10.69678020477295,39.53042984008789,2000,1.0,0.5335075259208679
55.20637512207031,0.45502862334251404,102.6781522416994,6.554809093475342,422.54840264926395,22.058823529411764,26.907739639282227,3.6001369953155518,3.0,90.10363960239835,-53.0615348815918,3,33.294992446899414,0.567264199256897,-0.11084198951721191,-0.1532040238380432,105.79118626378873,136.0,0.11230273064362171,0.6234575510025024,0.0,-0.13951146602630615,223.19496466789712,53.89653396606445,17.976945877075195,136.0,0.6687411069869995,19.258737564086914,62.63738250732422,3000,1.0,0.6281649470329285
71.13621520996094,0.6008488535881042,121.11190556980927,6.571644306182861,355.09537933266427,23.910179640718564,35.8967170715332,5.744684219360352,4.0,89.83437078103627,-69.2363052368164,4,44.526387453079224,0.5263038277626038,0.05048748478293419,0.036428362131118774,115.10770917356353,167.0,0.09203708190275892,0.6943185329437256,0.0,-0.11668599396944046,256.1700683340889,68.96286010742188,26.97847557067871,167.0,0.6723862886428833,28.02454376220703,81.90054321289062,4000,1.0,0.7318233251571655
87.14734649658203,0.8127520084381104,141.05217711156666,6.460647106170654,273.4905454131958,26.735135135135135,46.140953063964844,7.748049736022949,5.0,89.7627157412703,-87.71661376953125,5,55.70241451263428,0.48021742701530457,0.20362339913845062,0.19136743247509003,128.4917791802923,185.0,0.07542848153938683,0.6959210634231567,0.0,-0.07144404202699661,259.6341637499103,83.29312133789062,34.19835662841797,185.0,0.6876274347305298,36.3431396484375,103.16696166992188,5000,1.0,0.7352742552757263
105.61705017089844,1.0010184049606323,174.8613634843063,6.426656723022461,222.0200633334964,29.19704433497537,56.260520935058594,8.845198631286621,6.0,89.83110075048188,-108.78935241699219,6,66.79201245307922,0.4329933226108551,0.28023090958595276,0.14385251700878143,141.80052804062151,203.0,0.06181699495154324,0.7928078770637512,0.0,-0.028297951444983482,253.36514701384132,100.5361328125,40.32270050048828,203.0,0.6984562873840332,43.343833923339844,109.8779067993164,6000,1.0,0.7588725686073303
119.25311279296875,1.1661561727523804,209.11520669109714,6.555308818817139,183.851106058247,31.075555555555557,64.74958038330078,12.382579803466797,7.0,89.96951336882151,-124.91503143310547,7,77.80413317680359,0.42538830637931824,0.27362021803855896,0.26614537835121155,152.42943691937757,225.0,0.05066177638540577,0.7409027814865112,0.0,0.013484667986631393,243.4345697344707,114.51586151123047,52.377601623535156,225.0,0.7077838182449341,54.280635833740234,127.08612823486328,7000,1.0,0.7431136965751648
134.0291748046875,1.276050090789795,238.57388020475832,6.502671718597412,260.1435684490621,32.53469387755102,73.02680969238281,16.33817481994629,8.0,90.03817197429544,-138.45851135253906,8,88.85120415687561,0.3280103802680969,0.19302737712860107,0.13949349522590637,160.7587200600699,245.0,0.04151957869412388,0.7703812718391418,0.0,0.04180286452174187,245.52319457379463,127.63102722167969,63.2686653137207,245.0,0.7131325006484985,64.6492919921875,144.3494110107422,8000,1.0,0.7665197849273682
146.26873779296875,1.3434547185897827,254.95597761995458,6.437880039215088,258.6021771735137,33.71804511278196,81.40290069580078,20.01580238342285,9.0,90.09441829324956,-151.11138916015625,9,99.89520072937012,0.2784079313278198,0.13677839934825897,0.08997976034879684,167.42657531387445,266.0,0.034027141129503384,0.7959825992584229,0.0,0.05539468303322792,246.9764148626523,138.57058715820312,73.43826293945312,266.0,0.7189003229141235,75.28814697265625,149.28114318847656,9000,1.0,0.7891114950180054
154.2440948486328,1.3881947994232178,268.01707646948563,6.360959529876709,325.30505744831027,35.39857651245551,90.93311309814453,24.1379451751709,10.0,89.95224668974042,-164.9682159423828,10,111.17009711265564,0.22382691502571106,0.10653084516525269,0.11699943989515305,176.2880134037509,281.0,0.027886755354071244,0.8079841732978821,0.0,0.05764041095972061,254.8092791212181,145.94879150390625,86.71270751953125,281.0,0.7257333993911743,87.2339096069336,189.17198181152344,10000,1.0,0.8040039539337158
