eval/return_history,total/steps_per_second,rollout/actions_mean,ret_rms_mean,rollout/episode_steps,total/duration,total/epochs,ret_rms_std,reference_actor_Q_std,rollout/actions_std,rollout/return_history,train/loss_critic,train/loss_actor,reference_action_std,train/param_noise_distance,rollout/episodes,eval/return,reference_Q_std,total/steps,obs_rms_mean,obs_rms_std,reference_Q_mean,reference_action_mean,total/episodes,eval/episodes,reference_actor_Q_mean,eval/Q,rollout/Q_mean,rollout/return
-615.8770524650251,25.122741813990924,-0.1237364262342453,0.0,1000.0,39.80457258224487,1,1.0,3.1194510459899902,0.7273315191268921,-320.67051286711194,0.02778291516005993,1.2488605976104736,0.9560426473617554,0.0,1.0,-615.8770524650251,3.1199469566345215,1000,0.07700657844543457,0.8680466413497925,-1.368933916091919,0.09097246080636978,1.0,1.0,-1.150136947631836,-2.434013605117798,-1.4358110427856445,-320.67051286711194
-565.0864230028251,25.161692726832875,-0.13198724389076233,0.0,1000.0,79.4859082698822,2,1.0,3.1815571784973145,0.765855610370636,-364.32321862842747,0.08822236210107803,-3.572286605834961,0.8530551791191101,0.0,2.0,-514.295793540625,3.143270969390869,2000,0.08224200457334518,1.3463033437728882,4.000743865966797,0.08838475495576859,2.0,2.0,4.431447982788086,3.6361258029937744,0.1363048106431961,-364.32321862842747
-568.9882117312097,25.161653506254645,-0.09404683113098145,0.0,1000.0,119.22904825210571,3,1.0,5.443769454956055,0.7925206422805786,-361.1853032984686,0.19919531047344208,-6.241184234619141,0.8398681879043579,0.0,3.0,-576.791789187979,5.548401355743408,3000,0.10336671769618988,1.8789100646972656,7.399758815765381,0.04636002704501152,3.0,3.0,8.070732116699219,14.296648025512695,0.5833622813224792,-361.1853032984686
-369.6552464123018,25.163939598383177,-0.03035174496471882,0.0,1000.0,158.957622051239,4,1.0,4.322213649749756,0.7604500651359558,-344.774548269834,0.25338688492774963,-14.308025360107422,0.7300378680229187,0.0,4.0,228.34364954442202,4.4915900230407715,4000,0.0771813616156578,1.760462760925293,14.056861877441406,0.05138121172785759,4.0,4.0,14.812231063842773,20.728294372558594,4.026960372924805,-344.774548269834
-261.5258238969078,25.182881927268017,-0.051798511296510696,0.0,1000.0,198.54756951332092,5,1.0,3.850369453430176,0.7249870300292969,-307.64256206874035,0.5447824001312256,-22.688793182373047,0.7232369780540466,0.0,5.0,170.99186616466824,4.058366775512695,5000,0.07455377280712128,1.6702293157577515,22.316146850585938,-0.03236454725265503,5.0,5.0,23.137195587158203,22.71712875366211,7.422567844390869,-307.64256206874035
-197.0259401078821,25.18368658742697,-0.03166189417243004,0.0,1000.0,238.2494707107544,6,1.0,3.4911282062530518,0.7368767261505127,-217.34341607781172,0.8397999405860901,-29.050241470336914,0.6735610961914062,0.0,6.0,125.47347883724646,3.5451982021331787,6000,0.09509949386119843,1.984277367591858,28.72333335876465,-0.09317272901535034,6.0,6.0,29.536174774169922,28.262662887573242,10.39243221282959,-217.34341607781172
-147.4630196500397,25.188279034106255,-0.01882243901491165,0.0,1000.0,277.9070372581482,7,1.0,2.2007648944854736,0.7370761632919312,-125.9580971820783,1.2970588207244873,-36.46019744873047,0.7151457071304321,0.0,7.0,149.91450309701457,2.4058520793914795,7000,0.11152632534503937,2.1453983783721924,35.48138427734375,-0.06941979378461838,7.0,7.0,36.37145233154297,39.75788497924805,13.594698905944824,-125.9580971820783
-53.13380940195779,25.20062884680677,-0.013180029578506947,0.0,1000.0,317.4523956775665,8,1.0,1.8318133354187012,0.7331771850585938,-53.27208519153534,1.3515151739120483,-45.1411018371582,0.7024597525596619,0.0,8.0,607.1706623346154,2.018420696258545,8000,0.12074798345565796,2.2513673305511475,44.26247787475586,-0.0335020013153553,8.0,8.0,45.26929473876953,46.4321174621582,17.062036514282227,-53.27208519153534
-67.90954255571224,25.20211428851203,-0.008148561231791973,0.0,1000.0,357.11289525032043,9,1.0,1.9272139072418213,0.7375028133392334,-7.801556901486467,2.104785680770874,-54.71534729003906,0.6618982553482056,0.0,9.0,-186.11540778574786,2.181074857711792,9000,0.12928766012191772,2.312472343444824,53.68059539794922,0.1508050411939621,9.0,9.0,54.654056549072266,56.063899993896484,20.739585876464844,-7.801556901486467
-28.233202187662933,25.197613051610258,-0.004281309898942709,0.0,1000.0,396.8629877567291,10,1.0,1.8872709274291992,0.7372222542762756,18.56387669282709,1.6438833475112915,-61.63224792480469,0.6939693689346313,0.0,10.0,328.85386112478085,2.053758144378662,10000,0.1351659893989563,2.365191698074341,60.462486267089844,0.13424663245677948,10.0,10.0,61.367958068847656,62.19912338256836,24.462125778198242,18.56387669282709
-34.58102982666763,25.17140432642765,0.014426648616790771,0.0,1000.0,437.0038261413574,11,1.0,2.0015244483947754,0.733023464679718,46.96383524943196,2.7387280464172363,-68.47423553466797,0.709980309009552,0.0,11.0,-98.05930621671463,2.18200421333313,11000,0.14329351484775543,2.3750510215759277,66.30584716796875,0.25803712010383606,11.0,11.0,67.29447174072266,67.81529998779297,28.131824493408203,46.96383524943196
-43.787253100720875,24.867217838943134,0.02208808623254299,0.0,1000.0,482.5630304813385,12,1.0,1.8894942998886108,0.7298063039779663,71.93381123355077,4.307008743286133,-75.43726348876953,0.757163941860199,0.0,12.0,-145.05570911530657,1.8683664798736572,12000,0.1482803076505661,2.3970232009887695,73.3448486328125,0.21801048517227173,12.0,12.0,74.22621154785156,74.04793548583984,31.792583465576172,71.93381123355077
