rollout/return,reference_Q_std,rollout/episode_steps,obs_rms_mean,total/episodes,ret_rms_std,reference_Q_mean,rollout/return_history,ret_rms_mean,train/param_noise_distance,total/duration,eval/return,rollout/actions_std,reference_actor_Q_mean,eval/Q,train/loss_critic,rollout/Q_mean,reference_action_std,reference_actor_Q_std,reference_action_mean,eval/return_history,total/steps_per_second,obs_rms_std,rollout/episodes,total/steps,train/loss_actor,rollout/actions_mean,total/epochs,eval/episodes
-236.423523574382,0.5707138776779175,1000.0,0.09577213227748871,1.0,1.0,-0.11148539930582047,-236.423523574382,0.0,0.0,24.15949296951294,-328.04124479238425,0.6026426553726196,0.32403564453125,0.6076808571815491,0.01251041330397129,-0.3355267345905304,0.7896722555160522,0.4285465478897095,-0.2756819427013397,-328.04124479238425,41.39159713583013,0.5546892881393433,1.0,1000,-0.25710251927375793,0.25468164682388306,1,1.0
-278.8861424640521,0.9691283106803894,1000.0,0.06724492460489273,2.0,1.0,0.8595957159996033,-278.8861424640521,0.0,0.0,48.05261993408203,-584.0650774651924,0.6728095412254333,1.189476728439331,0.6103313565254211,0.08156329393386841,0.08484281599521637,0.8462491631507874,0.8357072472572327,0.09805677086114883,-456.05316112878836,41.62103965909818,1.1455317735671997,2.0,2000,-1.1367251873016357,0.15748436748981476,2,2.0
-307.0926796866009,2.085418939590454,1000.0,0.10286308079957962,3.0,1.0,4.172417163848877,-307.0926796866009,0.0,0.0,70.54802393913269,-362.67603913256636,0.6918607950210571,4.793590545654297,6.806155681610107,0.07277660071849823,0.18281306326389313,0.7818112373352051,2.2242283821105957,-0.029197148978710175,-424.92745379671436,42.524224386332,1.2956855297088623,3.0,3000,-3.8205301761627197,0.14480799436569214,3,3.0
-282.6150331494527,3.433912515640259,1000.0,0.10696778446435928,4.0,1.0,7.551566123962402,-282.6150331494527,0.0,0.0,92.3684630393982,-139.53262460914033,0.6963096261024475,8.170684814453125,3.0804567337036133,0.11555513739585876,1.1905134916305542,0.6739019751548767,3.59205961227417,0.011172796599566936,-353.57874649982085,43.30482362030716,1.5251418352127075,4.0,4000,-6.4675517082214355,0.11361143738031387,4,4.0
-228.15391462989078,4.862646102905273,1000.0,0.10957087576389313,5.0,1.0,10.699750900268555,-228.15391462989078,0.0,0.0,114.2771589756012,95.44827132978226,0.7283070087432861,11.377382278442383,2.675245523452759,0.17076954245567322,1.6160237789154053,0.6905575394630432,5.009334087371826,-0.03621028736233711,-263.7733429339002,43.75327532484009,2.1213231086730957,5.0,5000,-8.127677917480469,0.06835096329450607,5,5.0
-177.68772772172943,6.197750568389893,1000.0,0.11339121311903,6.0,1.0,14.994659423828125,-177.68772772172943,0.0,0.0,136.2482831478119,-181.8544971223243,0.7596179842948914,15.710423469543457,17.724403381347656,0.2161596417427063,1.8512420654296875,0.6842759847640991,6.292143821716309,0.09467806667089462,-250.12020196530423,44.03725215011165,2.4691579341888428,6.0,6000,-10.41012954711914,0.018183467909693718,6,6.0
-128.76867557671252,7.190343379974365,1000.0,0.1205642819404602,7.0,1.0,18.671627044677734,-128.76867557671252,0.0,0.0,158.19024276733398,-49.95461659665153,0.7786931991577148,19.272348403930664,22.315452575683594,0.2959519028663635,2.534942626953125,0.6589525938034058,7.227202415466309,0.09952760487794876,-221.525118341211,44.25051683052027,2.679450273513794,7.0,7000,-12.344063758850098,-0.008303734473884106,7,7.0
-108.74818270966017,8.034370422363281,1000.0,0.12719851732254028,8.0,1.0,22.228954315185547,-108.74818270966017,0.0,0.0,180.13790678977966,-57.86951396715349,0.7767224907875061,22.836578369140625,26.757122039794922,0.3755189776420593,3.464961051940918,0.6115149259567261,8.06429386138916,-0.06682828813791275,-201.0681677944538,44.41041945344671,2.7976691722869873,8.0,8000,-14.598209381103516,-0.01082800142467022,8,8.0
-102.57472266689236,7.931973457336426,1000.0,0.12632647156715393,9.0,1.0,25.466182708740234,-102.57472266689236,0.0,0.0,202.10427474975586,67.65372998813707,0.7481602430343628,26.076616287231445,27.87827491760254,0.543343186378479,5.963604927062988,0.6811915636062622,7.891236305236816,-0.08754853159189224,-171.21017915194372,44.53146778386424,2.674365758895874,9.0,9000,-18.655658721923828,0.0038211126811802387,9,9.0
-95.36346731860274,7.773314476013184,1000.0,0.12438996881246567,10.0,1.0,28.614360809326172,-95.36346731860274,0.0,0.0,224.18837976455688,-7.212357703959478,0.7257420420646667,29.279460906982422,29.37397575378418,0.49564221501350403,8.172969818115234,0.6319519877433777,7.700472831726074,0.07997880131006241,-154.8103970071453,44.60534489121167,2.5662550926208496,10.0,10000,-22.970924377441406,0.005978049710392952,10,10.0
