ret_rms_std,train/param_noise_distance,total/epochs,rollout/episode_steps,ret_rms_mean,rollout/actions_mean,reference_perturbed_action_std,total/steps,rollout/return,param_noise_stddev,obs_rms_mean,rollout/Q_mean,train/loss_critic,obs_rms_std,total/duration,train/loss_actor,reference_action_std,eval/return,total/episodes,total/steps_per_second,eval/episodes,reference_Q_std,reference_actor_Q_mean,rollout/episodes,eval/Q,rollout/return_history,eval/return_history,reference_perturbed_action_mean,reference_Q_mean,rollout/actions_std,reference_action_mean,reference_actor_Q_std
1.0,0.8399996161460876,1,23.38095238095238,0.0,0.011535080149769783,0.7687031626701355,1000,109.3492699131077,0.16720346283821505,0.7035506367683411,9.249480247497559,1.364504337310791,8.391728401184082,10.870619773864746,-19.158283233642578,0.7074682116508484,209.42025017069645,42.0,91.99107509989541,1.0,3.3923795223236084,19.525821685791016,42.0,20.476606369018555,109.3492699131077,209.42025017069645,0.057816680520772934,19.123849868774414,0.7668585777282715,-0.020712558180093765,2.581599473953247
1.0,0.7426307797431946,2,23.97590361445783,0.0,0.014126432128250599,0.7560028433799744,2000,111.95903247958914,0.1370306733903066,0.7459034323692322,18.58181381225586,2.647662878036499,8.683809280395508,21.46246647834778,-37.433956146240234,0.7376205325126648,161.26959941050515,83.0,93.18593471154317,2.0,10.734292984008789,37.58972930908203,83.0,27.84736442565918,111.95903247958914,185.3449247906008,0.0775928720831871,36.5229377746582,0.7679357528686523,-0.0009052021778188646,9.83217716217041
1.0,0.6605054140090942,3,26.855855855855857,0.0,0.030079061165452003,0.8014940619468689,3000,125.56278984619772,0.11230273064362171,0.9245923757553101,27.353254318237305,3.746476173400879,8.703974723815918,32.068442583084106,-55.798988342285156,0.7645752429962158,130.5929720782918,111.0,93.5499125730066,3.0,18.362565994262695,55.31616973876953,111.0,49.31200408935547,125.4760549551442,167.0942738864978,-0.05703112483024597,53.391761779785156,0.7763095498085022,0.1619444191455841,16.8095760345459
1.0,0.5843188762664795,4,28.942028985507246,0.0,0.04484161362051964,0.785311222076416,4000,133.83865295736385,0.09203708190275892,1.020558476448059,35.93612289428711,6.504387855529785,8.759377479553223,42.61655259132385,-71.13632202148438,0.7816423773765564,81.90246965170076,138.0,93.86024342134013,4.0,27.564414978027344,70.70011901855469,138.0,74.49691009521484,142.8308765817026,145.79632282779852,0.10166995972394943,68.22158813476562,0.7839102745056152,-0.0038731684908270836,25.932519912719727
1.0,0.5393797159194946,5,30.975155279503106,0.0,0.03722754493355751,0.7871221899986267,5000,144.7760720158544,0.07542848153938683,1.1211007833480835,45.017208099365234,6.769692897796631,8.768813133239746,53.25264286994934,-87.66455078125,0.7912133932113647,188.10511282024694,161.0,93.89205362465715,5.0,37.12894821166992,83.79676818847656,161.0,89.34457397460938,164.67703721362804,154.25808082628822,0.03611331805586815,80.12223815917969,0.7838488817214966,0.029793445020914078,35.312889099121094
1.0,0.5735950469970703,6,32.36756756756757,0.0,0.0453505776822567,0.7405909895896912,6000,150.90829038225144,0.06181699495154324,1.1821426153182983,53.964969635009766,11.734609603881836,8.691449165344238,64.19922065734863,-104.20305633544922,0.7469791173934937,322.28609587071236,185.0,93.45907845242984,6.0,45.4733772277832,97.74822235107422,185.0,110.52809143066406,183.77656907360023,182.2627500003589,0.25644633173942566,92.82632446289062,0.7792165279388428,0.2371421754360199,43.21653366088867
1.0,0.48107364773750305,7,34.251231527093594,0.0,0.061992399394512177,0.7567015886306763,7000,160.89356620880017,0.05066177638540577,1.2859342098236084,63.496177673339844,13.735176086425781,8.525324821472168,74.98254251480103,-122.35429382324219,0.7743614912033081,302.5773924076478,203.0,93.3550632618019,7.0,54.93778610229492,110.2364273071289,203.0,128.75331115722656,199.66015832906373,199.45055605854301,0.192236989736557,104.53485107421875,0.7746594548225403,0.149496927857399,52.728939056396484
1.0,0.38142597675323486,8,36.05429864253394,0.0,0.06693044304847717,0.8042012453079224,8000,171.5395030203226,0.04151957869412388,1.3731452226638794,72.53583526611328,16.11383819580078,8.368559837341309,85.80259346961975,-135.2165985107422,0.8243347406387329,229.89320972736127,221.0,93.2372749645682,8.0,63.0297966003418,124.04125213623047,221.0,148.89942932128906,224.3925624582842,203.25588776714534,0.04745601490139961,117.77751159667969,0.7757688760757446,0.07460251450538635,61.1252326965332
1.0,0.33597543835639954,9,37.44583333333333,0.0,0.061153754591941833,0.8141493797302246,9000,179.9158075621471,0.034027141129503384,1.4307140111923218,81.38470458984375,18.644121170043945,8.297876358032227,96.85841822624207,-151.72042846679688,0.8244693875312805,290.42237135149776,240.0,92.91913046708841,9.0,73.94786071777344,134.77493286132812,240.0,161.35337829589844,242.29486582506945,212.94105260985117,0.08143644034862518,127.95516967773438,0.781173825263977,0.06874268501996994,72.81415557861328
1.0,0.2967241704463959,10,38.75875486381323,0.0,0.06361380964517593,0.8121278882026672,10000,187.24506387721755,0.027886755354071244,1.4920554161071777,89.23997497558594,23.1986141204834,8.218690872192383,108.01634073257446,-163.81813049316406,0.8016350269317627,353.90394044488187,257.0,92.57858516757088,10.0,83.27021789550781,148.4524383544922,257.0,167.70851135253906,257.7535290797356,227.03734139335424,0.13633501529693604,140.31805419921875,0.7839784026145935,0.15838658809661865,81.256591796875
