rollout/return_history,reference_actor_Q_mean,total/epochs,reference_perturbed_action_std,eval/return,eval/episodes,reference_Q_std,total/steps_per_second,rollout/Q_mean,total/duration,obs_rms_mean,rollout/return,total/episodes,rollout/episodes,rollout/actions_mean,obs_rms_std,reference_perturbed_action_mean,rollout/episode_steps,reference_action_std,train/loss_critic,train/param_noise_distance,eval/Q,reference_Q_mean,reference_action_mean,eval/return_history,ret_rms_std,total/steps,ret_rms_mean,param_noise_stddev,train/loss_actor,rollout/actions_std,reference_actor_Q_std
-557.1594894028619,-5.2512922286987305,14,0.7001959085464478,-569.6560830053772,14.0,2.431180477142334,79.40044648899402,-4.920547008514404,176.32142663002014,0.11233408749103546,-557.1594894028619,14.0,14.0,0.30632537603378296,1.7038460969924927,0.6090380549430847,1000.0,0.7014976143836975,0.44316479563713074,0.19468320906162262,-12.581460952758789,-6.512628555297852,0.6304883360862732,-523.7374819359368,1.0,14000,0.0,0.019882513137642284,7.530063629150391,0.8455273509025574,2.3345677852630615
-557.8121474585835,-3.6704394817352295,15,0.7437084317207336,-534.9725728076883,15.0,2.0571088790893555,79.44105200573152,-5.533657073974609,188.81925177574158,0.11882335692644119,-557.8121474585835,15.0,15.0,0.3076094090938568,1.6608304977416992,0.536475419998169,1000.0,0.7738876342773438,0.38220351934432983,0.1966029703617096,-1.373350739479065,-4.852939128875732,0.47240352630615234,-524.4864879940536,1.0,15000,0.0,0.019490749081111935,8.08243179321289,0.8520715832710266,1.8879989385604858
-556.74345879101,-3.0607995986938477,16,0.7113640904426575,-172.04349496028607,16.0,1.8540887832641602,79.50575288179112,-6.048346519470215,201.24329900741577,0.12338925898075104,-556.74345879101,16.0,16.0,0.3100602328777313,1.6474720239639282,0.5402882099151611,1000.0,0.7345001697540283,0.2515776753425598,0.19070948660373688,-1.0661617517471313,-4.185912132263184,0.5026161670684814,-502.45880092944304,1.0,16000,0.0,0.019490749081111935,8.82104206085205,0.8557708859443665,1.681173324584961
-547.226150102292,-3.1145145893096924,17,0.7730068564414978,-529.6181461403066,17.0,1.9130340814590454,79.53875035950085,-5.795550346374512,213.73229932785034,0.12198448181152344,-547.226150102292,17.0,17.0,0.3121173679828644,1.7568596601486206,0.44849690794944763,1000.0,0.8087359666824341,0.30243563652038574,0.22242139279842377,-19.142471313476562,-3.8531312942504883,0.3799879252910614,-504.0564094712585,1.0,17000,0.0,0.019882513137642284,9.0444917678833,0.852802574634552,1.7715296745300293
-541.9511536769701,-2.0194106101989746,18,0.8362909555435181,-449.58639617289793,18.0,1.9519938230514526,79.58052721988393,-6.4355573654174805,226.18598580360413,0.12591055035591125,-541.9511536769701,18.0,18.0,0.31177064776420593,1.730906367301941,0.19074325263500214,1000.0,0.8312632441520691,0.28462108969688416,0.17569974064826965,1.1560202836990356,-3.15343976020813,0.23447668552398682,-501.0302976213495,1.0,18000,0.0,0.019490749081111935,9.574430465698242,0.856218695640564,1.9259673357009888
-535.4471451860435,-1.4167314767837524,19,0.7799192070960999,-284.4330944009781,19.0,1.868320107460022,79.59937163664691,-6.064875602722168,238.69535160064697,0.118970587849617,-535.4471451860435,19.0,19.0,0.2974706292152405,1.6937469244003296,0.2879534065723419,1000.0,0.7654873728752136,0.29765021800994873,0.1869996041059494,0.561736524105072,-2.561432123184204,0.3161347210407257,-489.6304448202774,1.0,19000,0.0,0.0211056883401964,8.892573356628418,0.8571354746818542,1.6485573053359985
-534.4328512246686,0.3189961612224579,20,0.7256385684013367,-322.1620387076417,20.0,1.671575903892517,79.61757473323917,-6.898946762084961,251.2008192539215,0.12619411945343018,-534.4328512246686,20.0,20.0,0.3133394420146942,1.6593372821807861,0.39951977133750916,1000.0,0.6965315341949463,0.44521021842956543,0.18641822040081024,1.7455968856811523,-0.9612924456596375,0.45495057106018066,-481.2570245146456,1.0,20000,0.0,0.022854436146078055,8.885364532470703,0.8545450568199158,1.586951732635498
-520.5341546333193,2.125385284423828,21,0.7258450388908386,-399.98196561550134,21.0,1.5709435939788818,79.64052650961618,-6.448148727416992,263.6848464012146,0.12657824158668518,-520.5341546333193,21.0,21.0,0.30784568190574646,1.6595990657806396,0.44571247696876526,1000.0,0.7567121386528015,0.5382907390594482,0.1642150580883026,-13.789268493652344,0.9613038301467896,0.3878747522830963,-477.38678361468635,1.0,21000,0.0,0.023782417899897774,8.029831886291504,0.8500286936759949,1.4434627294540405
-520.285434680557,2.5743021965026855,22,0.7551208138465881,-279.5946142695142,22.0,1.4202693700790405,79.64954977308562,-7.332718849182129,276.20997309684753,0.13228589296340942,-520.285434680557,22.0,22.0,0.31593143939971924,1.664642572402954,0.3258368968963623,1000.0,0.7210797667503357,1.0139455795288086,0.17285984754562378,3.1512088775634766,1.5369112491607666,0.3772890567779541,-468.396230462633,1.0,22000,0.0,0.023782417899897774,8.47236442565918,0.8499411344528198,1.2977030277252197
-512.7019847460764,3.5845236778259277,23,0.7663888931274414,-81.02607738808405,23.0,1.379074215888977,79.65862522842734,-6.86277437210083,288.7320730686188,0.13057273626327515,-512.7019847460764,23.0,23.0,0.3143279254436493,1.6592957973480225,0.30454471707344055,1000.0,0.7322906851768494,0.5125100016593933,0.17022408545017242,5.81859827041626,2.5517444610595703,0.3843653202056885,-451.5540498941744,1.0,23000,0.0,0.024748079434129402,7.68267822265625,0.8462556600570679,1.248790979385376
