ret_rms_std,reference_perturbed_action_mean,rollout/return,obs_rms_mean,total/steps_per_second,train/param_noise_distance,total/episodes,train/loss_actor,rollout/return_history,eval/episodes,reference_action_std,total/steps,rollout/episodes,obs_rms_std,reference_actor_Q_std,eval/return,total/epochs,param_noise_stddev,reference_perturbed_action_std,eval/Q,rollout/actions_mean,eval/return_history,ret_rms_mean,rollout/actions_std,total/duration,rollout/episode_steps,train/loss_critic,reference_actor_Q_mean,rollout/Q_mean,reference_Q_std,reference_Q_mean,reference_action_mean
1.0,-0.20857158303260803,-637.475691549872,0.038417939096689224,65.0407966507627,0.2521207332611084,1.0,0.6566723585128784,-637.475691549872,1.0,0.7996677160263062,1000,1.0,0.24117667973041534,0.5764163136482239,-1332.9563878353626,1,0.17056425244126316,0.44047245383262634,-1.6213513612747192,-0.09145773202180862,-1332.9563878353626,0.0,0.6261706352233887,15.37496542930603,1000.0,0.08669312298297882,-0.6511242389678955,-0.9287964701652527,0.6576194167137146,-1.3885672092437744,-0.016835510730743408
1.0,0.1220187097787857,-331.5870242931047,0.020423071458935738,71.72715272273484,0.5806495547294617,2.0,0.11991085112094879,-331.5870242931047,2.0,0.7409778237342834,2000,2.0,0.2922859489917755,0.42168885469436646,-296.89876719705484,2,0.14259466822295333,0.5071249008178711,-0.8698268532752991,-0.15605883300304413,-814.9275775162088,0.0,0.5475735068321228,27.883443355560303,1000.0,0.11484424769878387,-0.14992259442806244,-0.8736623525619507,0.605863630771637,-0.8112497925758362,-0.05548188090324402
1.0,-0.11790740489959717,-222.9950982483541,0.016284586861729622,70.11459283110246,0.5006666779518127,3.0,-1.4681899547576904,-222.9950982483541,3.0,0.5380061268806458,3000,3.0,0.3303073048591614,0.4530535638332367,-263.2765904258773,3,0.11686267184170265,0.8060460090637207,1.0816289186477661,-0.07212074846029282,-631.043915152765,0.0,0.5482982397079468,42.78709864616394,1000.0,0.15335029363632202,1.9585168361663818,-0.4583384096622467,0.5258663892745972,0.8715528249740601,0.17639461159706116
1.0,0.43830981850624084,-503.20392364785107,0.013367920182645321,69.48560321526045,0.4513621926307678,4.0,-3.6369428634643555,-503.20392364785107,4.0,0.39161354303359985,4000,4.0,0.3208644688129425,0.6827888488769531,-106.50723378636255,4,0.09577415649670935,0.3817552924156189,3.128908395767212,-0.08524711430072784,-499.9097448111644,0.0,0.6140698194503784,57.5658814907074,1000.0,0.25873127579689026,3.4005842208862305,0.3265882432460785,0.5758152008056641,2.340916872024536,0.49887529015541077
1.0,-0.36096736788749695,-416.61241347919076,0.016799062490463257,71.40015399934414,0.3674396276473999,5.0,-5.744705677032471,-416.61241347919076,5.0,0.5419563055038452,5000,5.0,0.3359970450401306,0.6453972458839417,45.217479330321666,5,0.07849118035809692,0.5579103231430054,6.97314453125,-0.019377315416932106,-390.8842999828672,0.0,0.5987679362297058,70.02786016464233,991.4,0.3815562427043915,4.871415615081787,1.1356467008590698,0.6977984309196472,3.7846508026123047,-0.13155536353588104
1.0,-0.08097580820322037,-480.3757281515024,0.015174099244177341,73.86564140932474,0.3171823024749756,6.0,-8.638928413391113,-480.3757281515024,6.0,0.5915566086769104,6000,6.0,0.3495858311653137,0.9155202507972717,-6.627881706234907,6,0.06432701283272566,0.5610629320144653,9.120513916015625,-0.08071815222501755,-326.8415636034285,0.0,0.6053653359413147,81.22856426239014,992.8333333333334,0.7702524662017822,6.95003604888916,1.9975687265396118,0.9007921814918518,5.883426666259766,-0.023190472275018692
1.0,0.0001849047839641571,-370.2641846560696,0.014040366746485233,73.3248771337902,0.24091902375221252,8.0,-11.262224197387695,-370.2641846560696,7.0,0.47078242897987366,7000,8.0,0.3591097891330719,1.2048460245132446,39.23452516332842,7,0.052718847660376544,0.5434391498565674,10.754752159118652,-0.07724432647228241,-274.54497949389173,0.0,0.5968732237815857,95.46555376052856,781.625,0.6650402545928955,9.911626815795898,3.1350390911102295,1.2026718854904175,8.871088027954102,0.11417704820632935
1.0,-0.07864443212747574,-306.7595629351673,0.014422283507883549,73.11837108260525,0.2853408753871918,10.0,-14.188568115234375,-306.7595629351673,8.0,0.4948314428329468,8000,10.0,0.36447152495384216,1.0422570705413818,38.55916095698882,8,0.04495975420378481,0.4759254455566406,15.986427307128906,-0.06673174351453781,-235.4069619375317,0.0,0.5857399702072144,109.41162776947021,768.5,0.856453001499176,12.931843757629395,4.414200305938721,1.1134926080703735,11.585531234741211,0.07676186412572861
1.0,-0.033441923558712006,-273.61790433118,0.012804417870938778,73.83736611844593,0.27350589632987976,11.0,-16.982473373413086,-273.61790433118,9.0,0.48313266038894653,9000,11.0,0.3638931214809418,1.1210304498672485,164.44521306480573,9,0.04151957869412388,0.4519253671169281,17.343441009521484,-0.07600924372673035,-190.9789424928275,0.0,0.571603536605835,121.88950490951538,789.5454545454545,0.8239879608154297,15.156760215759277,5.769469261169434,1.0500495433807373,13.96672248840332,0.07222063094377518
1.0,0.00686456635594368,-223.7887398617775,0.012701772153377533,73.1480723105963,0.22238731384277344,13.0,-19.712867736816406,-223.7887398617775,10.0,0.4304906725883484,10000,13.0,0.3676699101924896,1.2917861938476562,467.4333656923892,10,0.039899499036260555,0.412646621465683,20.298194885253906,-0.08241693675518036,-125.13771167430586,0.0,0.5576270222663879,136.709002494812,699.8461538461538,1.735048770904541,17.88165283203125,7.055902481079102,1.1669758558273315,16.556575775146484,0.21602365374565125
